ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
944,b5_r2_n3_E2_X3c_1_5,0,70901.0,19542,15225.9,46803.7,8871.4
940,b5_r2_n3_E2_X3c_1_3,0,70681.6,19499,15164.9,46718.3,8798.4
916,b5_r2_n3_E2_X3b_1,0,70287.7,19441,15120.8,46437.4,8729.5
224,b5_r1_n3_E2_X3c_1_5,0,66385.5,20000,15586.0,44539.3,6260.2
196,b5_r1_n3_E2_X3b_1,0,66307.3,20000,15245.9,43834.9,7226.5
220,b5_r1_n3_E2_X3c_1_3,0,66202.4,20000,15448.9,44367.7,6385.8
164,b5_r1_n3_E1_X3c_1_5,0,56561.2,20000,14285.3,41660.9,615.0
160,b5_r1_n3_E1_X3c_1_3,0,56202.1,20000,14102.8,41424.1,675.2
136,b5_r1_n3_E1_X3b_1,0,56017.4,20000,13912.0,40537.7,1567.7
1064,b5_r2_n4_E2_X3c_1_5,0,47966.3,9313,10090.3,31229.8,6646.2
1060,b5_r2_n4_E2_X3c_1_3,0,47959.0,9310,10090.3,31235.4,6633.3
1036,b5_r2_n4_E2_X3b_1,0,47920.0,9293,10111.0,31211.4,6597.6
1004,b5_r2_n4_E1_X3c_1_5,0,47701.4,16932,10412.1,30263.5,7025.8
1000,b5_r2_n4_E1_X3c_1_3,0,47657.1,16921,10373.0,30288.8,6995.3
1724,b5_r3_n4_E1_X3c_1_5,0,47398.3,20000,9496.7,32721.8,5179.8
976,b5_r2_n4_E1_X3b_1,0,47325.4,16864,10294.0,30137.6,6893.8
1720,b5_r3_n4_E1_X3c_1_3,0,47260.9,20000,9485.1,32627.1,5148.7
1696,b5_r3_n4_E1_X3b_1,0,47200.6,20000,9465.6,32699.2,5035.8
344,b5_r1_n4_E2_X3c_1_5,0,41970.9,7653,8454.3,27323.9,6192.7
316,b5_r1_n4_E2_X3b_1,0,41910.1,7627,8417.1,27340.7,6152.3
340,b5_r1_n4_E2_X3c_1_3,0,41898.3,7647,8399.7,27336.6,6162.0
284,b5_r1_n4_E1_X3c_1_5,0,41339.6,8003,8313.7,26934.7,6091.2
280,b5_r1_n4_E1_X3c_1_3,0,41255.5,7994,8266.8,26921.1,6067.6
256,b5_r1_n4_E1_X3b_1,0,41186.4,7965,8251.4,26868.6,6066.4
1844,b5_r3_n5_E1_X3c_1_5,0,37311.6,12486,7839.3,24344.0,5128.3
1840,b5_r3_n5_E1_X3c_1_3,0,37261.8,12485,7839.3,24348.0,5074.5
1816,b5_r3_n5_E1_X3b_1,0,37197.1,12477,7831.4,24330.4,5035.3
1756,b5_r3_n4_E2_X3b_1,0,35541.8,11785,5533.3,25460.2,4548.3
1784,b5_r3_n4_E2_X3c_1_5,0,35525.1,11796,5533.3,25389.2,4602.6
1780,b5_r3_n4_E2_X3c_1_3,0,35467.2,11792,5529.6,25354.9,4582.7
1516,b5_r3_n2_E2_X3b_1,0,33370.2,18552,4439.9,25721.8,3208.5
1636,b5_r3_n3_E2_X3b_1,0,33356.1,18551,4425.8,25721.8,3208.5
1544,b5_r3_n2_E2_X3c_1_5,0,33231.1,18581,4439.9,25513.8,3277.4
1664,b5_r3_n3_E2_X3c_1_5,0,33217.0,18580,4425.8,25513.8,3277.4
1540,b5_r3_n2_E2_X3c_1_3,0,33140.6,18574,4436.2,25436.0,3268.4
1660,b5_r3_n3_E2_X3c_1_3,0,33126.5,18573,4422.1,25436.0,3268.4
2264,b10_r1_n2_E2_X3c_1_5,0,31340.3,8874,6230.4,20408.3,4701.6
2260,b10_r1_n2_E2_X3c_1_3,0,30699.6,8844,6192.5,19884.0,4623.1
1120,b5_r2_n5_E1_X3c_1_3,0,30249.7,6763,6339.9,19407.4,4502.4
1124,b5_r2_n5_E1_X3c_1_5,0,30221.4,6763,6328.1,19367.3,4526.0
1180,b5_r2_n5_E2_X3c_1_3,0,30131.1,4340,6074.9,19623.2,4433.0
1184,b5_r2_n5_E2_X3c_1_5,0,30119.6,4340,6074.9,19611.7,4433.0
1156,b5_r2_n5_E2_X3b_1,0,30111.4,4334,6074.9,19608.2,4428.3
1096,b5_r2_n5_E1_X3b_1,0,30097.0,6751,6322.3,19315.3,4459.4
2236,b10_r1_n2_E2_X3b_1,0,29204.6,8560,5811.7,18756.9,4636.0
1904,b5_r3_n5_E2_X3c_1_5,0,28146.4,7170,4729.6,19580.7,3836.1
1900,b5_r3_n5_E2_X3c_1_3,0,28134.8,7170,4729.6,19589.0,3816.2
1876,b5_r3_n5_E2_X3b_1,0,28125.4,7167,4729.6,19567.3,3828.5
1964,b5_r3_n6_E1_X3c_1_5,0,27622.2,7599,5989.3,17129.1,4503.8
1960,b5_r3_n6_E1_X3c_1_3,0,27576.0,7598,5989.3,17129.1,4457.6
1936,b5_r3_n6_E1_X3b_1,0,27558.7,7596,5985.5,17154.8,4418.4
436,b5_r1_n5_E2_X3b_1,0,25732.9,3191,4892.4,17000.7,3839.8
464,b5_r1_n5_E2_X3c_1_5,0,25725.8,3197,4890.4,16958.9,3876.5
460,b5_r1_n5_E2_X3c_1_3,0,25704.0,3197,4885.4,16969.4,3849.2
376,b5_r1_n5_E1_X3b_1,0,25608.8,3265,4906.3,16879.6,3822.9
404,b5_r1_n5_E1_X3c_1_5,0,25592.3,3273,4896.8,16845.3,3850.2
400,b5_r1_n5_E1_X3c_1_3,0,25556.6,3271,4884.5,16842.2,3829.9
1996,b5_r3_n6_E2_X3b_1,0,21713.0,4454,4076.7,14016.5,3619.8
2024,b5_r3_n6_E2_X3c_1_5,0,21704.1,4455,4076.7,14007.6,3619.8
2020,b5_r3_n6_E2_X3c_1_3,0,21691.8,4455,4076.7,14007.6,3607.5
1276,b5_r2_n6_E2_X3b_1,0,19058.1,2097,3398.1,12116.7,3543.3
1304,b5_r2_n6_E2_X3c_1_5,0,19053.9,2098,3398.1,12107.8,3548.0
1300,b5_r2_n6_E2_X3c_1_3,0,19053.9,2098,3398.1,12107.8,3548.0
1240,b5_r2_n6_E1_X3c_1_3,0,19010.7,2836,3446.2,11967.0,3597.5
1244,b5_r2_n6_E1_X3c_1_5,0,19004.6,2836,3442.2,11936.6,3625.8
1216,b5_r2_n6_E1_X3b_1,0,18947.9,2832,3442.2,11945.5,3560.2
580,b5_r1_n6_E2_X3c_1_3,0,16181.0,1596,2833.5,10461.3,2886.2
584,b5_r1_n6_E2_X3c_1_5,0,16169.8,1596,2829.5,10430.2,2910.1
524,b5_r1_n6_E1_X3c_1_5,0,16163.4,1618,2868.2,10401.9,2893.3
520,b5_r1_n6_E1_X3c_1_3,0,16158.9,1618,2857.9,10424.6,2876.4
556,b5_r1_n6_E2_X3b_1,0,16146.9,1594,2829.5,10439.1,2878.3
496,b5_r1_n6_E1_X3b_1,0,16141.2,1616,2859.2,10411.1,2870.9
1068,b5_r2_n4_E2_X3c_2_3,0,15291.2,8971,2663.2,10580.3,2047.7
352,b5_r1_n4_E2_X3c_2_5,0,15145.6,7291,2604.6,10097.1,2443.9
348,b5_r1_n4_E2_X3c_2_3,0,15126.6,7284,2652.9,10048.8,2424.9
1072,b5_r2_n4_E2_X3c_2_5,0,15081.0,8966,2491.7,10535.7,2053.6
292,b5_r1_n4_E1_X3c_2_5,0,14947.1,7596,2542.9,10074.4,2329.8
288,b5_r1_n4_E1_X3c_2_3,0,14863.5,7584,2613.0,9909.7,2340.8
2384,b10_r1_n3_E2_X3c_1_5,0,14504.3,2319,2528.3,9481.7,2494.3
2356,b10_r1_n3_E2_X3b_1,0,14492.6,2304,2591.7,9335.9,2565.0
1040,b5_r2_n4_E2_X3b_2,0,14383.2,8810,2362.1,9945.9,2075.2
2380,b10_r1_n3_E2_X3c_1_3,0,14378.6,2314,2560.6,9296.5,2521.5
320,b5_r1_n4_E2_X3b_2,0,14030.8,7120,2450.6,9381.1,2199.1
2324,b10_r1_n3_E1_X3c_1_5,0,14016.1,2823,2653.6,9037.6,2324.9
260,b5_r1_n4_E1_X3b_2,0,13908.4,7394,2373.8,9352.3,2182.3
1188,b5_r2_n5_E2_X3c_2_3,0,13848.7,4235,2438.4,9510.6,1899.7
472,b5_r1_n5_E2_X3c_2_5,0,13846.2,3102,2459.1,9227.1,2160.0
1192,b5_r2_n5_E2_X3c_2_5,0,13826.2,4238,2382.7,9523.3,1920.2
2320,b10_r1_n3_E1_X3c_1_3,0,13818.1,2819,2594.3,8944.3,2279.5
2296,b10_r1_n3_E1_X3b_1,0,13815.2,2788,2568.4,8854.4,2392.4
468,b5_r1_n5_E2_X3c_2_3,0,13784.6,3099,2495.1,9170.8,2118.7
412,b5_r1_n5_E1_X3c_2_5,0,13772.7,3168,2489.8,9193.6,2089.3
408,b5_r1_n5_E1_X3c_2_3,0,13690.0,3163,2535.5,9099.0,2055.5
952,b5_r2_n3_E2_X3c_2_5,0,13681.5,17834,1817.8,11256.3,607.4
2084,b5_r3_n8_E1_X3c_1_5,0,13580.7,2629,3000.5,7908.0,2672.2
380,b5_r1_n5_E1_X3b_2,0,13559.5,3131,2486.2,8977.6,2095.7
2056,b5_r3_n8_E1_X3b_1,0,13555.7,2627,3000.5,7916.9,2638.3
1160,b5_r2_n5_E2_X3b_2,0,13536.8,4207,2332.2,9283.8,1920.8
440,b5_r1_n5_E2_X3b_2,0,13534.6,3068,2442.5,9021.5,2070.6
2080,b5_r3_n8_E1_X3c_1_3,0,13534.5,2628,3000.5,7908.0,2626.0
948,b5_r2_n3_E2_X3c_2_3,0,13383.2,17814,1880.3,11029.3,473.6
3044,b10_r2_n3_E1_X3c_1_5,0,13076.4,10519,1621.9,9511.5,1943.0
3040,b10_r2_n3_E1_X3c_1_3,0,12807.9,10502,1565.6,9335.3,1907.0
4424,b15_r1_n2_E2_X3c_1_5,0,12596.1,2261,2571.6,8050.3,1974.2
4420,b15_r1_n2_E2_X3c_1_3,0,12473.6,2258,2492.4,8002.1,1979.1
3016,b10_r2_n3_E1_X3b_1,0,12433.3,10475,1459.9,9106.5,1866.9
2204,b10_r1_n2_E1_X3c_1_5,0,12153.0,20000,1213.8,10458.8,480.4
920,b5_r2_n3_E2_X3b_2,0,11801.0,17057,1523.9,9893.2,383.9
2200,b10_r1_n2_E1_X3c_1_3,0,11761.3,20000,1216.7,10290.4,254.2
4396,b15_r1_n2_E2_X3b_1,0,11710.0,2199,2428.9,7266.2,2014.9
2116,b5_r3_n8_E2_X3b_1,0,11697.6,1679,2393.1,6828.4,2476.1
2144,b5_r3_n8_E2_X3c_1_5,0,11688.7,1680,2393.1,6819.5,2476.1
2140,b5_r3_n8_E2_X3c_1_3,0,11676.4,1680,2393.1,6819.5,2463.8
3104,b10_r2_n3_E2_X3c_1_5,0,11504.0,4112,1295.3,7978.0,2230.7
3100,b10_r2_n3_E2_X3c_1_3,0,11409.2,4107,1264.2,7950.3,2194.7
3076,b10_r2_n3_E2_X3b_1,0,11316.2,4104,1211.3,7916.6,2188.3
1308,b5_r2_n6_E2_X3c_2_3,0,10730.6,2065,1644.9,7036.4,2049.3
1312,b5_r2_n6_E2_X3c_2_5,0,10716.6,2066,1612.8,7044.6,2059.2
1280,b5_r2_n6_E2_X3b_2,0,10521.5,2063,1604.2,6896.1,2021.2
1128,b5_r2_n5_E1_X3c_2_3,0,10373.7,6532,1308.0,8170.8,894.9
1132,b5_r2_n5_E1_X3c_2_5,0,10273.9,6522,1379.5,8033.9,860.5
232,b5_r1_n3_E2_X3c_2_5,0,10180.8,19268,797.1,8230.6,1153.1
228,b5_r1_n3_E2_X3c_2_3,0,9991.2,19216,861.7,7953.1,1176.4
532,b5_r1_n6_E1_X3c_2_5,0,9971.9,1583,1778.7,6375.4,1817.8
592,b5_r1_n6_E2_X3c_2_5,0,9948.8,1564,1727.4,6393.5,1827.9
528,b5_r1_n6_E1_X3c_2_3,0,9906.3,1582,1781.0,6348.4,1776.9
588,b5_r1_n6_E2_X3c_2_3,0,9892.2,1563,1742.2,6374.4,1775.6
500,b5_r1_n6_E1_X3b_2,0,9876.1,1578,1794.1,6292.3,1789.7
560,b5_r1_n6_E2_X3b_2,0,9832.7,1559,1724.8,6317.3,1790.6
1100,b5_r2_n5_E1_X3b_2,0,9565.6,6442,1256.4,7462.3,846.9
1248,b5_r2_n6_E1_X3c_2_3,0,9455.1,2780,1240.1,6611.2,1603.8
3160,b10_r2_n4_E1_X3c_1_3,0,9453.6,4756,1333.9,6274.6,1845.1
3164,b10_r2_n4_E1_X3c_1_5,0,9442.9,4758,1344.9,6252.9,1845.1
