ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc
944,b5_r2_n3_E2_X3c_1_5,0,70901.0,19542,0.0,162.19,1
940,b5_r2_n3_E2_X3c_1_3,0,70681.6,19499,0.0,161.62,1
916,b5_r2_n3_E2_X3b_1,0,70287.7,19441,0.0,160.79,1
224,b5_r1_n3_E2_X3c_1_5,0,66385.5,20000,0.0,152.05,1
196,b5_r1_n3_E2_X3b_1,0,66307.3,20000,0.0,151.65,1
220,b5_r1_n3_E2_X3c_1_3,0,66202.4,20000,0.0,151.57,1
164,b5_r1_n3_E1_X3c_1_5,0,56561.2,20000,0.0,129.01,1
160,b5_r1_n3_E1_X3c_1_3,0,56202.1,20000,0.0,128.09,1
136,b5_r1_n3_E1_X3b_1,0,56017.4,20000,0.0,127.6,1
1064,b5_r2_n4_E2_X3c_1_5,0,47966.3,9313,0.0,109.45,1
1060,b5_r2_n4_E2_X3c_1_3,0,47959.0,9310,0.0,109.42,1
1036,b5_r2_n4_E2_X3b_1,0,47920.0,9293,0.0,109.3,1
1004,b5_r2_n4_E1_X3c_1_5,0,47701.4,16932,0.0,108.51,1
1000,b5_r2_n4_E1_X3c_1_3,0,47657.1,16921,0.0,108.37,1
1724,b5_r3_n4_E1_X3c_1_5,0,47398.3,20000,0.0,107.3,1
976,b5_r2_n4_E1_X3b_1,0,47325.4,16864,0.0,107.42,1
1720,b5_r3_n4_E1_X3c_1_3,0,47260.9,20000,0.0,106.91,1
1696,b5_r3_n4_E1_X3b_1,0,47200.6,20000,0.0,106.61,1
344,b5_r1_n4_E2_X3c_1_5,0,41970.9,7653,0.0,95.46,1
316,b5_r1_n4_E2_X3b_1,0,41910.1,7627,0.0,95.39,1
340,b5_r1_n4_E2_X3c_1_3,0,41898.3,7647,0.0,95.52,1
284,b5_r1_n4_E1_X3c_1_5,0,41339.6,8003,0.0,94.11,1
280,b5_r1_n4_E1_X3c_1_3,0,41255.5,7994,0.0,93.85,1
256,b5_r1_n4_E1_X3b_1,0,41186.4,7965,0.0,93.74,1
1844,b5_r3_n5_E1_X3c_1_5,0,37311.6,12486,0.0,84.18,1
1840,b5_r3_n5_E1_X3c_1_3,0,37261.8,12485,0.0,84.12,1
1816,b5_r3_n5_E1_X3b_1,0,37197.1,12477,0.0,83.85,1
1756,b5_r3_n4_E2_X3b_1,0,35541.8,11785,0.0,79.58,1
1784,b5_r3_n4_E2_X3c_1_5,0,35525.1,11796,0.0,79.67,1
1780,b5_r3_n4_E2_X3c_1_3,0,35467.2,11792,0.0,79.57,1
1516,b5_r3_n2_E2_X3b_1,0,33370.2,18552,0.0,73.83,1
1636,b5_r3_n3_E2_X3b_1,0,33356.1,18551,0.0,73.61,1
1544,b5_r3_n2_E2_X3c_1_5,0,33231.1,18581,0.0,73.92,1
1664,b5_r3_n3_E2_X3c_1_5,0,33217.0,18580,0.0,73.91,1
1540,b5_r3_n2_E2_X3c_1_3,0,33140.6,18574,0.0,73.51,1
1660,b5_r3_n3_E2_X3c_1_3,0,33126.5,18573,0.0,73.59,1
2264,b10_r1_n2_E2_X3c_1_5,0,31340.3,8874,0.0,70.15,1
2260,b10_r1_n2_E2_X3c_1_3,0,30699.6,8844,0.0,68.71,1
1120,b5_r2_n5_E1_X3c_1_3,0,30249.7,6763,0.0,68.17,1
1124,b5_r2_n5_E1_X3c_1_5,0,30221.4,6763,0.0,68.22,1
1180,b5_r2_n5_E2_X3c_1_3,0,30131.1,4340,0.0,68.33,1
1184,b5_r2_n5_E2_X3c_1_5,0,30119.6,4340,0.0,68.31,1
1156,b5_r2_n5_E2_X3b_1,0,30111.4,4334,0.0,68.25,1
1096,b5_r2_n5_E1_X3b_1,0,30097.0,6751,0.0,67.9,1
2236,b10_r1_n2_E2_X3b_1,0,29204.6,8560,0.0,65.1,1
1904,b5_r3_n5_E2_X3c_1_5,0,28146.4,7170,0.0,62.93,1
1900,b5_r3_n5_E2_X3c_1_3,0,28134.8,7170,0.0,62.88,1
1876,b5_r3_n5_E2_X3b_1,0,28125.4,7167,0.0,62.88,1
1964,b5_r3_n6_E1_X3c_1_5,0,27622.2,7599,0.0,62.02,1
1960,b5_r3_n6_E1_X3c_1_3,0,27576.0,7598,0.0,61.74,1
1936,b5_r3_n6_E1_X3b_1,0,27558.7,7596,0.0,61.57,1
436,b5_r1_n5_E2_X3b_1,0,25732.9,3191,0.0,58.19,1
464,b5_r1_n5_E2_X3c_1_5,0,25725.8,3197,0.0,58.16,1
460,b5_r1_n5_E2_X3c_1_3,0,25704.0,3197,0.0,58.08,1
376,b5_r1_n5_E1_X3b_1,0,25608.8,3265,0.0,57.81,1
404,b5_r1_n5_E1_X3c_1_5,0,25592.3,3273,0.0,57.89,1
400,b5_r1_n5_E1_X3c_1_3,0,25556.6,3271,0.0,57.79,1
1996,b5_r3_n6_E2_X3b_1,0,21713.0,4454,0.0,48.24,1
2024,b5_r3_n6_E2_X3c_1_5,0,21704.1,4455,0.0,48.17,1
2020,b5_r3_n6_E2_X3c_1_3,0,21691.8,4455,0.0,48.14,1
1276,b5_r2_n6_E2_X3b_1,0,19058.1,2097,0.0,42.78,1
1304,b5_r2_n6_E2_X3c_1_5,0,19053.9,2098,0.0,42.84,1
1300,b5_r2_n6_E2_X3c_1_3,0,19053.9,2098,0.0,42.84,1
1240,b5_r2_n6_E1_X3c_1_3,0,19010.7,2836,0.0,42.46,1
1244,b5_r2_n6_E1_X3c_1_5,0,19004.6,2836,0.0,42.43,1
1216,b5_r2_n6_E1_X3b_1,0,18947.9,2832,0.0,42.32,1
580,b5_r1_n6_E2_X3c_1_3,0,16181.0,1596,0.0,36.1,1
584,b5_r1_n6_E2_X3c_1_5,0,16169.8,1596,0.0,36.12,1
524,b5_r1_n6_E1_X3c_1_5,0,16163.4,1618,0.0,36.04,1
520,b5_r1_n6_E1_X3c_1_3,0,16158.9,1618,0.0,36.07,1
556,b5_r1_n6_E2_X3b_1,0,16146.9,1594,0.0,36.05,1
496,b5_r1_n6_E1_X3b_1,0,16141.2,1616,0.0,36.08,1
1068,b5_r2_n4_E2_X3c_2_3,0,15291.2,8971,0.0,32.63,1
352,b5_r1_n4_E2_X3c_2_5,0,15145.6,7291,0.0,32.61,1
348,b5_r1_n4_E2_X3c_2_3,0,15126.6,7284,0.0,32.65,1
1072,b5_r2_n4_E2_X3c_2_5,0,15081.0,8966,0.0,32.15,1
292,b5_r1_n4_E1_X3c_2_5,0,14947.1,7596,0.0,32.16,1
288,b5_r1_n4_E1_X3c_2_3,0,14863.5,7584,0.0,31.97,1
2384,b10_r1_n3_E2_X3c_1_5,0,14504.3,2319,0.0,31.92,1
2356,b10_r1_n3_E2_X3b_1,0,14492.6,2304,0.0,31.81,1
1040,b5_r2_n4_E2_X3b_2,0,14383.2,8810,0.0,30.36,1
2380,b10_r1_n3_E2_X3c_1_3,0,14378.6,2314,0.0,31.54,1
320,b5_r1_n4_E2_X3b_2,0,14030.8,7120,0.0,29.84,1
2324,b10_r1_n3_E1_X3c_1_5,0,14016.1,2823,0.0,30.58,1
260,b5_r1_n4_E1_X3b_2,0,13908.4,7394,0.0,29.55,1
1188,b5_r2_n5_E2_X3c_2_3,0,13848.7,4235,0.0,30.07,1
472,b5_r1_n5_E2_X3c_2_5,0,13846.2,3102,0.0,30.26,1
1192,b5_r2_n5_E2_X3c_2_5,0,13826.2,4238,0.0,29.98,1
2320,b10_r1_n3_E1_X3c_1_3,0,13818.1,2819,0.0,30.05,1
2296,b10_r1_n3_E1_X3b_1,0,13815.2,2788,0.0,30.09,1
468,b5_r1_n5_E2_X3c_2_3,0,13784.6,3099,0.0,30.17,1
412,b5_r1_n5_E1_X3c_2_5,0,13772.7,3168,0.0,30.16,1
408,b5_r1_n5_E1_X3c_2_3,0,13690.0,3163,0.0,29.99,1
952,b5_r2_n3_E2_X3c_2_5,0,13681.5,17834,0.0,27.66,1
2084,b5_r3_n8_E1_X3c_1_5,0,13580.7,2629,0.0,29.75,1
380,b5_r1_n5_E1_X3b_2,0,13559.5,3131,0.0,29.46,1
2056,b5_r3_n8_E1_X3b_1,0,13555.7,2627,0.0,29.55,1
1160,b5_r2_n5_E2_X3b_2,0,13536.8,4207,0.0,29.3,1
440,b5_r1_n5_E2_X3b_2,0,13534.6,3068,0.0,29.65,1
2080,b5_r3_n8_E1_X3c_1_3,0,13534.5,2628,0.0,29.64,1
948,b5_r2_n3_E2_X3c_2_3,0,13383.2,17814,0.0,27.02,1
3044,b10_r2_n3_E1_X3c_1_5,0,13076.4,10519,0.0,26.47,1
3040,b10_r2_n3_E1_X3c_1_3,0,12807.9,10502,0.0,25.77,1
4424,b15_r1_n2_E2_X3c_1_5,0,12596.1,2261,0.0,27.19,1
4420,b15_r1_n2_E2_X3c_1_3,0,12473.6,2258,0.0,26.75,1
3016,b10_r2_n3_E1_X3b_1,0,12433.3,10475,0.0,24.84,1
2204,b10_r1_n2_E1_X3c_1_5,0,12153.0,20000,0.0,23.96,1
920,b5_r2_n3_E2_X3b_2,0,11801.0,17057,0.0,23.24,1
2200,b10_r1_n2_E1_X3c_1_3,0,11761.3,20000,0.0,23.37,1
4396,b15_r1_n2_E2_X3b_1,0,11710.0,2199,0.0,24.96,1
2116,b5_r3_n8_E2_X3b_1,0,11697.6,1679,0.0,25.4,1
2144,b5_r3_n8_E2_X3c_1_5,0,11688.7,1680,0.0,25.46,1
2140,b5_r3_n8_E2_X3c_1_3,0,11676.4,1680,0.0,25.43,1
3104,b10_r2_n3_E2_X3c_1_5,0,11504.0,4112,0.0,23.86,1
3100,b10_r2_n3_E2_X3c_1_3,0,11409.2,4107,0.0,23.6,1
3076,b10_r2_n3_E2_X3b_1,0,11316.2,4104,0.0,23.28,1
1308,b5_r2_n6_E2_X3c_2_3,0,10730.6,2065,0.0,23.25,1
1312,b5_r2_n6_E2_X3c_2_5,0,10716.6,2066,0.0,23.16,1
1280,b5_r2_n6_E2_X3b_2,0,10521.5,2063,0.0,22.68,1
1128,b5_r2_n5_E1_X3c_2_3,0,10373.7,6532,0.0,21.47,1
1132,b5_r2_n5_E1_X3c_2_5,0,10273.9,6522,0.0,21.22,1
232,b5_r1_n3_E2_X3c_2_5,0,10180.8,19268,0.0,19.79,1
228,b5_r1_n3_E2_X3c_2_3,0,9991.2,19216,0.0,19.38,1
532,b5_r1_n6_E1_X3c_2_5,0,9971.9,1583,0.0,21.62,1
592,b5_r1_n6_E2_X3c_2_5,0,9948.8,1564,0.0,21.53,1
528,b5_r1_n6_E1_X3c_2_3,0,9906.3,1582,0.0,21.43,1
