ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
49,b5_r1_n3_E2_X3b_1,29200.0,9162,0.0,65.43,1,6555.9,2763,15.37,1
56,b5_r1_n3_E2_X3c_1_5,29337.7,9199,0.0,66.01,1,6527.5,2782,15.3,1
55,b5_r1_n3_E2_X3c_1_3,29282.9,9191,0.0,65.64,1,6516.9,2780,15.28,1
79,b5_r1_n4_E2_X3b_1,20996.5,4290,0.0,46.89,1,4754.0,1263,11.15,1
86,b5_r1_n4_E2_X3c_1_5,20974.4,4298,0.0,46.93,1,4718.5,1266,11.06,1
85,b5_r1_n4_E2_X3c_1_3,20971.8,4298,0.0,46.9,1,4703.0,1267,11.03,1
109,b5_r1_n5_E2_X3b_1,14344.7,2078,0.0,31.66,1,3260.1,609,7.64,1
116,b5_r1_n5_E2_X3c_1_5,14341.1,2079,0.0,31.71,1,3241.5,609,7.6,1
115,b5_r1_n5_E2_X3c_1_3,14344.4,2080,0.0,31.74,1,3204.7,609,7.51,1
70,b5_r1_n4_E1_X3c_1_3,17901.7,6678,0.0,39.42,1,3027.6,2336,7.1,1
64,b5_r1_n4_E1_X3b_1,17768.4,6660,0.0,38.96,1,3027.8,2330,7.1,1
71,b5_r1_n4_E1_X3c_1_5,17895.9,6678,0.0,39.4,1,2993.4,2337,7.02,1
296,b5_r2_n5_E2_X3c_1_5,13537.5,4442,0.0,29.11,1,2682.9,1600,6.29,1
289,b5_r2_n5_E2_X3b_1,13506.7,4440,0.0,29.06,1,2669.5,1599,6.26,1
295,b5_r2_n5_E2_X3c_1_3,13530.2,4442,0.0,29.1,1,2669.5,1599,6.26,1
94,b5_r1_n5_E1_X3b_1,13249.4,2814,0.0,28.97,1,2578.8,963,6.05,1
101,b5_r1_n5_E1_X3c_1_5,13296.1,2818,0.0,29.03,1,2537.7,963,5.95,1
100,b5_r1_n5_E1_X3c_1_3,13290.6,2819,0.0,29.0,1,2524.3,963,5.92,1
280,b5_r2_n5_E1_X3c_1_3,13062.6,7559,0.0,27.75,1,2412.5,2780,5.66,1
274,b5_r2_n5_E1_X3b_1,12999.7,7554,0.0,27.64,1,2412.5,2780,5.66,1
281,b5_r2_n5_E1_X3c_1_5,13098.8,7560,0.0,27.81,1,2407.6,2780,5.64,1
326,b5_r2_n6_E2_X3c_1_5,10920.6,2703,0.0,23.33,1,2354.1,1012,5.52,1
319,b5_r2_n6_E2_X3b_1,10893.1,2701,0.0,23.42,1,2354.1,1012,5.52,1
325,b5_r2_n6_E2_X3c_1_3,10913.3,2703,0.0,23.31,1,2354.1,1012,5.52,1
139,b5_r1_n6_E2_X3b_1,9499.4,1042,0.0,20.71,1,2327.4,296,5.46,1
146,b5_r1_n6_E2_X3c_1_5,9485.3,1043,0.0,20.58,1,2305.1,296,5.4,1
304,b5_r2_n6_E1_X3b_1,10252.4,4472,0.0,21.66,1,2279.0,1704,5.34,1
