ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
536,b2_r3_n8_E2_X3c_1_5,87126.7,14336,0.0,140.8,23251.7,4356,54.52,1
535,b2_r3_n8_E2_X3c_1_3,87132.7,14336,0.0,140.81,23237.1,4355,54.48,1
529,b2_r3_n8_E2_X3b_1,87124.7,14333,0.0,140.77,23223.8,4353,54.45,1
356,b2_r2_n8_E2_X3c_1_5,80754.3,12424,0.0,130.27,20511.5,3424,48.09,1
355,b2_r2_n8_E2_X3c_1_3,80761.5,12424,0.0,130.29,20496.9,3423,48.06,1
349,b2_r2_n8_E2_X3b_1,80754.7,12422,0.0,130.37,20496.7,3423,48.06,1
341,b2_r2_n8_E1_X3c_1_5,80438.8,12556,0.0,129.73,20356.4,3476,47.73,1
334,b2_r2_n8_E1_X3b_1,80439.2,12554,0.0,129.79,20338.8,3475,47.69,1
340,b2_r2_n8_E1_X3c_1_3,80446.0,12556,0.0,129.75,20339.0,3475,47.69,1
154,b2_r1_n8_E1_X3b_1,79765.9,12377,0.0,128.71,20198.0,3411,47.36,1
161,b2_r1_n8_E1_X3c_1_5,79765.8,12379,0.0,128.71,20200.6,3413,47.36,1
176,b2_r1_n8_E2_X3c_1_5,79789.9,12375,0.0,128.75,20184.3,3407,47.32,1
175,b2_r1_n8_E2_X3c_1_3,79799.3,12375,0.0,128.76,20169.5,3406,47.29,1
160,b2_r1_n8_E1_X3c_1_3,79775.8,12379,0.0,128.73,20171.0,3412,47.29,1
169,b2_r1_n8_E2_X3b_1,79790.0,12373,0.0,128.76,20166.7,3406,47.28,1
1046,b3_r3_n6_E2_X3c_1_5,68978.5,13061,0.0,110.87,18275.1,4374,42.85,1
1039,b3_r3_n6_E2_X3b_1,68961.4,13052,0.0,110.78,18241.3,4368,42.77,1
1045,b3_r3_n6_E2_X3c_1_3,68937.5,13059,0.0,110.78,18238.9,4372,42.76,1
521,b2_r3_n8_E1_X3c_1_5,86639.0,16039,0.0,139.73,17968.7,3961,42.13,1
520,b2_r3_n8_E1_X3c_1_3,86647.5,16039,0.0,139.74,17959.4,3961,42.11,1
514,b2_r3_n8_E1_X3b_1,86654.6,16037,0.0,139.85,17956.0,3963,42.1,1
