ci,name,is_pnl,is_ntrd,c0,c1,c2
1016,b3_r3_n5_E2_X3c_1_5,89924.9,20000,22431.9,58042.8,9450.2
1015,b3_r3_n5_E2_X3c_1_3,89865.9,20000,22401.7,58003.5,9460.7
1009,b3_r3_n5_E2_X3b_1,89812.4,20000,22407.8,57929.4,9475.2
836,b3_r2_n5_E2_X3c_1_5,89713.8,18155,21327.0,54989.9,13396.9
829,b3_r2_n5_E2_X3b_1,89712.3,18134,21327.2,54988.3,13396.8
835,b3_r2_n5_E2_X3c_1_3,89647.7,18152,21306.2,54974.7,13366.8
535,b2_r3_n8_E2_X3c_1_3,87132.7,14336,20298.4,53311.7,13522.6
536,b2_r3_n8_E2_X3c_1_5,87126.7,14336,20297.5,53306.6,13522.6
529,b2_r3_n8_E2_X3b_1,87124.7,14333,20325.2,53277.9,13521.6
514,b2_r3_n8_E1_X3b_1,86654.6,16037,20269.1,52756.7,13628.8
520,b2_r3_n8_E1_X3c_1_3,86647.5,16039,20224.7,52793.0,13629.8
521,b2_r3_n8_E1_X3c_1_5,86639.0,16039,20223.8,52785.4,13629.8
656,b3_r1_n5_E2_X3c_1_5,83160.3,17163,19158.7,52094.7,11906.9
649,b3_r1_n5_E2_X3b_1,83103.3,17142,19134.8,52069.7,11898.8
655,b3_r1_n5_E2_X3c_1_3,83079.6,17160,19131.1,52073.1,11875.4
641,b3_r1_n5_E1_X3c_1_5,82763.6,17289,18997.7,51943.8,11822.1
634,b3_r1_n5_E1_X3b_1,82666.5,17262,18950.6,51905.1,11810.8
640,b3_r1_n5_E1_X3c_1_3,82658.5,17286,18969.1,51894.7,11794.7
814,b3_r2_n5_E1_X3b_1,82475.0,20000,20462.7,53153.9,8858.4
821,b3_r2_n5_E1_X3c_1_5,82380.1,20000,20501.1,53196.7,8682.3
820,b3_r2_n5_E1_X3c_1_3,82297.6,20000,20450.4,53165.1,8682.1
355,b2_r2_n8_E2_X3c_1_3,80761.5,12424,17838.2,51104.1,11819.2
349,b2_r2_n8_E2_X3b_1,80754.7,12422,17858.8,51078.6,11817.3
356,b2_r2_n8_E2_X3c_1_5,80754.3,12424,17837.0,51099.0,11818.3
340,b2_r2_n8_E1_X3c_1_3,80446.0,12556,17727.9,50927.9,11790.2
334,b2_r2_n8_E1_X3b_1,80439.2,12554,17748.5,50902.4,11788.3
341,b2_r2_n8_E1_X3c_1_5,80438.8,12556,17726.7,50922.8,11789.3
175,b2_r1_n8_E2_X3c_1_3,79799.3,12375,17474.9,50687.6,11636.8
