ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
1015,b3_r3_n5_E2_X3c_1_3,89865.9,20000,0.0,1792.1,145.04,1
1016,b3_r3_n5_E2_X3c_1_5,89924.9,20000,0.0,1870.5,144.99,1
829,b3_r2_n5_E2_X3b_1,89712.3,18134,0.0,1708.7,144.83,1
1009,b3_r3_n5_E2_X3b_1,89812.4,20000,0.0,1716.5,144.82,1
836,b3_r2_n5_E2_X3c_1_5,89713.8,18155,0.0,1696.9,144.78,1
835,b3_r2_n5_E2_X3c_1_3,89647.7,18152,0.0,1728.8,144.63,1
535,b2_r3_n8_E2_X3c_1_3,87132.7,14336,0.0,1658.3,140.81,1
536,b2_r3_n8_E2_X3c_1_5,87126.7,14336,0.0,1654.9,140.8,1
529,b2_r3_n8_E2_X3b_1,87124.7,14333,0.0,1774.7,140.77,1
514,b2_r3_n8_E1_X3b_1,86654.6,16037,0.0,1794.2,139.85,1
520,b2_r3_n8_E1_X3c_1_3,86647.5,16039,0.0,1724.9,139.74,1
521,b2_r3_n8_E1_X3c_1_5,86639.0,16039,0.0,1728.2,139.73,1
656,b3_r1_n5_E2_X3c_1_5,83160.3,17163,0.0,1577.7,134.02,1
655,b3_r1_n5_E2_X3c_1_3,83079.6,17160,0.0,1663.0,134.02,1
649,b3_r1_n5_E2_X3b_1,83103.3,17142,0.0,1734.6,134.01,1
641,b3_r1_n5_E1_X3c_1_5,82763.6,17289,0.0,1699.1,133.5,1
640,b3_r1_n5_E1_X3c_1_3,82658.5,17286,0.0,1684.3,133.29,1
634,b3_r1_n5_E1_X3b_1,82666.5,17262,0.0,1662.6,133.23,1
814,b3_r2_n5_E1_X3b_1,82475.0,20000,0.0,1695.9,132.89,1
821,b3_r2_n5_E1_X3c_1_5,82380.1,20000,0.0,1656.3,132.7,1
820,b3_r2_n5_E1_X3c_1_3,82297.6,20000,0.0,1533.0,132.58,1
349,b2_r2_n8_E2_X3b_1,80754.7,12422,0.0,1794.1,130.37,1
355,b2_r2_n8_E2_X3c_1_3,80761.5,12424,0.0,1718.2,130.29,1
356,b2_r2_n8_E2_X3c_1_5,80754.3,12424,0.0,1714.7,130.27,1
334,b2_r2_n8_E1_X3b_1,80439.2,12554,0.0,1747.9,129.79,1
340,b2_r2_n8_E1_X3c_1_3,80446.0,12556,0.0,1723.1,129.75,1
341,b2_r2_n8_E1_X3c_1_5,80438.8,12556,0.0,1723.5,129.73,1
175,b2_r1_n8_E2_X3c_1_3,79799.3,12375,0.0,1733.3,128.76,1
169,b2_r1_n8_E2_X3b_1,79790.0,12373,0.0,1737.5,128.76,1
176,b2_r1_n8_E2_X3c_1_5,79789.9,12375,0.0,1729.2,128.75,1
160,b2_r1_n8_E1_X3c_1_3,79775.8,12379,0.0,1655.4,128.73,1
154,b2_r1_n8_E1_X3b_1,79765.9,12377,0.0,1693.0,128.71,1
161,b2_r1_n8_E1_X3c_1_5,79765.8,12379,0.0,1658.2,128.71,1
1346,b4_r2_n4_E2_X3c_1_5,74374.5,16257,0.0,1635.0,119.69,1
1345,b4_r2_n4_E2_X3c_1_3,74250.3,16233,0.0,1561.3,119.48,1
1339,b4_r2_n4_E2_X3b_1,74222.8,16211,0.0,1568.5,119.43,1
1024,b3_r3_n6_E1_X3b_1,73320.8,19105,0.0,1634.2,118.0,1
1031,b3_r3_n6_E1_X3c_1_5,73294.8,19116,0.0,1656.8,117.82,1
1030,b3_r3_n6_E1_X3c_1_3,73264.8,19113,0.0,1739.2,117.79,1
1046,b3_r3_n6_E2_X3c_1_5,68978.5,13061,0.0,1673.8,110.87,1
1039,b3_r3_n6_E2_X3b_1,68961.4,13052,0.0,1553.0,110.78,1
1045,b3_r3_n6_E2_X3c_1_3,68937.5,13059,0.0,1712.7,110.78,1
1856,b5_r2_n3_E2_X3c_1_5,67370.2,18872,0.0,1694.0,107.76,1
1855,b5_r2_n3_E2_X3c_1_3,67167.1,18833,0.0,1838.5,107.37,1
1166,b4_r1_n4_E2_X3c_1_5,66640.4,15169,0.0,1577.3,107.05,1
1849,b5_r2_n3_E2_X3b_1,66825.2,18777,0.0,1943.2,106.92,1
1165,b4_r1_n4_E2_X3c_1_3,66505.5,15153,0.0,1471.0,106.83,1
1159,b4_r1_n4_E2_X3b_1,66428.2,15106,0.0,1597.1,106.67,1
1676,b5_r1_n3_E2_X3c_1_5,65474.0,20000,0.0,1681.9,104.82,1
1151,b4_r1_n4_E1_X3c_1_5,65274.6,15628,0.0,1586.4,104.73,1
1669,b5_r1_n3_E2_X3b_1,65448.4,20000,0.0,1709.1,104.7,1
1150,b4_r1_n4_E1_X3c_1_3,65158.6,15611,0.0,1569.3,104.61,1
1675,b5_r1_n3_E2_X3c_1_3,65222.6,20000,0.0,1595.8,104.43,1
1144,b4_r1_n4_E1_X3b_1,64969.5,15552,0.0,1477.7,104.21,1
1526,b4_r3_n4_E2_X3c_1_5,62386.1,18532,0.0,1743.1,99.69,1
1525,b4_r3_n4_E2_X3c_1_3,62236.7,18519,0.0,1735.7,99.29,1
1519,b4_r3_n4_E2_X3b_1,62246.2,18507,0.0,1807.1,99.27,1
859,b3_r2_n6_E2_X3b_1,60760.3,9657,0.0,1455.4,97.78,1
866,b3_r2_n6_E2_X3c_1_5,60716.5,9659,0.0,1525.3,97.66,1
865,b3_r2_n6_E2_X3c_1_3,60728.8,9660,0.0,1505.1,97.63,1
530,b2_r3_n8_E2_X3b_2,60624.2,14190,0.0,1477.4,97.34,1
537,b2_r3_n8_E2_X3c_2_3,60587.1,14209,0.0,1411.8,97.32,1
538,b2_r3_n8_E2_X3c_2_5,60621.9,14220,0.0,1438.2,97.26,1
1331,b4_r2_n4_E1_X3c_1_5,60333.5,20000,0.0,1518.3,96.65,1
1330,b4_r2_n4_E1_X3c_1_3,60132.9,20000,0.0,1557.4,96.26,1
1324,b4_r2_n4_E1_X3b_1,60093.4,20000,0.0,1513.0,96.1,1
844,b3_r2_n6_E1_X3b_1,59801.0,10575,0.0,1589.9,96.07,1
851,b3_r2_n6_E1_X3c_1_5,59771.1,10578,0.0,1452.5,95.98,1
850,b3_r2_n6_E1_X3c_1_3,59761.7,10578,0.0,1435.8,95.98,1
1534,b4_r3_n5_E1_X3b_1,59334.6,18979,0.0,1695.9,94.83,1
1541,b4_r3_n5_E1_X3c_1_5,59341.8,18996,0.0,1705.4,94.76,1
1540,b4_r3_n5_E1_X3c_1_3,59270.9,18989,0.0,1670.2,94.69,1
515,b2_r3_n8_E1_X3b_2,57860.5,15863,0.0,1611.9,92.71,1
523,b2_r3_n8_E1_X3c_2_5,57833.2,15897,0.0,1512.8,92.69,1
522,b2_r3_n8_E1_X3c_2_3,57788.9,15888,0.0,1568.8,92.54,1
350,b2_r2_n8_E2_X3b_2,57702.9,12300,0.0,1453.1,92.46,1
358,b2_r2_n8_E2_X3c_2_5,57683.9,12332,0.0,1624.2,92.46,1
357,b2_r2_n8_E2_X3c_2_3,57620.5,12320,0.0,1495.8,92.42,1
335,b2_r2_n8_E1_X3b_2,57323.7,12422,0.0,1603.2,91.94,1
679,b3_r1_n6_E2_X3b_1,57218.7,9107,0.0,1533.3,91.93,1
685,b3_r1_n6_E2_X3c_1_3,57186.5,9109,0.0,1533.4,91.92,1
686,b3_r1_n6_E2_X3c_1_5,57194.7,9109,0.0,1532.0,91.92,1
343,b2_r2_n8_E1_X3c_2_5,57283.3,12454,0.0,1471.0,91.87,1
342,b2_r2_n8_E1_X3c_2_3,57247.6,12443,0.0,1492.8,91.76,1
664,b3_r1_n6_E1_X3b_1,57114.2,9146,0.0,1592.1,91.73,1
671,b3_r1_n6_E1_X3c_1_5,57086.6,9148,0.0,1438.7,91.69,1
670,b3_r1_n6_E1_X3c_1_3,57064.3,9148,0.0,1432.9,91.66,1
170,b2_r1_n8_E2_X3b_2,56942.7,12242,0.0,1488.5,91.34,1
178,b2_r1_n8_E2_X3c_2_5,56921.4,12274,0.0,1444.0,91.33,1
177,b2_r1_n8_E2_X3c_2_3,56889.3,12263,0.0,1523.6,91.26,1
163,b2_r1_n8_E1_X3c_2_5,56891.6,12278,0.0,1478.6,91.24,1
155,b2_r1_n8_E1_X3b_2,56910.6,12246,0.0,1615.6,91.18,1
162,b2_r1_n8_E1_X3c_2_3,56863.9,12267,0.0,1442.6,91.14,1
1661,b5_r1_n3_E1_X3c_1_5,55154.3,20000,0.0,1606.2,87.86,1
1660,b5_r1_n3_E1_X3c_1_3,54826.0,20000,0.0,1715.7,87.56,1
1654,b5_r1_n3_E1_X3b_1,54711.8,20000,0.0,1677.3,87.08,1
1556,b4_r3_n5_E2_X3c_1_5,48388.9,11198,0.0,1526.7,76.99,1
1549,b4_r3_n5_E2_X3b_1,48366.4,11187,0.0,1577.9,76.97,1
1555,b4_r3_n5_E2_X3c_1_3,48319.0,11192,0.0,1629.3,76.97,1
1369,b4_r2_n5_E2_X3b_1,47767.2,7835,0.0,1404.1,76.52,1
1376,b4_r2_n5_E2_X3c_1_5,47705.4,7840,0.0,1346.3,76.37,1
1375,b4_r2_n5_E2_X3c_1_3,47683.5,7836,0.0,1470.7,76.25,1
1361,b4_r2_n5_E1_X3c_1_5,46763.0,10687,0.0,1463.5,74.69,1
1354,b4_r2_n5_E1_X3b_1,46742.3,10673,0.0,1447.2,74.63,1
1360,b4_r2_n5_E1_X3c_1_3,46668.0,10683,0.0,1473.8,74.57,1
1885,b5_r2_n4_E2_X3c_1_3,45342.3,8934,0.0,1394.4,72.32,1
1879,b5_r2_n4_E2_X3b_1,45330.9,8918,0.0,1482.2,72.28,1
1886,b5_r2_n4_E2_X3c_1_5,45343.7,8935,0.0,1480.5,72.2,1
2051,b5_r3_n4_E1_X3c_1_5,45560.9,19888,0.0,1679.3,72.11,1
1871,b5_r2_n4_E1_X3c_1_5,45341.2,16442,0.0,1595.6,71.91,1
1870,b5_r2_n4_E1_X3c_1_3,45273.9,16432,0.0,1517.7,71.86,1
2050,b5_r3_n4_E1_X3c_1_3,45421.9,19881,0.0,1666.0,71.78,1
2044,b5_r3_n4_E1_X3b_1,45419.0,19864,0.0,1776.7,71.66,1
1864,b5_r2_n4_E1_X3b_1,44980.7,16378,0.0,1560.0,71.34,1
838,b3_r2_n5_E2_X3c_2_5,44446.4,17677,0.0,1528.6,70.53,1
837,b3_r2_n5_E2_X3c_2_3,44193.8,17646,0.0,1610.5,70.16,1
830,b3_r2_n5_E2_X3b_2,44025.0,17481,0.0,1449.3,69.86,1
1018,b3_r3_n5_E2_X3c_2_5,43997.7,20000,0.0,1667.1,69.56,1
1017,b3_r3_n5_E2_X3c_2_3,43841.9,20000,0.0,1644.0,69.38,1
1010,b3_r3_n5_E2_X3b_2,43408.0,20000,0.0,1611.1,68.54,1
1189,b4_r1_n5_E2_X3b_1,42781.8,6750,0.0,1394.1,68.37,1
1195,b4_r1_n5_E2_X3c_1_3,42685.7,6759,0.0,1334.1,68.28,1
1196,b4_r1_n5_E2_X3c_1_5,42693.9,6758,0.0,1313.7,68.23,1
1564,b4_r3_n6_E1_X3b_1,42709.1,11228,0.0,1476.3,68.1,1
1571,b4_r3_n6_E1_X3c_1_5,42734.4,11236,0.0,1485.3,68.01,1
1570,b4_r3_n6_E1_X3c_1_3,42706.9,11232,0.0,1436.9,67.97,1
1174,b4_r1_n5_E1_X3b_1,42369.8,6842,0.0,1371.6,67.65,1
1181,b4_r1_n5_E1_X3c_1_5,42312.0,6852,0.0,1326.6,67.62,1
1180,b4_r1_n5_E1_X3c_1_3,42289.1,6853,0.0,1383.2,67.6,1
658,b3_r1_n5_E2_X3c_2_5,41965.8,16633,0.0,1433.0,66.47,1
657,b3_r1_n5_E2_X3c_2_3,41793.5,16596,0.0,1503.9,66.28,1
643,b3_r1_n5_E1_X3c_2_5,41685.6,16744,0.0,1433.3,66.08,1
642,b3_r1_n5_E1_X3c_2_3,41455.6,16707,0.0,1540.0,65.65,1
650,b3_r1_n5_E2_X3b_2,41466.2,16419,0.0,1428.3,65.6,1
635,b3_r1_n5_E1_X3b_2,41139.7,16520,0.0,1581.4,65.16,1
1706,b5_r1_n4_E2_X3c_1_5,39656.8,7314,0.0,1329.4,63.15,1
1699,b5_r1_n4_E2_X3b_1,39596.4,7291,0.0,1338.1,63.11,1
1705,b5_r1_n4_E2_X3c_1_3,39557.1,7309,0.0,1375.9,62.97,1
1691,b5_r1_n4_E1_X3c_1_5,39054.9,7660,0.0,1349.6,62.12,1
1690,b5_r1_n4_E1_X3c_1_3,38945.2,7652,0.0,1323.7,62.01,1
1684,b5_r1_n4_E1_X3b_1,38901.7,7626,0.0,1325.5,61.93,1
1048,b3_r3_n6_E2_X3c_2_5,38042.8,12843,0.0,1509.0,60.15,1
1047,b3_r3_n6_E2_X3c_2_3,37973.0,12829,0.0,1407.2,60.0,1
359,b2_r2_n8_E2_X3c_3_5,37739.5,12076,0.0,1476.4,59.99,1
1040,b3_r3_n6_E2_X3b_2,37863.1,12781,0.0,1445.0,59.87,1
539,b2_r3_n8_E2_X3c_3_5,37778.4,13952,0.0,1463.9,59.81,1
531,b2_r3_n8_E2_X3b_3,37739.9,13849,0.0,1531.6,59.65,1
351,b2_r2_n8_E2_X3b_3,37683.0,11977,0.0,1434.9,59.43,1
344,b2_r2_n8_E1_X3c_3_5,37534.1,12190,0.0,1413.0,59.41,1
179,b2_r1_n8_E2_X3c_3_5,37442.4,12012,0.0,1394.4,59.39,1
336,b2_r2_n8_E1_X3b_3,37483.2,12088,0.0,1400.1,59.36,1
164,b2_r1_n8_E1_X3c_3_5,37411.4,12016,0.0,1340.7,59.27,1
822,b3_r2_n5_E1_X3c_2_3,37581.5,20000,0.0,1560.3,59.16,1
171,b2_r1_n8_E2_X3b_3,37332.0,11910,0.0,1337.3,59.12,1
823,b3_r2_n5_E1_X3c_2_5,37584.3,20000,0.0,1561.4,59.11,1
156,b2_r1_n8_E1_X3b_3,37292.9,11914,0.0,1380.7,59.04,1
