ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
26,b5_r1_n2_E2_X3c_1_5,37207.3,19205,630.8,795,7079.6,26337.5,3790.2
25,b5_r1_n2_E2_X3c_1_3,36954.5,19127,604.3,873,6975.5,26242.8,3736.2
19,b5_r1_n2_E2_X3b_1,36495.6,19002,927.5,998,6923.0,25992.3,3580.3
56,b5_r1_n3_E2_X3c_1_5,29337.7,9199,6527.5,2782,5583.9,19806.7,3947.1
55,b5_r1_n3_E2_X3c_1_3,29282.9,9191,6516.9,2780,5563.3,19795.4,3924.2
49,b5_r1_n3_E2_X3b_1,29200.0,9162,6555.9,2763,5584.5,19769.5,3846.0
79,b5_r1_n4_E2_X3b_1,20996.5,4290,4754.0,1263,3971.8,14079.8,2944.9
86,b5_r1_n4_E2_X3c_1_5,20974.4,4298,4718.5,1266,3971.8,14052.6,2950.0
85,b5_r1_n4_E2_X3c_1_3,20971.8,4298,4703.0,1267,3971.8,14050.0,2950.0
41,b5_r1_n3_E1_X3c_1_5,18947.2,16499,1099.6,3501,2258.5,15108.0,1580.7
40,b5_r1_n3_E1_X3c_1_3,18866.7,16475,1050.6,3525,2188.1,15157.3,1521.3
34,b5_r1_n3_E1_X3b_1,18561.5,16380,1039.4,3620,2165.3,14975.6,1420.6
70,b5_r1_n4_E1_X3c_1_3,17901.7,6678,3027.6,2336,3112.5,12750.0,2039.2
71,b5_r1_n4_E1_X3c_1_5,17895.9,6678,2993.4,2337,3105.8,12724.9,2065.2
64,b5_r1_n4_E1_X3b_1,17768.4,6660,3027.8,2330,3097.7,12657.5,2013.2
265,b5_r2_n4_E2_X3c_1_3,15285.0,7139,1877.0,2586,1323.7,12301.7,1659.6
266,b5_r2_n4_E2_X3c_1_5,15278.0,7140,1887.6,2588,1315.1,12288.4,1674.5
259,b5_r2_n4_E2_X3b_1,15231.3,7134,1875.2,2584,1324.1,12281.7,1625.5
109,b5_r1_n5_E2_X3b_1,14344.7,2078,3260.1,609,2472.0,9311.4,2561.3
115,b5_r1_n5_E2_X3c_1_3,14344.4,2080,3204.7,609,2472.0,9306.0,2566.4
116,b5_r1_n5_E2_X3c_1_5,14341.1,2079,3241.5,609,2472.0,9302.7,2566.4
251,b5_r2_n4_E1_X3c_1_5,14055.7,12368,1110.4,4471,1583.7,11715.3,756.7
250,b5_r2_n4_E1_X3c_1_3,13999.7,12368,1088.8,4469,1583.7,11703.1,712.9
244,b5_r2_n4_E1_X3b_1,13877.0,12353,1070.8,4466,1549.4,11695.3,632.3
296,b5_r2_n5_E2_X3c_1_5,13537.5,4442,2682.9,1600,1711.8,9704.3,2121.4
295,b5_r2_n5_E2_X3c_1_3,13530.2,4442,2669.5,1599,1711.8,9704.3,2114.1
289,b5_r2_n5_E2_X3b_1,13506.7,4440,2669.5,1599,1711.8,9714.9,2080.0
101,b5_r1_n5_E1_X3c_1_5,13296.1,2818,2537.7,963,2152.8,8840.0,2303.3
100,b5_r1_n5_E1_X3c_1_3,13290.6,2819,2524.3,963,2149.3,8868.7,2272.6
94,b5_r1_n5_E1_X3b_1,13249.4,2814,2578.8,963,2145.3,8851.8,2252.3
281,b5_r2_n5_E1_X3c_1_5,13098.8,7560,2407.6,2780,1907.5,9642.5,1548.8
280,b5_r2_n5_E1_X3c_1_3,13062.6,7559,2412.5,2780,1907.5,9642.5,1512.6
274,b5_r2_n5_E1_X3b_1,12999.7,7554,2412.5,2780,1903.7,9664.0,1432.0
326,b5_r2_n6_E2_X3c_1_5,10920.6,2703,2354.1,1012,1751.9,7322.7,1846.0
325,b5_r2_n6_E2_X3c_1_3,10913.3,2703,2354.1,1012,1751.9,7322.7,1838.7
319,b5_r2_n6_E2_X3b_1,10893.1,2701,2354.1,1012,1751.9,7336.6,1804.6
461,b5_r3_n5_E1_X3c_1_5,10836.9,8239,691.6,2878,379.3,9522.5,935.1
460,b5_r3_n5_E1_X3c_1_3,10828.3,8238,691.6,2878,388.4,9504.8,935.1
454,b5_r3_n5_E1_X3b_1,10733.0,8235,691.6,2878,379.3,9460.0,893.7
311,b5_r2_n6_E1_X3c_1_5,10303.5,4475,2274.1,1704,1691.3,7316.9,1295.3
310,b5_r2_n6_E1_X3c_1_3,10267.3,4474,2279.0,1704,1691.3,7316.9,1259.1
304,b5_r2_n6_E1_X3b_1,10252.4,4472,2279.0,1704,1691.3,7336.1,1225.0
490,b5_r3_n6_E1_X3c_1_3,10135.5,6009,1236.2,2116,892.4,8242.8,1000.3
491,b5_r3_n6_E1_X3c_1_5,10135.5,6009,1236.2,2116,892.4,8242.8,1000.3
484,b5_r3_n6_E1_X3b_1,10082.8,6007,1236.2,2116,892.4,8231.5,958.9
139,b5_r1_n6_E2_X3b_1,9499.4,1042,2327.4,296,1581.3,6024.7,1893.4
145,b5_r1_n6_E2_X3c_1_3,9492.6,1044,2268.3,296,1581.3,6012.8,1898.5
146,b5_r1_n6_E2_X3c_1_5,9485.3,1043,2305.1,296,1581.3,6005.5,1898.5
130,b5_r1_n6_E1_X3c_1_3,9016.1,1294,2098.5,405,1448.3,5885.5,1682.3
131,b5_r1_n6_E1_X3c_1_5,9010.2,1293,2135.3,405,1448.3,5852.8,1709.1
124,b5_r1_n6_E1_X3b_1,8997.5,1291,2157.6,405,1448.3,5872.0,1677.2
475,b5_r3_n5_E2_X3c_1_3,8526.5,5586,632.9,1995,183.9,7125.2,1217.4
469,b5_r3_n5_E2_X3b_1,8517.4,5586,593.0,1993,174.8,7125.2,1217.4
476,b5_r3_n5_E2_X3c_1_5,8517.4,5586,632.9,1995,174.8,7125.2,1217.4
499,b5_r3_n6_E2_X3b_1,8130.0,4054,1298.9,1435,569.6,6341.6,1218.8
506,b5_r3_n6_E2_X3c_1_5,8130.0,4054,1298.9,1435,569.6,6341.6,1218.8
505,b5_r3_n6_E2_X3c_1_3,8130.0,4054,1298.9,1435,569.6,6341.6,1218.8
520,b5_r3_n8_E1_X3c_1_3,7353.3,3030,1607.7,1130,972.7,5178.0,1202.6
514,b5_r3_n8_E1_X3b_1,7353.3,3030,1607.7,1130,972.7,5178.0,1202.6
521,b5_r3_n8_E1_X3c_1_5,7353.3,3030,1607.7,1130,972.7,5178.0,1202.6
88,b5_r1_n4_E2_X3c_2_5,6792.0,4185,1174.2,1228,1048.5,5040.2,703.3
117,b5_r1_n5_E2_X3c_2_3,6758.6,2046,1181.7,600,890.0,4650.2,1218.4
87,b5_r1_n4_E2_X3c_2_3,6734.0,4178,1177.2,1232,1035.7,5039.7,658.6
118,b5_r1_n5_E2_X3c_2_5,6688.6,2047,1201.3,599,869.1,4564.9,1254.6
529,b5_r3_n8_E2_X3b_1,6656.2,2069,1661.7,787,982.4,4328.5,1345.3
536,b5_r3_n8_E2_X3c_1_5,6656.2,2069,1661.7,787,982.4,4328.5,1345.3
535,b5_r3_n8_E2_X3c_1_3,6656.2,2069,1661.7,787,982.4,4328.5,1345.3
80,b5_r1_n4_E2_X3b_2,6617.1,4134,1202.3,1212,1001.7,4895.7,719.7
110,b5_r1_n5_E2_X3b_2,6560.9,2039,1245.3,599,849.0,4525.8,1186.1
349,b5_r2_n8_E2_X3b_1,6440.2,1002,1664.5,412,1033.7,3817.5,1589.0
356,b5_r2_n8_E2_X3c_1_5,6426.3,1003,1664.5,412,1033.7,3803.6,1589.0
355,b5_r2_n8_E2_X3c_1_3,6419.0,1003,1664.5,412,1033.7,3803.6,1581.7
