ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
26,b5_r1_n2_E2_X3c_1_5,37207.3,19205,0.0,83.32,1,630.8,795
25,b5_r1_n2_E2_X3c_1_3,36954.5,19127,0.0,82.71,1,604.3,873
19,b5_r1_n2_E2_X3b_1,36495.6,19002,0.0,81.56,1,927.5,998
56,b5_r1_n3_E2_X3c_1_5,29337.7,9199,0.0,66.01,1,6527.5,2782
55,b5_r1_n3_E2_X3c_1_3,29282.9,9191,0.0,65.64,1,6516.9,2780
49,b5_r1_n3_E2_X3b_1,29200.0,9162,0.0,65.43,1,6555.9,2763
79,b5_r1_n4_E2_X3b_1,20996.5,4290,0.0,46.89,1,4754.0,1263
86,b5_r1_n4_E2_X3c_1_5,20974.4,4298,0.0,46.93,1,4718.5,1266
85,b5_r1_n4_E2_X3c_1_3,20971.8,4298,0.0,46.9,1,4703.0,1267
41,b5_r1_n3_E1_X3c_1_5,18947.2,16499,0.0,40.81,1,1099.6,3501
40,b5_r1_n3_E1_X3c_1_3,18866.7,16475,0.0,40.53,1,1050.6,3525
34,b5_r1_n3_E1_X3b_1,18561.5,16380,0.0,39.95,1,1039.4,3620
70,b5_r1_n4_E1_X3c_1_3,17901.7,6678,0.0,39.42,1,3027.6,2336
71,b5_r1_n4_E1_X3c_1_5,17895.9,6678,0.0,39.4,1,2993.4,2337
64,b5_r1_n4_E1_X3b_1,17768.4,6660,0.0,38.96,1,3027.8,2330
265,b5_r2_n4_E2_X3c_1_3,15285.0,7139,0.0,32.86,1,1877.0,2586
266,b5_r2_n4_E2_X3c_1_5,15278.0,7140,0.0,32.71,1,1887.6,2588
259,b5_r2_n4_E2_X3b_1,15231.3,7134,0.0,32.76,1,1875.2,2584
109,b5_r1_n5_E2_X3b_1,14344.7,2078,0.0,31.66,1,3260.1,609
115,b5_r1_n5_E2_X3c_1_3,14344.4,2080,0.0,31.74,1,3204.7,609
116,b5_r1_n5_E2_X3c_1_5,14341.1,2079,0.0,31.71,1,3241.5,609
251,b5_r2_n4_E1_X3c_1_5,14055.7,12368,0.0,29.75,1,1110.4,4471
250,b5_r2_n4_E1_X3c_1_3,13999.7,12368,0.0,29.56,1,1088.8,4469
244,b5_r2_n4_E1_X3b_1,13877.0,12353,0.0,29.22,1,1070.8,4466
296,b5_r2_n5_E2_X3c_1_5,13537.5,4442,0.0,29.11,1,2682.9,1600
295,b5_r2_n5_E2_X3c_1_3,13530.2,4442,0.0,29.1,1,2669.5,1599
289,b5_r2_n5_E2_X3b_1,13506.7,4440,0.0,29.06,1,2669.5,1599
101,b5_r1_n5_E1_X3c_1_5,13296.1,2818,0.0,29.03,1,2537.7,963
100,b5_r1_n5_E1_X3c_1_3,13290.6,2819,0.0,29.0,1,2524.3,963
94,b5_r1_n5_E1_X3b_1,13249.4,2814,0.0,28.97,1,2578.8,963
281,b5_r2_n5_E1_X3c_1_5,13098.8,7560,0.0,27.81,1,2407.6,2780
280,b5_r2_n5_E1_X3c_1_3,13062.6,7559,0.0,27.75,1,2412.5,2780
274,b5_r2_n5_E1_X3b_1,12999.7,7554,0.0,27.64,1,2412.5,2780
326,b5_r2_n6_E2_X3c_1_5,10920.6,2703,0.0,23.33,1,2354.1,1012
325,b5_r2_n6_E2_X3c_1_3,10913.3,2703,0.0,23.31,1,2354.1,1012
319,b5_r2_n6_E2_X3b_1,10893.1,2701,0.0,23.42,1,2354.1,1012
461,b5_r3_n5_E1_X3c_1_5,10836.9,8239,0.0,22.36,1,691.6,2878
460,b5_r3_n5_E1_X3c_1_3,10828.3,8238,0.0,22.28,1,691.6,2878
454,b5_r3_n5_E1_X3b_1,10733.0,8235,0.0,22.13,1,691.6,2878
311,b5_r2_n6_E1_X3c_1_5,10303.5,4475,0.0,21.82,1,2274.1,1704
310,b5_r2_n6_E1_X3c_1_3,10267.3,4474,0.0,21.68,1,2279.0,1704
304,b5_r2_n6_E1_X3b_1,10252.4,4472,0.0,21.66,1,2279.0,1704
490,b5_r3_n6_E1_X3c_1_3,10135.5,6009,0.0,21.02,1,1236.2,2116
491,b5_r3_n6_E1_X3c_1_5,10135.5,6009,0.0,21.02,1,1236.2,2116
484,b5_r3_n6_E1_X3b_1,10082.8,6007,0.0,20.79,1,1236.2,2116
139,b5_r1_n6_E2_X3b_1,9499.4,1042,0.0,20.71,1,2327.4,296
145,b5_r1_n6_E2_X3c_1_3,9492.6,1044,0.0,20.69,1,2268.3,296
146,b5_r1_n6_E2_X3c_1_5,9485.3,1043,0.0,20.58,1,2305.1,296
130,b5_r1_n6_E1_X3c_1_3,9016.1,1294,0.0,19.42,1,2098.5,405
131,b5_r1_n6_E1_X3c_1_5,9010.2,1293,0.0,19.46,1,2135.3,405
124,b5_r1_n6_E1_X3b_1,8997.5,1291,0.0,19.4,1,2157.6,405
475,b5_r3_n5_E2_X3c_1_3,8526.5,5586,0.0,17.04,1,632.9,1995
469,b5_r3_n5_E2_X3b_1,8517.4,5586,0.0,17.02,1,593.0,1993
476,b5_r3_n5_E2_X3c_1_5,8517.4,5586,0.0,17.02,1,632.9,1995
499,b5_r3_n6_E2_X3b_1,8130.0,4054,0.0,16.38,1,1298.9,1435
506,b5_r3_n6_E2_X3c_1_5,8130.0,4054,0.0,16.38,1,1298.9,1435
505,b5_r3_n6_E2_X3c_1_3,8130.0,4054,0.0,16.38,1,1298.9,1435
520,b5_r3_n8_E1_X3c_1_3,7353.3,3030,0.0,15.04,1,1607.7,1130
514,b5_r3_n8_E1_X3b_1,7353.3,3030,0.0,15.04,1,1607.7,1130
521,b5_r3_n8_E1_X3c_1_5,7353.3,3030,0.0,15.04,1,1607.7,1130
88,b5_r1_n4_E2_X3c_2_5,6792.0,4185,0.0,13.47,1,1174.2,1228
117,b5_r1_n5_E2_X3c_2_3,6758.6,2046,0.0,13.9,1,1181.7,600
87,b5_r1_n4_E2_X3c_2_3,6734.0,4178,0.0,13.35,1,1177.2,1232
118,b5_r1_n5_E2_X3c_2_5,6688.6,2047,0.0,13.76,1,1201.3,599
529,b5_r3_n8_E2_X3b_1,6656.2,2069,0.0,13.44,1,1661.7,787
536,b5_r3_n8_E2_X3c_1_5,6656.2,2069,0.0,13.44,1,1661.7,787
535,b5_r3_n8_E2_X3c_1_3,6656.2,2069,0.0,13.44,1,1661.7,787
80,b5_r1_n4_E2_X3b_2,6617.1,4134,0.0,12.94,1,1202.3,1212
110,b5_r1_n5_E2_X3b_2,6560.9,2039,0.0,13.33,1,1245.3,599
349,b5_r2_n8_E2_X3b_1,6440.2,1002,0.0,13.36,1,1664.5,412
356,b5_r2_n8_E2_X3c_1_5,6426.3,1003,0.0,13.52,1,1664.5,412
355,b5_r2_n8_E2_X3c_1_3,6419.0,1003,0.0,13.5,1,1664.5,412
334,b5_r2_n8_E1_X3b_1,6269.0,1509,0.0,12.95,1,1740.9,650
341,b5_r2_n8_E1_X3c_1_5,6255.1,1510,0.0,12.93,1,1736.0,650
340,b5_r2_n8_E1_X3c_1_3,6247.8,1510,0.0,12.92,1,1740.9,650
147,b5_r1_n6_E2_X3c_2_3,5419.8,1038,0.0,11.07,1,1193.1,294
148,b5_r1_n6_E2_X3c_2_5,5397.1,1037,0.0,11.03,1,1269.0,294
140,b5_r1_n6_E2_X3b_2,5338.7,1036,0.0,10.92,1,1264.7,294
169,b5_r1_n8_E2_X3b_1,5305.6,375,0.0,11.26,1,1285.8,117
176,b5_r1_n8_E2_X3c_1_5,5292.1,376,0.0,11.24,1,1285.8,117
175,b5_r1_n8_E2_X3c_1_3,5292.1,376,0.0,11.24,1,1285.8,117
154,b5_r1_n8_E1_X3b_1,5227.0,405,0.0,11.0,1,1293.2,132
160,b5_r1_n8_E1_X3c_1_3,5213.5,406,0.0,10.98,1,1293.2,132
161,b5_r1_n8_E1_X3c_1_5,5213.5,406,0.0,10.98,1,1293.2,132
103,b5_r1_n5_E1_X3c_2_5,5196.6,2747,0.0,10.03,1,265.3,935
102,b5_r1_n5_E1_X3c_2_3,5188.3,2750,0.0,10.03,1,203.9,940
1127,b15_r1_n3_E2_X1_8,5099.8,388,0.001,5.29,1,-403.7,134
298,b5_r2_n5_E2_X3c_2_5,4983.2,4353,0.0,8.59,1,811.7,1575
328,b5_r2_n6_E2_X3c_2_5,4967.4,2667,0.0,9.34,1,1108.9,997
133,b5_r1_n6_E1_X3c_2_5,4945.5,1275,0.0,9.79,1,978.3,399
327,b5_r2_n6_E2_X3c_2_3,4909.6,2661,0.0,9.03,1,1073.7,994
95,b5_r1_n5_E1_X3b_2,4901.6,2727,0.0,9.21,1,131.5,933
297,b5_r2_n5_E2_X3c_2_3,4890.4,4341,0.0,8.47,1,790.9,1570
125,b5_r1_n6_E1_X3b_2,4848.3,1271,0.0,9.64,1,939.3,399
132,b5_r1_n6_E1_X3c_2_3,4847.9,1277,0.0,9.69,1,886.8,400
320,b5_r2_n6_E2_X3b_2,4792.5,2657,0.0,8.84,1,1042.0,992
290,b5_r2_n5_E2_X3b_2,4752.5,4332,0.0,8.11,1,609.7,1565
358,b5_r2_n8_E2_X3c_2_5,3661.6,994,0.0,6.86,1,671.9,409
350,b5_r2_n8_E2_X3b_2,3653.3,992,0.0,6.84,1,671.9,409
178,b5_r1_n8_E2_X3c_2_5,3651.9,374,0.0,7.36,1,755.6,117
357,b5_r2_n8_E2_X3c_2_3,3641.8,993,0.0,6.84,1,671.9,409
170,b5_r1_n8_E2_X3b_2,3641.8,373,0.0,7.39,1,755.6,117
177,b5_r1_n8_E2_X3c_2_3,3629.1,374,0.0,7.3,1,758.8,117
626,b10_r1_n4_E2_X3c_1_5,3597.3,881,0.0,6.61,1,674.8,330
625,b10_r1_n4_E2_X3c_1_3,3597.3,881,0.0,6.61,1,674.8,330
619,b10_r1_n4_E2_X3b_1,3578.2,881,0.0,6.57,1,674.8,330
163,b5_r1_n8_E1_X3c_2_5,3564.9,402,0.0,7.14,1,736.1,132
155,b5_r1_n8_E1_X3b_2,3558.0,401,0.0,7.09,1,729.5,132
162,b5_r1_n8_E1_X3c_2_3,3536.8,402,0.0,7.11,1,735.7,132
1322,b15_r2_n4_E1_X1_8,3278.4,490,0.037,0.5,1,-1144.0,169
141,b5_r1_n6_E2_X3b_3,2978.4,992,0.0,5.09,1,505.2,278
1801,b20_r2_n2_E1_X1_5,2930.6,518,0.043,0.15,1,112.9,168
149,b5_r1_n6_E2_X3c_3_5,2869.1,1011,0.0,5.01,1,488.6,280
343,b5_r2_n8_E1_X3c_2_5,2820.1,1498,0.0,4.68,1,313.2,640
335,b5_r2_n8_E1_X3b_2,2809.1,1495,0.0,4.72,1,313.3,640
342,b5_r2_n8_E1_X3c_2_3,2807.5,1496,0.0,4.73,1,313.3,640
1382,b15_r2_n6_E1_X1_8,2791.8,385,0.047,0.21,1,-226.4,131
171,b5_r1_n8_E2_X3b_3,2791.3,362,0.0,5.21,1,384.0,113
1472,b15_r3_n3_E1_X1_8,2769.1,446,0.061,-0.65,0,-229.5,160
1352,b15_r2_n5_E1_X1_8,2717.4,450,0.074,-0.83,0,142.7,151
656,b10_r1_n5_E2_X3c_1_5,2710.8,414,0.0,5.01,1,632.9,177
655,b10_r1_n5_E2_X3c_1_3,2710.8,414,0.0,5.01,1,632.9,177
