ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
86,b5_r1_n4_E2_X3c_1_5,6980.8,2349,0.0,14.82,1,1138.6,775,2.67,1
85,b5_r1_n4_E2_X3c_1_3,6976.9,2347,0.0,14.82,1,1138.6,775,2.67,1
79,b5_r1_n4_E2_X3b_1,6932.9,2343,0.0,14.69,1,1138.6,775,2.67,1
115,b5_r1_n5_E2_X3c_1_3,5304.3,1131,0.0,11.19,1,876.1,329,2.05,1
109,b5_r1_n5_E2_X3b_1,5289.6,1131,0.0,11.16,1,876.1,329,2.05,1
116,b5_r1_n5_E2_X3c_1_5,5285.2,1132,0.0,11.12,1,876.1,329,2.05,1
2162,b30_r1_n2_E1_X1_8,4054.5,111,0.021,2.74,1,827.7,34,1.94,1
1577,b15_r3_n6_E2_X1_8,2704.7,219,0.023,1.53,1,695.4,74,1.63,1
146,b5_r1_n6_E2_X3c_1_5,3752.0,552,0.0,7.78,1,628.3,159,1.47,1
139,b5_r1_n6_E2_X3b_1,3754.3,552,0.0,7.78,1,628.3,159,1.47,1
145,b5_r1_n6_E2_X3c_1_3,3757.2,552,0.0,7.79,1,628.3,159,1.47,1
130,b5_r1_n6_E1_X3c_1_3,3305.3,793,0.0,6.62,1,394.0,254,0.92,1
124,b5_r1_n6_E1_X3b_1,3285.0,793,0.0,6.58,1,394.0,254,0.92,1
131,b5_r1_n6_E1_X3c_1_5,3276.6,793,0.0,6.57,1,394.0,254,0.92,1
140,b5_r1_n6_E2_X3b_2,1736.0,541,0.0,3.05,1,329.2,153,0.77,1
148,b5_r1_n6_E2_X3c_2_5,1696.4,541,0.0,2.97,1,306.0,153,0.72,1
147,b5_r1_n6_E2_X3c_2_3,1711.2,541,0.0,2.98,1,297.7,154,0.7,1
2432,b30_r2_n5_E1_X1_8,2739.1,80,0.048,0.45,1,275.8,27,0.65,1
176,b5_r1_n8_E2_X3c_1_5,2206.4,193,0.0,4.37,1,261.6,40,0.61,1
169,b5_r1_n8_E2_X3b_1,2206.4,193,0.0,4.37,1,261.6,40,0.61,1
175,b5_r1_n8_E2_X3c_1_3,2206.4,193,0.0,4.37,1,261.6,40,0.61,1
163,b5_r1_n8_E1_X3c_2_5,1368.5,226,0.0,2.39,1,213.6,53,0.5,1
155,b5_r1_n8_E1_X3b_2,1456.8,226,0.0,2.57,1,198.5,53,0.47,1
178,b5_r1_n8_E2_X3c_2_5,1456.0,186,0.0,2.67,1,198.4,40,0.46,1
161,b5_r1_n8_E1_X3c_1_5,2088.1,234,0.0,4.01,1,192.5,53,0.45,1
160,b5_r1_n8_E1_X3c_1_3,2092.3,234,0.0,4.02,1,192.5,53,0.45,1
154,b5_r1_n8_E1_X3b_1,2088.1,234,0.0,4.01,1,192.5,53,0.45,1
170,b5_r1_n8_E2_X3b_2,1496.6,186,0.0,2.76,1,192.0,40,0.45,1
179,b5_r1_n8_E2_X3c_3_5,1035.2,180,0.0,1.65,1,182.4,39,0.43,1
2196,b30_r1_n3_E1_X3b_3,4369.8,201,0.006,2.97,1,181.0,84,0.42,1
177,b5_r1_n8_E2_X3c_2_3,1452.9,186,0.0,2.66,1,174.3,40,0.41,1
162,b5_r1_n8_E1_X3c_2_3,1365.3,226,0.0,2.33,1,170.3,53,0.4,1
171,b5_r1_n8_E2_X3b_3,998.3,180,0.0,1.57,1,141.6,39,0.33,1
164,b5_r1_n8_E1_X3c_3_5,879.3,220,0.001,1.21,1,137.8,52,0.32,1
156,b5_r1_n8_E1_X3b_3,875.7,220,0.002,1.11,1,131.2,51,0.31,1
2211,b30_r1_n3_E2_X3b_3,2634.5,115,0.038,0.87,1,42.7,48,0.1,1
2580,b30_r3_n4_E1_X1_3,2840.7,163,0.004,3.13,1,-40.7,60,-0.1,0
2671,b30_r3_n8_E1_X1_5,1594.2,58,0.048,0.35,1,-46.8,16,-0.11,0
2640,b30_r3_n6_E1_X1_3,2362.1,111,0.002,2.39,1,-76.4,37,-0.18,0
2610,b30_r3_n5_E1_X1_3,2697.7,139,0.001,3.02,1,-89.6,49,-0.21,0
