ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
86,b5_r1_n4_E2_X3c_1_5,6980.8,2349,1138.6,775,177.5,4685.7,2117.6
85,b5_r1_n4_E2_X3c_1_3,6976.9,2347,1138.6,775,149.3,4699.9,2127.7
79,b5_r1_n4_E2_X3b_1,6932.9,2343,1138.6,775,149.3,4672.0,2111.6
115,b5_r1_n5_E2_X3c_1_3,5304.3,1131,876.1,329,376.6,3046.2,1881.5
109,b5_r1_n5_E2_X3b_1,5289.6,1131,876.1,329,376.6,3037.5,1875.5
116,b5_r1_n5_E2_X3c_1_5,5285.2,1132,876.1,329,376.6,3030.8,1877.8
2196,b30_r1_n3_E1_X3b_3,4369.8,201,181.0,84,1274.2,1161.5,1934.1
2162,b30_r1_n2_E1_X1_8,4054.5,111,827.7,34,199.4,1445.5,2409.6
145,b5_r1_n6_E2_X3c_1_3,3757.2,552,628.3,159,389.6,1911.6,1456.0
139,b5_r1_n6_E2_X3b_1,3754.3,552,628.3,159,389.6,1908.7,1456.0
146,b5_r1_n6_E2_X3c_1_5,3752.0,552,628.3,159,389.6,1906.4,1456.0
2581,b30_r3_n4_E1_X1_5,3743.7,115,-937.9,46,223.2,2012.5,1508.0
2611,b30_r3_n5_E1_X1_5,3634.3,111,-1021.1,39,555.6,1864.2,1214.5
2372,b30_r2_n3_E1_X1_8,3535.3,97,-577.2,31,565.2,1622.6,1347.5
2626,b30_r3_n5_E2_X1_5,3381.2,82,-684.5,28,151.8,2123.5,1105.9
130,b5_r1_n6_E1_X3c_1_3,3305.3,793,394.0,254,188.3,1821.5,1295.5
124,b5_r1_n6_E1_X3b_1,3285.0,793,394.0,254,188.3,1805.1,1291.6
131,b5_r1_n6_E1_X3c_1_5,3276.6,793,394.0,254,188.3,1796.7,1291.6
2550,b30_r3_n3_E1_X1_3,3183.8,208,-130.4,78,316.7,2525.7,341.4
2520,b30_r3_n2_E1_X1_3,3122.3,209,-130.4,78,255.2,2525.7,341.4
2192,b30_r1_n3_E1_X1_8,2962.8,114,1688.1,33,560.1,833.8,1568.9
2580,b30_r3_n4_E1_X1_3,2840.7,163,-40.7,60,265.0,1743.3,832.4
2656,b30_r3_n6_E2_X1_5,2813.7,70,-460.5,23,97.6,2399.0,317.1
2432,b30_r2_n5_E1_X1_8,2739.1,80,275.8,27,90.4,2117.9,530.8
2551,b30_r3_n3_E1_X1_5,2709.0,134,-1202.9,54,1038.8,964.7,705.5
1577,b15_r3_n6_E2_X1_8,2704.7,219,695.4,74,131.8,2145.1,427.8
2610,b30_r3_n5_E1_X1_3,2697.7,139,-89.6,49,275.3,1596.1,826.3
2641,b30_r3_n6_E1_X1_5,2656.9,93,-370.3,32,536.4,1752.2,368.3
2211,b30_r1_n3_E2_X3b_3,2634.5,115,42.7,48,1340.2,654.3,640.0
2553,b30_r3_n3_E1_X2,2633.1,254,-1714.4,98,433.8,755.5,1443.8
1298,b15_r2_n3_E1_X7_5,2616.6,449,-1184.7,202,876.4,727.0,1013.2
2521,b30_r3_n2_E1_X1_5,2616.3,135,-1202.9,54,946.1,964.7,705.5
2564,b30_r3_n3_E1_X3c_3_5,2602.9,254,-1421.2,98,446.5,1156.5,999.9
2549,b30_r3_n2_E2_X3c_3_5,2585.0,188,-1501.2,71,406.3,1056.5,1122.2
2579,b30_r3_n3_E2_X3c_3_5,2585.0,188,-1501.2,71,406.3,1056.5,1122.2
2556,b30_r3_n3_E1_X3b_3,2571.1,254,-1421.2,98,446.5,1156.5,968.1
2541,b30_r3_n2_E2_X3b_3,2553.2,188,-1501.2,71,406.3,1056.5,1090.4
2571,b30_r3_n3_E2_X3b_3,2553.2,188,-1501.2,71,406.3,1056.5,1090.4
2534,b30_r3_n2_E1_X3c_3_5,2511.9,255,-1421.2,98,355.5,1156.5,999.9
1388,b15_r2_n6_E1_X7_5,2511.6,265,-1230.6,105,1049.9,182.7,1279.0
2523,b30_r3_n2_E1_X2,2509.5,255,-1714.4,98,310.2,755.5,1443.8
2526,b30_r3_n2_E1_X3b_3,2480.1,255,-1421.2,98,355.5,1156.5,968.1
2057,b20_r3_n4_E2_X1_8,2444.2,150,-68.2,58,350.5,1033.8,1059.9
1296,b15_r2_n3_E1_X3b_3,2437.8,710,-283.5,281,126.3,545.3,1766.2
2204,b30_r1_n3_E1_X3c_3_5,2431.9,248,-610.4,99,424.2,436.9,1570.8
2568,b30_r3_n3_E2_X2,2396.1,188,-1713.5,71,395.2,599.8,1401.1
2538,b30_r3_n2_E2_X2,2396.1,188,-1713.5,71,395.2,599.8,1401.1
2640,b30_r3_n6_E1_X1_3,2362.1,111,-76.4,37,260.3,1660.2,441.6
2612,b30_r3_n5_E1_X1_8,2317.8,69,-813.2,24,212.1,1443.1,662.6
2198,b30_r1_n3_E1_X7_5,2281.2,238,-435.2,94,509.7,315.6,1455.9
2042,b20_r3_n4_E1_X1_8,2264.8,187,-261.9,72,720.9,1157.0,386.9
1907,b20_r2_n5_E2_X1_8,2246.8,141,-284.3,52,323.1,1235.5,688.2
2087,b20_r3_n5_E2_X1_8,2242.6,132,-1250.5,52,350.5,1372.7,519.4
1304,b15_r2_n3_E1_X3c_3_5,2208.4,722,-303.1,281,148.5,98.9,1961.0
2371,b30_r2_n3_E1_X1_5,2207.3,160,-290.7,62,963.7,1158.4,85.2
1584,b15_r3_n6_E2_X7_8,2207.3,154,-788.6,66,537.5,1356.5,313.3
175,b5_r1_n8_E2_X3c_1_3,2206.4,193,261.6,40,186.7,1090.9,928.8
176,b5_r1_n8_E2_X3c_1_5,2206.4,193,261.6,40,186.7,1090.9,928.8
169,b5_r1_n8_E2_X3b_1,2206.4,193,261.6,40,186.7,1090.9,928.8
2552,b30_r3_n3_E1_X1_8,2189.6,73,-714.9,26,450.6,961.0,778.0
2117,b20_r3_n6_E2_X1_8,2146.2,116,-1405.7,51,37.3,1409.8,699.1
160,b5_r1_n8_E1_X3c_1_3,2092.3,234,192.5,53,159.0,1051.6,881.7
161,b5_r1_n8_E1_X3c_1_5,2088.1,234,192.5,53,159.0,1047.4,881.7
154,b5_r1_n8_E1_X3b_1,2088.1,234,192.5,53,159.0,1047.4,881.7
2582,b30_r3_n4_E1_X1_8,2073.9,71,-575.4,25,90.0,1443.1,540.8
2385,b30_r2_n3_E2_X1_3,2069.1,166,-268.2,66,424.5,1173.4,471.2
2522,b30_r3_n2_E1_X1_8,2066.9,74,-714.9,26,327.9,961.0,778.0
1389,b15_r2_n6_E1_X7_8,2053.9,261,-926.8,101,442.1,355.5,1256.3
2446,b30_r2_n5_E2_X1_5,1960.6,85,-620.9,27,207.5,1724.4,28.7
2199,b30_r1_n3_E1_X7_8,1913.4,238,-559.0,93,379.0,74.6,1459.8
1387,b15_r2_n6_E1_X7_3,1874.2,272,-1401.8,104,636.6,404.8,832.8
2116,b20_r3_n6_E2_X1_5,1863.3,147,-809.5,61,75.5,1232.8,555.0
1877,b20_r2_n4_E2_X1_8,1769.1,164,748.1,60,555.8,1031.0,182.3
1952,b20_r2_n8_E1_X1_8,1764.3,92,-17.9,26,109.3,1328.4,326.6
1344,b15_r2_n4_E2_X7_8,1739.9,311,-354.0,116,641.0,542.1,556.8
140,b5_r1_n6_E2_X3b_2,1736.0,541,329.2,153,90.3,977.8,667.9
2386,b30_r2_n3_E2_X1_5,1732.0,116,-1708.7,49,172.0,1101.1,458.9
2282,b30_r1_n6_E1_X1_8,1726.1,33,452.4,8,707.6,92.9,925.6
1583,b15_r3_n6_E2_X7_5,1726.0,160,-701.8,68,264.7,1091.0,370.3
147,b5_r1_n6_E2_X3c_2_3,1711.2,541,297.7,154,78.8,942.8,689.6
2225,b30_r1_n4_E1_X3b_2,1710.0,143,-581.5,63,45.2,974.4,690.4
148,b5_r1_n6_E2_X3c_2_5,1696.4,541,306.0,153,75.5,941.0,679.9
2146,b20_r3_n8_E2_X1_5,1683.4,96,-948.3,38,126.2,1248.3,308.9
1358,b15_r2_n5_E1_X7_5,1681.5,343,-196.7,140,533.3,61.0,1087.2
2233,b30_r1_n4_E1_X3c_2_5,1669.0,145,-555.3,63,77.4,1015.9,575.7
2175,b30_r1_n2_E2_X1_3,1668.0,230,592.1,90,164.3,903.5,600.2
1343,b15_r2_n4_E2_X7_5,1667.8,326,-892.9,121,638.8,421.9,607.1
2609,b30_r3_n4_E2_X3c_3_5,1649.1,137,-631.0,54,365.7,487.7,795.7
2445,b30_r2_n5_E2_X1_3,1640.0,96,-351.2,34,258.8,1157.2,224.0
2594,b30_r3_n4_E1_X3c_3_5,1639.5,185,-256.8,72,262.3,596.9,780.3
2601,b30_r3_n4_E2_X3b_3,1617.3,137,-631.0,54,365.7,487.7,763.9
2159,b20_r3_n8_E2_X3c_3_5,1615.0,99,-791.6,38,162.1,840.6,612.3
2151,b20_r3_n8_E2_X3b_3,1615.0,99,-791.6,38,162.1,840.6,612.3
2586,b30_r3_n4_E1_X3b_3,1607.7,185,-256.8,72,262.3,596.9,748.5
2671,b30_r3_n8_E1_X1_5,1594.2,58,-46.8,16,186.0,927.4,480.8
2583,b30_r3_n4_E1_X2,1589.4,185,-505.1,72,255.3,177.9,1156.2
2206,b30_r1_n3_E2_X1_5,1574.7,110,784.1,43,1036.5,40.0,498.2
2558,b30_r3_n3_E1_X7_5,1553.4,56,-219.9,27,383.6,351.9,817.9
1313,b15_r2_n3_E2_X7_5,1503.6,362,-331.5,147,559.3,423.0,521.3
170,b5_r1_n8_E2_X3b_2,1496.6,186,192.0,40,123.2,734.8,638.6
2180,b30_r1_n2_E2_X3b_2,1461.2,230,-309.8,94,415.3,726.7,319.2
2418,b30_r2_n4_E2_X2,1459.4,138,-600.9,63,56.0,955.8,447.6
155,b5_r1_n8_E1_X3b_2,1456.8,226,198.5,53,162.0,704.7,590.1
178,b5_r1_n8_E2_X3c_2_5,1456.0,186,198.4,40,107.6,702.4,646.0
2415,b30_r2_n4_E2_X1_3,1455.7,118,-281.0,52,224.4,1046.5,184.8
177,b5_r1_n8_E2_X3c_2_3,1452.9,186,174.3,40,110.8,702.4,639.7
2654,b30_r3_n6_E1_X3c_3_5,1445.0,111,-383.6,37,11.3,1140.6,293.1
1967,b20_r2_n8_E2_X1_8,1436.1,67,277.9,14,198.7,1047.7,189.7
2148,b20_r3_n8_E2_X2,1431.4,100,-626.3,38,145.3,740.5,545.6
2528,b30_r3_n2_E1_X7_5,1429.8,57,-219.9,27,260.0,351.9,817.9
2646,b30_r3_n6_E1_X3b_3,1413.2,111,-383.6,37,11.3,1140.6,261.3
2121,b20_r3_n6_E2_X3b_3,1402.6,171,-684.5,70,56.9,1119.6,226.1
2129,b20_r3_n6_E2_X3c_3_5,1402.6,171,-684.5,70,56.9,1119.6,226.1
2147,b20_r3_n8_E2_X1_8,1399.5,79,-1349.1,36,42.5,1097.9,259.1
2420,b30_r2_n4_E2_X3b_2,1396.0,137,-437.1,63,71.7,924.5,399.8
2428,b30_r2_n4_E2_X3c_2_5,1396.0,137,-437.1,63,71.7,924.5,399.8
2019,b20_r3_n3_E1_X7_8,1389.6,128,-697.0,59,697.2,297.8,394.6
2624,b30_r3_n5_E1_X3c_3_5,1389.3,154,-430.6,59,163.2,752.1,474.0
2416,b30_r2_n4_E2_X1_5,1386.4,99,-1281.2,42,23.0,1265.3,98.1
2613,b30_r3_n5_E1_X2,1381.6,154,-707.9,59,155.4,374.5,851.7
1342,b15_r2_n4_E2_X7_3,1376.8,319,-352.2,119,399.7,279.7,697.4
2228,b30_r1_n4_E1_X7_5,1375.9,137,-365.6,62,15.3,788.0,572.6
2598,b30_r3_n4_E2_X2,1374.0,137,-796.6,54,354.9,7.1,1012.0
2642,b30_r3_n6_E1_X1_8,1373.6,62,-444.0,21,571.4,728.5,73.7
163,b5_r1_n8_E1_X3c_2_5,1368.5,226,213.6,53,117.0,672.3,579.2
162,b5_r1_n8_E1_X3c_2_3,1365.3,226,170.3,53,91.7,692.0,581.6
2616,b30_r3_n5_E1_X3b_3,1357.5,154,-430.6,59,163.2,752.1,442.2
2427,b30_r2_n4_E2_X3c_2_3,1350.2,137,-437.1,63,71.7,924.5,354.0
2653,b30_r3_n6_E1_X3c_2_5,1339.9,112,-272.2,36,39.1,1227.1,73.7
2645,b30_r3_n6_E1_X3b_2,1339.9,112,-272.2,36,39.1,1227.1,73.7
2652,b30_r3_n6_E1_X3c_2_3,1339.9,112,-272.2,36,39.1,1227.1,73.7
2266,b30_r1_n5_E2_X1_5,1305.5,43,-209.6,15,462.1,704.4,139.0
1299,b15_r2_n3_E1_X7_8,1284.8,441,-892.4,189,202.2,525.4,557.2
2118,b20_r3_n6_E2_X2,1258.7,174,-598.1,70,44.3,933.4,281.0
968,b10_r3_n4_E1_X7_5,1252.9,516,-2573.7,232,552.9,366.7,333.3
1956,b20_r2_n8_E1_X3b_3,1244.7,86,-194.6,25,318.0,479.1,447.6
1964,b20_r2_n8_E1_X3c_3_5,1244.7,86,-194.6,25,318.0,479.1,447.6
1904,b20_r2_n5_E1_X3c_3_5,1243.5,236,-247.6,91,331.0,701.4,211.1
2188,b30_r1_n2_E2_X3c_2_5,1237.5,233,-481.9,94,415.3,714.7,107.5
1896,b20_r2_n5_E1_X3b_3,1222.4,235,-289.6,91,313.5,697.8,211.1
2639,b30_r3_n5_E2_X3c_3_5,1220.9,115,-532.4,43,111.8,605.7,503.4
1282,b15_r2_n2_E2_X7_3,1201.4,427,-2455.3,190,64.6,268.1,868.7
2631,b30_r3_n5_E2_X3b_3,1189.1,115,-532.4,43,111.8,605.7,471.6
2670,b30_r3_n8_E1_X1_3,1167.9,58,-318.7,17,367.1,435.7,365.1
2595,b30_r3_n4_E2_X1_3,1158.1,122,-71.3,44,33.9,572.6,551.6
2187,b30_r1_n2_E2_X3c_2_3,1155.3,236,-472.9,95,1.1,916.8,237.4
