ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
86,b5_r1_n4_E2_X3c_1_5,6980.8,2349,0.0,14.82,1,1138.6,775
85,b5_r1_n4_E2_X3c_1_3,6976.9,2347,0.0,14.82,1,1138.6,775
79,b5_r1_n4_E2_X3b_1,6932.9,2343,0.0,14.69,1,1138.6,775
115,b5_r1_n5_E2_X3c_1_3,5304.3,1131,0.0,11.19,1,876.1,329
109,b5_r1_n5_E2_X3b_1,5289.6,1131,0.0,11.16,1,876.1,329
116,b5_r1_n5_E2_X3c_1_5,5285.2,1132,0.0,11.12,1,876.1,329
2196,b30_r1_n3_E1_X3b_3,4369.8,201,0.006,2.97,1,181.0,84
2162,b30_r1_n2_E1_X1_8,4054.5,111,0.021,2.74,1,827.7,34
145,b5_r1_n6_E2_X3c_1_3,3757.2,552,0.0,7.79,1,628.3,159
139,b5_r1_n6_E2_X3b_1,3754.3,552,0.0,7.78,1,628.3,159
146,b5_r1_n6_E2_X3c_1_5,3752.0,552,0.0,7.78,1,628.3,159
2581,b30_r3_n4_E1_X1_5,3743.7,115,0.005,3.72,1,-937.9,46
2611,b30_r3_n5_E1_X1_5,3634.3,111,0.003,3.52,1,-1021.1,39
2372,b30_r2_n3_E1_X1_8,3535.3,97,0.03,1.52,1,-577.2,31
2626,b30_r3_n5_E2_X1_5,3381.2,82,0.0,3.82,1,-684.5,28
130,b5_r1_n6_E1_X3c_1_3,3305.3,793,0.0,6.62,1,394.0,254
124,b5_r1_n6_E1_X3b_1,3285.0,793,0.0,6.58,1,394.0,254
131,b5_r1_n6_E1_X3c_1_5,3276.6,793,0.0,6.57,1,394.0,254
2550,b30_r3_n3_E1_X1_3,3183.8,208,0.001,3.24,1,-130.4,78
2520,b30_r3_n2_E1_X1_3,3122.3,209,0.001,3.08,1,-130.4,78
2192,b30_r1_n3_E1_X1_8,2962.8,114,0.07,0.17,0,1688.1,33
2580,b30_r3_n4_E1_X1_3,2840.7,163,0.004,3.13,1,-40.7,60
2656,b30_r3_n6_E2_X1_5,2813.7,70,0.007,2.64,1,-460.5,23
2432,b30_r2_n5_E1_X1_8,2739.1,80,0.048,0.45,1,275.8,27
2551,b30_r3_n3_E1_X1_5,2709.0,134,0.032,1.27,1,-1202.9,54
1577,b15_r3_n6_E2_X1_8,2704.7,219,0.023,1.53,1,695.4,74
2610,b30_r3_n5_E1_X1_3,2697.7,139,0.001,3.02,1,-89.6,49
2641,b30_r3_n6_E1_X1_5,2656.9,93,0.015,1.81,1,-370.3,32
2211,b30_r1_n3_E2_X3b_3,2634.5,115,0.038,0.87,1,42.7,48
2553,b30_r3_n3_E1_X2,2633.1,254,0.087,-0.78,0,-1714.4,98
1298,b15_r2_n3_E1_X7_5,2616.6,449,0.074,-0.55,0,-1184.7,202
2521,b30_r3_n2_E1_X1_5,2616.3,135,0.033,1.04,1,-1202.9,54
2564,b30_r3_n3_E1_X3c_3_5,2602.9,254,0.078,-1.0,0,-1421.2,98
2549,b30_r3_n2_E2_X3c_3_5,2585.0,188,0.054,-0.04,0,-1501.2,71
2579,b30_r3_n3_E2_X3c_3_5,2585.0,188,0.054,-0.04,0,-1501.2,71
2556,b30_r3_n3_E1_X3b_3,2571.1,254,0.082,-1.13,0,-1421.2,98
2541,b30_r3_n2_E2_X3b_3,2553.2,188,0.057,-0.09,0,-1501.2,71
2571,b30_r3_n3_E2_X3b_3,2553.2,188,0.057,-0.09,0,-1501.2,71
2534,b30_r3_n2_E1_X3c_3_5,2511.9,255,0.103,-0.79,0,-1421.2,98
1388,b15_r2_n6_E1_X7_5,2511.6,265,0.058,0.43,0,-1230.6,105
2523,b30_r3_n2_E1_X2,2509.5,255,0.095,-0.94,0,-1714.4,98
2526,b30_r3_n2_E1_X3b_3,2480.1,255,0.108,-0.82,0,-1421.2,98
2057,b20_r3_n4_E2_X1_8,2444.2,150,0.05,0.08,0,-68.2,58
1296,b15_r2_n3_E1_X3b_3,2437.8,710,0.047,-0.08,1,-283.5,281
2204,b30_r1_n3_E1_X3c_3_5,2431.9,248,0.064,-0.12,0,-610.4,99
2568,b30_r3_n3_E2_X2,2396.1,188,0.07,-0.35,0,-1713.5,71
2538,b30_r3_n2_E2_X2,2396.1,188,0.07,-0.35,0,-1713.5,71
2640,b30_r3_n6_E1_X1_3,2362.1,111,0.002,2.39,1,-76.4,37
2612,b30_r3_n5_E1_X1_8,2317.8,69,0.054,0.29,0,-813.2,24
2198,b30_r1_n3_E1_X7_5,2281.2,238,0.081,-0.76,0,-435.2,94
2042,b20_r3_n4_E1_X1_8,2264.8,187,0.09,-0.81,0,-261.9,72
1907,b20_r2_n5_E2_X1_8,2246.8,141,0.057,0.21,0,-284.3,52
2087,b20_r3_n5_E2_X1_8,2242.6,132,0.061,0.19,0,-1250.5,52
1304,b15_r2_n3_E1_X3c_3_5,2208.4,722,0.061,-0.97,0,-303.1,281
2371,b30_r2_n3_E1_X1_5,2207.3,160,0.077,-0.44,0,-290.7,62
1584,b15_r3_n6_E2_X7_8,2207.3,154,0.053,-0.12,0,-788.6,66
175,b5_r1_n8_E2_X3c_1_3,2206.4,193,0.0,4.37,1,261.6,40
176,b5_r1_n8_E2_X3c_1_5,2206.4,193,0.0,4.37,1,261.6,40
169,b5_r1_n8_E2_X3b_1,2206.4,193,0.0,4.37,1,261.6,40
2552,b30_r3_n3_E1_X1_8,2189.6,73,0.075,-0.71,0,-714.9,26
2117,b20_r3_n6_E2_X1_8,2146.2,116,0.054,0.06,0,-1405.7,51
160,b5_r1_n8_E1_X3c_1_3,2092.3,234,0.0,4.02,1,192.5,53
161,b5_r1_n8_E1_X3c_1_5,2088.1,234,0.0,4.01,1,192.5,53
154,b5_r1_n8_E1_X3b_1,2088.1,234,0.0,4.01,1,192.5,53
2582,b30_r3_n4_E1_X1_8,2073.9,71,0.088,-0.39,0,-575.4,25
2385,b30_r2_n3_E2_X1_3,2069.1,166,0.021,1.02,1,-268.2,66
2522,b30_r3_n2_E1_X1_8,2066.9,74,0.104,-1.01,0,-714.9,26
1389,b15_r2_n6_E1_X7_8,2053.9,261,0.09,-0.65,0,-926.8,101
2446,b30_r2_n5_E2_X1_5,1960.6,85,0.043,0.17,1,-620.9,27
2199,b30_r1_n3_E1_X7_8,1913.4,238,0.125,-1.53,0,-559.0,93
1387,b15_r2_n6_E1_X7_3,1874.2,272,0.099,-0.82,0,-1401.8,104
2116,b20_r3_n6_E2_X1_5,1863.3,147,0.034,0.59,1,-809.5,61
1877,b20_r2_n4_E2_X1_8,1769.1,164,0.124,-1.5,0,748.1,60
1952,b20_r2_n8_E1_X1_8,1764.3,92,0.079,-0.34,0,-17.9,26
1344,b15_r2_n4_E2_X7_8,1739.9,311,0.143,-2.08,0,-354.0,116
140,b5_r1_n6_E2_X3b_2,1736.0,541,0.0,3.05,1,329.2,153
2386,b30_r2_n3_E2_X1_5,1732.0,116,0.094,-0.92,0,-1708.7,49
2282,b30_r1_n6_E1_X1_8,1726.1,33,0.072,-0.17,0,452.4,8
1583,b15_r3_n6_E2_X7_5,1726.0,160,0.136,-1.26,0,-701.8,68
147,b5_r1_n6_E2_X3c_2_3,1711.2,541,0.0,2.98,1,297.7,154
2225,b30_r1_n4_E1_X3b_2,1710.0,143,0.065,-0.13,0,-581.5,63
148,b5_r1_n6_E2_X3c_2_5,1696.4,541,0.0,2.97,1,306.0,153
2146,b20_r3_n8_E2_X1_5,1683.4,96,0.012,0.95,1,-948.3,38
1358,b15_r2_n5_E1_X7_5,1681.5,343,0.172,-2.54,0,-196.7,140
2233,b30_r1_n4_E1_X3c_2_5,1669.0,145,0.049,0.15,1,-555.3,63
2175,b30_r1_n2_E2_X1_3,1668.0,230,0.071,-0.37,0,592.1,90
1343,b15_r2_n4_E2_X7_5,1667.8,326,0.168,-2.43,0,-892.9,121
2609,b30_r3_n4_E2_X3c_3_5,1649.1,137,0.081,-0.46,0,-631.0,54
2445,b30_r2_n5_E2_X1_3,1640.0,96,0.011,1.04,1,-351.2,34
2594,b30_r3_n4_E1_X3c_3_5,1639.5,185,0.118,-1.48,0,-256.8,72
2601,b30_r3_n4_E2_X3b_3,1617.3,137,0.086,-0.53,0,-631.0,54
2159,b20_r3_n8_E2_X3c_3_5,1615.0,99,0.019,1.06,1,-791.6,38
2151,b20_r3_n8_E2_X3b_3,1615.0,99,0.019,1.06,1,-791.6,38
2586,b30_r3_n4_E1_X3b_3,1607.7,185,0.125,-1.52,0,-256.8,72
2671,b30_r3_n8_E1_X1_5,1594.2,58,0.048,0.35,1,-46.8,16
2583,b30_r3_n4_E1_X2,1589.4,185,0.119,-1.5,0,-505.1,72
2206,b30_r1_n3_E2_X1_5,1574.7,110,0.115,-0.94,0,784.1,43
2558,b30_r3_n3_E1_X7_5,1553.4,56,0.241,-3.32,0,-219.9,27
1313,b15_r2_n3_E2_X7_5,1503.6,362,0.193,-2.64,0,-331.5,147
