ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
109,b5_r1_n5_E2_X3b_1,2325.0,601,0.0,4.41,1,448.4,232,1.05,1
116,b5_r1_n5_E2_X3c_1_5,2275.0,602,0.0,4.37,1,448.4,232,1.05,1
115,b5_r1_n5_E2_X3c_1_3,2275.0,602,0.0,4.37,1,448.4,232,1.05,1
86,b5_r1_n4_E2_X3c_1_5,2676.4,1279,0.0,5.0,1,432.4,456,1.01,1
85,b5_r1_n4_E2_X3c_1_3,2653.7,1277,0.0,4.94,1,432.4,456,1.01,1
79,b5_r1_n4_E2_X3b_1,2725.2,1275,0.0,5.12,1,432.4,456,1.01,1
145,b5_r1_n6_E2_X3c_1_3,1932.8,329,0.0,3.68,1,371.2,123,0.87,1
139,b5_r1_n6_E2_X3b_1,1982.8,328,0.0,3.73,1,371.2,123,0.87,1
146,b5_r1_n6_E2_X3c_1_5,1932.8,329,0.0,3.68,1,371.2,123,0.87,1
2372,b30_r2_n3_E1_X1_8,2539.1,56,0.04,0.89,1,338.3,15,0.79,1
124,b5_r1_n6_E1_X3b_1,1486.4,616,0.0,2.47,1,273.9,237,0.64,1
131,b5_r1_n6_E1_X3c_1_5,1440.0,617,0.0,2.37,1,273.9,237,0.64,1
130,b5_r1_n6_E1_X3c_1_3,1440.0,617,0.0,2.37,1,273.9,237,0.64,1
169,b5_r1_n8_E2_X3b_1,1191.0,108,0.0,2.18,1,249.7,33,0.59,1
175,b5_r1_n8_E2_X3c_1_3,1189.6,108,0.0,2.18,1,249.7,33,0.59,1
176,b5_r1_n8_E2_X3c_1_5,1189.6,108,0.0,2.18,1,249.7,33,0.59,1
161,b5_r1_n8_E1_X3c_1_5,1113.2,168,0.0,1.93,1,238.8,59,0.56,1
154,b5_r1_n8_E1_X3b_1,1114.6,168,0.0,1.93,1,238.8,59,0.56,1
160,b5_r1_n8_E1_X3c_1_3,1113.2,168,0.0,1.93,1,238.8,59,0.56,1
140,b5_r1_n6_E2_X3b_2,1094.5,323,0.0,1.61,1,240.5,120,0.56,1
148,b5_r1_n6_E2_X3c_2_5,1126.0,324,0.0,1.78,1,228.7,120,0.54,1
118,b5_r1_n5_E2_X3c_2_5,754.6,591,0.003,0.66,1,223.5,222,0.52,1
110,b5_r1_n5_E2_X3b_2,752.8,589,0.005,0.62,1,217.1,222,0.51,1
162,b5_r1_n8_E1_X3c_2_3,624.6,166,0.0,0.81,1,203.7,57,0.48,1
356,b5_r2_n8_E2_X3c_1_5,750.5,491,0.001,0.86,1,197.6,176,0.46,1
355,b5_r2_n8_E2_X3c_1_3,750.5,491,0.001,0.86,1,197.6,176,0.46,1
349,b5_r2_n8_E2_X3b_1,712.5,490,0.002,0.77,1,197.6,176,0.46,1
177,b5_r1_n8_E2_X3c_2_3,800.4,107,0.0,1.3,1,188.1,33,0.44,1
178,b5_r1_n8_E2_X3c_2_5,790.8,107,0.0,1.26,1,182.1,33,0.43,1
170,b5_r1_n8_E2_X3b_2,759.8,107,0.0,1.19,1,179.9,33,0.42,1
147,b5_r1_n6_E2_X3c_2_3,1122.0,325,0.0,1.72,1,168.4,120,0.4,1
117,b5_r1_n5_E2_X3c_2_3,769.6,593,0.002,0.68,1,159.7,222,0.37,1
179,b5_r1_n8_E2_X3c_3_5,647.6,105,0.0,0.92,1,145.9,32,0.34,1
171,b5_r1_n8_E2_X3b_3,624.2,105,0.0,0.85,1,111.7,32,0.26,1
149,b5_r1_n6_E2_X3c_3_5,626.2,318,0.009,0.47,1,66.3,116,0.16,1
1950,b20_r2_n8_E1_X1_3,683.1,46,0.028,0.2,1,33.6,16,0.08,1
141,b5_r1_n6_E2_X3b_3,731.0,314,0.008,0.6,1,-6.3,114,-0.01,0
1695,b20_r1_n4_E2_X1_3,913.2,105,0.042,0.26,1,-38.4,27,-0.09,0
