ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
79,b5_r1_n4_E2_X3b_1,2725.2,1275,432.4,456,275.4,1556.2,893.6
86,b5_r1_n4_E2_X3c_1_5,2676.4,1279,432.4,456,275.4,1528.9,872.1
85,b5_r1_n4_E2_X3c_1_3,2653.7,1277,432.4,456,275.4,1506.2,872.1
2372,b30_r2_n3_E1_X1_8,2539.1,56,338.3,15,695.4,665.8,1177.9
109,b5_r1_n5_E2_X3b_1,2325.0,601,448.4,232,384.8,1058.4,881.8
116,b5_r1_n5_E2_X3c_1_5,2275.0,602,448.4,232,384.8,1008.4,881.8
115,b5_r1_n5_E2_X3c_1_3,2275.0,602,448.4,232,384.8,1008.4,881.8
2342,b30_r2_n2_E1_X1_8,2178.4,56,338.1,15,934.1,66.4,1177.9
139,b5_r1_n6_E2_X3b_1,1982.8,328,371.2,123,373.7,848.4,760.7
145,b5_r1_n6_E2_X3c_1_3,1932.8,329,371.2,123,373.7,798.4,760.7
146,b5_r1_n6_E2_X3c_1_5,1932.8,329,371.2,123,373.7,798.4,760.7
2582,b30_r3_n4_E1_X1_8,1846.6,44,100.0,14,339.8,322.9,1183.9
2522,b30_r3_n2_E1_X1_8,1725.5,45,100.0,14,339.8,201.8,1183.9
2552,b30_r3_n3_E1_X1_8,1725.5,45,100.0,14,339.8,201.8,1183.9
124,b5_r1_n6_E1_X3b_1,1486.4,616,273.9,237,109.9,684.8,691.7
131,b5_r1_n6_E1_X3c_1_5,1440.0,617,273.9,237,113.5,634.8,691.7
130,b5_r1_n6_E1_X3c_1_3,1440.0,617,273.9,237,113.5,634.8,691.7
1614,b15_r3_n8_E2_X7_8,1385.2,70,-241.2,25,214.6,1007.1,163.5
1146,b15_r1_n4_E1_X3b_3,1309.4,297,78.8,92,512.5,516.3,280.6
1899,b20_r2_n5_E1_X7_8,1270.5,115,371.6,37,28.4,983.7,258.4
169,b5_r1_n8_E2_X3b_1,1191.0,108,249.7,33,227.1,378.6,585.3
175,b5_r1_n8_E2_X3c_1_3,1189.6,108,249.7,33,227.1,377.2,585.3
176,b5_r1_n8_E2_X3c_1_5,1189.6,108,249.7,33,227.1,377.2,585.3
1599,b15_r3_n8_E1_X7_8,1157.8,88,-351.3,28,111.5,869.7,176.6
148,b5_r1_n6_E2_X3c_2_5,1126.0,324,228.7,120,285.1,313.3,527.6
147,b5_r1_n6_E2_X3c_2_3,1122.0,325,168.4,120,303.3,322.5,496.2
154,b5_r1_n8_E1_X3b_1,1114.6,168,238.8,59,160.4,370.9,583.3
161,b5_r1_n8_E1_X3c_1_5,1113.2,168,238.8,59,160.4,369.5,583.3
160,b5_r1_n8_E1_X3c_1_3,1113.2,168,238.8,59,160.4,369.5,583.3
1417,b15_r2_n8_E1_X7_3,1107.2,78,331.5,25,644.4,270.7,192.1
140,b5_r1_n6_E2_X3b_2,1094.5,323,240.5,120,269.4,334.9,490.2
1598,b15_r3_n8_E1_X7_5,1073.3,87,65.0,26,454.5,507.3,111.5
2228,b30_r1_n4_E1_X7_5,964.7,79,-93.2,25,711.5,35.7,217.5
812,b10_r2_n5_E1_X1_8,950.6,414,-421.3,140,509.9,428.4,12.3
1156,b15_r1_n4_E2_X1_5,938.3,165,-743.5,47,455.3,254.4,228.6
1695,b20_r1_n4_E2_X1_3,913.2,105,-38.4,27,338.6,528.8,45.8
1606,b15_r3_n8_E2_X1_5,903.9,104,-20.3,34,400.3,344.9,158.7
841,b10_r2_n6_E1_X1_5,902.3,479,-196.6,145,208.7,534.7,158.9
811,b10_r2_n5_E1_X1_5,865.5,629,-665.0,205,319.8,494.7,51.0
1951,b20_r2_n8_E1_X1_5,833.3,46,-187.5,16,478.6,156.4,198.3
1328,b15_r2_n4_E1_X7_5,819.5,237,538.8,78,321.3,47.2,451.0
1141,b15_r1_n4_E1_X1_5,812.5,309,-81.7,97,0.4,790.5,21.6
177,b5_r1_n8_E2_X3c_2_3,800.4,107,188.1,33,121.6,246.9,431.9
178,b5_r1_n8_E2_X3c_2_5,790.8,107,182.1,33,120.5,243.3,427.0
1613,b15_r3_n8_E2_X7_5,788.8,72,107.8,23,373.2,348.6,67.0
117,b5_r1_n5_E2_X3c_2_3,769.6,593,159.7,222,140.8,125.8,503.0
170,b5_r1_n8_E2_X3b_2,759.8,107,179.9,33,120.5,228.7,410.6
118,b5_r1_n5_E2_X3c_2_5,754.6,591,223.5,222,108.3,125.1,521.2
110,b5_r1_n5_E2_X3b_2,752.8,589,217.1,222,87.8,184.3,480.7
355,b5_r2_n8_E2_X3c_1_3,750.5,491,197.6,176,114.2,119.4,516.9
356,b5_r2_n8_E2_X3c_1_5,750.5,491,197.6,176,114.2,119.4,516.9
1597,b15_r3_n8_E1_X7_3,742.3,89,166.5,29,226.0,496.2,20.1
141,b5_r1_n6_E2_X3b_3,731.0,314,-6.3,114,112.4,215.2,403.4
1920,b20_r2_n6_E1_X1_3,714.1,143,-182.4,40,148.2,557.4,8.5
349,b5_r2_n8_E2_X3b_1,712.5,490,197.6,176,76.2,119.4,516.9
1164,b15_r1_n4_E2_X7_8,703.8,167,-131.3,50,41.7,150.1,512.0
886,b10_r2_n8_E2_X1_5,703.3,139,-206.3,34,190.6,364.6,148.1
1897,b20_r2_n5_E1_X7_3,687.6,116,429.5,37,28.2,307.2,352.2
1950,b20_r2_n8_E1_X1_3,683.1,46,33.6,16,257.6,405.6,19.9
1411,b15_r2_n8_E1_X1_5,657.6,94,-268.4,29,60.8,198.1,398.7
179,b5_r1_n8_E2_X3c_3_5,647.6,105,145.9,32,19.5,178.2,449.9
149,b5_r1_n6_E2_X3c_3_5,626.2,318,66.3,116,114.6,45.2,466.4
162,b5_r1_n8_E1_X3c_2_3,624.6,166,203.7,57,6.9,228.7,389.0
171,b5_r1_n8_E2_X3b_3,624.2,105,111.7,32,18.2,173.6,432.4
1748,b20_r1_n6_E1_X7_5,619.3,50,120.5,16,366.0,157.4,95.9
2233,b30_r1_n4_E1_X3c_2_5,597.4,85,588.2,27,426.4,107.0,64.0
1716,b20_r1_n5_E1_X3b_3,570.0,89,-153.9,26,333.8,173.3,62.9
1686,b20_r1_n4_E1_X3b_3,563.3,183,-181.4,50,185.1,122.7,255.5
2596,b30_r3_n4_E2_X1_5,552.2,54,355.7,17,362.2,86.9,103.1
1754,b20_r1_n6_E1_X3c_3_5,546.6,51,123.7,16,260.2,285.2,1.2
1410,b15_r2_n8_E1_X1_3,542.8,94,-275.8,30,42.0,312.4,188.4
834,b10_r2_n5_E2_X7_8,539.5,346,-1397.3,116,2.4,339.4,197.7
111,b5_r1_n5_E2_X3b_3,539.0,564,-13.9,210,1.9,97.9,439.2
1176,b15_r1_n5_E1_X3b_3,532.7,180,58.2,52,334.0,35.6,163.1
1419,b15_r2_n8_E1_X7_8,481.5,77,44.4,24,335.8,81.1,64.6
595,b10_r1_n3_E2_X3c_1_3,474.3,853,-140.1,316,33.2,440.2,0.9
596,b10_r1_n3_E2_X3c_1_5,474.3,853,-140.1,316,33.2,440.2,0.9
1685,b20_r1_n4_E1_X3b_2,467.9,210,-402.7,57,196.7,240.9,30.3
1724,b20_r1_n5_E1_X3c_3_5,454.3,94,-68.2,26,295.9,102.2,56.2
1267,b15_r2_n2_E1_X7_3,453.7,310,557.9,88,210.1,214.9,28.7
1575,b15_r3_n6_E2_X1_3,425.8,175,449.3,64,210.7,59.6,155.5
1747,b20_r1_n6_E1_X7_3,421.9,51,205.9,16,182.3,176.8,62.8
1515,b15_r3_n4_E2_X1_3,412.9,314,231.2,97,76.1,201.1,135.7
