ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
79,b5_r1_n4_E2_X3b_1,2725.2,1275,0.0,5.12,1,432.4,456
86,b5_r1_n4_E2_X3c_1_5,2676.4,1279,0.0,5.0,1,432.4,456
85,b5_r1_n4_E2_X3c_1_3,2653.7,1277,0.0,4.94,1,432.4,456
2372,b30_r2_n3_E1_X1_8,2539.1,56,0.04,0.89,1,338.3,15
109,b5_r1_n5_E2_X3b_1,2325.0,601,0.0,4.41,1,448.4,232
116,b5_r1_n5_E2_X3c_1_5,2275.0,602,0.0,4.37,1,448.4,232
115,b5_r1_n5_E2_X3c_1_3,2275.0,602,0.0,4.37,1,448.4,232
2342,b30_r2_n2_E1_X1_8,2178.4,56,0.066,0.04,0,338.1,15
139,b5_r1_n6_E2_X3b_1,1982.8,328,0.0,3.73,1,371.2,123
145,b5_r1_n6_E2_X3c_1_3,1932.8,329,0.0,3.68,1,371.2,123
146,b5_r1_n6_E2_X3c_1_5,1932.8,329,0.0,3.68,1,371.2,123
2582,b30_r3_n4_E1_X1_8,1846.6,44,0.082,0.1,0,100.0,14
2522,b30_r3_n2_E1_X1_8,1725.5,45,0.106,-1.01,0,100.0,14
2552,b30_r3_n3_E1_X1_8,1725.5,45,0.106,-1.01,0,100.0,14
124,b5_r1_n6_E1_X3b_1,1486.4,616,0.0,2.47,1,273.9,237
131,b5_r1_n6_E1_X3c_1_5,1440.0,617,0.0,2.37,1,273.9,237
130,b5_r1_n6_E1_X3c_1_3,1440.0,617,0.0,2.37,1,273.9,237
1614,b15_r3_n8_E2_X7_8,1385.2,70,0.087,-0.51,0,-241.2,25
1146,b15_r1_n4_E1_X3b_3,1309.4,297,0.067,-0.39,0,78.8,92
1899,b20_r2_n5_E1_X7_8,1270.5,115,0.128,-1.07,0,371.6,37
169,b5_r1_n8_E2_X3b_1,1191.0,108,0.0,2.18,1,249.7,33
175,b5_r1_n8_E2_X3c_1_3,1189.6,108,0.0,2.18,1,249.7,33
176,b5_r1_n8_E2_X3c_1_5,1189.6,108,0.0,2.18,1,249.7,33
1599,b15_r3_n8_E1_X7_8,1157.8,88,0.155,-1.35,0,-351.3,28
148,b5_r1_n6_E2_X3c_2_5,1126.0,324,0.0,1.78,1,228.7,120
147,b5_r1_n6_E2_X3c_2_3,1122.0,325,0.0,1.72,1,168.4,120
154,b5_r1_n8_E1_X3b_1,1114.6,168,0.0,1.93,1,238.8,59
161,b5_r1_n8_E1_X3c_1_5,1113.2,168,0.0,1.93,1,238.8,59
160,b5_r1_n8_E1_X3c_1_3,1113.2,168,0.0,1.93,1,238.8,59
1417,b15_r2_n8_E1_X7_3,1107.2,78,0.057,0.02,0,331.5,25
140,b5_r1_n6_E2_X3b_2,1094.5,323,0.0,1.61,1,240.5,120
1598,b15_r3_n8_E1_X7_5,1073.3,87,0.164,-1.22,0,65.0,26
2228,b30_r1_n4_E1_X7_5,964.7,79,0.098,-0.43,0,-93.2,25
812,b10_r2_n5_E1_X1_8,950.6,414,0.201,-2.26,0,-421.3,140
1156,b15_r1_n4_E2_X1_5,938.3,165,0.131,-0.64,0,-743.5,47
1695,b20_r1_n4_E2_X1_3,913.2,105,0.042,0.26,1,-38.4,27
1606,b15_r3_n8_E2_X1_5,903.9,104,0.082,-0.13,0,-20.3,34
841,b10_r2_n6_E1_X1_5,902.3,479,0.152,-1.31,0,-196.6,145
811,b10_r2_n5_E1_X1_5,865.5,629,0.198,-1.58,0,-665.0,205
1951,b20_r2_n8_E1_X1_5,833.3,46,0.078,0.03,0,-187.5,16
1328,b15_r2_n4_E1_X7_5,819.5,237,0.225,-1.97,0,538.8,78
1141,b15_r1_n4_E1_X1_5,812.5,309,0.214,-2.04,0,-81.7,97
177,b5_r1_n8_E2_X3c_2_3,800.4,107,0.0,1.3,1,188.1,33
178,b5_r1_n8_E2_X3c_2_5,790.8,107,0.0,1.26,1,182.1,33
1613,b15_r3_n8_E2_X7_5,788.8,72,0.212,-1.8,0,107.8,23
117,b5_r1_n5_E2_X3c_2_3,769.6,593,0.002,0.68,1,159.7,222
170,b5_r1_n8_E2_X3b_2,759.8,107,0.0,1.19,1,179.9,33
118,b5_r1_n5_E2_X3c_2_5,754.6,591,0.003,0.66,1,223.5,222
