ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
940,b5_r2_n3_E2_X3c_1_3,0,83160.2,20000,1974.5,45234.1,35951.6
916,b5_r2_n3_E2_X3b_1,0,83142.9,20000,1867.6,45144.3,36131.0
944,b5_r2_n3_E2_X3c_1_5,0,83067.0,20000,1966.7,45451.5,35648.8
196,b5_r1_n3_E2_X3b_1,0,71310.6,20000,2568.6,42308.2,26433.8
224,b5_r1_n3_E2_X3c_1_5,0,70894.1,20000,2592.5,42785.2,25516.4
220,b5_r1_n3_E2_X3c_1_3,0,70730.6,20000,2589.2,42539.4,25602.0
1004,b5_r2_n4_E1_X3c_1_5,0,61610.1,17702,1862.0,30730.6,29017.5
1000,b5_r2_n4_E1_X3c_1_3,0,61501.7,17690,1848.5,30687.3,28965.9
976,b5_r2_n4_E1_X3b_1,0,61344.1,17642,1878.5,30686.3,28779.3
1064,b5_r2_n4_E2_X3c_1_5,0,61094.9,10510,1749.4,30725.1,28620.4
1060,b5_r2_n4_E2_X3c_1_3,0,61067.9,10506,1749.4,30718.6,28599.9
1036,b5_r2_n4_E2_X3b_1,0,60947.2,10483,1728.6,30773.8,28444.8
136,b5_r1_n3_E1_X3b_1,0,59706.6,20000,2285.4,39885.0,17536.2
164,b5_r1_n3_E1_X3c_1_5,0,59426.4,20000,2292.5,40601.6,16532.3
160,b5_r1_n3_E1_X3c_1_3,0,59349.0,20000,2293.2,40343.4,16712.4
1720,b5_r3_n4_E1_X3c_1_3,0,58656.1,20000,688.6,32835.3,25132.2
1724,b5_r3_n4_E1_X3c_1_5,0,58654.7,20000,716.0,32830.7,25108.0
1696,b5_r3_n4_E1_X3b_1,0,58398.5,20000,655.2,32688.1,25055.2
344,b5_r1_n4_E2_X3c_1_5,0,53328.1,9025,1555.3,26214.8,25558.0
340,b5_r1_n4_E2_X3c_1_3,0,53289.1,9019,1574.8,26179.7,25534.6
316,b5_r1_n4_E2_X3b_1,0,53223.3,8996,1525.3,26161.6,25536.4
284,b5_r1_n4_E1_X3c_1_5,0,52708.7,9354,1538.5,25868.8,25301.4
256,b5_r1_n4_E1_X3b_1,0,52647.7,9315,1533.0,25826.8,25287.9
280,b5_r1_n4_E1_X3c_1_3,0,52632.8,9347,1555.2,25848.7,25228.9
824,b5_r2_n2_E2_X3c_1_5,0,52200.7,20000,599.7,49772.8,1828.2
820,b5_r2_n2_E2_X3c_1_3,0,51971.2,20000,619.4,49285.1,2066.7
1544,b5_r3_n2_E2_X3c_1_5,0,51970.4,19165,159.7,25124.2,26686.5
1664,b5_r3_n3_E2_X3c_1_5,0,51970.4,19165,159.7,25124.2,26686.5
1540,b5_r3_n2_E2_X3c_1_3,0,51891.3,19145,147.1,25090.6,26653.6
1660,b5_r3_n3_E2_X3c_1_3,0,51891.3,19145,147.1,25090.6,26653.6
796,b5_r2_n2_E2_X3b_1,0,51571.6,20000,379.4,48705.2,2487.0
1636,b5_r3_n3_E2_X3b_1,0,51510.0,19122,143.5,24967.1,26399.4
1516,b5_r3_n2_E2_X3b_1,0,51510.0,19122,143.5,24967.1,26399.4
1844,b5_r3_n5_E1_X3c_1_5,0,51116.2,13284,1107.2,25786.5,24222.5
1840,b5_r3_n5_E1_X3c_1_3,0,50997.2,13275,1070.1,25771.5,24155.6
1816,b5_r3_n5_E1_X3b_1,0,50910.9,13264,1040.3,25740.3,24130.3
1784,b5_r3_n4_E2_X3c_1_5,0,50481.9,12624,651.6,24568.2,25262.1
1780,b5_r3_n4_E2_X3c_1_3,0,50453.9,12615,639.0,24570.3,25244.6
1756,b5_r3_n4_E2_X3b_1,0,50267.6,12605,635.4,24511.7,25120.5
1124,b5_r2_n5_E1_X3c_1_5,0,41285.6,7502,1549.0,19436.7,20299.9
1120,b5_r2_n5_E1_X3c_1_3,0,41231.6,7496,1549.0,19400.2,20282.4
1096,b5_r2_n5_E1_X3b_1,0,41165.6,7486,1549.0,19447.3,20169.3
1184,b5_r2_n5_E2_X3c_1_5,0,40951.6,5242,1420.5,19636.9,19894.2
1180,b5_r2_n5_E2_X3c_1_3,0,40938.1,5237,1420.5,19642.1,19875.5
1156,b5_r2_n5_E2_X3b_1,0,40831.7,5230,1399.7,19669.3,19762.7
1904,b5_r3_n5_E2_X3c_1_5,0,40174.9,7876,715.6,19112.1,20347.2
1900,b5_r3_n5_E2_X3c_1_3,0,40132.8,7871,693.3,19118.4,20321.1
1876,b5_r3_n5_E2_X3b_1,0,40110.0,7868,693.3,19101.8,20314.9
2264,b10_r1_n2_E2_X3c_1_5,0,39753.0,9908,1169.2,19557.5,19026.3
2260,b10_r1_n2_E2_X3c_1_3,0,39486.9,9873,1135.1,19369.9,18981.9
1964,b5_r3_n6_E1_X3c_1_5,0,38427.0,8046,873.2,19104.7,18449.1
1960,b5_r3_n6_E1_X3c_1_3,0,38348.8,8040,836.1,19111.0,18401.7
1936,b5_r3_n6_E1_X3b_1,0,38343.0,8038,836.1,19109.7,18397.2
2236,b10_r1_n2_E2_X3b_1,0,38128.1,9517,1170.9,18645.4,18311.8
464,b5_r1_n5_E2_X3c_1_5,0,34620.4,4122,949.8,16035.3,17635.3
436,b5_r1_n5_E2_X3b_1,0,34590.1,4112,941.1,16040.1,17608.9
460,b5_r1_n5_E2_X3c_1_3,0,34544.2,4118,941.4,15989.5,17613.3
404,b5_r1_n5_E1_X3c_1_5,0,34469.4,4207,954.2,15995.9,17519.3
376,b5_r1_n5_E1_X3b_1,0,34448.5,4196,952.2,15985.6,17510.7
400,b5_r1_n5_E1_X3c_1_3,0,34371.1,4203,944.1,15940.2,17486.8
2024,b5_r3_n6_E2_X3c_1_5,0,31784.3,4915,659.0,15078.3,16047.0
2020,b5_r3_n6_E2_X3c_1_3,0,31761.7,4911,636.7,15084.6,16040.4
1996,b5_r3_n6_E2_X3b_1,0,31752.3,4910,636.7,15078.3,16037.3
1304,b5_r2_n6_E2_X3c_1_5,0,27061.0,2670,891.5,12222.5,13947.0
1300,b5_r2_n6_E2_X3c_1_3,0,27055.5,2667,891.5,12218.9,13945.1
1276,b5_r2_n6_E2_X3b_1,0,27045.1,2664,891.5,12220.1,13933.5
1216,b5_r2_n6_E1_X3b_1,0,27039.7,3316,977.2,12134.0,13928.5
1244,b5_r2_n6_E1_X3c_1_5,0,27030.4,3322,977.2,12117.4,13935.8
1240,b5_r2_n6_E1_X3c_1_3,0,27024.9,3319,977.2,12113.8,13933.9
3044,b10_r2_n3_E1_X3c_1_5,0,23269.1,11133,302.7,11390.5,11575.9
556,b5_r1_n6_E2_X3b_1,0,22978.7,2131,520.9,10071.2,12386.6
584,b5_r1_n6_E2_X3c_1_5,0,22967.7,2134,526.5,10046.9,12394.3
580,b5_r1_n6_E2_X3c_1_3,0,22933.7,2134,526.5,10030.2,12377.0
3040,b10_r2_n3_E1_X3c_1_3,0,22918.2,11094,251.3,11265.6,11401.3
496,b5_r1_n6_E1_X3b_1,0,22848.7,2152,513.9,10034.0,12300.8
524,b5_r1_n6_E1_X3c_1_5,0,22848.7,2155,523.0,10017.2,12308.5
520,b5_r1_n6_E1_X3c_1_3,0,22817.7,2155,520.6,10000.5,12296.6
3016,b10_r2_n3_E1_X3b_1,0,22186.5,11037,234.1,10831.5,11120.9
352,b5_r1_n4_E2_X3c_2_5,0,21714.1,8625,468.3,9791.4,11454.4
348,b5_r1_n4_E2_X3c_2_3,0,21577.0,8600,467.5,9690.2,11419.3
292,b5_r1_n4_E1_X3c_2_5,0,21378.7,8920,455.0,9617.2,11306.5
320,b5_r1_n4_E2_X3b_2,0,21265.0,8407,399.2,9693.8,11172.0
288,b5_r1_n4_E1_X3c_2_3,0,21232.1,8896,474.9,9539.6,11217.6
1192,b5_r2_n5_E2_X3c_2_5,0,21083.5,5132,394.9,9460.6,11228.0
260,b5_r1_n4_E1_X3b_2,0,20938.8,8669,409.3,9561.2,10968.3
1188,b5_r2_n5_E2_X3c_2_3,0,20852.7,5119,403.1,9290.9,11158.7
1160,b5_r2_n5_E2_X3b_2,0,20702.6,5086,314.6,9351.3,11036.7
2384,b10_r1_n3_E2_X3c_1_5,0,20270.2,2929,565.3,8816.6,10888.3
2084,b5_r3_n8_E1_X3c_1_5,0,20267.7,2783,680.9,8856.7,10730.1
2380,b10_r1_n3_E2_X3c_1_3,0,20246.6,2924,562.5,8732.7,10951.4
2056,b5_r3_n8_E1_X3b_1,0,20230.6,2782,643.8,8856.7,10730.1
2080,b5_r3_n8_E1_X3c_1_3,0,20230.6,2782,643.8,8856.7,10730.1
2356,b10_r1_n3_E2_X3b_1,0,20213.9,2903,566.8,8570.8,11076.3
2984,b10_r2_n2_E2_X3c_1_5,0,19550.3,9237,152.2,8415.6,10982.5
2320,b10_r1_n3_E1_X3c_1_3,0,19492.4,3489,556.6,8275.9,10659.9
2980,b10_r2_n2_E2_X3c_1_3,0,19428.8,9217,152.2,8301.3,10975.3
2324,b10_r1_n3_E1_X3c_1_5,0,19421.0,3494,567.8,8308.3,10544.9
2296,b10_r1_n3_E1_X3b_1,0,19150.9,3447,567.9,7828.9,10754.1
3104,b10_r2_n3_E2_X3c_1_5,0,19030.7,4551,427.7,8721.9,9881.1
2956,b10_r2_n2_E2_X3b_1,0,18950.9,9171,129.5,7977.3,10844.1
3100,b10_r2_n3_E2_X3c_1_3,0,18923.6,4539,427.7,8657.4,9838.5
3076,b10_r2_n3_E2_X3b_1,0,18806.0,4521,427.7,8563.3,9815.0
472,b5_r1_n5_E2_X3c_2_5,0,18458.9,4009,483.9,7917.2,10057.8
440,b5_r1_n5_E2_X3b_2,0,18411.8,3968,425.0,7940.0,10046.8
468,b5_r1_n5_E2_X3c_2_3,0,18332.7,3997,455.6,7842.8,10034.3
412,b5_r1_n5_E1_X3c_2_5,0,18321.4,4088,456.7,7853.3,10011.4
380,b5_r1_n5_E1_X3b_2,0,18262.8,4042,388.6,7897.7,9976.5
3164,b10_r2_n4_E1_X3c_1_5,0,18220.2,4982,122.1,8717.2,9380.9
408,b5_r1_n5_E1_X3c_2_3,0,18184.3,4076,435.3,7792.8,9956.2
3160,b10_r2_n4_E1_X3c_1_3,0,18031.1,4968,91.6,8683.2,9256.3
2144,b5_r3_n8_E2_X3c_1_5,0,18009.9,1888,492.1,7646.4,9871.4
2116,b5_r3_n8_E2_X3b_1,0,18009.9,1888,492.1,7646.4,9871.4
2140,b5_r3_n8_E2_X3c_1_3,0,18009.9,1888,492.1,7646.4,9871.4
200,b5_r1_n3_E2_X3b_2,0,17990.5,18994,113.4,7885.7,9991.4
232,b5_r1_n3_E2_X3c_2_5,0,17891.9,20000,34.6,8118.7,9738.6
3136,b10_r2_n4_E1_X3b_1,0,17651.7,4950,91.6,8452.9,9107.2
1132,b5_r2_n5_E1_X3c_2_5,0,17425.5,7243,130.1,7376.6,9918.8
1128,b5_r2_n5_E1_X3c_2_3,0,17050.9,7250,69.5,7154.5,9826.9
4396,b15_r1_n2_E2_X3b_1,0,16841.0,2818,355.1,7522.8,8963.1
4420,b15_r1_n2_E2_X3c_1_3,0,16836.8,2889,433.5,7539.0,8864.3
4424,b15_r1_n2_E2_X3c_1_5,0,16832.5,2899,434.3,7531.1,8867.1
1312,b5_r2_n6_E2_X3c_2_5,0,15997.9,2643,323.9,6812.6,8861.4
1308,b5_r2_n6_E2_X3c_2_3,0,15981.6,2639,334.6,6759.7,8887.3
1280,b5_r2_n6_E2_X3b_2,0,15921.0,2631,293.7,6777.0,8850.3
1252,b5_r2_n6_E1_X3c_2_5,0,14966.7,3279,262.7,6333.2,8370.8
1248,b5_r2_n6_E1_X3c_2_3,0,14898.4,3275,258.9,6316.4,8323.1
1220,b5_r2_n6_E1_X3b_2,0,14724.1,3260,175.1,6201.1,8347.9
588,b5_r1_n6_E2_X3c_2_3,0,14204.1,2098,278.4,5786.8,8138.9
592,b5_r1_n6_E2_X3c_2_5,0,14198.5,2099,292.1,5755.4,8151.0
560,b5_r1_n6_E2_X3b_2,0,14158.5,2089,264.0,5723.0,8171.5
532,b5_r1_n6_E1_X3c_2_5,0,14103.8,2119,286.6,5725.5,8091.7
528,b5_r1_n6_E1_X3c_2_3,0,14097.6,2118,274.4,5752.9,8070.3
500,b5_r1_n6_E1_X3b_2,0,14045.5,2109,258.5,5691.7,8095.3
3224,b10_r2_n4_E2_X3c_1_5,0,13481.8,2125,175.3,6075.9,7230.6
3220,b10_r2_n4_E2_X3c_1_3,0,13440.4,2121,175.3,6045.7,7219.4
3196,b10_r2_n4_E2_X3b_1,0,13324.6,2116,175.3,5970.4,7178.9
1420,b5_r2_n8_E2_X3c_1_3,0,13023.5,850,337.5,5060.2,7625.8
1396,b5_r2_n8_E2_X3b_1,0,13023.5,850,337.5,5060.2,7625.8
1424,b5_r2_n8_E2_X3c_1_5,0,13023.5,850,337.5,5060.2,7625.8
1360,b5_r2_n8_E1_X3c_1_3,0,13001.1,927,347.8,5056.3,7597.0
1364,b5_r2_n8_E1_X3c_1_5,0,13001.1,927,347.8,5056.3,7597.0
1336,b5_r2_n8_E1_X3b_1,0,13001.1,927,347.8,5056.3,7597.0
700,b5_r1_n8_E2_X3c_1_3,0,11758.2,775,130.9,4506.4,7120.9
704,b5_r1_n8_E2_X3c_1_5,0,11756.6,775,130.9,4506.4,7119.3
676,b5_r1_n8_E2_X3b_1,0,11756.6,775,130.9,4506.4,7119.3
640,b5_r1_n8_E1_X3c_1_3,0,11745.4,776,130.9,4506.4,7108.1
616,b5_r1_n8_E1_X3b_1,0,11743.8,776,130.9,4506.4,7106.5
644,b5_r1_n8_E1_X3c_1_5,0,11743.8,776,130.9,4506.4,7106.5
3284,b10_r2_n5_E1_X3c_1_5,0,11512.5,2093,177.2,4980.9,6354.4
3280,b10_r2_n5_E1_X3c_1_3,0,11385.5,2087,178.1,4937.8,6269.6
3256,b10_r2_n5_E1_X3b_1,0,11337.8,2086,178.1,4898.3,6261.4
2152,b5_r3_n8_E2_X3c_2_5,0,11125.2,1881,114.7,4534.2,6476.3
2148,b5_r3_n8_E2_X3c_2_3,0,11098.6,1880,100.9,4521.4,6476.3
2120,b5_r3_n8_E2_X3b_2,0,11091.7,1879,106.2,4511.6,6473.9
2500,b10_r1_n4_E2_X3c_1_3,0,10899.8,963,218.4,4295.0,6386.4
2440,b10_r1_n4_E1_X3c_1_3,0,10897.4,1049,212.1,4325.5,6359.8
2476,b10_r1_n4_E2_X3b_1,0,10846.2,959,224.0,4287.6,6334.6
2504,b10_r1_n4_E2_X3c_1_5,0,10825.6,963,216.4,4265.5,6343.7
2444,b10_r1_n4_E1_X3c_1_5,0,10824.9,1049,211.9,4296.6,6316.4
2416,b10_r1_n4_E1_X3b_1,0,10803.2,1044,213.2,4293.4,6296.6
7240,b20_r2_n2_E1_X3c_1_3,0,9890.1,5695,479.5,4563.7,4846.9
7244,b20_r2_n2_E1_X3c_1_5,0,9826.5,5696,479.5,4551.1,4795.9
7216,b20_r2_n2_E1_X3b_1,0,9519.2,5677,479.5,4389.8,4649.9
1428,b5_r2_n8_E2_X3c_2_3,0,9295.8,847,197.0,3474.5,5624.3
1432,b5_r2_n8_E2_X3c_2_5,0,9279.1,847,197.0,3481.9,5600.2
1400,b5_r2_n8_E2_X3b_2,0,9246.8,846,192.4,3460.2,5594.2
3344,b10_r2_n5_E2_X3c_1_5,0,9170.3,1003,174.9,3699.4,5296.0
1368,b5_r2_n8_E1_X3c_2_3,0,9163.8,921,178.3,3475.2,5510.3
1372,b5_r2_n8_E1_X3c_2_5,0,9161.5,921,183.5,3479.1,5498.9
1340,b5_r2_n8_E1_X3b_2,0,9134.0,919,173.5,3467.6,5492.9
3340,b10_r2_n5_E2_X3c_1_3,0,9133.8,1002,174.9,3662.9,5296.0
3316,b10_r2_n5_E2_X3b_1,0,9131.6,1002,174.9,3662.9,5293.8
708,b5_r1_n8_E2_X3c_2_3,0,8471.6,768,83.0,3102.6,5286.0
648,b5_r1_n8_E1_X3c_2_3,0,8469.7,769,83.0,3102.6,5284.1
652,b5_r1_n8_E1_X3c_2_5,0,8468.2,769,94.3,3095.5,5278.4
620,b5_r1_n8_E1_X3b_2,0,8465.5,767,94.3,3098.5,5272.7
712,b5_r1_n8_E2_X3c_2_5,0,8464.7,768,94.3,3095.5,5274.9
680,b5_r1_n8_E2_X3b_2,0,8463.8,766,94.3,3098.5,5271.0
6556,b20_r1_n2_E2_X3b_1,0,8449.4,1056,94.0,3671.2,4684.2
4516,b15_r1_n3_E2_X3b_1,0,8430.7,820,177.4,3245.7,5007.6
6580,b20_r1_n2_E2_X3c_1_3,0,8423.4,1069,127.2,3585.2,4711.0
4544,b15_r1_n3_E2_X3c_1_5,0,8356.0,828,177.4,3242.9,4935.7
6584,b20_r1_n2_E2_X3c_1_5,0,8311.7,1074,135.3,3472.5,4703.9
4540,b15_r1_n3_E2_X3c_1_3,0,8242.2,827,177.4,3189.3,4875.5
4480,b15_r1_n3_E1_X3c_1_3,0,8181.9,1049,149.2,3069.7,4963.0
4456,b15_r1_n3_E1_X3b_1,0,8174.9,1037,178.4,2985.7,5010.8
1796,b5_r3_n4_E2_X3c_3_5,0,8129.6,9906,16.2,3784.1,4329.3
4484,b15_r1_n3_E1_X3c_1_5,0,8094.8,1050,152.6,2994.9,4947.3
476,b5_r1_n5_E2_X3c_3_5,0,7721.3,3822,150.8,2633.2,4937.3
416,b5_r1_n5_E1_X3c_3_5,0,7635.2,3893,125.3,2639.2,4870.7
596,b5_r1_n6_E2_X3c_3_5,0,7495.6,2028,142.9,2458.2,4894.5
536,b5_r1_n6_E1_X3c_3_5,0,7444.4,2047,141.8,2447.8,4854.8
444,b5_r1_n5_E2_X3b_3,0,7433.3,3693,155.4,2499.9,4778.0
3108,b10_r2_n3_E2_X3c_2_3,0,7418.6,3758,393.2,3733.6,3291.8
1764,b5_r3_n4_E2_X3b_3,0,7385.9,9562,84.9,3364.1,3936.9
3080,b10_r2_n3_E2_X3b_2,0,7374.9,3627,275.1,4007.3,3092.5
564,b5_r1_n6_E2_X3b_3,0,7372.2,1995,193.2,2411.0,4768.0
384,b5_r1_n5_E1_X3b_3,0,7339.8,3757,109.2,2495.1,4735.5
504,b5_r1_n6_E1_X3b_3,0,7318.7,2014,187.6,2378.0,4753.1
3112,b10_r2_n3_E2_X3c_2_5,0,7240.7,3762,315.8,3853.3,3071.6
5144,b15_r2_n2_E2_X3c_1_5,0,7204.5,4458,4.1,1706.5,5493.9
5140,b15_r2_n2_E2_X3c_1_3,0,7120.7,4449,4.1,1613.6,5503.0
9404,b30_r2_n2_E1_X3c_1_5,0,7065.9,2569,492.4,3098.1,3475.4
3404,b10_r2_n6_E1_X3c_1_5,0,7029.9,896,94.9,2612.0,4323.0
9400,b30_r2_n2_E1_X3c_1_3,0,7016.8,2567,492.4,3049.0,3475.4
3400,b10_r2_n6_E1_X3c_1_3,0,6958.9,894,94.9,2612.0,4252.0
3376,b10_r2_n6_E1_X3b_1,0,6958.9,894,94.9,2612.0,4252.0
2620,b10_r1_n5_E2_X3c_1_3,0,6955.6,431,59.1,2207.6,4688.9
2624,b10_r1_n5_E2_X3c_1_5,0,6937.2,431,57.3,2201.2,4678.7
2596,b10_r1_n5_E2_X3b_1,0,6934.5,431,59.1,2201.2,4674.2
2560,b10_r1_n5_E1_X3c_1_3,0,6905.3,453,27.8,2200.9,4676.6
2564,b10_r1_n5_E1_X3c_1_5,0,6882.0,453,27.8,2182.9,4671.3
2536,b10_r1_n5_E1_X3b_1,0,6855.1,453,27.8,2164.9,4662.4
9376,b30_r2_n2_E1_X3b_1,0,6826.2,2559,492.4,2997.1,3336.7
5896,b15_r3_n3_E1_X3b_1,0,6253.6,3498,68.7,1195.1,4989.8
5776,b15_r3_n2_E1_X3b_1,0,6250.1,3499,65.2,1195.1,4989.8
5920,b15_r3_n3_E1_X3c_1_3,0,6233.4,3498,68.7,1196.5,4968.2
5924,b15_r3_n3_E1_X3c_1_5,0,6233.4,3498,68.7,1196.5,4968.2
5804,b15_r3_n2_E1_X3c_1_5,0,6229.9,3499,65.2,1196.5,4968.2
5800,b15_r3_n2_E1_X3c_1_3,0,6229.9,3499,65.2,1196.5,4968.2
3460,b10_r2_n6_E2_X3c_1_3,0,6203.9,484,42.2,2243.1,3918.6
3464,b10_r2_n6_E2_X3c_1_5,0,6203.9,484,42.2,2243.1,3918.6
3436,b10_r2_n6_E2_X3b_1,0,6203.9,484,42.2,2243.1,3918.6
1436,b5_r2_n8_E2_X3c_3_5,0,6140.3,833,144.7,2099.5,3896.1
2992,b10_r2_n2_E2_X3c_2_5,0,6123.5,6352,137.3,1748.1,4238.1
1404,b5_r2_n8_E2_X3b_3,0,6005.5,830,115.0,2064.6,3825.9
1376,b5_r2_n8_E1_X3c_3_5,0,5919.3,905,156.0,1986.8,3776.5
324,b5_r1_n4_E2_X3b_3,0,5912.9,7247,117.3,2097.1,3698.5
7304,b20_r2_n2_E2_X3c_1_5,0,5887.3,2543,492.3,2376.6,3018.4
7300,b20_r2_n2_E2_X3c_1_3,0,5867.0,2540,492.3,2356.3,3018.4
1344,b5_r2_n8_E1_X3b_3,0,5781.0,900,93.4,1953.4,3734.2
7276,b20_r2_n2_E2_X3b_1,0,5760.1,2538,492.3,2327.2,2940.6
6496,b20_r1_n2_E1_X3b_1,0,5732.9,5538,573.1,3865.4,1294.4
656,b5_r1_n8_E1_X3c_3_5,0,5683.6,754,72.1,1827.3,3784.2
716,b5_r1_n8_E2_X3c_3_5,0,5680.1,753,72.1,1827.3,3780.7
3691,b10_r3_n2_E2_X7_3_bf7,7,5615.8,1250,440.1,1855.5,3320.2
3811,b10_r3_n3_E2_X7_3_bf7,7,5599.2,1250,423.5,1855.5,3320.2
624,b5_r1_n8_E1_X3b_3,0,5575.2,750,54.4,1816.8,3704.0
684,b5_r1_n8_E2_X3b_3,0,5564.2,749,54.4,1816.8,3693.0
5816,b15_r3_n2_E1_X3c_3_5,0,5515.1,1582,562.4,2575.5,2377.2
5936,b15_r3_n3_E1_X3c_3_5,0,5458.5,1581,505.8,2575.5,2377.2
9408,b30_r2_n2_E1_X3c_2_3,0,5380.3,1111,81.3,3710.7,1588.3
2360,b10_r1_n3_E2_X3b_2,0,5326.2,2606,226.2,1836.5,3263.5
2392,b10_r1_n3_E2_X3c_2_5,0,5310.9,2765,126.8,1598.0,3586.1
5444,b15_r2_n5_E1_X3c_1_5,0,5287.0,1050,29.0,2181.2,3076.8
5416,b15_r2_n5_E1_X3b_1,0,5287.0,1050,29.0,2181.2,3076.8
5440,b15_r2_n5_E1_X3c_1_3,0,5287.0,1050,29.0,2181.2,3076.8
2988,b10_r2_n2_E2_X3c_2_3,0,5273.5,6495,7.7,1366.5,3899.3
2388,b10_r1_n3_E2_X3c_2_3,0,5157.8,2740,68.7,1551.5,3537.6
3693,b10_r3_n2_E2_X7_5_bf3,3,5020.0,1340,459.7,1987.4,2572.9
3813,b10_r3_n3_E2_X7_5_bf3,3,5003.4,1340,443.1,1987.4,2572.9
2960,b10_r2_n2_E2_X3b_2,0,4982.3,5922,91.2,1249.8,3641.3
3689,b10_r3_n2_E2_X7_3_bf3,3,4979.7,1418,565.0,1724.1,2690.6
3809,b10_r3_n3_E2_X7_3_bf3,3,4963.1,1418,548.4,1724.1,2690.6
6676,b20_r1_n3_E2_X3b_1,0,4904.0,336,59.6,1860.8,2983.6
6056,b15_r3_n4_E1_X3c_3_5,0,4884.7,1435,550.3,2047.5,2286.9
5784,b15_r3_n2_E1_X3b_3,0,4846.3,1541,562.4,2320.8,1963.1
6640,b20_r1_n3_E1_X3c_1_3,0,4833.9,450,14.6,1738.8,3080.5
8656,b30_r1_n2_E1_X3b_1,0,4825.7,2621,612.9,2686.9,1525.9
5904,b15_r3_n3_E1_X3b_3,0,4789.7,1540,505.8,2320.8,1963.1
10256,b30_r3_n3_E1_X3c_3_5,0,4764.4,374,116.9,2307.6,2339.9
10136,b30_r3_n2_E1_X3c_3_5,0,4760.0,375,112.5,2307.6,2339.9
7308,b20_r2_n2_E2_X3c_2_3,0,4753.9,1592,581.4,1462.8,2709.7
7312,b20_r2_n2_E2_X3c_2_5,0,4735.4,1554,407.7,1741.4,2586.3
6116,b15_r3_n4_E2_X3c_3_5,0,4725.5,993,468.7,2197.3,2059.5
6700,b20_r1_n3_E2_X3c_1_3,0,4706.0,336,53.9,1670.8,2981.3
2740,b10_r1_n6_E2_X3c_1_3,0,4689.8,230,15.6,1345.4,3328.8
2716,b10_r1_n6_E2_X3b_1,0,4683.4,230,15.6,1339.0,3328.8
2744,b10_r1_n6_E2_X3c_1_5,0,4681.6,230,13.8,1339.0,3328.8
6704,b20_r1_n3_E2_X3c_1_5,0,4679.9,337,59.6,1644.2,2976.1
2508,b10_r1_n4_E2_X3c_2_3,0,4660.4,934,111.0,1578.6,2970.8
9564,b30_r2_n3_E2_X3b_3,0,4650.6,323,49.7,2990.4,1610.5
3695,b10_r3_n2_E2_X7_5_bf7,7,4608.8,1197,176.3,1433.6,2998.9
3815,b10_r3_n3_E2_X7_5_bf7,7,4592.2,1197,159.7,1433.6,2998.9
3836,b10_r3_n3_E2_X3c_3_5,0,4555.8,2989,357.5,1533.3,2665.0
2512,b10_r1_n4_E2_X3c_2_5,0,4555.5,932,187.3,1482.6,2885.6
3716,b10_r3_n2_E2_X3c_3_5,0,4542.3,2990,344.0,1533.3,2665.0
3956,b10_r3_n4_E2_X3c_3_5,0,4517.9,2222,145.6,1850.9,2521.4
9566,b30_r2_n3_E2_X3b_3_bf5,5,4509.9,275,45.8,3239.8,1224.3
6084,b15_r3_n4_E2_X3b_3,0,4509.0,982,468.7,2187.1,1853.2
2480,b10_r1_n4_E2_X3b_2,0,4508.6,918,105.3,1664.1,2739.2
10224,b30_r3_n3_E1_X3b_3,0,4486.4,371,116.9,2084.0,2285.5
10104,b30_r3_n2_E1_X3b_3,0,4482.0,372,112.5,2084.0,2285.5
6024,b15_r3_n4_E1_X3b_3,0,4464.3,1412,550.3,1884.4,2029.6
2448,b10_r1_n4_E1_X3c_2_3,0,4445.3,1013,73.1,1466.0,2906.2
3924,b10_r3_n4_E2_X3b_3,0,4436.5,2189,135.8,1856.6,2444.1
9565,b30_r2_n3_E2_X3b_3_bf3,3,4414.6,286,46.0,3041.5,1327.1
5876,b15_r3_n2_E2_X3c_3_5,0,4391.1,1342,340.4,1909.1,2141.6
3352,b10_r2_n5_E2_X3c_2_5,0,4384.1,972,172.9,1547.0,2664.2
3348,b10_r2_n5_E2_X3c_2_3,0,4379.2,972,225.4,1440.0,2713.8
2420,b10_r1_n4_E1_X3b_2,0,4351.4,995,74.5,1560.0,2716.9
2452,b10_r1_n4_E1_X3c_2_5,0,4345.2,1011,165.2,1310.8,2869.2
5996,b15_r3_n3_E2_X3c_3_5,0,4343.9,1341,293.2,1909.1,2141.6
