ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
56,b5_r1_n3_E2_X3c_1_5,40006.1,10408,0.0,90.64,1,29233.9,6938,68.51,1
55,b5_r1_n3_E2_X3c_1_3,39877.9,10392,0.0,90.21,1,29105.0,6929,68.21,1
49,b5_r1_n3_E2_X3b_1,40066.7,10356,0.0,90.4,1,28951.1,6899,67.85,1
86,b5_r1_n4_E2_X3c_1_5,29350.8,5202,0.0,66.07,1,19569.0,3293,45.86,1
79,b5_r1_n4_E2_X3b_1,29337.9,5186,0.0,65.94,1,19530.1,3287,45.77,1
85,b5_r1_n4_E2_X3c_1_3,29283.8,5193,0.0,65.91,1,19511.9,3294,45.73,1
71,b5_r1_n4_E1_X3c_1_5,26002.1,7424,0.0,57.8,1,17356.8,4702,40.68,1
70,b5_r1_n4_E1_X3c_1_3,25923.1,7415,0.0,57.86,1,17290.7,4701,40.52,1
64,b5_r1_n4_E1_X3b_1,25894.5,7392,0.0,57.49,1,17222.0,4689,40.36,1
116,b5_r1_n5_E2_X3c_1_5,20596.4,2648,0.0,45.99,1,13241.4,1594,31.03,1
109,b5_r1_n5_E2_X3b_1,20601.4,2643,0.0,45.94,1,13231.5,1594,31.01,1
115,b5_r1_n5_E2_X3c_1_3,20575.9,2645,0.0,45.97,1,13226.1,1595,31.0,1
101,b5_r1_n5_E1_X3c_1_5,19584.2,3310,0.0,43.49,1,12530.2,2017,29.37,1
100,b5_r1_n5_E1_X3c_1_3,19571.9,3307,0.0,43.41,1,12497.9,2017,29.29,1
94,b5_r1_n5_E1_X3b_1,19566.6,3300,0.0,43.4,1,12485.2,2014,29.26,1
326,b5_r2_n6_E2_X3c_1_5,17872.7,3026,0.0,39.34,1,11198.4,1824,26.24,1
325,b5_r2_n6_E2_X3c_1_3,17815.4,3025,0.0,39.26,1,11144.7,1822,26.12,1
319,b5_r2_n6_E2_X3b_1,17840.4,3025,0.0,39.32,1,11091.2,1821,25.99,1
146,b5_r1_n6_E2_X3c_1_5,14857.5,1422,0.0,32.88,1,9172.4,865,21.5,1
139,b5_r1_n6_E2_X3b_1,14846.2,1422,0.0,32.86,1,9164.7,865,21.48,1
145,b5_r1_n6_E2_X3c_1_3,14852.0,1422,0.0,32.87,1,9157.1,866,21.46,1
131,b5_r1_n6_E1_X3c_1_5,14489.5,1639,0.0,31.85,1,8820.4,983,20.67,1
124,b5_r1_n6_E1_X3b_1,14491.0,1638,0.0,31.89,1,8809.3,983,20.65,1
130,b5_r1_n6_E1_X3c_1_3,14492.2,1639,0.0,31.86,1,8783.9,983,20.59,1
117,b5_r1_n5_E2_X3c_2_3,10942.1,2601,0.0,23.44,1,7315.0,1558,17.14,1
566,b10_r1_n2_E2_X3c_1_5,10693.4,4488,0.0,21.06,1,7175.9,2855,16.82,1
