ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
19,b5_r1_n2_E2_X3b_1,49040.5,20000,0.0,0,174.8,25676.9,23188.8
26,b5_r1_n2_E2_X3c_1_5,48858.9,20000,0.0,0,291.8,25827.3,22739.8
25,b5_r1_n2_E2_X3c_1_3,48838.6,20000,0.0,0,289.5,25672.5,22876.6
49,b5_r1_n3_E2_X3b_1,40066.7,10356,28951.1,6899,766.5,19577.7,19722.5
56,b5_r1_n3_E2_X3c_1_5,40006.1,10408,29233.9,6938,782.4,19492.1,19731.6
55,b5_r1_n3_E2_X3c_1_3,39877.9,10392,29105.0,6929,782.4,19482.4,19613.1
86,b5_r1_n4_E2_X3c_1_5,29350.8,5202,19569.0,3293,944.2,13716.1,14690.5
79,b5_r1_n4_E2_X3b_1,29337.9,5186,19530.1,3287,928.4,13735.3,14674.2
85,b5_r1_n4_E2_X3c_1_3,29283.8,5193,19511.9,3294,944.2,13723.5,14616.1
71,b5_r1_n4_E1_X3c_1_5,26002.1,7424,17356.8,4702,393.3,11928.8,13680.0
70,b5_r1_n4_E1_X3c_1_3,25923.1,7415,17290.7,4701,386.1,11908.2,13628.8
64,b5_r1_n4_E1_X3b_1,25894.5,7392,17222.0,4689,350.4,11897.3,13646.8
109,b5_r1_n5_E2_X3b_1,20601.4,2643,13231.5,1594,607.2,9101.0,10893.2
116,b5_r1_n5_E2_X3c_1_5,20596.4,2648,13241.4,1594,607.2,9091.3,10897.9
115,b5_r1_n5_E2_X3c_1_3,20575.9,2645,13226.1,1595,607.2,9108.5,10860.2
101,b5_r1_n5_E1_X3c_1_5,19584.2,3310,12530.2,2017,428.3,8650.0,10505.9
100,b5_r1_n5_E1_X3c_1_3,19571.9,3307,12497.9,2017,428.3,8671.1,10472.5
94,b5_r1_n5_E1_X3b_1,19566.6,3300,12485.2,2014,428.3,8647.4,10490.9
326,b5_r2_n6_E2_X3c_1_5,17872.7,3026,11198.4,1824,150.5,7872.4,9849.8
319,b5_r2_n6_E2_X3b_1,17840.4,3025,11091.2,1821,150.5,7829.8,9860.1
325,b5_r2_n6_E2_X3c_1_3,17815.4,3025,11144.7,1822,135.8,7829.8,9849.8
146,b5_r1_n6_E2_X3c_1_5,14857.5,1422,9172.4,865,363.3,6155.8,8338.4
145,b5_r1_n6_E2_X3c_1_3,14852.0,1422,9157.1,866,363.3,6146.1,8342.6
139,b5_r1_n6_E2_X3b_1,14846.2,1422,9164.7,865,363.3,6141.5,8341.4
130,b5_r1_n6_E1_X3c_1_3,14492.2,1639,8783.9,983,267.4,6080.8,8144.0
124,b5_r1_n6_E1_X3b_1,14491.0,1638,8809.3,983,267.4,6085.1,8138.5
131,b5_r1_n6_E1_X3c_1_5,14489.5,1639,8820.4,983,267.4,6086.6,8135.5
117,b5_r1_n5_E2_X3c_2_3,10942.1,2601,7315.0,1558,20.8,4511.4,6409.9
341,b5_r2_n8_E1_X3c_1_5,10935.5,1634,6611.8,1077,167.1,4352.0,6416.4
334,b5_r2_n8_E1_X3b_1,10931.4,1634,6559.2,1076,167.1,4347.9,6416.4
340,b5_r2_n8_E1_X3c_1_3,10931.4,1634,6559.9,1076,167.1,4347.9,6416.4
110,b5_r1_n5_E2_X3b_2,10793.2,2590,7167.3,1549,5.5,4414.1,6373.6
