pair,arm,n,wr,gross,net
AUD_JPY,fade,737,0.4681139755766621,0.4054274084124367,-1.302035278154725
AUD_JPY,coin,737,0.44640434192673,-0.004341926729972456,-1.711804613297134
AUD_JPY,continuation,737,0.41383989145183175,-0.4054274084124367,-2.112890094979598
AUD_USD,fade,675,0.46370370370370373,-0.16903703703706052,-1.4759259259259492
AUD_USD,coin,675,0.45037037037037037,0.12577777777775476,-1.181111111111134
AUD_USD,continuation,675,0.4311111111111111,0.16903703703706052,-1.1378518518518281
CAD_JPY,fade,753,0.450199203187251,-0.06918990703852215,-1.9685258964143098
CAD_JPY,coin,753,0.45683930942895085,0.31699867197875925,-1.5823373173970283
CAD_JPY,continuation,753,0.42895086321381143,0.06918990703852215,-1.8301460823372653
CHF_JPY,fade,792,0.4356060606060606,0.4768939393939377,-1.8484217171717663
CHF_JPY,coin,792,0.41919191919191917,0.45694444444448745,-1.8683712121212168
CHF_JPY,continuation,792,0.4065656565656566,-0.4768939393939377,-2.8022095959596416
EUR_GBP,fade,562,0.4608540925266904,0.9535587188612065,-0.47553380782916377
EUR_GBP,coin,562,0.40391459074733094,-0.24537366548041467,-1.6744661921707846
EUR_GBP,continuation,562,0.3612099644128114,-0.9535587188612065,-2.3826512455515765
EUR_JPY,fade,791,0.4475347661188369,0.3298356510745453,-1.4871681415929374
EUR_JPY,coin,791,0.4020227560050569,-1.64867256637169,-3.4656763590391724
EUR_JPY,continuation,791,0.4361567635903919,-0.3298356510745453,-2.146839443742028
EUR_USD,fade,719,0.4631432545201669,0.13393602225310505,-1.2858831710709295
EUR_USD,coin,719,0.46453407510431155,-0.0541029207232445,-1.4739221140472791
EUR_USD,continuation,719,0.44645340751043117,-0.13393602225310505,-1.5537552155771395
GBP_JPY,fade,846,0.475177304964539,0.934869976359401,-1.793735224586216
GBP_JPY,coin,846,0.4373522458628842,0.002482269503551233,-2.7261229314420654
GBP_JPY,continuation,846,0.4101654846335697,-0.934869976359401,-3.6634751773050174
GBP_USD,fade,800,0.46625,0.08300000000003305,-1.6576249999999597
GBP_USD,coin,800,0.46625,-0.13900000000001683,-1.87962500000001
GBP_USD,continuation,800,0.4425,-0.08300000000003305,-1.8236250000000256
NZD_JPY,fade,706,0.42209631728045327,0.23994334277622245,-1.908215297450396
NZD_JPY,coin,706,0.4178470254957507,-0.383002832861207,-2.5311614730878254
NZD_JPY,continuation,706,0.3909348441926346,-0.23994334277622245,-2.3881019830028407
NZD_USD,fade,655,0.41374045801526715,-0.6703816793893165,-2.2347328244274287
NZD_USD,coin,655,0.4259541984732824,0.11374045801525472,-1.450610687022858
NZD_USD,continuation,655,0.4198473282442748,0.6703816793893165,-0.8939694656487961
USD_JPY,fade,744,0.4583333333333333,-0.2762096774193864,-1.8311827956989737
USD_JPY,coin,744,0.46236559139784944,0.7291666666667027,-0.8258064516128849
USD_JPY,continuation,744,0.43951612903225806,0.2762096774193864,-1.2787634408602009
