pair,activate,trail,init_sl,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,trail_pct,init_sl_pct,days
GBP_JPY,1.0,0.05,0.5,16,-0.43,18.8,166.5,-0.0,2.1,-28.7,41.2,18.8,81.2,429.5
GBP_JPY,1.0,0.05,1.0,16,-0.65,31.2,253.8,-0.0,3.5,-61.7,55.2,31.2,68.8,429.5
GBP_JPY,1.0,0.05,1.5,16,-1.17,31.2,444.6,-0.0,6.6,-87.9,55.2,31.2,68.8,429.5
GBP_JPY,1.0,0.05,2.0,16,-1.01,43.8,472.1,-0.0,9.1,-108.8,60.0,43.8,56.2,429.5
GBP_JPY,1.0,0.075,0.5,16,-0.44,18.8,167.9,-0.0,2.1,-28.7,40.4,18.8,81.2,429.5
GBP_JPY,1.0,0.075,1.0,16,-0.66,31.2,256.7,-0.0,3.5,-61.7,54.0,31.2,68.8,429.5
GBP_JPY,1.0,0.075,1.5,16,-1.18,31.2,448.7,-0.0,6.6,-87.9,54.0,31.2,68.8,429.5
GBP_JPY,1.0,0.075,2.0,16,-1.02,43.8,475.7,-0.0,9.1,-108.8,59.0,43.8,56.2,429.5
GBP_JPY,1.0,0.1,0.5,16,-0.44,18.8,169.6,-0.0,2.1,-28.7,39.6,18.8,81.2,429.5
GBP_JPY,1.0,0.1,1.0,16,-0.67,31.2,259.6,-0.0,3.5,-61.7,52.7,31.2,68.8,429.5
GBP_JPY,1.0,0.1,1.5,16,-1.19,31.2,452.8,-0.0,6.6,-87.9,52.7,31.2,68.8,429.5
GBP_JPY,1.0,0.1,2.0,16,-1.04,43.8,479.3,-0.0,9.1,-108.8,58.0,43.8,56.2,429.5
GBP_JPY,1.0,0.15,0.5,16,-0.45,18.8,174.1,-0.0,2.1,-28.7,38.1,18.8,81.2,429.5
GBP_JPY,1.0,0.15,1.0,16,-0.69,31.2,265.3,-0.0,3.5,-61.7,50.3,31.2,68.8,429.5
GBP_JPY,1.0,0.15,1.5,16,-1.21,31.2,461.0,-0.0,6.6,-87.9,50.3,31.2,68.8,429.5
GBP_JPY,1.0,0.15,2.0,16,-1.06,43.8,486.5,-0.0,9.1,-108.8,56.1,43.8,56.2,429.5
