pair,activate,trail,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,days
GBP_JPY,0.25,0.1,16,-2.16,75.0,1136.9,-0.0,24.7,-771.6,82.2,429.5
GBP_JPY,0.25,0.2,16,-2.26,62.5,1140.1,-0.0,24.7,-771.6,78.5,429.5
GBP_JPY,0.25,0.25,16,-2.31,62.5,1142.8,-0.0,24.7,-771.6,76.7,429.5
GBP_JPY,0.25,0.3,16,-2.36,50.0,1147.5,-0.0,24.7,-771.6,74.8,429.5
GBP_JPY,0.25,0.4,16,-2.46,43.8,1166.0,-0.0,24.7,-771.6,71.1,429.5
GBP_JPY,0.25,0.5,16,-2.56,37.5,1197.7,-0.0,24.9,-771.6,67.4,429.5
GBP_JPY,0.5,0.1,16,-1.34,81.2,1136.9,-0.0,30.4,-771.6,247.0,429.5
GBP_JPY,0.5,0.2,16,-1.44,81.2,1139.4,-0.0,30.4,-771.6,245.3,429.5
GBP_JPY,0.5,0.25,16,-1.49,81.2,1140.7,-0.0,30.4,-771.6,244.4,429.5
GBP_JPY,0.5,0.3,16,-1.54,81.2,1141.9,-0.0,30.4,-771.6,243.6,429.5
GBP_JPY,0.5,0.4,16,-1.55,81.2,1144.4,-0.0,30.5,-771.6,241.9,429.5
GBP_JPY,0.5,0.5,16,-1.65,75.0,1146.9,-0.0,30.6,-771.6,240.2,429.5
GBP_JPY,1.0,0.1,16,-1.06,81.2,1136.9,-0.0,38.4,-771.6,247.0,429.5
GBP_JPY,1.0,0.2,16,-1.16,81.2,1139.4,-0.0,38.4,-771.6,245.3,429.5
GBP_JPY,1.0,0.25,16,-1.21,81.2,1140.7,-0.0,38.4,-771.6,244.4,429.5
GBP_JPY,1.0,0.3,16,-1.26,81.2,1141.9,-0.0,38.4,-771.6,243.6,429.5
GBP_JPY,1.0,0.4,16,-1.36,81.2,1144.4,-0.0,38.4,-771.6,241.9,429.5
GBP_JPY,1.0,0.5,16,-1.46,75.0,1146.9,-0.0,38.4,-771.6,240.2,429.5
GBP_JPY,1.5,0.1,16,-1.63,68.8,1311.1,-0.0,48.6,-771.6,247.0,429.5
GBP_JPY,1.5,0.2,16,-1.72,68.8,1328.3,-0.0,48.7,-771.6,245.3,429.5
GBP_JPY,1.5,0.25,16,-1.76,68.8,1335.3,-0.0,48.7,-771.6,244.4,429.5
GBP_JPY,1.5,0.3,16,-1.77,68.8,1327.9,-0.0,48.8,-771.6,243.6,429.5
GBP_JPY,1.5,0.4,16,-1.85,68.8,1341.9,-0.0,48.8,-771.6,241.9,429.5
