pair,filter_on,n,ppd,wr,mdd,mean_hold_h1,mean_pnl,max_loss,max_win,sum_pips,skipped,days
GBP_JPY,0,16,-1.59,68.8,1304.0,48.6,-42.63,-771.6,247.8,-682.1,0,429.5
GBP_JPY,1,16,-1.59,68.8,1304.0,48.6,-42.63,-771.6,247.8,-682.1,0,429.5
USD_JPY,0,21,-0.63,71.4,775.6,39.5,-12.88,-431.8,144.1,-270.4,0,429.5
USD_JPY,1,21,-0.63,71.4,775.6,39.5,-12.88,-431.8,144.1,-270.4,0,429.5
EUR_JPY,0,8,0.43,75.0,76.0,45.9,23.34,-76.0,75.5,186.7,0,429.5
EUR_JPY,1,8,0.43,75.0,76.0,45.9,23.34,-76.0,75.5,186.7,0,429.5
GBP_USD,0,18,0.51,83.3,135.5,41.5,12.08,-135.5,70.8,217.4,0,429.5
GBP_USD,1,18,0.51,83.3,135.5,41.5,12.08,-135.5,70.8,217.4,0,429.5
AUD_JPY,0,13,0.84,92.3,91.1,33.8,27.79,-91.1,93.8,361.3,0,429.5
AUD_JPY,1,13,0.84,92.3,91.1,33.8,27.79,-91.1,93.8,361.3,0,429.5
EUR_USD,0,15,0.47,86.7,209.3,31.7,13.36,-158.9,70.5,200.3,0,429.5
EUR_USD,1,15,0.47,86.7,209.3,31.7,13.36,-158.9,70.5,200.3,0,429.5
EUR_GBP,0,20,0.41,85.0,57.5,39.9,8.9,-30.4,28.0,178.1,0,429.5
EUR_GBP,1,20,0.41,85.0,57.5,39.9,8.9,-30.4,28.0,178.1,0,429.5
AUD_USD,0,27,-0.47,59.3,275.9,55.1,-7.46,-98.7,97.1,-201.5,0,429.5
AUD_USD,1,27,-0.47,59.3,275.9,55.1,-7.46,-98.7,97.1,-201.5,0,429.5
NZD_JPY,0,18,0.74,88.9,69.8,35.4,17.78,-69.8,43.3,320.0,0,429.5
NZD_JPY,1,18,0.74,88.9,69.8,35.4,17.78,-69.8,43.3,320.0,0,429.5
CHF_JPY,0,9,0.65,88.9,0.0,24.1,31.05,-70.1,66.0,279.4,0,429.5
CHF_JPY,1,9,0.65,88.9,0.0,24.1,31.05,-70.1,66.0,279.4,0,429.5
NZD_USD,0,17,-0.04,82.4,151.8,31.2,-1.03,-121.6,29.9,-17.5,0,429.6
NZD_USD,1,17,-0.04,82.4,151.8,31.2,-1.03,-121.6,29.9,-17.5,0,429.6
CAD_JPY,0,16,-0.36,68.8,273.6,44.8,-9.72,-181.3,76.4,-155.5,0,429.5
CAD_JPY,1,16,-0.36,68.8,273.6,44.8,-9.72,-181.3,76.4,-155.5,0,429.5
