pair,grid_pips,tslv_sma_n,tslv_at_entry,tslv_sma_at_entry,pnl,win,hold,direction,exit_type
AUD_JPY,5,5,12,5.6,38.21,1,60,-1,0
AUD_JPY,5,5,33,17.4,61.84,1,4,1,0
AUD_JPY,5,5,1,13.0,31.28,1,48,1,0
AUD_JPY,5,5,92,51.6,35.93,1,51,-1,0
AUD_JPY,5,5,257,141.6,-91.1,0,96,1,1
AUD_JPY,5,5,47,22.2,41.49,1,61,1,0
AUD_JPY,5,5,108,28.2,32.49,1,31,1,0
AUD_JPY,5,5,1,80.4,93.79,1,27,-1,0
AUD_JPY,5,5,12,6.4,27.88,1,10,-1,0
AUD_JPY,5,5,233,59.0,19.15,1,3,-1,0
AUD_JPY,5,5,1,1718.4,28.04,1,9,1,0
AUD_JPY,5,5,1,29.0,26.47,1,2,1,0
AUD_JPY,5,5,1,4.6,15.82,1,38,-1,0
AUD_JPY,5,10,12,4.2,38.21,1,60,-1,0
AUD_JPY,5,10,33,9.8,61.84,1,4,1,0
AUD_JPY,5,10,1,8.4,31.28,1,48,1,0
AUD_JPY,5,10,92,30.2,35.93,1,51,-1,0
AUD_JPY,5,10,257,72.0,-91.1,0,96,1,1
AUD_JPY,5,10,47,11.6,41.49,1,61,1,0
AUD_JPY,5,10,108,15.3,32.49,1,31,1,0
AUD_JPY,5,10,1,42.6,93.79,1,27,-1,0
AUD_JPY,5,10,12,83.7,27.88,1,10,-1,0
AUD_JPY,5,10,233,30.1,19.15,1,3,-1,0
AUD_JPY,5,10,1,859.8,28.04,1,9,1,0
AUD_JPY,5,10,1,15.8,26.47,1,2,1,0
AUD_JPY,5,10,1,2.8,15.82,1,38,-1,0
AUD_JPY,5,20,12,6.0,38.21,1,60,-1,0
AUD_JPY,5,20,33,145.6,61.84,1,4,1,0
AUD_JPY,5,20,1,5.2,31.28,1,48,1,0
AUD_JPY,5,20,92,16.9,35.93,1,51,-1,0
AUD_JPY,5,20,257,60.5,-91.1,0,96,1,1
AUD_JPY,5,20,47,7.6,41.49,1,61,1,0
AUD_JPY,5,20,108,9.8,32.49,1,31,1,0
AUD_JPY,5,20,1,22.1,93.79,1,27,-1,0
AUD_JPY,5,20,12,46.5,27.88,1,10,-1,0
AUD_JPY,5,20,233,17.8,19.15,1,3,-1,0
AUD_JPY,5,20,1,858.8,28.04,1,9,1,0
AUD_JPY,5,20,1,12.3,26.47,1,2,1,0
AUD_JPY,5,20,1,1.9,15.82,1,38,-1,0
AUD_JPY,10,5,12,5.6,38.21,1,60,-1,0
AUD_JPY,10,5,1,11.0,61.84,1,4,1,0
AUD_JPY,10,5,1,13.0,31.28,1,48,1,0
AUD_JPY,10,5,92,51.4,35.93,1,51,-1,0
AUD_JPY,10,5,257,141.6,-91.1,0,96,1,1
AUD_JPY,10,5,47,20.8,41.49,1,61,1,0
AUD_JPY,10,5,1,6.4,32.49,1,31,1,0
AUD_JPY,10,5,1,80.2,93.79,1,27,-1,0
AUD_JPY,10,5,1,4.2,27.88,1,10,-1,0
AUD_JPY,10,5,1,12.6,19.15,1,3,-1,0
AUD_JPY,10,5,1,1718.4,28.04,1,9,1,0
AUD_JPY,10,5,1,19.4,26.47,1,2,1,0
AUD_JPY,10,5,1,4.6,15.82,1,38,-1,0
AUD_JPY,10,10,12,4.1,38.21,1,60,-1,0
AUD_JPY,10,10,1,6.4,61.84,1,4,1,0
AUD_JPY,10,10,1,8.4,31.28,1,48,1,0
AUD_JPY,10,10,92,29.5,35.93,1,51,-1,0
AUD_JPY,10,10,257,72.0,-91.1,0,96,1,1
AUD_JPY,10,10,47,10.9,41.49,1,61,1,0
AUD_JPY,10,10,1,3.7,32.49,1,31,1,0
AUD_JPY,10,10,1,41.1,93.79,1,27,-1,0
AUD_JPY,10,10,1,2.6,27.88,1,10,-1,0
AUD_JPY,10,10,1,6.8,19.15,1,3,-1,0
AUD_JPY,10,10,1,859.7,28.04,1,9,1,0
AUD_JPY,10,10,1,11.0,26.47,1,2,1,0
AUD_JPY,10,10,1,2.8,15.82,1,38,-1,0
AUD_JPY,10,20,12,6.0,38.21,1,60,-1,0
AUD_JPY,10,20,1,143.7,61.84,1,4,1,0
AUD_JPY,10,20,1,5.2,31.28,1,48,1,0
AUD_JPY,10,20,92,16.6,35.93,1,51,-1,0
AUD_JPY,10,20,257,49.0,-91.1,0,96,1,1
AUD_JPY,10,20,47,6.9,41.49,1,61,1,0
AUD_JPY,10,20,1,2.6,32.49,1,31,1,0
AUD_JPY,10,20,1,21.4,93.79,1,27,-1,0
AUD_JPY,10,20,1,5.5,27.88,1,10,-1,0
AUD_JPY,10,20,1,6.2,19.15,1,3,-1,0
AUD_JPY,10,20,1,430.4,28.04,1,9,1,0
AUD_JPY,10,20,1,9.9,26.47,1,2,1,0
AUD_JPY,10,20,1,1.9,15.82,1,38,-1,0
NZD_JPY,5,5,1,33.2,19.45,1,21,1,0
NZD_JPY,5,5,291,117.2,19.12,1,8,1,0
NZD_JPY,5,5,1,95.2,43.28,1,17,-1,0
NZD_JPY,5,5,92,36.4,30.59,1,64,-1,0
NZD_JPY,5,5,46,19.6,32.99,1,55,1,0
NZD_JPY,5,5,1,32.4,24.6,1,85,1,0
NZD_JPY,5,5,49,26.6,18.12,1,9,-1,0
NZD_JPY,5,5,1,281.6,27.49,1,10,-1,0
NZD_JPY,5,5,1,39.4,19.08,1,48,1,0
NZD_JPY,5,5,1,4.4,27.18,1,16,1,0
NZD_JPY,5,5,33,19.8,22.74,1,59,-1,0
NZD_JPY,5,5,1,5.2,-19.4,0,96,1,1
NZD_JPY,5,5,1,45.6,33.04,1,21,-1,0
NZD_JPY,5,5,7073,4291.6,-69.8,0,96,1,1
NZD_JPY,5,5,7394,4419.6,23.18,1,3,1,0
NZD_JPY,5,5,1,17.8,15.58,1,3,-1,0
NZD_JPY,5,5,1,20.0,26.68,1,5,1,0
NZD_JPY,5,5,1,8.0,26.06,1,22,-1,0
NZD_JPY,5,10,1,18.3,19.45,1,21,1,0
NZD_JPY,5,10,291,59.8,19.12,1,8,1,0
NZD_JPY,5,10,1,59.1,43.28,1,17,-1,0
NZD_JPY,5,10,92,22.4,30.59,1,64,-1,0
NZD_JPY,5,10,46,11.3,32.99,1,55,1,0
NZD_JPY,5,10,1,17.4,24.6,1,85,1,0
NZD_JPY,5,10,49,14.1,18.12,1,9,-1,0
NZD_JPY,5,10,1,146.8,27.49,1,10,-1,0
NZD_JPY,5,10,1,20.2,19.08,1,48,1,0
NZD_JPY,5,10,1,3.7,27.18,1,16,1,0
NZD_JPY,5,10,33,11.1,22.74,1,59,-1,0
NZD_JPY,5,10,1,8.2,-19.4,0,96,1,1
NZD_JPY,5,10,1,23.7,33.04,1,21,-1,0
NZD_JPY,5,10,7073,2170.2,-69.8,0,96,1,1
NZD_JPY,5,10,7394,2220.7,23.18,1,3,1,0
NZD_JPY,5,10,1,9.9,15.58,1,3,-1,0
NZD_JPY,5,10,1,10.5,26.68,1,5,1,0
NZD_JPY,5,10,1,4.5,26.06,1,22,-1,0
NZD_JPY,5,20,1,11.0,19.45,1,21,1,0
NZD_JPY,5,20,291,30.5,19.12,1,8,1,0
NZD_JPY,5,20,1,30.6,43.28,1,17,-1,0
NZD_JPY,5,20,92,13.7,30.59,1,64,-1,0
NZD_JPY,5,20,46,7.4,32.99,1,55,1,0
NZD_JPY,5,20,1,9.3,24.6,1,85,1,0
NZD_JPY,5,20,49,8.8,18.12,1,9,-1,0
NZD_JPY,5,20,1,80.5,27.49,1,10,-1,0
NZD_JPY,5,20,1,32.4,19.08,1,48,1,0
NZD_JPY,5,20,1,71.5,27.18,1,16,1,0
NZD_JPY,5,20,33,6.8,22.74,1,59,-1,0
NZD_JPY,5,20,1,284.6,-19.4,0,96,1,1
NZD_JPY,5,20,1,14.2,33.04,1,21,-1,0
NZD_JPY,5,20,7073,1108.3,-69.8,0,96,1,1
NZD_JPY,5,20,7394,1123.3,23.18,1,3,1,0
NZD_JPY,5,20,1,6.3,15.58,1,3,-1,0
NZD_JPY,5,20,1,5.8,26.68,1,5,1,0
NZD_JPY,5,20,1,5.7,26.06,1,22,-1,0
NZD_JPY,10,5,1,32.8,19.45,1,21,1,0
NZD_JPY,10,5,291,117.0,19.12,1,8,1,0
NZD_JPY,10,5,1,70.4,43.28,1,17,-1,0
NZD_JPY,10,5,92,35.4,30.59,1,64,-1,0
NZD_JPY,10,5,46,14.0,32.99,1,55,1,0
NZD_JPY,10,5,1,31.8,24.6,1,85,1,0
NZD_JPY,10,5,1,9.2,18.12,1,9,-1,0
NZD_JPY,10,5,1,281.6,27.49,1,10,-1,0
NZD_JPY,10,5,1,39.0,19.08,1,48,1,0
