pair,mode,n,days,activate,trail,max_hold,ppd,wr,mdd,calmar,mean_hold_m5,max_loss,max_win
GBP_JPY,TRAIL,997,429.2,0.5,0.5,288,-19.65,39.1,8510.3,-0.0,43.9,-351.3,173.7
GBP_JPY,TRAIL,987,429.2,0.5,1.0,288,-23.73,29.1,10213.8,-0.0,46.3,-351.3,158.5
GBP_JPY,TRAIL,986,429.2,0.5,1.5,288,-23.13,34.2,10045.7,-0.0,50.5,-351.3,146.3
GBP_JPY,TRAIL,819,429.2,1.0,0.5,288,-19.19,79.6,8390.0,-0.0,67.1,-351.3,173.7
GBP_JPY,TRAIL,817,429.2,1.0,1.0,288,-22.84,51.7,9915.6,-0.0,69.1,-351.3,158.5
GBP_JPY,TRAIL,814,429.2,1.0,1.5,288,-22.9,46.1,9982.8,-0.0,73.3,-351.3,146.3
GBP_JPY,TRAIL,726,429.2,1.5,0.5,288,-15.99,81.3,7067.2,-0.0,85.4,-362.2,173.7
GBP_JPY,TRAIL,726,429.2,1.5,1.0,288,-19.26,75.8,8446.8,-0.0,86.9,-362.2,158.5
GBP_JPY,TRAIL,725,429.2,1.5,1.5,288,-19.31,61.1,8515.9,-0.0,90.4,-362.2,146.3
GBP_JPY,XBACK,1595,429.2,0.0,0.0,288,-34.81,21.1,15008.5,-0.0,29.9,-255.6,358.2
GBP_JPY,TRAIL,887,429.2,0.5,0.5,576,-15.11,39.8,6562.9,-0.0,58.3,-424.0,173.7
GBP_JPY,TRAIL,880,429.2,0.5,1.0,576,-18.7,31.5,8053.4,-0.0,60.8,-424.0,158.5
GBP_JPY,TRAIL,880,429.2,0.5,1.5,576,-18.0,36.1,7846.7,-0.0,65.0,-424.0,146.3
GBP_JPY,TRAIL,702,429.2,1.0,0.5,576,-14.07,83.3,6198.0,-0.0,92.0,-420.2,173.7
GBP_JPY,TRAIL,700,429.2,1.0,1.0,576,-17.31,53.9,7544.2,-0.0,94.3,-420.2,158.5
GBP_JPY,TRAIL,697,429.2,1.0,1.5,576,-17.56,47.6,7687.7,-0.0,98.7,-420.2,146.3
GBP_JPY,TRAIL,582,429.2,1.5,0.5,576,-13.55,85.1,6038.6,-0.0,126.3,-421.7,173.7
GBP_JPY,TRAIL,582,429.2,1.5,1.0,576,-16.55,79.4,7321.1,-0.0,128.0,-421.7,158.5
GBP_JPY,TRAIL,581,429.2,1.5,1.5,576,-16.66,64.5,7442.7,-0.0,131.9,-421.7,146.3
GBP_JPY,XBACK,1595,429.2,0.0,0.0,576,-34.81,21.1,15008.5,-0.0,29.9,-255.6,358.2
USD_JPY,TRAIL,1021,429.0,0.5,0.5,288,-12.56,57.5,5430.3,-0.0,45.8,-411.7,158.6
USD_JPY,TRAIL,1017,429.0,0.5,1.0,288,-14.95,37.6,6407.5,-0.0,47.3,-411.7,155.5
USD_JPY,TRAIL,1004,429.0,0.5,1.5,288,-13.18,39.2,5723.2,-0.0,51.8,-411.7,148.0
USD_JPY,TRAIL,869,429.0,1.0,0.5,288,-12.51,85.8,5543.9,-0.0,64.5,-411.7,158.6
USD_JPY,TRAIL,865,429.0,1.0,1.0,288,-15.17,64.3,6627.9,-0.0,66.5,-411.7,155.5
USD_JPY,TRAIL,861,429.0,1.0,1.5,288,-14.81,49.9,6497.7,-0.0,70.0,-411.7,148.0
USD_JPY,TRAIL,775,429.0,1.5,0.5,288,-10.18,83.7,4603.4,-0.0,80.3,-411.7,158.6
USD_JPY,TRAIL,775,429.0,1.5,1.0,288,-12.4,82.6,5497.5,-0.0,82.1,-411.7,155.5
USD_JPY,TRAIL,772,429.0,1.5,1.5,288,-12.01,68.1,5343.3,-0.0,85.4,-411.7,148.0
USD_JPY,XBACK,1663,429.0,0.0,0.0,288,-16.05,24.3,6901.5,-0.0,30.9,-192.0,376.0
USD_JPY,TRAIL,867,429.0,0.5,0.5,576,-10.86,59.7,4680.0,-0.0,65.3,-394.9,158.6
USD_JPY,TRAIL,872,429.0,0.5,1.0,576,-13.06,38.5,5596.7,-0.0,65.6,-372.4,155.5
USD_JPY,TRAIL,863,429.0,0.5,1.5,576,-11.91,41.1,5178.9,-0.0,70.9,-372.4,148.0
USD_JPY,TRAIL,719,429.0,1.0,0.5,576,-9.9,89.2,4344.2,-0.0,93.0,-372.4,158.6
USD_JPY,TRAIL,717,429.0,1.0,1.0,576,-12.43,66.2,5411.8,-0.0,95.0,-372.4,155.5
USD_JPY,TRAIL,712,429.0,1.0,1.5,576,-12.35,52.5,5428.4,-0.0,99.6,-372.4,148.0
USD_JPY,TRAIL,629,429.0,1.5,0.5,576,-7.37,88.6,3349.1,-0.0,115.4,-372.4,158.6
USD_JPY,TRAIL,629,429.0,1.5,1.0,576,-9.53,87.1,4236.5,-0.0,117.3,-372.4,155.5
USD_JPY,TRAIL,626,429.0,1.5,1.5,576,-10.03,71.2,4480.9,-0.0,121.5,-372.4,148.0
USD_JPY,XBACK,1663,429.0,0.0,0.0,576,-16.05,24.3,6901.5,-0.0,30.9,-192.0,376.0
EUR_JPY,TRAIL,499,429.0,0.5,0.5,288,-7.3,44.5,3229.2,-0.0,47.1,-238.5,161.0
EUR_JPY,TRAIL,498,429.0,0.5,1.0,288,-8.23,33.3,3615.4,-0.0,49.1,-238.5,150.3
EUR_JPY,TRAIL,497,429.0,0.5,1.5,288,-7.72,33.6,3412.2,-0.0,53.8,-238.5,125.3
EUR_JPY,TRAIL,438,429.0,1.0,0.5,288,-7.48,80.8,3487.5,-0.0,68.8,-264.0,161.0
EUR_JPY,TRAIL,438,429.0,1.0,1.0,288,-9.19,56.4,4098.2,-0.0,70.2,-264.0,150.3
EUR_JPY,TRAIL,438,429.0,1.0,1.5,288,-8.83,45.0,4009.5,-0.0,74.4,-264.0,125.3
EUR_JPY,TRAIL,405,429.0,1.5,0.5,288,-7.44,81.2,3574.5,-0.0,84.8,-264.0,161.0
EUR_JPY,TRAIL,405,429.0,1.5,1.0,288,-8.99,77.0,4104.0,-0.0,86.1,-264.0,150.3
EUR_JPY,TRAIL,408,429.0,1.5,1.5,288,-8.97,59.1,4133.0,-0.0,88.9,-264.0,125.3
EUR_JPY,XBACK,752,429.0,0.0,0.0,288,-12.66,21.8,5472.1,-0.0,29.6,-115.9,266.8
EUR_JPY,TRAIL,449,429.0,0.5,0.5,576,-4.29,46.1,1946.1,-0.0,63.4,-259.8,161.0
EUR_JPY,TRAIL,448,429.0,0.5,1.0,576,-5.35,34.4,2378.6,-0.0,65.4,-259.8,150.3
EUR_JPY,TRAIL,447,429.0,0.5,1.5,576,-5.01,34.2,2248.4,-0.0,70.1,-259.8,125.3
EUR_JPY,TRAIL,381,429.0,1.0,0.5,576,-4.8,83.7,2417.5,-0.0,94.7,-408.1,161.0
EUR_JPY,TRAIL,381,429.0,1.0,1.0,576,-6.4,58.5,2967.5,-0.0,96.1,-408.1,150.3
EUR_JPY,TRAIL,381,429.0,1.0,1.5,576,-5.99,47.0,2858.3,-0.0,100.4,-408.1,125.3
EUR_JPY,TRAIL,346,429.0,1.5,0.5,576,-3.26,86.7,1811.2,-0.0,118.6,-408.1,161.0
EUR_JPY,TRAIL,346,429.0,1.5,1.0,576,-4.71,82.1,2321.6,-0.0,120.0,-408.1,150.3
EUR_JPY,TRAIL,349,429.0,1.5,1.5,576,-4.54,64.5,2281.8,-0.0,122.4,-408.1,125.3
EUR_JPY,XBACK,752,429.0,0.0,0.0,576,-12.66,21.8,5472.1,-0.0,29.6,-115.9,266.8
GBP_USD,TRAIL,1008,428.8,0.5,0.5,288,-11.74,40.1,5034.7,-0.0,45.4,-178.3,87.2
GBP_USD,TRAIL,1002,428.8,0.5,1.0,288,-13.94,31.9,5984.2,-0.0,47.3,-178.3,84.6
GBP_USD,TRAIL,987,428.8,0.5,1.5,288,-13.24,33.5,5707.4,-0.0,52.3,-178.3,82.0
GBP_USD,TRAIL,894,428.8,1.0,0.5,288,-8.63,78.9,3718.2,-0.0,60.8,-178.3,87.2
GBP_USD,TRAIL,893,428.8,1.0,1.0,288,-10.52,54.3,4525.6,-0.0,62.4,-178.3,84.6
GBP_USD,TRAIL,881,428.8,1.0,1.5,288,-10.91,44.0,4730.1,-0.0,67.3,-178.3,82.0
GBP_USD,TRAIL,805,428.8,1.5,0.5,288,-7.32,84.8,3176.3,-0.0,76.4,-178.3,81.7
GBP_USD,TRAIL,804,428.8,1.5,1.0,288,-9.1,79.2,3952.8,-0.0,78.2,-178.3,82.0
GBP_USD,TRAIL,803,428.8,1.5,1.5,288,-9.41,60.4,4078.6,-0.0,81.6,-164.3,75.9
GBP_USD,XBACK,1650,428.8,0.0,0.0,288,-17.52,21.5,7558.4,-0.0,31.0,-101.1,158.0
GBP_USD,TRAIL,888,428.8,0.5,0.5,576,-9.21,41.3,3945.8,-0.0,61.1,-253.9,87.2
GBP_USD,TRAIL,883,428.8,0.5,1.0,576,-11.18,33.1,4804.0,-0.0,63.3,-253.9,84.6
GBP_USD,TRAIL,869,428.8,0.5,1.5,576,-10.68,34.4,4608.8,-0.0,68.8,-253.9,82.0
GBP_USD,TRAIL,760,428.8,1.0,0.5,576,-6.68,83.0,2910.7,-0.0,84.5,-253.9,87.2
GBP_USD,TRAIL,759,428.8,1.0,1.0,576,-8.41,58.2,3627.1,-0.0,86.1,-253.9,84.6
GBP_USD,TRAIL,749,428.8,1.0,1.5,576,-8.73,46.6,3796.5,-0.0,91.4,-253.9,82.0
GBP_USD,TRAIL,655,428.8,1.5,0.5,576,-7.08,88.9,3220.1,-0.0,108.9,-359.6,81.7
GBP_USD,TRAIL,654,428.8,1.5,1.0,576,-8.65,83.6,3806.6,-0.0,110.8,-359.6,82.0
GBP_USD,TRAIL,655,428.8,1.5,1.5,576,-8.78,62.6,3810.8,-0.0,114.0,-359.6,75.9
GBP_USD,XBACK,1650,428.8,0.0,0.0,576,-17.52,21.5,7558.4,-0.0,31.0,-101.1,158.0
