pair,tf,n_bars,n_bull_flips,n_bear_flips,fwd_5_mean_pips,fwd_5_median_pips,fwd_5_std_pips,fwd_5_n,fwd_5_pct_positive,fwd_5_net_pips,fwd_10_mean_pips,fwd_10_median_pips,fwd_10_std_pips,fwd_10_n,fwd_10_pct_positive,fwd_10_net_pips,fwd_20_mean_pips,fwd_20_median_pips,fwd_20_std_pips,fwd_20_n,fwd_20_pct_positive,fwd_20_net_pips,fwd_50_mean_pips,fwd_50_median_pips,fwd_50_std_pips,fwd_50_n,fwd_50_pct_positive,fwd_50_net_pips,streak_bull_mean_pip_per_bar,streak_bear_mean_pip_per_bar,streak_separation_pips,streak_mean_bars,streak_median_bars,streak_max_bars
EUR_JPY,S5,9221888,1214578,1214579,-0.013067,0.000000,1.695498,2429154,47.749258,-2.313067,-0.015993,0.000000,2.378715,2429153,48.508842,-2.315993,-0.015802,0.000000,3.347266,2429151,49.007040,-2.315802,-0.014471,0.000000,5.246532,2429142,49.412920,-2.314471,0.263008,-0.267748,0.530757,3.796331,3.000000,92
EUR_JPY,M5,163235,20419,20419,-0.150909,-0.150000,12.405347,40836,49.015574,-2.450909,-0.161335,-0.200000,17.458532,40834,49.133075,-2.461335,-0.106175,-0.100000,24.285478,40832,49.603252,-2.406175,-0.095968,0.050000,38.234248,40826,50.039191,-2.395968,1.730608,-1.830883,3.561491,3.997037,3.000000,41
EUR_JPY,H1,13611,1750,1750,-0.190054,-0.800000,40.700363,3499,49.214061,-2.490054,-0.940206,-0.500000,56.308331,3497,49.442379,-3.240206,-0.853434,-1.375000,79.838537,3494,49.170006,-3.153434,-0.286693,-2.050000,121.822625,3487,49.354746,-2.586693,6.244497,-6.791816,13.036313,3.887746,3.000000,24
USD_JPY,S5,8999694,1155930,1155931,0.004663,0.000000,1.630038,2311858,47.347804,-1.695337,0.001250,0.000000,2.314737,2311857,48.341571,-1.698750,0.002603,0.000000,3.275859,2311855,49.042003,-1.697397,0.003252,0.000000,5.168905,2311846,49.500918,-1.696748,0.244027,-0.246046,0.490072,3.892834,3.000000,112
USD_JPY,M5,163246,19923,19923,0.018616,0.000000,12.477618,39844,49.879530,-1.681384,-0.052378,-0.050000,17.604324,39842,49.784147,-1.752378,-0.033558,-0.100000,24.576618,39842,49.696300,-1.733558,0.000781,-0.025000,38.644207,39834,49.932219,-1.699219,1.726624,-1.799581,3.526204,4.096820,3.000000,39
USD_JPY,H1,13611,1722,1722,-0.133290,-0.150000,42.960725,3444,49.593496,-1.833290,0.224187,-0.125000,59.123173,3442,49.883788,-1.475813,0.006453,-0.350000,86.815264,3440,49.738372,-1.693547,-0.470702,-0.250000,136.755115,3432,49.796037,-2.170702,6.354874,-6.747032,13.101906,3.950943,3.000000,32
GBP_JPY,S5,9283707,1195212,1195213,-0.014093,0.000000,2.084533,2390424,48.143928,-3.314093,-0.019251,-0.000000,2.939251,2390423,48.711128,-3.319251,-0.018534,-0.000000,4.123239,2390421,49.153894,-3.318534,-0.017682,0.000000,6.417273,2390415,49.513704,-3.317682,0.322289,-0.326944,0.649232,3.883704,3.000000,104
GBP_JPY,M5,163239,20411,20410,-0.174609,-0.200000,15.243041,40817,49.008991,-3.474609,-0.182433,-0.250000,21.424110,40815,49.106946,-3.482433,-0.197349,-0.250000,30.112724,40813,49.356823,-3.497349,-0.176514,-0.100000,47.724541,40806,49.857864,-3.476514,2.139062,-2.292993,4.432055,3.998800,3.000000,41
GBP_JPY,H1,13611,1792,1792,-0.195883,-1.000000,50.242668,3583,49.120848,-3.495883,-0.615941,-1.325000,70.449034,3582,48.994975,-3.915941,-0.383175,0.100000,100.931653,3578,50.055897,-3.683175,-0.681668,-0.650000,153.796744,3573,49.790092,-3.981668,7.834482,-8.546442,16.380923,3.796653,3.000000,25
AUD_JPY,S5,8947094,1197577,1197578,-0.007365,0.000000,1.254708,2395154,47.860806,-2.107365,-0.009926,0.000000,1.779322,2395152,48.527526,-2.109926,-0.010018,0.000000,2.518844,2395151,48.988769,-2.110018,-0.009739,0.000000,3.978112,2395140,49.403626,-2.109739,0.207446,-0.210693,0.418138,3.735495,3.000000,55
