is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p,n_filtered,pair,strategy,filter,nc,dm
0.2,1.0,11,0.61,4.93,9.42,3,4.22,0.979,97,,0,GBP_JPY,SMA16,baseline,0,0.0
0.26,1.0,13,0.77,9.63,9.59,3,6.8,1.0,130,,0,USD_JPY,SMA16,baseline,0,0.0
0.1,1.0,5,0.3,1.17,6.99,3,4.53,1.0,100,,0,EUR_JPY,SMA16,baseline,0,0.0
2.38,1.0,106,0.36,7.41,1.91,3,2.33,1.0,46,0.0,0,GBP_USD,SMA16,baseline,0,0.0
0.11,1.0,6,0.34,0.07,6.77,3,3.2,0.986,71,,0,AUD_JPY,SMA16,baseline,0,0.0
2.07,1.0,87,1.71,0.06,2.57,3,3.04,1.0,56,0.0,0,EUR_USD,SMA16,baseline,0,0.0
0.3,1.0,14,0.23,0.56,0.47,3,0.31,1.0,7,,0,EUR_GBP,SMA16,baseline,0,0.0
1.07,1.0,50,0.83,1.04,0.42,3,0.87,1.0,18,0.0,0,AUD_USD,SMA16,baseline,0,0.0
0.07,1.0,4,0.22,0.0,3.43,2,0.95,1.0,23,,0,NZD_JPY,SMA16,baseline,0,0.0
0.09,1.0,5,0.27,7.66,0.0,2,1.5,1.0,35,,0,CHF_JPY,SMA16,baseline,0,0.0
0.21,1.0,11,0.63,4.52,9.08,3,4.47,0.98,102,,31,GBP_JPY,SMA16,nc2_dm2.0,2,2.0
0.28,1.0,14,0.83,9.11,3.33,3,6.71,1.0,125,,10,USD_JPY,SMA16,nc2_dm2.0,2,2.0
0.1,1.0,5,0.29,6.07,6.8,3,5.06,1.0,111,,2,EUR_JPY,SMA16,nc2_dm2.0,2,2.0
2.3,1.0,100,0.35,7.19,1.76,3,2.47,1.0,48,0.0,130,GBP_USD,SMA16,nc2_dm2.0,2,2.0
0.12,1.0,6,0.36,0.07,3.99,3,3.08,0.986,69,,6,AUD_JPY,SMA16,nc2_dm2.0,2,2.0
2.07,1.0,88,1.75,0.11,2.8,3,3.05,1.0,56,0.0,109,EUR_USD,SMA16,nc2_dm2.0,2,2.0
0.59,1.0,31,1.54,0.51,0.49,3,0.31,1.0,7,0.0,42,EUR_GBP,SMA16,nc2_dm2.0,2,2.0
1.12,1.0,53,0.82,0.96,0.36,3,0.89,1.0,18,0.0,56,AUD_USD,SMA16,nc2_dm2.0,2,2.0
0.07,1.0,4,0.21,0.0,3.44,2,1.25,1.0,29,,6,NZD_JPY,SMA16,nc2_dm2.0,2,2.0
0.09,1.0,5,0.27,7.58,0.0,2,1.31,0.971,34,,3,CHF_JPY,SMA16,nc2_dm2.0,2,2.0
0.21,1.0,11,0.62,4.51,9.13,3,4.43,0.98,101,,29,GBP_JPY,SMA16,nc2_dm2.5,2,2.5
0.28,1.0,14,0.83,9.15,3.33,3,6.71,1.0,125,,8,USD_JPY,SMA16,nc2_dm2.5,2,2.5
0.1,1.0,5,0.3,6.07,6.96,3,5.02,1.0,110,,1,EUR_JPY,SMA16,nc2_dm2.5,2,2.5
2.3,1.0,100,0.35,7.19,1.81,3,2.47,1.0,48,0.0,129,GBP_USD,SMA16,nc2_dm2.5,2,2.5
0.12,1.0,6,0.36,0.07,3.99,3,3.09,0.986,69,,6,AUD_JPY,SMA16,nc2_dm2.5,2,2.5
2.07,1.0,88,1.75,0.11,2.82,3,3.05,1.0,56,0.0,108,EUR_USD,SMA16,nc2_dm2.5,2,2.5
0.63,1.0,32,1.63,0.51,0.49,3,0.31,1.0,7,0.0,32,EUR_GBP,SMA16,nc2_dm2.5,2,2.5
1.12,1.0,53,0.82,0.96,0.36,3,0.89,1.0,18,0.0,54,AUD_USD,SMA16,nc2_dm2.5,2,2.5
0.07,1.0,4,0.22,0.0,3.28,2,1.24,1.0,29,,5,NZD_JPY,SMA16,nc2_dm2.5,2,2.5
0.09,1.0,5,0.27,7.62,0.0,2,1.36,1.0,33,,3,CHF_JPY,SMA16,nc2_dm2.5,2,2.5
0.2,1.0,11,0.61,4.52,9.18,3,4.42,0.98,101,,27,GBP_JPY,SMA16,nc2_dm3.0,2,3.0
0.28,1.0,14,0.83,9.15,3.33,3,6.72,1.0,124,,7,USD_JPY,SMA16,nc2_dm3.0,2,3.0
0.1,1.0,5,0.3,6.1,6.99,3,4.98,1.0,109,,1,EUR_JPY,SMA16,nc2_dm3.0,2,3.0
2.25,1.0,97,0.35,7.03,1.81,3,2.43,1.0,47,0.0,130,GBP_USD,SMA16,nc2_dm3.0,2,3.0
0.12,1.0,6,0.36,0.07,3.97,3,3.12,0.986,70,,6,AUD_JPY,SMA16,nc2_dm3.0,2,3.0
2.07,1.0,88,1.74,0.11,2.82,3,3.05,1.0,56,0.0,105,EUR_USD,SMA16,nc2_dm3.0,2,3.0
0.29,1.0,13,0.23,0.51,0.5,3,0.31,1.0,7,,12,EUR_GBP,SMA16,nc2_dm3.0,2,3.0
