pair,mw,mt,sig_thr,sma,n_consec,dist_min_m,dist_max_m,tp_frac,sl_frac,atr_mult,is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
EUR_USD,5,0.002,-999.0,14,2,3.0,5.0,0.5,1.5,1.0,0.01,0.72,758,-0.11,0.22,-0.08,False,-0.54,0.642,254,
EUR_USD,5,0.002,-999.0,14,2,3.0,5.0,0.6,1.5,1.0,0.05,0.688,757,-0.01,0.29,-0.13,False,-0.58,0.602,254,
EUR_USD,5,0.002,-999.0,14,2,3.0,5.0,0.7,1.5,1.0,0.05,0.658,757,-0.04,0.31,-0.12,False,-0.58,0.575,254,
EUR_USD,5,0.002,-999.0,14,2,3.0,5.0,0.8,1.5,1.0,0.05,0.628,756,-0.01,0.32,-0.18,False,-0.63,0.54,252,
EUR_USD,5,0.002,-999.0,14,2,3.0,5.0,0.8,2.0,1.0,0.01,0.666,754,-0.08,0.22,-0.11,False,-0.68,0.583,252,
EUR_USD,5,0.002,-999.0,14,2,3.0,5.0,0.8,2.5,1.0,0.01,0.686,752,-0.18,0.43,-0.23,False,-0.74,0.595,252,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.4,1.5,0.5,0.02,0.746,894,0.27,0.2,-0.42,False,-0.74,0.653,320,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.4,1.5,1.0,0.04,0.77,413,0.23,0.14,-0.24,False,-0.3,0.674,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.4,2.5,1.0,0.01,0.804,413,0.36,0.05,-0.39,False,-0.51,0.696,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.5,1.5,0.5,0.16,0.714,893,0.33,0.39,-0.25,False,-0.81,0.602,319,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.5,1.5,1.0,0.15,0.751,413,0.3,0.23,-0.06,False,-0.37,0.615,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.5,2.0,0.5,0.14,0.736,890,0.4,0.39,-0.38,False,-0.89,0.625,317,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.5,2.0,1.0,0.12,0.77,413,0.41,0.15,-0.22,False,-0.44,0.637,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.5,2.5,0.5,0.05,0.743,890,0.35,0.31,-0.52,False,-0.95,0.64,317,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.5,2.5,1.0,0.09,0.78,413,0.38,0.14,-0.26,False,-0.58,0.637,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.6,1.5,0.5,0.14,0.673,890,0.35,0.31,-0.23,False,-0.79,0.577,319,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.6,1.5,1.0,0.19,0.719,413,0.37,0.27,-0.06,False,-0.43,0.57,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.6,2.0,0.5,0.1,0.694,887,0.42,0.27,-0.4,False,-0.83,0.603,317,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.6,2.0,1.0,0.14,0.738,413,0.48,0.19,-0.24,False,-0.45,0.607,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.6,2.5,1.0,0.1,0.748,413,0.43,0.16,-0.3,False,-0.57,0.607,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.7,1.5,0.5,0.06,0.632,888,0.18,0.35,-0.36,False,-0.78,0.549,319,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.7,1.5,1.0,0.16,0.68,413,0.31,0.28,-0.13,False,-0.44,0.548,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.7,2.0,0.5,0.06,0.66,885,0.29,0.38,-0.48,False,-0.83,0.574,317,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.7,2.0,1.0,0.15,0.712,413,0.46,0.23,-0.26,False,-0.46,0.585,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.7,2.5,1.0,0.11,0.722,413,0.42,0.24,-0.32,False,-0.54,0.593,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.8,1.5,0.5,0.08,0.605,886,0.22,0.51,-0.51,False,-0.8,0.524,319,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.8,1.5,1.0,0.15,0.649,413,0.32,0.3,-0.18,False,-0.45,0.519,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.8,2.0,0.5,0.11,0.638,883,0.34,0.54,-0.54,False,-0.83,0.552,317,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.8,2.0,1.0,0.16,0.688,413,0.49,0.24,-0.26,False,-0.47,0.556,135,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.8,2.5,0.5,0.05,0.647,883,0.27,0.49,-0.63,False,-0.74,0.577,317,
EUR_USD,5,0.002,-999.0,14,2,4.0,5.0,0.8,2.5,1.0,0.14,0.7,413,0.42,0.28,-0.27,False,-0.56,0.563,135,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.3,1.5,1.0,0.04,0.831,307,0.19,-0.05,-0.01,False,-0.05,0.802,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.4,1.5,1.0,0.07,0.788,307,0.22,-0.04,0.03,False,-0.02,0.767,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.4,2.0,1.0,0.02,0.801,307,0.19,-0.12,-0.0,False,-0.05,0.767,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.5,1.5,1.0,0.1,0.749,307,0.32,-0.12,0.09,False,0.04,0.744,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.5,2.0,1.0,0.05,0.765,307,0.31,-0.21,0.04,False,-0.0,0.744,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.5,2.5,1.0,0.04,0.775,307,0.21,-0.09,-0.01,False,-0.08,0.744,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.6,1.5,1.0,0.11,0.71,307,0.36,-0.06,0.03,False,-0.03,0.674,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.6,2.0,1.0,0.08,0.73,307,0.38,-0.18,0.05,False,-0.08,0.674,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.6,2.5,1.0,0.06,0.736,307,0.28,-0.09,-0.01,False,-0.17,0.674,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.7,1.5,1.0,0.05,0.655,307,0.35,-0.03,-0.18,False,-0.03,0.64,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.8,1.5,1.0,0.07,0.634,306,0.38,-0.1,-0.08,False,-0.12,0.581,86,
EUR_USD,5,0.002,-999.0,20,2,4.0,5.0,0.8,2.0,1.0,0.02,0.654,306,0.38,-0.24,-0.09,False,-0.08,0.605,86,
EUR_USD,5,0.002,-999.0,20,4,4.0,5.0,0.5,1.5,1.0,0.01,0.703,202,0.11,-0.05,-0.04,False,-0.04,0.683,60,
EUR_USD,5,0.002,-999.0,20,4,4.0,5.0,0.6,1.5,1.0,0.01,0.663,202,0.08,-0.03,-0.03,False,-0.12,0.567,60,
EUR_USD,5,0.002,-999.0,20,4,4.0,5.0,0.7,1.5,1.0,0.01,0.629,202,0.01,-0.02,0.03,False,-0.12,0.533,60,
EUR_USD,5,0.002,-999.0,20,4,4.0,5.0,0.8,1.5,1.0,0.01,0.599,202,-0.0,-0.03,0.05,False,-0.16,0.483,60,
EUR_USD,5,0.002,-999.0,20,4,4.0,5.0,0.8,2.0,1.0,0.01,0.619,202,-0.07,-0.04,0.14,False,-0.18,0.483,60,
EUR_USD,5,0.002,0.0,14,2,3.0,5.0,0.5,1.5,1.0,0.02,0.718,362,0.02,0.11,-0.07,False,-0.38,0.612,134,
EUR_USD,5,0.002,0.0,14,2,3.0,5.0,0.6,1.5,1.0,0.04,0.685,362,0.03,0.12,-0.04,False,-0.41,0.575,134,
