pair,dir,entry_bar,exit_bar,bars,hours,pips,reason,mfe,mae
USD_JPY,1,403,554,151,12.583333333333334,20.0,TP,31.19999999999834,-76.20000000000005
USD_JPY,1,595,615,20,1.6666666666666667,20.0,TP,26.800000000000068,-17.199999999999704
USD_JPY,1,616,626,10,0.8333333333333334,20.0,TP,24.00000000000091,-6.000000000000227
USD_JPY,1,627,654,27,2.25,20.0,TP,19.999999999998863,-10.499999999998977
USD_JPY,1,655,702,47,3.9166666666666665,20.0,TP,20.599999999998886,-8.00000000000125
USD_JPY,1,703,14430,13727,1143.9166666666667,20.0,TP,24.199999999999022,-530.8999999999997
USD_JPY,1,14431,14456,25,2.0833333333333335,20.0,TP,23.199999999999932,-21.09999999999843
USD_JPY,1,14457,14482,25,2.0833333333333335,20.0,TP,25.600000000000023,-17.099999999999227
USD_JPY,1,14483,14493,10,0.8333333333333334,20.0,TP,22.8999999999985,-5.400000000000205
USD_JPY,1,14494,14502,8,0.6666666666666666,20.0,TP,28.999999999999204,-2.5999999999982037
USD_JPY,1,14503,14522,19,1.5833333333333333,20.0,TP,20.50000000000125,-1.6999999999995907
USD_JPY,1,14523,14570,47,3.9166666666666665,20.0,TP,27.700000000001523,-21.09999999999843
USD_JPY,1,14571,14582,11,0.9166666666666666,20.0,TP,23.30000000000041,-6.999999999999318
USD_JPY,1,14583,14593,10,0.8333333333333334,20.0,TP,21.399999999999864,-11.599999999998545
USD_JPY,1,14594,14678,84,7.0,20.0,TP,29.09999999999968,-35.000000000002274
USD_JPY,1,14679,14935,256,21.333333333333332,20.0,TP,23.999999999998067,-46.80000000000177
USD_JPY,1,15038,15135,97,8.083333333333334,20.0,TP,19.999999999998863,-16.800000000000637
USD_JPY,1,15136,19257,4121,343.4166666666667,20.0,TP,29.300000000000637,-385.59999999999945
USD_JPY,1,19258,19275,17,1.4166666666666667,20.0,TP,24.399999999999977,-22.800000000000864
USD_JPY,1,19276,19303,27,2.25,20.0,TP,20.300000000000296,-9.099999999997976
USD_JPY,1,19304,19319,15,1.25,20.0,TP,24.899999999999523,-1.6999999999995907
USD_JPY,1,19320,19333,13,1.0833333333333333,20.0,TP,24.600000000000932,-5.099999999998772
USD_JPY,1,19334,21808,2474,206.16666666666666,20.0,TP,23.400000000000887,-154.20000000000016
USD_JPY,1,21829,21869,40,3.3333333333333335,20.0,TP,21.60000000000082,-16.59999999999968
USD_JPY,1,21870,22800,930,77.5,20.0,TP,25.200000000000955,-125.7000000000005
USD_JPY,1,22801,22908,107,8.916666666666666,20.0,TP,21.89999999999941,-5.60000000000116
USD_JPY,1,22909,23114,205,17.083333333333332,20.0,TP,22.699999999997544,-52.00000000000102
USD_JPY,1,23115,23124,9,0.75,20.0,TP,20.39999999999793,0.0
USD_JPY,1,23125,23313,188,15.666666666666666,20.0,TP,26.700000000002433,-46.699999999998454
USD_JPY,1,23323,23327,4,0.3333333333333333,20.0,TP,21.89999999999941,0.0
USD_JPY,1,23328,23371,43,3.5833333333333335,20.0,TP,20.39999999999793,-20.300000000000296
USD_JPY,1,23372,23376,4,0.3333333333333333,20.0,TP,25.29999999999859,0.0
USD_JPY,1,23377,23424,47,3.9166666666666665,20.0,TP,23.599999999999,-22.100000000000364
USD_JPY,1,23425,23452,27,2.25,20.0,TP,24.200000000001864,-6.799999999998363
USD_JPY,1,23453,23504,51,4.25,20.0,TP,22.100000000000364,-19.599999999999795
USD_JPY,1,23505,23544,39,3.25,20.0,TP,20.400000000000773,-2.6999999999986812
USD_JPY,1,23545,23564,19,1.5833333333333333,20.0,TP,21.699999999998454,-4.699999999999704
USD_JPY,1,23565,23646,81,6.75,20.0,TP,20.49999999999841,-56.89999999999884
USD_JPY,1,23647,23649,2,0.16666666666666666,20.0,TP,25.200000000000955,-20.400000000000773
USD_JPY,1,23650,23668,18,1.5,20.0,TP,22.59999999999991,-15.899999999999181
USD_JPY,1,23669,33449,9780,815.0,20.0,TP,20.50000000000125,-350.6
USD_JPY,1,33450,33454,4,0.3333333333333333,20.0,TP,21.79999999999893,-15.100000000001046
USD_JPY,1,33455,33863,408,34.0,20.0,TP,20.79999999999984,-63.900000000001
USD_JPY,1,33864,33876,12,1.0,20.0,TP,21.60000000000082,-2.1000000000015007
USD_JPY,1,33877,33884,7,0.5833333333333334,20.0,TP,20.199999999999818,0.0
USD_JPY,1,33885,33923,38,3.1666666666666665,20.0,TP,21.50000000000034,-9.700000000000841
USD_JPY,1,33924,34041,117,9.75,20.0,TP,21.79999999999893,-35.09999999999991
USD_JPY,1,34042,34148,106,8.833333333333334,20.0,TP,22.999999999998977,-16.100000000000136
USD_JPY,1,34149,46295,12146,1012.1666666666666,20.0,TP,31.800000000001205,-727.7999999999992
USD_JPY,1,46337,46445,108,9.0,20.0,TP,20.09999999999934,-44.29999999999836
USD_JPY,1,46451,47336,885,73.75,20.0,TP,20.09999999999934,-101.60000000000196
USD_JPY,1,47337,49311,1974,164.5,20.0,TP,39.19999999999959,-227.20000000000198
USD_JPY,1,49312,49329,17,1.4166666666666667,20.0,TP,22.399999999998954,-9.799999999998477
USD_JPY,1,49330,51839,2509,209.08333333333334,-132.59999999999934,end,8.00000000000125,-249.5999999999981
EUR_JPY,-1,377,400,23,1.9166666666666667,20.0,TP,10.400000000001342,0.0
EUR_JPY,-1,401,410,9,0.75,20.0,TP,9.200000000001296,0.0
EUR_JPY,-1,411,494,83,6.916666666666667,20.0,TP,15.799999999998704,-10.500000000001819
EUR_JPY,-1,495,498,3,0.25,20.0,TP,15.999999999999659,0.0
EUR_JPY,-1,499,507,8,0.6666666666666666,20.0,TP,8.400000000000318,0.0
EUR_JPY,-1,508,509,1,0.08333333333333333,20.0,TP,19.200000000000728,0.0
EUR_JPY,-1,510,51839,51329,4277.416666666667,-1579.8000000000002,end,3.7999999999982492,-1689.9
GBP_JPY,-1,402,449,47,3.9166666666666665,20.0,TP,15.800000000001546,0.0
GBP_JPY,-1,486,899,413,34.416666666666664,20.0,TP,6.60000000000025,-231.30000000000166
GBP_JPY,-1,900,902,2,0.16666666666666666,20.0,TP,0.0,0.0
GBP_JPY,-1,903,905,2,0.16666666666666666,20.0,TP,1.8000000000000682,0.0
GBP_JPY,-1,906,933,27,2.25,20.0,TP,12.699999999998113,-30.100000000001614
GBP_JPY,-1,934,940,6,0.5,20.0,TP,12.999999999999545,0.0
GBP_JPY,-1,941,942,1,0.08333333333333333,20.0,TP,11.099999999999,0.0
GBP_JPY,-1,943,1235,292,24.333333333333332,20.0,TP,17.500000000001137,-99.79999999999905
GBP_JPY,-1,1266,1313,47,3.9166666666666665,20.0,TP,10.099999999999909,-27.50000000000057
