pair,T_q_h,X,T_s_h,W,is_net,is_dd,oos_net,oos_dd,oos_trades,oos_tp,oos_q,oos_s,oos_end
USD_JPY,,,24.0,10.0,774.680000000003,-89.85999999999956,888.5599999999984,-133.85999999999933,69,59,0,9,1
USD_JPY,0.5,2.0,24.0,10.0,747.8600000000075,-89.85999999999956,747.7599999999962,-135.2199999999998,119,74,34,10,1
USD_JPY,0.5,3.0,24.0,10.0,766.9000000000099,-92.65999999999872,621.0599999999924,-135.2199999999998,149,79,60,9,1
USD_JPY,0.5,5.0,24.0,10.0,729.8800000000101,-92.65999999999872,652.1799999999831,-125.16000000000042,172,86,77,8,1
USD_JPY,0.5,8.0,24.0,10.0,475.74000000000393,-121.23999999999376,414.6799999999918,-197.6799999999987,297,87,200,9,1
USD_JPY,1.0,2.0,24.0,10.0,729.3800000000003,-89.85999999999956,847.900000000006,-139.4600000000005,105,76,19,9,1
USD_JPY,1.0,3.0,24.0,10.0,735.779999999994,-89.85999999999956,910.2400000000015,-103.8599999999982,126,84,30,11,1
USD_JPY,1.0,5.0,24.0,10.0,700.5399999999925,-92.65999999999872,922.6799999999982,-102.21999999999741,157,95,51,10,1
USD_JPY,1.0,8.0,24.0,10.0,726.7800000000138,-208.11999999998977,677.8800000000119,-137.54000000000167,142,77,56,8,1
USD_JPY,2.0,2.0,24.0,10.0,770.6199999999997,-114.11999999999739,865.2600000000006,-139.4600000000005,94,74,10,9,1
USD_JPY,2.0,3.0,24.0,10.0,740.239999999996,-79.65999999999917,934.0599999999973,-103.8599999999982,114,84,19,10,1
USD_JPY,2.0,5.0,24.0,10.0,649.7599999999918,-79.65999999999917,802.1200000000018,-112.26000000000136,118,81,26,10,1
USD_JPY,2.0,8.0,24.0,10.0,584.3600000000029,-180.43999999999846,704.5400000000056,-114.98000000000116,151,92,50,8,1
USD_JPY,4.0,2.0,24.0,10.0,904.3200000000014,-89.85999999999956,798.4199999999967,-132.979999999999,78,61,6,10,1
USD_JPY,4.0,3.0,24.0,10.0,848.1600000000019,-89.85999999999956,798.4199999999967,-132.979999999999,78,61,6,10,1
USD_JPY,4.0,5.0,24.0,10.0,859.6199999999959,-82.3600000000007,715.5799999999939,-184.96000000000117,92,70,12,9,1
USD_JPY,4.0,8.0,24.0,10.0,821.0799999999967,-82.3600000000007,393.8399999999997,-364.79999999999967,121,83,30,7,1
