pair,T_s_h,k,is_net,oos_net,oos_dd,oos_trades,avg_W,oos_tp,oos_scratch,oos_end
USD_JPY,6,0.3,-355.7399999999923,492.5199999999953,-250.85999999999808,68,8.385850256077651,45,22,1
USD_JPY,6,0.5,-394.4199999999986,877.6799999999862,-368.1400000000002,112,13.699071532989024,79,32,1
USD_JPY,6,0.7,-1113.4399999999955,406.439999999998,-250.85999999999808,76,19.374540113608802,49,26,1
USD_JPY,6,1.0,-321.8400000000056,183.0400000000045,-250.85999999999808,71,26.965435490335132,42,28,1
USD_JPY,6,1.5,-1264.8399999999951,128.1000000000056,-250.85999999999808,75,40.42569832227081,45,29,1
USD_JPY,6,2.0,-1222.5999999999979,131.98000000000297,-265.1000000000073,142,48.42350310548045,77,64,1
USD_JPY,8,0.3,-353.17999999999734,740.2399999999989,-137.75999999999806,81,7.872474670487709,54,26,1
USD_JPY,8,0.5,-1021.5199999999977,312.67999999999495,-644.5000000000022,82,14.389979765677086,61,20,1
USD_JPY,8,0.7,-1104.8999999999942,404.13999999999953,-250.85999999999808,71,19.31654437341602,49,21,1
USD_JPY,8,1.0,-1174.599999999999,231.42000000000547,-250.85999999999808,63,27.037872714374956,42,20,1
USD_JPY,8,1.5,-1171.8200000000036,166.80000000001075,-264.2999999999927,65,40.10237579283166,45,19,1
USD_JPY,8,2.0,-1270.259999999996,256.4800000000106,-181.52000000000032,117,49.45477591412839,73,43,1
USD_JPY,12,0.3,-325.62000000000137,481.62000000000126,-260.45999999999844,58,8.540231141439406,44,13,1
USD_JPY,12,0.5,-356.88000000000534,350.03999999999235,-644.5000000000022,76,14.731486807402883,61,14,1
USD_JPY,12,0.7,-1059.919999999995,416.1599999999994,-250.85999999999808,64,19.779318258374527,48,15,1
USD_JPY,12,1.0,-1136.239999999998,315.3399999999973,-377.63999999999874,71,28.015752846223823,55,15,1
USD_JPY,12,1.5,-1150.9600000000053,206.83999999999935,-250.85999999999808,66,40.594469928052355,49,16,1
USD_JPY,12,2.0,-1249.4000000000012,118.00000000000631,-274.13999999999453,60,54.70200811747714,45,14,1
USD_JPY,24,0.3,775.4200000000001,872.5800000000015,-133.85999999999933,67,8.05284938677461,57,9,1
USD_JPY,24,0.5,789.0999999999984,881.139999999996,-133.85999999999933,71,13.358003672214467,60,10,1
USD_JPY,24,0.7,771.8800000000005,813.8799999999961,-137.75999999999806,72,18.987247225898482,60,11,1
USD_JPY,24,1.0,862.9600000000033,-169.540000000002,-657.4399999999989,44,31.18803302665026,35,8,1
USD_JPY,24,1.5,854.1999999999947,287.46000000000055,-392.7799999999986,64,42.54484248295924,52,11,1
USD_JPY,24,2.0,843.8600000000052,180.8799999999951,-388.7400000000006,67,55.771768082782096,54,12,1
USD_JPY,48,0.3,782.1800000000007,872.3200000000006,-133.85999999999933,63,8.073516790222797,56,6,1
USD_JPY,48,0.5,816.8800000000022,896.4799999999985,-133.85999999999933,67,13.386607097175961,59,7,1
USD_JPY,48,0.7,808.3200000000054,864.0800000000002,-133.85999999999933,67,18.781959123246317,59,7,1
USD_JPY,48,1.0,824.9400000000068,828.2999999999975,-133.85999999999933,70,26.51136271955259,61,8,1
USD_JPY,48,1.5,808.4399999999968,-183.3799999999984,-652.6799999999964,38,47.97908824133029,33,4,1
USD_JPY,48,2.0,814.5000000000059,851.040000000001,-141.51999999999862,91,51.87625540777756,80,10,1
EUR_JPY,6,0.3,-1346.400000000001,-281.1999999999995,-487.6999999999995,20,9.578270395215899,13,6,1
EUR_JPY,6,0.5,-1331.6000000000047,122.40000000000202,-47.99999999999898,24,13.372342481857435,14,9,1
EUR_JPY,6,0.7,-756.8000000000014,102.8999999999985,-66.4999999999992,25,18.46044846054947,14,10,1
EUR_JPY,6,1.0,-1317.900000000002,-189.6000000000015,-552.7000000000003,55,27.922891446259342,36,18,1
EUR_JPY,6,1.5,-1334.0000000000023,-147.69999999999857,-270.0999999999958,42,39.4677237889976,22,19,1
EUR_JPY,6,2.0,-157.10000000002242,-136.39999999999952,-286.39999999999736,46,54.16917893030959,26,19,1
EUR_JPY,8,0.3,-1335.2000000000003,-288.6999999999996,-487.6999999999995,18,9.48563675524155,12,5,1
EUR_JPY,8,0.5,-1337.7999999999984,-263.000000000001,-487.6999999999995,24,15.143868041209602,15,8,1
EUR_JPY,8,0.7,-1337.5999999999976,-286.5000000000024,-504.50000000000034,24,21.027710687342573,15,8,1
EUR_JPY,8,1.0,-1337.6000000000004,-387.7999999999995,-569.3,34,29.929099320021574,20,13,1
EUR_JPY,8,1.5,-1353.7000000000007,-152.5000000000033,-274.90000000000055,42,39.40650646404084,23,18,1
EUR_JPY,8,2.0,353.09999999999513,-235.59999999999934,-385.5999999999972,42,53.6905887226943,23,18,1
EUR_JPY,12,0.3,-1339.1000000000004,-260.9999999999998,-487.6999999999995,18,9.447869882741891,13,4,1
EUR_JPY,12,0.5,-1340.7000000000007,-235.90000000000293,-487.6999999999995,24,15.116292520252763,17,6,1
EUR_JPY,12,0.7,-1336.6,-251.40000000000464,-487.6999999999995,26,20.5462139241362,18,7,1
EUR_JPY,12,1.0,-1346.2000000000016,169.7999999999986,-47.49999999999932,27,27.528016917089122,18,8,1
EUR_JPY,12,1.5,-1362.300000000002,84.8999999999985,-137.00000000000148,37,41.508775842412525,24,12,1
EUR_JPY,12,2.0,-1434.9000000000003,-272.30000000000314,-589.8999999999991,58,56.68535931001609,43,14,1
EUR_JPY,24,0.3,-1339.1000000000004,-314.5000000000015,-482.49999999999875,12,10.25426847489474,9,2,1
EUR_JPY,24,0.5,-1339.2000000000007,-275.6000000000015,-487.6999999999995,19,15.54893336721164,14,4,1
EUR_JPY,24,0.7,-1336.6,-265.8000000000004,-487.6999999999995,20,21.55042951602116,15,4,1
EUR_JPY,24,1.0,-1340.3000000000006,-230.6000000000015,-508.9999999999992,29,30.471494801212078,22,6,1
EUR_JPY,24,1.5,-1356.4000000000008,-301.2000000000004,-487.6999999999995,29,44.872355522538534,22,6,1
EUR_JPY,24,2.0,-1347.1999999999998,-402.80000000000155,-515.4999999999993,33,61.524684310016966,25,7,1
EUR_JPY,48,0.3,-1339.1000000000004,-314.5000000000015,-482.49999999999875,12,10.25426847489474,9,2,1
EUR_JPY,48,0.5,-1339.2000000000007,-275.6000000000015,-487.6999999999995,19,15.54893336721164,14,4,1
EUR_JPY,48,0.7,-1336.6,-265.8000000000004,-487.6999999999995,20,21.55042951602116,15,4,1
EUR_JPY,48,1.0,-1340.3000000000006,-280.5,-487.6999999999995,22,30.964618084530482,17,4,1
EUR_JPY,48,1.5,-1356.4000000000008,-317.20000000000084,-503.89999999999907,25,45.80344341802272,19,5,1
EUR_JPY,48,2.0,-1368.5000000000018,-325.5000000000018,-502.1999999999997,30,62.17651071555162,24,5,1
GBP_JPY,6,0.3,-1643.3000000000034,468.1000000000015,-328.79999999999814,84,9.518747382787414,56,27,1
GBP_JPY,6,0.5,-1643.3000000000034,747.099999999994,-42.199999999997885,105,14.81523047586177,66,38,1
GBP_JPY,6,0.7,-1659.7000000000007,129.00000000000102,-176.00000000000185,32,23.288764013581826,24,7,1
GBP_JPY,6,1.0,-83.40000000000197,181.3999999999945,-176.00000000000185,39,34.56356457078126,30,8,1
GBP_JPY,6,1.5,506.3999999999869,122.59999999999332,-176.00000000000185,40,52.65727631308781,31,8,1
GBP_JPY,6,2.0,-1424.4000000000074,-111.60000000000913,-308.80000000000723,40,69.91413123511676,30,9,1
GBP_JPY,8,0.3,-1640.9000000000033,515.4000000000024,-328.79999999999814,80,9.509792336472639,56,23,1
GBP_JPY,8,0.5,-1653.1000000000017,806.0999999999939,-31.499999999999318,99,14.725317228395078,66,32,1
GBP_JPY,8,0.7,-1663.4000000000015,161.59999999999778,-176.00000000000185,28,23.47815957736355,22,5,1
GBP_JPY,8,1.0,-1710.5999999999995,240.5999999999968,-176.00000000000185,38,34.77417744022377,31,6,1
GBP_JPY,8,1.5,-1752.3999999999971,206.1999999999958,-176.00000000000185,39,52.98591382629651,32,6,1
GBP_JPY,8,2.0,-1776.8,-9.700000000004707,-205.90000000000245,39,70.34473585489073,31,7,1
GBP_JPY,12,0.3,-1640.9000000000033,526.7000000000049,-328.79999999999814,72,9.636924126495149,54,17,1
GBP_JPY,12,0.5,-1653.1000000000017,833.4999999999967,-38.29999999999927,86,14.982296695378913,62,23,1
GBP_JPY,12,0.7,-1663.4000000000015,167.3999999999982,-176.00000000000185,28,23.47815957736355,23,4,1
GBP_JPY,12,1.0,-1676.3000000000006,227.79999999999526,-176.00000000000185,37,34.975469661238236,31,5,1
GBP_JPY,12,1.5,-1717.5000000000011,209.6999999999966,-176.00000000000185,39,52.98591382629651,33,5,1
GBP_JPY,12,2.0,-1736.300000000003,-27.600000000003774,-229.60000000000196,39,70.68496938209229,32,6,1
GBP_JPY,24,0.3,-1611.700000000002,-292.7999999999999,-593.8999999999992,22,11.925577834733302,18,3,1
GBP_JPY,24,0.5,-1614.400000000002,-329.79999999999757,-588.7999999999976,22,19.714141689458685,18,3,1
