pair,best_var,is_trades,is_net,is_wr,is_dd,oos_trades,oos_net,oos_wr,oos_dd,oos_sign_match
USD_JPY,V17_trail_lock5_off2,162,820.4799999998334,99.38271604938271,-94.8600000000007,164,927.9599999998128,99.39024390243902,-139.4600000000005,True
EUR_JPY,V18_sl_3xATR,310,-165.03349771219803,76.45161290322581,-556.6054768552627,195,-484.88275054353267,77.43589743589745,-1032.9129220841614,True
GBP_JPY,V3_time48h,219,75.09999999978709,87.21461187214612,-899.3000000000711,130,-285.7000000001304,89.23076923076924,-736.3000000000794,False
AUD_JPY,V12_sl200_catastrophe,86,32.6200000000221,90.69767441860465,-675.179999999998,90,-580.3999999999785,87.77777777777777,-1026.9399999999866,False
EUR_USD,V18_sl_3xATR,214,224.5911208522684,68.69158878504673,-199.04659942747128,144,404.9544170745461,75.69444444444444,-280.3591859991543,True
GBP_USD,V2_sl100,145,124.200000000001,84.82758620689656,-478.72000000000037,122,-473.2800000000003,81.14754098360656,-923.8400000000013,False
CAD_JPY,V0_baseline,31,501.2400000000081,96.7741935483871,-51.96000000000049,12,-82.81999999999627,91.66666666666666,-285.6599999999994,False
AUD_USD,V1_sl50,98,75.4200000000003,73.46938775510205,-313.60000000000014,142,-12.91999999999976,72.53521126760563,-556.6400000000002,False
EUR_GBP,V0_baseline,3,-31.40000000000005,66.66666666666666,-69.00000000000009,3,-48.60000000000059,66.66666666666666,-86.20000000000063,True
NZD_USD,V3_time48h,97,251.4000000000025,67.0103092783505,-131.4999999999994,66,-8.200000000000099,72.72727272727273,-356.80000000000086,False
