T_h,W,is_net,oos_net,worst_dd,oos_scratch,oos_end,oos_scratch_pips,oos_end_pips
8,15,-4730.480000000004,1715.5799999999817,-649.1799999999994,283,10,-2180.1400000000203,-2152.2199999999975
8,10,-2390.5800000000086,1674.4399999999928,-653.7400000000023,274,9,-1385.900000000006,-2396.020000000001
2,15,-5979.500000000026,1403.6199999999922,-545.200000000005,1446,9,-5352.940000000007,-1183.1200000000008
2,5,-2389.7400000000025,1256.1400000000294,-650.5599999999994,588,10,-1371.459999999975,-2220.1199999999953
6,15,-2355.7800000000134,1015.9799999999868,-649.1799999999994,410,10,-2443.400000000015,-2111.819999999998
6,5,-2357.0199999999895,996.0600000000161,-649.1799999999994,203,10,-533.1999999999892,-2709.219999999995
4,15,-3779.480000000024,960.100000000005,-650.3599999999999,561,9,-3000.819999999996,-1803.699999999999
2,20,-7087.960000000068,808.0999999999881,-567.3000000000008,1629,9,-7227.140000000013,-1024.8999999999999
4,10,-2782.1600000000217,747.9399999999943,-653.7400000000023,459,10,-1815.2400000000036,-2536.820000000002
8,5,-1526.599999999992,740.9800000000231,-649.1799999999994,162,10,-454.01999999998327,-2799.9199999999933
4,5,-2841.9600000000155,702.1600000000005,-649.1799999999994,278,10,-680.3200000000047,-2687.5199999999945
2,10,-5749.840000000053,653.2199999999903,-652.0399999999998,925,10,-2941.7000000000135,-2006.0199999999961
8,20,-5544.220000000014,591.8800000000001,-649.1799999999994,278,9,-2466.2400000000043,-2414.7199999999953
6,10,-4023.5000000000164,478.97999999997705,-653.7400000000023,299,10,-1337.9200000000233,-2725.5199999999995
12,10,-3512.1200000000185,161.79999999999714,-653.7400000000023,138,10,-742.780000000008,-3253.119999999995
4,20,-4774.600000000015,139.9200000000149,-650.3599999999999,625,9,-3940.8799999999874,-2195.399999999998
2,3,-1665.9800000000034,112.48000000002105,-650.5599999999994,388,10,-604.5799999999829,-2848.7199999999957
4,3,-2388.5000000000064,97.90000000001191,-649.1799999999994,212,10,-333.21999999999304,-2984.919999999995
12,15,-3402.640000000017,18.59999999999434,-649.1799999999994,148,10,-1129.7800000000068,-2757.719999999999
8,3,-1293.839999999986,-4.379999999989245,-649.1799999999994,114,10,-177.97999999999598,-3112.519999999993
6,20,-4442.160000000019,-242.06000000000367,-649.1799999999994,431,10,-2836.520000000006,-2529.8199999999974
12,5,-3063.060000000008,-297.8199999999904,-649.1799999999994,83,10,-286.69999999999425,-3205.5199999999963
24,5,-2985.2999999999984,-369.75999999999135,-649.1799999999994,51,9,-204.1999999999953,-3178.2199999999957
24,20,-2971.980000000003,-530.1599999999949,-649.1799999999994,59,9,-888.6800000000002,-3251.719999999994
24,15,-3223.4599999999955,-639.660000000003,-649.1799999999994,55,10,-606.9800000000085,-3382.1199999999944
6,3,-3117.939999999989,-777.1999999999922,-649.1799999999994,110,10,-209.63999999999754,-3336.1199999999944
24,10,-3694.6000000000063,-995.2600000000037,-649.1799999999994,48,10,-288.96000000000544,-3493.1199999999985
12,20,-4978.880000000027,-1025.880000000007,-649.1799999999994,159,10,-1574.9800000000148,-2944.0199999999923
24,3,-2985.339999999994,-1110.1000000000051,-649.1799999999994,27,10,-68.5000000000087,-3527.9199999999964
12,3,-3025.459999999998,-1126.9400000000003,-649.1799999999994,57,10,-128.60000000000338,-3465.919999999997
