pair,T_h,W,is_net,is_dd,is_trades,oos_net,oos_dd,oos_trades,oos_scratch,oos_end,oos_scratch_pips,oos_end_pips
USD_JPY,2,3,742.3800000000106,-92.65999999999872,97,741.7600000000045,-140.01999999999714,109,56,1,-93.65999999999661,-139.05999999999858
USD_JPY,2,5,702.940000000006,-92.65999999999872,106,519.4000000000098,-250.85999999999808,90,43,1,-91.77999999999196,-250.85999999999808
USD_JPY,2,10,-396.53999999999905,-693.9599999999992,49,328.200000000012,-250.85999999999808,105,60,1,-245.49999999998977,-250.85999999999808
USD_JPY,2,15,-451.1399999999995,-704.1599999999996,59,280.62000000000285,-259.4199999999937,113,66,1,-330.5599999999989,-250.85999999999808
USD_JPY,2,20,-1117.7800000000013,-1272.3600000000015,113,252.56000000000046,-264.5999999999924,119,68,1,-433.5800000000013,-250.85999999999808
USD_JPY,4,3,-340.00000000000034,-690.3599999999991,35,485.2400000000076,-260.45999999999844,66,23,1,-41.37999999999383,-260.45999999999844
USD_JPY,4,5,-369.71999999999946,-690.3599999999991,37,485.28000000000645,-260.45999999999844,67,23,1,-60.079999999995,-260.45999999999844
USD_JPY,4,10,-387.72000000000753,-698.3000000000004,37,330.0200000000002,-653.7400000000023,98,34,1,-215.74000000000132,-634.8599999999984
USD_JPY,4,15,-411.18000000000154,-690.3599999999991,38,373.31999999999556,-250.85999999999808,88,37,1,-312.82000000000625,-250.85999999999808
USD_JPY,4,20,-471.41999999999973,-705.759999999997,42,222.6800000000029,-271.119999999999,87,39,1,-407.2399999999989,-250.85999999999808
USD_JPY,6,3,696.540000000003,-81.26000000000113,71,509.12000000000637,-260.45999999999844,58,14,1,-36.239999999995014,-260.45999999999844
USD_JPY,6,5,684.1400000000074,-89.85999999999956,76,485.00000000000557,-260.45999999999844,60,16,1,-60.359999999995836,-260.45999999999844
USD_JPY,6,10,-367.5599999999986,-691.1399999999978,36,321.65999999998905,-653.7400000000023,84,23,1,-167.88000000001233,-634.8599999999984
USD_JPY,6,15,-434.22000000000105,-696.9399999999999,37,444.3000000000011,-250.85999999999808,75,26,1,-204.3600000000008,-250.85999999999808
USD_JPY,6,20,-894.1400000000008,-1192.1200000000013,79,323.50000000000455,-253.65999999999383,75,28,1,-287.6799999999972,-250.85999999999808
USD_JPY,8,3,750.4400000000063,-89.85999999999956,66,764.0400000000081,-137.75999999999806,71,20,1,-35.199999999993736,-137.75999999999806
