T_act_h,W_pips,caught,of,caught_pct,pips_improvement,avg_caught_improvement
2,2,8,10,80.0,3538.9999999999995,442.37499999999994
2,5,8,10,80.0,3525.1999999999975,440.6499999999997
2,10,8,10,80.0,3504.6999999999985,438.0874999999998
2,15,9,10,90.0,5203.699999999997,578.1888888888885
4,2,8,10,80.0,3534.4,441.8
4,5,8,10,80.0,3509.3999999999955,438.67499999999944
4,10,8,10,80.0,3486.799999999997,435.8499999999996
4,15,9,10,90.0,5189.799999999998,576.6444444444443
6,2,8,10,80.0,3531.400000000001,441.4250000000001
6,5,8,10,80.0,3505.9999999999973,438.24999999999966
6,10,8,10,80.0,3484.3999999999974,435.54999999999967
6,15,9,10,90.0,5182.499999999998,575.8333333333331
8,2,7,10,70.0,3403.499999999999,486.2142857142856
8,5,7,10,70.0,3390.4999999999964,484.3571428571423
8,10,7,10,70.0,3380.599999999999,482.942857142857
8,15,8,10,80.0,5086.999999999999,635.8749999999999
12,2,6,10,60.0,3293.1000000000004,548.85
12,5,7,10,70.0,3377.099999999998,482.4428571428569
12,10,7,10,70.0,3351.699999999998,478.8142857142854
12,15,8,10,80.0,5052.499999999996,631.5624999999995
24,2,5,10,50.0,2911.099999999999,582.2199999999998
24,5,5,10,50.0,2897.399999999997,579.4799999999993
24,10,5,10,50.0,2883.299999999997,576.6599999999994
24,15,6,10,60.0,2969.4999999999995,494.9166666666666
48,2,4,10,40.0,2643.7000000000003,660.9250000000001
48,5,5,10,50.0,2891.699999999996,578.3399999999992
48,10,5,10,50.0,2868.5999999999976,573.7199999999996
48,15,6,10,60.0,2945.7000000000003,490.95000000000005
