mw,mt,sig_thr,ppd,vs_base
5,0.002,0.0,69.814224,7.940506
5,0.002,0.1,67.08289,5.209175
5,0.002,0.2,67.08289,5.209175
5,0.002,0.3,67.08289,5.209175
5,0.005,0.0,40.323086,-21.550632
5,0.005,0.1,57.942642,-3.931076
5,0.005,0.2,57.942642,-3.931076
5,0.005,0.3,57.942642,-3.931076
5,0.01,0.0,35.80309,-26.07063
5,0.01,0.1,44.95035,-16.923367
5,0.01,0.2,44.95035,-16.923367
5,0.01,0.3,44.95035,-16.923367
10,0.002,0.0,66.85905,4.9853287
10,0.002,0.1,67.70203,5.828308
10,0.002,0.2,70.36237,8.488655
10,0.002,0.3,70.36237,8.488655
10,0.005,0.0,58.29206,-3.5816574
10,0.005,0.1,66.80752,4.9337997
10,0.005,0.2,66.78589,4.9121704
10,0.005,0.3,66.78589,4.9121704
10,0.01,0.0,45.62574,-16.247978
10,0.01,0.1,54.656265,-7.217453
10,0.01,0.2,54.656265,-7.217453
10,0.01,0.3,54.656265,-7.217453
