date,asi_mc_008,asi_mc_v3,bb_fade_H1,bb_fade_M15,bb_fade_M5,ensemble_long,ensemble_short,exhaust_cont_a,exhaust_cont_b,fifo_live,fifo_paper__paper,h4_donchian,ironnet_s1_h1_009,ironnet_s5ft_001,ironnet_s5ft_er_002,ironnet_v3_er_003,ironnet_v3_h1_002,ironnet_v3_perpair,ironnet_v7_h1_003,perpair_a,pnl_mae_a,post_shock_retrace,post_shock_retrace__paper,price_mom_confluence,price_mom_h1m30,range_neat,retrace,sma16_m30m15,sma_fade,sma_momentum,sma_psar__paper,sma_scratch__paper,sma_stack,strength_rev3_short,tr_live,wf_pnlmae,zr_paper__paper,zr_random
2026-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,170.3,,,,,,217.1,,,,,
2026-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,-294.8,,,,,,-35.9,,,,,
2026-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.3,,,,,,13.400000000000002,,,,,
2026-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,
2026-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,-178.39999999999998,,,,,,-201.2,,,,,
2026-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,-292.5,,,,,,-347.4,,,45.8,,-18.0
2026-03-31,-8.9,,,,,,-128.1,,,,,,,,,,,,,,,,,,,-56.4,0.0,,,,,,0.0,,,19.4,,4.0
2026-04-01,-292.8,,,,,-6.4,-139.70000000000002,,,,,,,,,,,,,-45.8,-237.3,,,,,-279.8,0.0,,,,,,0.0,-5.9,,-306.7,,9.899999999999999
2026-04-02,-157.3,,,,,0.0,-127.5,,,,,,,,,,,,,5.199999999999999,-147.7,,,,,-133.6,0.0,,,,,,0.0,-1.5000000000000018,,-157.3,,-27.5
2026-04-03,-215.4,-111.8,,,,-26.2,0.0,,,,,,,,,,,,,-66.2,13.2,,,,,-201.9,-115.8,,,,,,0.0,-11.7,,-202.5,,-14.2
2026-04-04,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0
2026-04-05,-10473.4,,,,,-37.1,-991.9,,,,,,,-39.0,-39.0,-39.0,,-39.0,,-954.1,-10429.4,,,,,-10519.4,-39.0,,,,,,0.0,-13.7,,-10428.4,,0.0
2026-04-06,-217.2,,,,,39.7,-436.0,,,,,,,3.1999999999999993,3.1999999999999993,-224.8,,-236.1,,-72.89999999999999,-217.2,,,,,-217.8,-227.1,,,,,,0.0,18.299999999999997,,-236.9,,66.0
2026-04-07,33.1,,,,,-14.100000000000001,-669.1,,,,,,,-3.700000000000001,6.999999999999998,-3.300000000000006,,-0.40000000000000746,,1.9000000000000021,140.4,,,,,13.400000000000007,-18.199999999999996,,,,,,0.0,-158.7,,166.2,,115.0
2026-04-08,-927.9,,,,,-20.500000000000007,-92.3,,,,,,,-24.4,-24.4,-674.5,,-645.4,,-170.3,-995.4,,,,,-957.5,-675.4,,,,,,0.0,-31.200000000000003,,-995.5,,10.0
2026-04-09,18.200000000000003,,,,,53.599999999999994,,,,,,,-105.2,,,23.4,-210.8,23.4,-266.5,,54.2,,,,,67.89999999999999,-146.6,,,,,,0.0,-13.3,,52.9,,18.0
2026-04-10,,,,,,,,,,,,,-283.8,,,,51.7,,-488.1,,,,,,,,-386.5,,,,,,0.0,,,,,0.0
2026-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.2
2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,-3.5
2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0
2026-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,40.4,-2.0
2026-05-11,,,,,,,,,,,-4.6,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,291.9,-19.5
2026-05-12,,,,,,,,,,,101.6,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,716.0,-28.699999999999996
2026-05-13,,,,,,,,,,-11.0,3.3,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,157.6,-5156.0
2026-05-14,,,,,,,,,,21.700000000000006,155.6,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,80.9
2026-05-15,,,,,,,,,,-23.1,72.3,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,84.4
2026-05-16,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0
2026-05-17,,,,,,,,,,-44.6,-1.9,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0
2026-05-18,,,,,,,,,,-51.9,87.89999999999999,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,233.7
2026-05-19,,,,,,,,,,0.0,87.1,-39.0,,,,,,,,,,,,,,,0.0,,,,,,-34.8,,,,0.0,13.6
2026-05-20,,,,,,,,,,0.0,44.1,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,-163.60000000000002
2026-05-21,,,,,,,,,,0.0,25.7,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,-110.5,,0.0,
2026-05-22,,,,,,,,,,-39.0,15.100000000000001,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,
2026-05-23,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,
2026-05-24,,,,,,,,,,-33.0,-11.3,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,
2026-05-25,,,,,,,,,,,-3.5,0.0,,,,,,,,,,-1.4,,20.0,,,0.0,,,100.0,,,0.0,,,,0.0,
2026-05-26,,,,,,,,,,,-5.1,-22.6,,,,,,,,,,-26.1,34.6,10.0,,,-72.6,,,60.0,,,54.3,,,,0.0,
2026-05-27,,,,,,,,,,,-39.1,0.0,,,,,,,,,,-4.4999999999999964,-30.900000000000002,40.0,,,-91.2,,,80.0,,,0.0,,,,0.0,
2026-05-28,,,,,,,,,,,-60.7,0.0,,,,,,,,,,2.7,-57.5,60.0,15.0,,-27.100000000000005,,,0.0,,,0.0,,,,0.0,
2026-05-29,,,,,,,,15.0,70.0,,-52.800000000000004,0.0,,,,,,,,,,9.1,-0.5999999999999917,30.0,135.0,,-29.2,140.0,,100.0,,,0.0,,,,0.0,
2026-05-30,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,
2026-05-31,,,,,,,,30.0,30.0,,0.0,0.0,,,,,,,,,,7.4,0.10000000000000109,10.0,0.0,,5.3,0.0,,0.0,,,0.0,,,,3.1,
2026-06-01,,,,,,,,90.0,190.0,,17.6,0.0,,,,,,,,,,23.6,-95.8,20.0,105.0,,-103.7,80.0,,20.0,,,0.0,,,,152.2,
2026-06-02,,,,,,,,45.0,60.0,,-11.0,0.0,,,,,,,,,,-16.599999999999994,-31.700000000000003,10.0,75.0,,-100.7,100.0,,80.0,,,0.0,,,,211.7,
2026-06-03,,,,,,,,15.0,60.0,,-86.0,0.0,,,,,,,,,,69.8,72.7,70.0,30.0,,8.299999999999997,0.0,,0.0,,,12.9,,,,96.5,
2026-06-04,,,,,,,,15.0,30.0,,-19.1,0.0,,,,,,,,,,-21.7,-37.800000000000004,40.0,0.0,,-86.8,0.0,,0.0,,,40.6,,,,23.4,
2026-06-05,,,,,,,,75.0,10.0,,-20.499999999999996,0.0,,,,,,,,,,43.9,-41.300000000000004,140.0,75.0,,-25.799999999999994,0.0,,0.0,,,141.7,,,,3829.5,
2026-06-06,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,
2026-06-07,,,,,,,,15.0,0.0,,-17.2,0.0,,,,,,,,,,6.9,-5.8,10.0,0.0,,5.5,0.0,,0.0,,,20.7,,,,0.0,
