group_key,n_trades,is_paper,first_date,last_date,total_pips
range_neat,819,False,2026-03-31,2026-04-09,-12285.100000000002
asi_mc_008,794,False,2026-03-31,2026-04-09,-12241.6
wf_pnlmae,784,False,2026-03-30,2026-04-09,-12043.0
pnl_mae_a,766,False,2026-04-01,2026-04-09,-11819.2
zr_random,106,False,2026-03-30,2026-05-20,-4797.300000000001
retrace,824,False,2026-03-25,2026-06-17,-3211.0
ensemble_short,357,False,2026-03-31,2026-04-08,-2584.6000000000004
perpair_a,242,False,2026-04-01,2026-04-08,-1302.2
ironnet_v3_er_003,165,False,2026-04-05,2026-04-09,-918.2
ironnet_v3_perpair,165,False,2026-04-05,2026-04-09,-897.5
ironnet_v7_h1_003,198,False,2026-04-09,2026-04-10,-754.5999999999999
fifo_paper__paper,849,True,2026-05-11,2026-06-19,-627.3
ironnet_s1_h1_009,165,False,2026-04-09,2026-04-10,-389.0000000000001
strength_rev3_short,36,False,2026-04-01,2026-04-09,-217.70000000000002
fifo_live,31,False,2026-05-13,2026-05-24,-180.9
ironnet_v3_h1_002,90,False,2026-04-09,2026-04-10,-159.10000000000002
asi_mc_v3,16,False,2026-04-03,2026-04-03,-111.8
h4_donchian,4,False,2026-05-19,2026-06-08,-111.7
tr_live,29,False,2026-05-21,2026-05-21,-110.50000000000003
ironnet_s5ft_001,14,False,2026-04-05,2026-04-08,-63.89999999999999
ironnet_s5ft_er_002,15,False,2026-04-05,2026-04-08,-53.19999999999999
bb_fade_M5,8,False,2026-06-25,2026-06-26,-31.1
bb_fade_H1,4,False,2026-06-25,2026-06-26,-31.0
ensemble_long,43,False,2026-04-01,2026-04-09,-11.000000000000021
bb_fade_M15,7,False,2026-06-25,2026-06-26,-6.799999999999999
post_shock_retrace,252,False,2026-05-25,2026-06-17,108.90000000000002
sma_fade,1,False,2026-07-02,2026-07-02,149.3
post_shock_retrace__paper,695,True,2026-05-26,2026-07-06,183.20000000000002
sma_psar__paper,75,True,2026-06-19,2026-07-06,247.70000000000002
exhaust_cont_a,24,False,2026-05-29,2026-06-10,360.0
exhaust_cont_b,48,False,2026-05-29,2026-06-10,480.0
sma_momentum,24,False,2026-05-25,2026-06-08,480.0
price_mom_confluence,49,False,2026-05-25,2026-06-08,490.0
sma16_m30m15,25,False,2026-05-29,2026-06-10,500.0
price_mom_h1m30,41,False,2026-05-28,2026-06-10,615.0
sma_stack,185,False,2026-03-25,2026-07-06,755.6999999999999
sma_scratch__paper,112,True,2026-06-19,2026-07-06,974.8
zr_paper__paper,320,True,2026-05-10,2026-06-11,7615.1
