name,net,maxdd,sharpe,n_days
zr_paper__paper,7615.1,0.0,6.451977774268604,33
sma_scratch__paper,974.7999999999998,-60.10000000000002,12.783003549271838,18
sma_stack,755.7,-605.9,2.026359837142741,104
price_mom_h1m30,615.0,0.0,18.49825782838867,14
sma16_m30m15,500.0,0.0,13.063146817000044,13
price_mom_confluence,490.0,0.0,17.265090018106864,15
exhaust_cont_b,480.0,0.0,13.476879881864471,13
sma_momentum,480.0,0.0,15.070206073943085,15
exhaust_cont_a,360.0,0.0,18.484276355126745,13
sma_psar__paper,247.7,-65.6,4.601410300261617,18
post_shock_retrace__paper,183.20000000000002,-228.6,2.176912892267589,42
sma_fade,149.3,0.0,0.0,1
post_shock_retrace,108.9,-53.5,3.5029863539473505,24
bb_fade_M15,-6.799999999999999,-4.299999999999999,-51.03496743640159,2
ensemble_long,-11.000000000000007,-63.300000000000004,-0.7806049992154206,9
bb_fade_H1,-31.0,-14.0,-139.5956462230984,2
bb_fade_M5,-31.099999999999998,-8.7,-30.666997392547866,2
ironnet_s5ft_er_002,-53.199999999999996,-24.4,-11.48655393180672,4
ironnet_s5ft_001,-63.9,-28.1,-15.799316605012018,4
tr_live,-110.5,0.0,0.0,1
h4_donchian,-111.7,-72.7,-7.2331414323837455,21
asi_mc_v3,-111.8,0.0,0.0,1
ironnet_v3_h1_002,-159.10000000000002,0.0,-8.18789578399814,2
fifo_live,-180.9,-191.60000000000002,-12.661876589751923,12
strength_rev3_short,-217.7,-211.79999999999998,-8.859551947048198,9
ironnet_s1_h1_009,-389.0,-283.8,-29.423855641071384,2
fifo_paper__paper,-627.3,-1213.5,-4.359335263891749,40
ironnet_v7_h1_003,-754.6,-488.1,-46.002187015233794,2
ironnet_v3_perpair,-897.5000000000001,-881.9000000000001,-12.25445680888906,5
ironnet_v3_er_003,-918.2,-902.6,-12.052527754966926,5
perpair_a,-1302.2,-1261.6000000000001,-9.5699892487107,8
ensemble_short,-2584.6000000000004,-2456.5000000000005,-16.00483045711031,9
retrace,-3210.999999999998,-3381.2999999999984,-6.970996738098015,85
zr_random,-4797.300000000001,-5209.7,-2.4563906679166387,52
pnl_mae_a,-11819.199999999999,-11636.1,-7.304229133517708,9
wf_pnlmae,-12042.999999999998,-12161.099999999999,-6.722583631410299,11
asi_mc_008,-12241.599999999999,-12250.9,-7.169425630804705,10
range_neat,-12285.1,-12296.6,-7.161275215179552,10
