seed,mean_net_pips,n_rebalances
0,-28.44654961174328,196
1,-20.12035549372928,196
2,0.8475612170799669,196
3,-15.570995760510371,196
4,-19.90485564466921,196
5,-3.5888696445729487,196
6,-16.30439086938712,196
7,-14.735330199771745,196
8,-20.907197113011062,196
9,-20.844510715849502,196
10,-10.057674959141584,196
11,-9.763484032895631,196
12,-8.131398787743683,196
13,-0.4428711141373754,196
14,-3.5861150273593694,196
15,-1.6975507478131457,196
16,-15.856981603257886,196
17,-11.241745531937553,196
18,4.142788836012463,196
19,-19.989373652726137,196
20,-15.469337321621145,196
21,3.9174560424496576,196
22,-22.00918946494892,196
23,-15.891963151604498,196
24,3.2876937556098547,196
25,-11.734742588834305,196
26,-21.870002427006938,196
27,-17.549958481141736,196
28,-7.505879604301218,196
29,-8.179368734615975,196
30,-3.547021661940863,196
31,-15.259470039421442,196
32,-9.947520144964912,196
33,-13.583825642037093,196
34,-10.847492327758507,196
35,2.6644767019869624,196
36,-26.180147916455457,196
37,-6.332406511670672,196
38,-13.107261646155088,196
39,-22.427067396075604,196
40,-10.36663983566957,196
41,5.030538592346053,196
42,-20.83391325218602,196
43,-16.07003795777828,196
44,-13.803144405395708,196
45,-22.519769649300784,196
46,-4.261192660800088,196
47,-20.747962138380363,196
48,-19.9249364615694,196
49,-20.457424818025572,196
50,0.5724003383672921,196
51,-9.438610355491617,196
52,-9.046764305261517,196
53,-8.518090859020196,196
54,-6.701464744422301,196
55,-11.210181168252964,196
56,-7.741886230000316,196
57,-16.716661119139506,196
58,-27.884698129886175,196
59,-17.137530540313247,196
60,-2.4473553405385893,196
61,-6.162305851358805,196
62,-20.973248063845134,196
63,-17.69439996995098,196
64,-12.719381406040743,196
65,-15.891307879540127,196
66,-20.087572254090993,196
67,-1.1513898142332528,196
68,-5.437097535039512,196
69,-6.018584568985182,196
70,-11.014350316731294,196
71,-33.689618386800284,196
72,-12.535922819858829,196
73,-22.956493556278044,196
74,-29.096436137652734,196
75,-4.573821044256669,196
76,-7.284789357291068,196
77,-12.393944720246699,196
78,-6.853224156001416,196
79,-9.593037375835129,196
80,-9.700754585740308,196
81,-12.724421448544748,196
82,-8.927169356351506,196
83,-16.157876415704635,196
84,-20.657860112181233,196
85,-4.8681158063891745,196
86,-9.900655912338792,196
87,-23.779327121944714,196
88,-0.40494724590785713,196
89,-21.452220673913473,196
90,-22.12256350128179,196
91,-11.09330715638195,196
92,-26.48277090604814,196
93,-9.583697705441397,196
94,-13.208925953539492,196
95,-12.907815231970405,196
96,-11.348365257230377,196
97,-14.91117685357433,196
98,-31.581155268401123,196
99,-4.6006720583601926,196
100,-13.742820901285638,196
101,-22.953746290047498,196
102,-23.107963943701726,196
103,-17.00138467071177,196
104,-7.351869314087359,196
105,-13.759269304505368,196
106,-36.81267726767213,196
107,-9.44212374074273,196
108,-7.862512330836471,196
109,-5.715200988913086,196
110,-3.180232155198906,196
111,-23.320851914458427,196
112,-8.966787380873559,196
113,-11.319649206462586,196
114,-17.500836904713942,196
115,-20.37771475199143,196
116,-18.236762322530346,196
117,-2.4652335527843188,196
118,-12.825396443918928,196
119,-12.18004138890921,196
120,-27.741066473003563,196
121,-16.277441029271603,196
122,-13.006572579788532,196
123,-19.619551653941734,196
124,-19.99546675663021,196
125,-22.519448577728316,196
126,-15.577998472886339,196
127,-14.52502551483579,196
128,-6.863779039516893,196
129,-22.892627225430182,196
130,-12.466164504005608,196
131,-5.1070934876277185,196
132,-13.590713230211026,196
133,-14.96142872008094,196
134,-12.525510789430966,196
135,-9.615623776425956,196
136,-12.106018518944271,196
137,-7.004382203182892,196
138,-9.066416172790765,196
139,1.3635431977279118,196
140,-11.860152770462394,196
141,-15.855458342589472,196
142,-18.339292262185303,196
143,-26.10534251879554,196
144,1.3951516389336283,196
145,-8.44931661571667,196
146,-14.360589508214277,196
147,-10.936899023049492,196
148,-11.260243433872288,196
149,-15.032554031556353,196
150,-6.616934324626759,196
151,-18.89508735023559,196
152,-19.276718053298172,196
153,-0.2817075562137882,196
154,-6.683810476847236,196
155,-2.0277940081761523,196
156,-13.276526087085845,196
157,-10.218760939685302,196
158,-9.36166417348474,196
159,-18.859069149213767,196
160,-21.59160169892102,196
161,-11.739213998245628,196
162,-9.709815823611342,196
163,-7.280485407959021,196
164,-22.171647917538653,196
165,-12.893012605145003,196
166,-9.89196249885978,196
167,-18.026477399144117,196
168,-9.78058148259033,196
169,-0.21725760345049602,196
170,-6.774095162158316,196
171,-19.678596692723556,196
172,-0.5953368703534717,196
173,-7.320538306793484,196
174,-4.670494624833246,196
175,-3.115349496198921,196
176,-7.227262826460735,196
177,-4.746248250622401,196
178,-12.479673056300527,196
179,-12.36818060281974,196
180,-11.353479162296358,196
181,-6.190835865440934,196
182,-37.63521411579408,196
183,-19.01988627815291,196
184,-18.53687544698986,196
185,-1.2275934498419614,196
186,-21.333959086686615,196
187,-16.42954149958524,196
188,-38.86548377298926,196
189,-25.834658862283106,196
190,-3.794091889199744,196
191,-24.50559275715394,196
192,-18.170119029588125,196
193,-6.183285099071248,196
194,-15.346716797849195,196
195,-9.311204819086342,196
196,-17.552435150374585,196
197,-22.017500292164048,196
198,-17.42702116562535,196
199,-23.927764520989466,196
