rebal_idx,entry_ts,exit_ts,pair,direction,side,gross_pips,spread_rt_pips,carry_pips,net_pips
64,2020-11-26 02:00:00+00:00,2020-12-10 18:00:00+00:00,AUD_USD,1,long,176.50000000000054,4.2999999999998595,-3.033339575342466,169.1666604246582
64,2020-11-26 02:00:00+00:00,2020-12-10 18:00:00+00:00,GBP_USD,1,long,-95.30000000000038,3.8000000000004697,-5.900266059178084,-105.00026605917893
64,2020-11-26 02:00:00+00:00,2020-12-10 18:00:00+00:00,NZD_USD,1,long,96.10000000000007,4.449999999999732,-2.7300584383561644,88.91994156164417
64,2020-11-26 02:00:00+00:00,2020-12-10 18:00:00+00:00,USD_JPY,-1,short,11.299999999999955,5.600000000000449,-6.667666054794523,-0.9676660547950178
64,2020-11-26 02:00:00+00:00,2020-12-10 18:00:00+00:00,EUR_GBP,-1,short,-218.89999999999964,8.299999999999418,-1.7346243176712342,-228.93462431767028
64,2020-11-26 02:00:00+00:00,2020-12-10 18:00:00+00:00,CHF_JPY,-1,short,-260.799999999999,6.200000000000472,-1.0997006078767102,-268.0997006078761
128,2020-12-10 18:00:00+00:00,2020-12-28 10:00:00+00:00,GBP_JPY,1,long,145.5999999999989,5.200000000000671,-10.825131270136993,129.57486872986124
128,2020-12-10 18:00:00+00:00,2020-12-28 10:00:00+00:00,USD_JPY,1,long,-63.30000000000098,5.700000000000216,-6.939344591780822,-75.93934459178202
128,2020-12-10 18:00:00+00:00,2020-12-28 10:00:00+00:00,GBP_USD,1,long,218.1999999999995,3.9000000000000146,-6.757216368219179,207.5427836317803
128,2020-12-10 18:00:00+00:00,2020-12-28 10:00:00+00:00,EUR_GBP,-1,short,87.30000000000015,8.249999999999647,-1.9860384789041108,77.0639615210964
128,2020-12-10 18:00:00+00:00,2020-12-28 10:00:00+00:00,EUR_USD,-1,short,-71.20000000000014,1.2499999999993072,-1.705879671232876,-74.15587967123233
128,2020-12-10 18:00:00+00:00,2020-12-28 10:00:00+00:00,NZD_USD,-1,short,-8.599999999999719,4.3999999999999595,-2.1331023287671225,-15.133102328766801
192,2020-12-28 10:00:00+00:00,2021-01-13 02:00:00+00:00,NZD_USD,1,long,116.30000000000028,1.4500000000000624,-3.670811260273972,111.17918873972624
192,2020-12-28 10:00:00+00:00,2021-01-13 02:00:00+00:00,GBP_USD,1,long,166.30000000000143,1.8499999999999073,-6.756482143561645,157.69351785643988
192,2020-12-28 10:00:00+00:00,2021-01-13 02:00:00+00:00,AUD_USD,1,long,173.90000000000015,1.3499999999999623,-3.4775684383561645,169.072431561644
192,2020-12-28 10:00:00+00:00,2021-01-13 02:00:00+00:00,USD_JPY,-1,short,-7.700000000001239,1.3499999999993406,-7.5812517232876715,-16.63125172328825
192,2020-12-28 10:00:00+00:00,2021-01-13 02:00:00+00:00,EUR_GBP,-1,short,112.59999999999935,1.4999999999998348,-1.9855704268493164,109.1144295731502
192,2020-12-28 10:00:00+00:00,2021-01-13 02:00:00+00:00,CHF_JPY,-1,short,-52.10000000000008,2.149999999999608,-1.2428375637833113,-55.492837563783
256,2021-01-13 02:00:00+00:00,2021-01-27 18:00:00+00:00,NZD_USD,1,long,-64.50000000000067,2.8500000000003523,-2.681614356164383,-70.0316143561654
256,2021-01-13 02:00:00+00:00,2021-01-27 18:00:00+00:00,AUD_USD,1,long,-99.79999999999988,2.649999999999597,-3.0352461369863004,-105.48524613698578
