pair,src_time,tgt_wt,lag,lift,cond_rate,base_rate
EUR_JPY,5s,D3,0,0.831,0.0504,0.0607
EUR_JPY,5s,D4,0,1.029,0.0834,0.081
EUR_JPY,5s,D5,0,1.17,0.2103,0.1798
EUR_JPY,5s,D6,0,0.787,0.3293,0.4182
EUR_JPY,10s,D3,0,0.746,0.0453,0.0607
EUR_JPY,10s,D4,0,0.958,0.0776,0.081
EUR_JPY,10s,D5,0,1.146,0.2061,0.1798
EUR_JPY,10s,D6,0,0.676,0.2828,0.4182
EUR_JPY,30s,D3,0,1.093,0.0663,0.0607
EUR_JPY,30s,D4,0,0.919,0.0745,0.081
EUR_JPY,30s,D5,0,1.132,0.2035,0.1798
EUR_JPY,30s,D6,0,0.736,0.3079,0.4182
EUR_JPY,1m,D3,0,1.589,0.0964,0.0607
EUR_JPY,1m,D4,0,1.144,0.0927,0.081
EUR_JPY,1m,D5,0,1.35,0.2428,0.1798
EUR_JPY,1m,D6,0,0.776,0.3246,0.4182
EUR_JPY,2m,D3,0,0.964,0.0585,0.0607
EUR_JPY,2m,D4,0,0.871,0.0706,0.081
EUR_JPY,2m,D5,0,1.514,0.2721,0.1798
EUR_JPY,2m,D6,0,0.768,0.3213,0.4182
EUR_JPY,5m,D3,0,0.992,0.0602,0.0607
EUR_JPY,5m,D4,0,0.645,0.0523,0.081
EUR_JPY,5m,D5,0,0.806,0.145,0.1798
EUR_JPY,5m,D6,0,0.646,0.2702,0.4182
EUR_JPY,5s,D3,2,1.019,0.0617,0.0606
EUR_JPY,5s,D4,2,1.106,0.0895,0.0809
EUR_JPY,5s,D5,2,1.189,0.2137,0.1798
EUR_JPY,5s,D6,2,0.783,0.3276,0.4182
EUR_JPY,10s,D3,2,1.038,0.0628,0.0606
EUR_JPY,10s,D4,2,1.005,0.0813,0.0809
EUR_JPY,10s,D5,2,1.198,0.2153,0.1798
EUR_JPY,10s,D6,2,0.685,0.2865,0.4182
EUR_JPY,30s,D3,2,1.335,0.0808,0.0606
EUR_JPY,30s,D4,2,1.044,0.0845,0.0809
EUR_JPY,30s,D5,2,1.213,0.218,0.1798
EUR_JPY,30s,D6,2,0.734,0.307,0.4182
EUR_JPY,1m,D3,2,1.636,0.0991,0.0606
EUR_JPY,1m,D4,2,1.303,0.1055,0.0809
EUR_JPY,1m,D5,2,1.426,0.2564,0.1798
EUR_JPY,1m,D6,2,0.767,0.3209,0.4182
EUR_JPY,2m,D3,2,1.119,0.0678,0.0606
EUR_JPY,2m,D4,2,0.918,0.0743,0.0809
EUR_JPY,2m,D5,2,1.514,0.2721,0.1798
EUR_JPY,2m,D6,2,0.755,0.3158,0.4182
EUR_JPY,5m,D3,2,0.961,0.0582,0.0606
EUR_JPY,5m,D4,2,0.597,0.0483,0.0809
EUR_JPY,5m,D5,2,0.795,0.143,0.1798
EUR_JPY,5m,D6,2,0.634,0.2653,0.4182
EUR_JPY,5s,D3,11,1.258,0.0756,0.0601
EUR_JPY,5s,D4,11,1.749,0.1408,0.0805
EUR_JPY,5s,D5,11,1.382,0.2485,0.1798
EUR_JPY,5s,D6,11,0.833,0.3484,0.4182
EUR_JPY,10s,D3,11,1.43,0.086,0.0601
EUR_JPY,10s,D4,11,1.964,0.158,0.0805
EUR_JPY,10s,D5,11,1.532,0.2754,0.1798
EUR_JPY,10s,D6,11,0.738,0.3087,0.4182
EUR_JPY,30s,D3,11,1.496,0.0899,0.0601
EUR_JPY,30s,D4,11,1.67,0.1344,0.0805
EUR_JPY,30s,D5,11,1.582,0.2843,0.1798
EUR_JPY,30s,D6,11,0.723,0.3025,0.4182
EUR_JPY,1m,D3,11,1.634,0.0982,0.0601
EUR_JPY,1m,D4,11,1.638,0.1318,0.0805
EUR_JPY,1m,D5,11,1.654,0.2973,0.1798
EUR_JPY,1m,D6,11,0.772,0.3228,0.4182
EUR_JPY,2m,D3,11,1.251,0.0752,0.0601
EUR_JPY,2m,D4,11,1.292,0.104,0.0805
