fold,model,auc,lift_p90,cont_top_decile,baseline,pair
0,logistic,0.5798,1.155,0.7089,0.6135,EUR_USD
1,logistic,0.5723,1.156,0.6709,0.5804,EUR_USD
2,logistic,0.6421,1.33,0.7722,0.5804,EUR_USD
3,logistic,0.6151,0.979,0.5696,0.5816,EUR_USD
0,gbm,0.5855,1.094,0.6709,0.6135,EUR_USD
1,gbm,0.6285,1.228,0.7125,0.5804,EUR_USD
2,gbm,0.593,1.2,0.6962,0.5804,EUR_USD
3,gbm,0.6511,1.375,0.8,0.5816,EUR_USD
0,logistic,0.6389,1.299,0.8696,0.6696,EUR_JPY
1,logistic,0.5264,0.427,0.2609,0.6116,EUR_JPY
2,logistic,0.5453,1.091,0.5652,0.5179,EUR_JPY
3,logistic,0.6419,1.61,0.913,0.567,EUR_JPY
0,gbm,0.6177,1.244,0.8333,0.6696,EUR_JPY
1,gbm,0.5447,0.719,0.44,0.6116,EUR_JPY
2,gbm,0.735,1.468,0.76,0.5179,EUR_JPY
3,gbm,0.6391,1.457,0.8261,0.567,EUR_JPY
0,logistic,0.7672,1.13,1.0,0.8852,GBP_JPY
1,logistic,0.4909,1.298,1.0,0.7705,GBP_JPY
2,logistic,0.4145,0.947,0.7143,0.7541,GBP_JPY
3,logistic,0.3204,0.871,0.4286,0.4918,GBP_JPY
0,gbm,0.1508,0.646,0.5714,0.8852,GBP_JPY
1,gbm,0.6315,0.927,0.7143,0.7705,GBP_JPY
2,gbm,0.6268,1.326,1.0,0.7541,GBP_JPY
3,gbm,0.657,1.743,0.8571,0.4918,GBP_JPY
