src,tgt,lag_s,cond_rate,base_rate,lift
D1,D2,0,0.280972,0.185533,1.514
D1,D2,1,0.274561,0.185533,1.48
D1,D2,2,0.268207,0.185534,1.446
D1,D2,5,0.225135,0.185535,1.213
D1,D2,10,0.208128,0.185538,1.122
D3,D4,10,0.192796,0.176396,1.093
D3,D4,5,0.192209,0.176393,1.09
D3,D4,30,0.192088,0.176405,1.089
D1,D2,30,0.20124,0.185548,1.085
D3,D4,2,0.19067,0.176392,1.081
D3,D4,1,0.190325,0.176391,1.079
D3,D4,0,0.190307,0.176391,1.079
D4,D7,0,0.1929,0.180977,1.066
D4,D7,1,0.192792,0.180977,1.065
D4,D7,2,0.192544,0.180978,1.064
D5,D6,30,0.211732,0.198944,1.064
D4,D7,5,0.191739,0.180979,1.059
D4,D6,0,0.21017,0.198927,1.057
D4,D6,1,0.209892,0.198928,1.055
D4,D6,2,0.209613,0.198928,1.054
D4,D7,10,0.190501,0.180982,1.053
D4,D6,5,0.208886,0.19893,1.05
D4,D6,10,0.208545,0.198933,1.048
D5,D6,10,0.207851,0.198933,1.045
D6,D7,30,0.189063,0.180992,1.045
D5,D7,10,0.188693,0.180982,1.043
D4,D6,30,0.20723,0.198944,1.042
D5,D6,5,0.207135,0.19893,1.041
D5,D7,5,0.188263,0.180979,1.04
D5,D7,1,0.188146,0.180977,1.04
D5,D7,2,0.188185,0.180978,1.04
D4,D5,30,0.217893,0.209607,1.04
D5,D7,0,0.188132,0.180977,1.04
D5,D6,2,0.206692,0.198928,1.039
D5,D6,0,0.206509,0.198927,1.038
D5,D7,30,0.187924,0.180992,1.038
D5,D6,1,0.206548,0.198928,1.038
D4,D7,30,0.187035,0.180992,1.033
D6,D7,0,0.18684,0.180977,1.032
D6,D7,1,0.186744,0.180977,1.032
D6,D7,2,0.186662,0.180978,1.031
D6,D7,5,0.186566,0.180979,1.031
D6,D7,10,0.186648,0.180982,1.031
D2,D4,5,0.181334,0.176393,1.028
D3,D5,2,0.215351,0.209591,1.027
D3,D5,1,0.215334,0.20959,1.027
D3,D5,5,0.215213,0.209592,1.027
D3,D5,0,0.214988,0.209589,1.026
D2,D4,2,0.180782,0.176392,1.025
D2,D5,5,0.214116,0.209592,1.022
D2,D4,1,0.180205,0.176391,1.022
D2,D5,2,0.214019,0.209591,1.021
D3,D5,30,0.213986,0.209607,1.021
D3,D7,5,0.184759,0.180979,1.021
D2,D5,1,0.213751,0.20959,1.02
D2,D5,10,0.213632,0.209595,1.019
D3,D7,1,0.184397,0.180977,1.019
D3,D7,2,0.184362,0.180978,1.019
D3,D7,10,0.184483,0.180982,1.019
D2,D5,0,0.213512,0.209589,1.019
D2,D4,0,0.17979,0.176391,1.019
D3,D7,0,0.184241,0.180977,1.018
D1,D7,0,0.183998,0.180977,1.017
D1,D3,2,0.160539,0.157939,1.016
D3,D5,10,0.212845,0.209595,1.016
D1,D7,1,0.183687,0.180977,1.015
D1,D3,0,0.160121,0.157938,1.014
D1,D4,30,0.178926,0.176405,1.014
D2,D7,30,0.183337,0.180992,1.013
D1,D7,2,0.183419,0.180978,1.013
D1,D3,1,0.159981,0.157938,1.013
D1,D4,5,0.178677,0.176393,1.013
D1,D4,1,0.178569,0.176391,1.012
D2,D5,30,0.212213,0.209607,1.012
D2,D4,30,0.178539,0.176405,1.012
D1,D4,0,0.178424,0.176391,1.012
D1,D4,2,0.178586,0.176392,1.012
D1,D5,2,0.211743,0.209591,1.01
D2,D7,0,0.182733,0.180977,1.01
D1,D5,1,0.211469,0.20959,1.009
D2,D7,1,0.18253,0.180977,1.009
D2,D7,10,0.182495,0.180982,1.008
D1,D5,0,0.211367,0.209589,1.008
D1,D7,5,0.182469,0.180979,1.008
D2,D7,2,0.182223,0.180978,1.007
D3,D7,30,0.182219,0.180992,1.007
D2,D3,0,0.158987,0.157938,1.007
D1,D5,5,0.211122,0.209592,1.007
D1,D5,30,0.210865,0.209607,1.006
D2,D3,10,0.158672,0.157942,1.005
D2,D7,5,0.181893,0.180979,1.005
D2,D3,2,0.158756,0.157939,1.005
D2,D3,1,0.158798,0.157938,1.005
D1,D5,10,0.21011,0.209595,1.002
D2,D6,30,0.199364,0.198944,1.002
D3,D6,30,0.19926,0.198944,1.002
D4,D5,10,0.210016,0.209595,1.002
D1,D4,10,0.176353,0.176396,1.0
D1,D3,30,0.157924,0.157951,1.0
D1,D7,10,0.180872,0.180982,0.999
D1,D3,5,0.157707,0.15794,0.999
D3,D6,5,0.198638,0.19893,0.999
D3,D6,10,0.198673,0.198933,0.999
D3,D6,2,0.198586,0.198928,0.998
D3,D6,1,0.198275,0.198928,0.997
D2,D4,10,0.175859,0.176396,0.997
D1,D7,30,0.180395,0.180992,0.997
D2,D3,5,0.157247,0.15794,0.996
D4,D5,0,0.208731,0.209589,0.996
D4,D5,1,0.208515,0.20959,0.995
D3,D6,0,0.197947,0.198927,0.995
D4,D5,5,0.208515,0.209592,0.995
D4,D5,2,0.20822,0.209591,0.993
D1,D3,10,0.156752,0.157942,0.992
D2,D6,5,0.196578,0.19893,0.988
D2,D3,30,0.156036,0.157951,0.988
D2,D6,10,0.196533,0.198933,0.988
D2,D6,2,0.196304,0.198928,0.987
D2,D6,1,0.196139,0.198928,0.986
D2,D6,0,0.195842,0.198927,0.984
D1,D6,30,0.195551,0.198944,0.983
D1,D6,0,0.192123,0.198927,0.966
D1,D6,10,0.192262,0.198933,0.966
D1,D6,1,0.191784,0.198928,0.964
D1,D6,5,0.191835,0.19893,0.964
D1,D6,2,0.191587,0.198928,0.963
