fold,model,auc,lift_p90,cont_top,baseline,mean_abs_top,ev_pre,ev_post,n_top,feature_set,pair
0,logistic,0.5798,1.155,0.7089,0.6135,4.9,2.048,-1.152,79,P9_only,EUR_USD
1,logistic,0.5723,1.156,0.6709,0.5804,25.84,8.833,5.633,79,P9_only,EUR_USD
2,logistic,0.6421,1.33,0.7722,0.5804,9.11,4.959,1.759,79,P9_only,EUR_USD
3,logistic,0.6151,0.979,0.5696,0.5816,3.16,0.44,-2.76,79,P9_only,EUR_USD
0,logistic,0.5717,1.135,0.6962,0.6135,3.43,1.347,-1.853,79,Joint,EUR_USD
1,logistic,0.5871,1.243,0.7215,0.5804,27.68,12.265,9.065,79,Joint,EUR_USD
2,logistic,0.6481,1.374,0.7975,0.5804,9.49,5.644,2.444,79,Joint,EUR_USD
3,logistic,0.6474,1.241,0.7215,0.5816,5.77,2.558,-0.641,79,Joint,EUR_USD
0,gbm,0.5855,1.094,0.6709,0.6135,6.69,2.285,-0.915,79,P9_only,EUR_USD
1,gbm,0.6285,1.228,0.7125,0.5804,11.08,4.71,1.51,80,P9_only,EUR_USD
2,gbm,0.593,1.2,0.6962,0.5804,9.43,3.699,0.5,79,P9_only,EUR_USD
3,gbm,0.6511,1.375,0.8,0.5816,5.92,3.553,0.353,80,P9_only,EUR_USD
0,gbm,0.6067,1.362,0.8354,0.6135,4.5,3.019,-0.18,79,Joint,EUR_USD
1,gbm,0.6647,1.422,0.825,0.5804,7.79,5.065,1.866,80,Joint,EUR_USD
2,gbm,0.6938,1.221,0.7089,0.5804,8.31,3.471,0.271,79,Joint,EUR_USD
3,gbm,0.6941,1.241,0.7215,0.5816,7.24,3.209,0.009,79,Joint,EUR_USD
0,logistic,0.6389,1.299,0.8696,0.6696,3.04,2.246,-3.354,23,P9_only,EUR_JPY
1,logistic,0.5264,0.427,0.2609,0.6116,3.52,-1.681,-7.281,23,P9_only,EUR_JPY
2,logistic,0.5453,1.091,0.5652,0.5179,21.74,2.835,-2.765,23,P9_only,EUR_JPY
3,logistic,0.6419,1.61,0.913,0.567,11.5,9.504,3.904,23,P9_only,EUR_JPY
0,logistic,0.6257,1.169,0.7826,0.6696,4.8,2.713,-2.887,23,Joint,EUR_JPY
1,logistic,0.4911,0.569,0.3478,0.6116,3.57,-1.086,-6.686,23,Joint,EUR_JPY
2,logistic,0.5646,1.007,0.5217,0.5179,13.33,0.58,-5.02,23,Joint,EUR_JPY
3,logistic,0.6863,1.687,0.9565,0.567,20.04,18.295,12.695,23,Joint,EUR_JPY
0,gbm,0.6177,1.244,0.8333,0.6696,8.65,5.764,0.164,24,P9_only,EUR_JPY
1,gbm,0.5447,0.719,0.44,0.6116,3.74,-0.448,-6.048,25,P9_only,EUR_JPY
2,gbm,0.735,1.468,0.76,0.5179,12.82,6.665,1.065,25,P9_only,EUR_JPY
3,gbm,0.6391,1.457,0.8261,0.567,5.11,3.33,-2.27,23,P9_only,EUR_JPY
0,gbm,0.5458,1.369,0.9167,0.6696,5.68,4.729,-0.871,24,Joint,EUR_JPY
1,gbm,0.4831,0.711,0.4348,0.6116,5.85,-0.763,-6.363,23,Joint,EUR_JPY
2,gbm,0.6669,1.511,0.7826,0.5179,16.35,9.243,3.643,23,Joint,EUR_JPY
3,gbm,0.6889,1.323,0.75,0.567,11.65,5.823,0.223,24,Joint,EUR_JPY
0,logistic,0.7672,1.13,1.0,0.8852,17.12,17.121,9.921,7,P9_only,GBP_JPY
1,logistic,0.4909,1.298,1.0,0.7705,14.94,14.936,7.736,7,P9_only,GBP_JPY
2,logistic,0.4145,0.947,0.7143,0.7541,38.9,16.671,9.471,7,P9_only,GBP_JPY
3,logistic,0.3204,0.871,0.4286,0.4918,29.04,-4.148,-11.348,7,P9_only,GBP_JPY
0,logistic,0.4206,0.968,0.8571,0.8852,38.38,27.413,20.213,7,Joint,GBP_JPY
1,logistic,0.7371,1.112,0.8571,0.7705,6.71,4.796,-2.404,7,Joint,GBP_JPY
2,logistic,0.2406,0.0,0.0,0.7541,6.28,-6.279,-13.479,7,Joint,GBP_JPY
3,logistic,0.4237,0.0,0.0,0.4918,60.56,-60.564,-67.764,7,Joint,GBP_JPY
0,gbm,0.1508,0.646,0.5714,0.8852,7.29,1.042,-6.158,14,P9_only,GBP_JPY
1,gbm,0.6315,0.927,0.7143,0.7705,11.9,5.1,-2.1,7,P9_only,GBP_JPY
2,gbm,0.6268,1.326,1.0,0.7541,98.61,98.607,91.407,7,P9_only,GBP_JPY
3,gbm,0.657,1.743,0.8571,0.4918,6.18,4.413,-2.787,7,P9_only,GBP_JPY
0,gbm,0.2196,1.004,0.8889,0.8852,30.21,23.498,16.298,9,Joint,GBP_JPY
1,gbm,0.3442,0.973,0.75,0.7705,21.12,10.562,3.362,8,Joint,GBP_JPY
2,gbm,0.5087,0.758,0.5714,0.7541,63.1,9.014,1.814,7,Joint,GBP_JPY
3,gbm,0.4452,1.162,0.5714,0.4918,10.17,1.453,-5.747,7,Joint,GBP_JPY
