src,tgt,lag_15min,cond_rate,base_rate,lift
5min,15min,0,0.29,0.044655,6.494
5min,15min,2,0.121212,0.044776,2.707
5min,15min,3,0.111111,0.044837,2.478
1min,5min,0,0.309764,0.135318,2.289
5min,15min,1,0.10101,0.044715,2.259
1min,15min,0,0.097643,0.044655,2.187
1min,15min,2,0.077703,0.044776,1.735
1min,5min,1,0.226351,0.135501,1.67
30s,1min,0,0.664303,0.401894,1.653
1min,5min,2,0.216216,0.135685,1.594
1min,5min,3,0.216216,0.13587,1.591
30s,5min,0,0.21513,0.135318,1.59
1min,15min,3,0.067568,0.044837,1.507
30s,15min,0,0.066194,0.044655,1.482
1min,15min,1,0.064189,0.044715,1.436
30s,5min,1,0.182464,0.135501,1.347
30s,1min,1,0.540284,0.402439,1.343
30s,5min,3,0.180523,0.13587,1.329
30s,1min,2,0.515439,0.402985,1.279
30s,1min,3,0.515439,0.403533,1.277
30s,15min,1,0.056872,0.044715,1.272
30s,5min,2,0.171021,0.135685,1.26
30s,15min,3,0.054632,0.044837,1.218
30s,15min,2,0.052257,0.044776,1.167
5s,15min,2,0.04577,0.044776,1.022
5s,30s,0,0.582296,0.572395,1.017
5s,1min,2,0.409154,0.402985,1.015
5s,1min,0,0.408022,0.401894,1.015
5s,5min,0,0.136929,0.135318,1.012
5s,5min,3,0.1375,0.13587,1.012
5s,30s,1,0.580332,0.573171,1.012
5s,30s,2,0.57975,0.573948,1.01
5s,1min,1,0.405817,0.402439,1.008
5s,30s,3,0.577778,0.574728,1.005
5s,1min,3,0.404167,0.403533,1.002
5s,5min,2,0.135922,0.135685,1.002
250ms,1s,3,1.0,1.0,1.0
250ms,1s,2,1.0,1.0,1.0
250ms,1s,1,1.0,1.0,1.0
250ms,1s,0,1.0,1.0,1.0
250ms,1min,3,0.403533,0.403533,1.0
250ms,1min,2,0.402985,0.402985,1.0
250ms,1min,1,0.402439,0.402439,1.0
250ms,1min,0,0.401894,0.401894,1.0
250ms,30s,3,0.574728,0.574728,1.0
250ms,30s,2,0.573948,0.573948,1.0
250ms,30s,1,0.573171,0.573171,1.0
250ms,30s,0,0.572395,0.572395,1.0
250ms,5s,3,0.97962,0.97962,1.0
250ms,5s,2,0.979647,0.979647,1.0
250ms,5s,1,0.979675,0.979675,1.0
250ms,5s,0,0.978349,0.978349,1.0
250ms,5min,3,0.13587,0.13587,1.0
250ms,5min,2,0.135685,0.135685,1.0
250ms,5min,1,0.135501,0.135501,1.0
250ms,5min,0,0.135318,0.135318,1.0
1s,15min,0,0.044655,0.044655,1.0
1s,15min,1,0.044715,0.044715,1.0
1s,15min,2,0.044776,0.044776,1.0
1s,15min,3,0.044837,0.044837,1.0
1s,5min,0,0.135318,0.135318,1.0
1s,5min,1,0.135501,0.135501,1.0
1s,5min,2,0.135685,0.135685,1.0
1s,5min,3,0.13587,0.13587,1.0
1s,1min,0,0.401894,0.401894,1.0
1s,1min,1,0.402439,0.402439,1.0
1s,1min,2,0.402985,0.402985,1.0
1s,1min,3,0.403533,0.403533,1.0
1s,5s,3,0.97962,0.97962,1.0
1s,5s,2,0.979647,0.979647,1.0
1s,5s,1,0.979675,0.979675,1.0
1s,5s,0,0.978349,0.978349,1.0
250ms,15min,3,0.044837,0.044837,1.0
250ms,15min,2,0.044776,0.044776,1.0
250ms,15min,1,0.044715,0.044715,1.0
250ms,15min,0,0.044655,0.044655,1.0
1s,30s,0,0.572395,0.572395,1.0
1s,30s,1,0.573171,0.573171,1.0
1s,30s,2,0.573948,0.573948,1.0
1s,30s,3,0.574728,0.574728,1.0
5s,5min,1,0.134349,0.135501,0.991
5s,15min,0,0.04426,0.044655,0.991
5s,15min,1,0.044321,0.044715,0.991
5s,15min,3,0.044444,0.044837,0.991
