fold,tp_pips,timeout_s5,timeout_min,n_trades,wr,mean_pnl,total_pips,pd_pips,oos_days,n_sel_events
0,5,12,1.0,79,50.6,-0.68,-53.9,-0.12,463.7,79
0,5,36,3.0,79,59.5,-0.22,-17.2,-0.04,463.7,79
0,5,60,5.0,79,49.4,-0.55,-43.3,-0.09,463.7,79
0,5,120,10.0,79,58.2,-0.53,-41.6,-0.09,463.7,79
0,10,12,1.0,79,50.6,-0.0,-0.1,-0.0,463.7,79
0,10,36,3.0,79,59.5,0.59,46.6,0.1,463.7,79
0,10,60,5.0,79,43.0,0.02,1.4,0.0,463.7,79
0,10,120,10.0,79,53.2,0.72,56.6,0.12,463.7,79
0,15,12,1.0,79,50.6,0.24,18.8,0.04,463.7,79
0,15,36,3.0,79,59.5,1.14,89.7,0.19,463.7,79
0,15,60,5.0,79,43.0,0.33,25.7,0.06,463.7,79
0,15,120,10.0,79,53.2,1.35,106.6,0.23,463.7,79
0,20,12,1.0,79,50.6,0.19,15.4,0.03,463.7,79
0,20,36,3.0,79,59.5,1.14,89.9,0.19,463.7,79
0,20,60,5.0,79,43.0,0.38,30.1,0.06,463.7,79
0,20,120,10.0,79,53.2,1.44,113.8,0.25,463.7,79
1,5,12,1.0,80,66.2,0.63,50.4,0.16,322.5,80
1,5,36,3.0,80,66.2,0.81,65.2,0.2,322.5,80
1,5,60,5.0,80,61.3,0.87,70.0,0.22,322.5,80
1,5,120,10.0,80,72.5,1.04,82.9,0.26,322.5,80
1,10,12,1.0,80,57.5,2.15,172.2,0.53,322.5,80
1,10,36,3.0,80,62.5,2.84,227.6,0.71,322.5,80
1,10,60,5.0,80,57.5,2.77,221.8,0.69,322.5,80
1,10,120,10.0,80,70.0,2.62,209.8,0.65,322.5,80
1,15,12,1.0,80,56.2,3.01,241.1,0.75,322.5,80
1,15,36,3.0,80,58.8,3.75,300.4,0.93,322.5,80
1,15,60,5.0,80,51.2,3.64,291.2,0.9,322.5,80
1,15,120,10.0,80,63.7,3.5,279.9,0.87,322.5,80
1,20,12,1.0,80,51.2,2.81,224.6,0.7,322.5,80
1,20,36,3.0,80,50.0,2.55,204.2,0.63,322.5,80
1,20,60,5.0,80,42.5,2.75,219.8,0.68,322.5,80
1,20,120,10.0,80,53.8,2.9,231.7,0.72,322.5,80
2,5,12,1.0,79,49.4,-0.59,-46.6,-0.1,469.0,79
2,5,36,3.0,79,46.8,-0.72,-57.1,-0.12,469.0,79
2,5,60,5.0,79,49.4,-0.81,-64.0,-0.14,469.0,79
2,5,120,10.0,79,48.1,-0.5,-39.6,-0.08,469.0,79
2,10,12,1.0,79,46.8,0.69,54.6,0.12,469.0,79
2,10,36,3.0,79,49.4,0.85,66.9,0.14,469.0,79
2,10,60,5.0,79,53.2,0.94,74.5,0.16,469.0,79
2,10,120,10.0,79,53.2,1.16,91.6,0.2,469.0,79
2,15,12,1.0,79,46.8,1.67,131.8,0.28,469.0,79
2,15,36,3.0,79,46.8,1.48,117.2,0.25,469.0,79
2,15,60,5.0,79,50.6,1.94,153.3,0.33,469.0,79
2,15,120,10.0,79,53.2,3.14,247.8,0.53,469.0,79
2,20,12,1.0,79,46.8,1.95,154.1,0.33,469.0,79
2,20,36,3.0,79,46.8,2.08,164.0,0.35,469.0,79
2,20,60,5.0,79,50.6,2.94,232.1,0.49,469.0,79
2,20,120,10.0,79,53.2,4.3,339.9,0.72,469.0,79
3,5,12,1.0,79,49.4,-1.89,-149.6,-0.3,506.4,79
3,5,36,3.0,79,48.1,-2.2,-173.6,-0.34,506.4,79
3,5,60,5.0,79,46.8,-1.96,-155.1,-0.31,506.4,79
3,5,120,10.0,79,45.6,-1.6,-126.7,-0.25,506.4,79
3,10,12,1.0,79,40.5,-1.32,-104.2,-0.21,506.4,79
3,10,36,3.0,79,40.5,-1.25,-98.8,-0.2,506.4,79
3,10,60,5.0,79,39.2,-1.01,-79.5,-0.16,506.4,79
3,10,120,10.0,79,34.2,-0.93,-73.1,-0.14,506.4,79
3,15,12,1.0,79,40.5,-0.99,-78.5,-0.16,506.4,79
3,15,36,3.0,79,39.2,-0.52,-41.1,-0.08,506.4,79
3,15,60,5.0,79,36.7,-0.38,-29.9,-0.06,506.4,79
3,15,120,10.0,79,32.9,-0.28,-22.5,-0.04,506.4,79
3,20,12,1.0,79,40.5,-1.15,-90.9,-0.18,506.4,79
3,20,36,3.0,79,39.2,-1.28,-101.5,-0.2,506.4,79
3,20,60,5.0,79,36.7,-1.49,-117.7,-0.23,506.4,79
3,20,120,10.0,79,27.8,-1.18,-93.1,-0.18,506.4,79
