pair,scale,bars,ind,framing,ic_oos,avg_oos,t_oos,n_oos
GBP_JPY,vbar~D1,1401,TRIX14,trend,-0.01863409860217738,-2.79619047619055,-0.6329720501835213,420
GBP_JPY,vbar~D1,1401,TRIX14,contra,0.01863409860217738,-4.4823809523810185,-1.0139478705305018,420
GBP_JPY,vbar~D1,1401,Vortex14,trend,-0.036602424062500874,-4.91642857142866,-1.1118189719401617,420
GBP_JPY,vbar~D1,1401,Vortex14,contra,0.036602424062500874,-2.36214285714291,-0.5349283499463237,420
GBP_JPY,vbar~D1,1401,Fisher10,trend,-0.0855798936097275,-9.400714285714352,-2.1291246230933507,420
GBP_JPY,vbar~D1,1401,Fisher10,contra,0.0855798936097275,2.122142857142785,0.48171204810607976,420
GBP_JPY,vbar~D1,1401,RSI2,trend,0.22013724704866044,12.793617021276546,1.2312512579773176,94
GBP_JPY,vbar~D1,1401,RSI2,contra,-0.22013724704866044,-20.194680851064014,-1.9487502391983391,94
GBP_JPY,vbar~H4,5601,TRIX14,trend,-0.04553619180785378,-5.347738095238218,-4.761211497109281,1680
GBP_JPY,vbar~H4,5601,TRIX14,contra,0.04553619180785378,-1.952023809523937,-1.7388069665377806,1680
GBP_JPY,vbar~H4,5601,Vortex14,trend,-0.06588168335997362,-6.4954166666668005,-5.782017558001123,1680
GBP_JPY,vbar~H4,5601,Vortex14,contra,0.06588168335997362,-0.8043452380953534,-0.718384631399082,1680
GBP_JPY,vbar~H4,5601,Fisher10,trend,-0.03719247196519909,-5.181904761904888,-4.604728170074183,1680
GBP_JPY,vbar~H4,5601,Fisher10,contra,0.03719247196519909,-2.1178571428572672,-1.88968501206514,1680
GBP_JPY,vbar~H4,5601,RSI2,trend,-0.011736618811593099,-4.318329466357472,-1.9199702179996978,431
GBP_JPY,vbar~H4,5601,RSI2,contra,0.011736618811593099,-2.9781902552205723,-1.3260559630707593,431
USD_JPY,vbar~D1,1400,TRIX14,trend,-0.054108998381692544,-4.378571428571405,-1.3001157264757464,420
USD_JPY,vbar~D1,1400,TRIX14,contra,0.054108998381692544,0.8842857142857478,0.2623894416135313,420
USD_JPY,vbar~D1,1400,Vortex14,trend,-0.10893767219223101,-8.37333333333326,-2.495743742137797,420
USD_JPY,vbar~D1,1400,Vortex14,contra,0.10893767219223101,4.879047619047603,1.4535406071897796,420
USD_JPY,vbar~D1,1400,Fisher10,trend,-0.10225344799809369,-8.22976190476187,-2.4529321534540953,420
USD_JPY,vbar~D1,1400,Fisher10,contra,0.10225344799809369,4.735476190476214,1.4102173146125938,420
USD_JPY,vbar~D1,1400,RSI2,trend,0.050287645139677574,0.32300884955770626,0.045343573489053844,113
USD_JPY,vbar~D1,1400,RSI2,contra,-0.050287645139677574,-3.830088495575123,-0.5379801612706875,113
USD_JPY,vbar~H4,5600,TRIX14,trend,-0.04393518621344515,-3.12601190476184,-3.709549148611941,1680
USD_JPY,vbar~H4,5600,TRIX14,contra,0.04393518621344515,-0.3493452380951687,-0.4142683430661873,1680
USD_JPY,vbar~H4,5600,Vortex14,trend,0.015429572438179889,-1.1611309523808764,-1.3763474085370082,1680
USD_JPY,vbar~H4,5600,Vortex14,contra,-0.015429572438179889,-2.3142261904761323,-2.7436964376237607,1680
USD_JPY,vbar~H4,5600,Fisher10,trend,-0.0034953089146836074,-1.7863690476189713,-2.1169574636960364,1680
USD_JPY,vbar~H4,5600,Fisher10,contra,0.0034953089146836074,-1.6889880952380378,-2.0023631219350984,1680
USD_JPY,vbar~H4,5600,RSI2,trend,-0.03441599063244068,-2.9209745762711754,-1.8159158240392708,472
USD_JPY,vbar~H4,5600,RSI2,contra,0.03441599063244068,-0.5184322033898431,-0.32260827356942146,472
EUR_JPY,vbar~D1,1401,TRIX14,trend,-0.014098728255330952,-0.043571428571480164,-0.012674860037482076,420
EUR_JPY,vbar~D1,1401,TRIX14,contra,0.014098728255330952,-5.352380952380984,-1.5558014527476978,420
EUR_JPY,vbar~D1,1401,Vortex14,trend,-0.08030342881705886,-5.677857142857212,-1.6508718003102922,420
EUR_JPY,vbar~D1,1401,Vortex14,contra,0.08030342881705886,0.2819047619047486,0.08201300969575877,420
EUR_JPY,vbar~D1,1401,Fisher10,trend,-0.07082067570933212,-5.136904761904854,-1.49256884192828,420
EUR_JPY,vbar~D1,1401,Fisher10,contra,0.07082067570933212,-0.2590476190476108,-0.07537014792651858,420
EUR_JPY,vbar~D1,1401,RSI2,trend,0.16767137033319862,4.786734693877611,0.7965760592533987,98
EUR_JPY,vbar~D1,1401,RSI2,contra,-0.16767137033319862,-10.12551020408172,-1.6841280962079472,98
EUR_JPY,vbar~H4,5601,TRIX14,trend,-0.04026777998113533,-3.5448809523810323,-4.094237080467313,1680
EUR_JPY,vbar~H4,5601,TRIX14,contra,0.04026777998113533,-1.870297619047688,-2.1583205068499614,1680
EUR_JPY,vbar~H4,5601,Vortex14,trend,-0.07799544055540861,-5.136964285714348,-5.944042843550979,1680
EUR_JPY,vbar~H4,5601,Vortex14,contra,0.07799544055540861,-0.2782142857143725,-0.32179343891267126,1680
EUR_JPY,vbar~H4,5601,Fisher10,trend,-0.04452369171792023,-4.033571428571492,-4.658938897561105,1680
EUR_JPY,vbar~H4,5601,Fisher10,contra,0.04452369171792023,-1.3816071428572283,-1.5956157789666658,1680
EUR_JPY,vbar~H4,5601,RSI2,trend,0.02091631045139382,-2.1903587443946773,-1.240476518908963,446
EUR_JPY,vbar~H4,5601,RSI2,contra,-0.02091631045139382,-3.1816143497758542,-1.7976426694370926,446
GBP_USD,vbar~D1,1401,TRIX14,trend,0.029836024341543886,-0.46642857142853944,-0.20306051322835594,420
GBP_USD,vbar~D1,1401,TRIX14,contra,-0.029836024341543886,-3.663571428571396,-1.5949085590833527,420
GBP_USD,vbar~D1,1401,Vortex14,trend,0.003473885752459193,-1.8392857142856833,-0.8003869209536054,420
GBP_USD,vbar~D1,1401,Vortex14,contra,-0.003473885752459193,-2.2907142857142513,-0.9965518488464752,420
GBP_USD,vbar~D1,1401,Fisher10,trend,-0.03169010336678678,-3.4626190476190253,-1.5071289616154906,420
GBP_USD,vbar~D1,1401,Fisher10,contra,0.03169010336678678,-0.66738095238091,-0.2905235264591775,420
GBP_USD,vbar~D1,1401,RSI2,trend,-0.0029765403335902975,-2.0841584158414537,-0.4324832692651003,101
GBP_USD,vbar~D1,1401,RSI2,contra,0.0029765403335902975,-1.8059405940592326,-0.37485528055151995,101
GBP_USD,vbar~H4,5601,TRIX14,trend,-0.011076884306097502,-2.3260714285714137,-3.8930727054865155,1680
GBP_USD,vbar~H4,5601,TRIX14,contra,0.011076884306097502,-1.8268452380952183,-3.0576024631937853,1680
GBP_USD,vbar~H4,5601,Vortex14,trend,-0.027408427871973305,-2.735416666666649,-4.577685165302812,1680
GBP_USD,vbar~H4,5601,Vortex14,contra,0.027408427871973305,-1.417499999999983,-2.3742097972884832,1680
GBP_USD,vbar~H4,5601,Fisher10,trend,-0.007337147625673787,-2.2579761904761866,-3.776196457165203,1680
GBP_USD,vbar~H4,5601,Fisher10,contra,0.007337147625673787,-1.8949404761904454,-3.1738639471113146,1680
GBP_USD,vbar~H4,5601,RSI2,trend,0.06206773516563816,-1.0011792452829789,-0.845318910595614,424
GBP_USD,vbar~H4,5601,RSI2,contra,-0.06206773516563816,-3.090330188679229,-2.604519042660446,424
AUD_JPY,vbar~D1,1400,TRIX14,trend,0.052355401464395455,2.0476190476190532,0.5972022494708497,420
AUD_JPY,vbar~D1,1400,TRIX14,contra,-0.052355401464395455,-6.727380952380941,-1.9621869735105866,420
AUD_JPY,vbar~D1,1400,Vortex14,trend,-0.0033225457506909487,-1.7497619047618957,-0.5092633334651033,420
AUD_JPY,vbar~D1,1400,Vortex14,contra,0.0033225457506909487,-2.9299999999999926,-0.8531146330862244,420
AUD_JPY,vbar~D1,1400,Fisher10,trend,-0.045289501942763134,-4.628095238095232,-1.3479318490701633,420
AUD_JPY,vbar~D1,1400,Fisher10,contra,0.045289501942763134,-0.051666666666655946,-0.015047955919129035,420
AUD_JPY,vbar~D1,1400,RSI2,trend,0.23492242151746295,10.941836734693862,1.7049400381923654,98
AUD_JPY,vbar~D1,1400,RSI2,contra,-0.23492242151746295,-15.647959183673493,-2.43747074198986,98
AUD_JPY,vbar~H4,5600,TRIX14,trend,-0.004068360740779573,-2.3156547619047347,-2.630262540895792,1680
AUD_JPY,vbar~H4,5600,TRIX14,contra,0.004068360740779573,-2.36654761904759,-2.6928451535398024,1680
AUD_JPY,vbar~H4,5600,Vortex14,trend,-0.044646691544791534,-3.880357142857119,-4.411976444910045,1680
AUD_JPY,vbar~H4,5600,Vortex14,contra,0.044646691544791534,-0.8018452380952052,-0.913151748339448,1680
AUD_JPY,vbar~H4,5600,Fisher10,trend,-0.027918452773043292,-3.291309523809498,-3.741428327264437,1680
AUD_JPY,vbar~H4,5600,Fisher10,contra,0.027918452773043292,-1.390892857142826,-1.5825142183044196,1680
AUD_JPY,vbar~H4,5600,RSI2,trend,0.0776687680700155,0.2523255813953474,0.15118141228006288,430
AUD_JPY,vbar~H4,5600,RSI2,contra,-0.0776687680700155,-4.900232558139561,-2.94318361146194,430
EUR_USD,vbar~D1,1400,TRIX14,trend,0.03303065117626348,0.7585714285714235,0.33835487538748443,420
EUR_USD,vbar~D1,1400,TRIX14,contra,-0.03303065117626348,-4.095714285714303,-1.8264057794714104,420
EUR_USD,vbar~D1,1400,Vortex14,trend,-0.002873195202953978,-1.5147619047618948,-0.674606564423245,420
EUR_USD,vbar~D1,1400,Vortex14,contra,0.002873195202953978,-1.822380952380985,-0.8116496069996176,420
EUR_USD,vbar~D1,1400,Fisher10,trend,-0.01450928999891113,-2.0333333333333417,-0.9058254084592453,420
EUR_USD,vbar~D1,1400,Fisher10,contra,0.01450928999891113,-1.3038095238095382,-0.580545653118249,420
EUR_USD,vbar~D1,1400,RSI2,trend,0.04339041929803115,0.46949152542381284,0.10563911462177726,118
EUR_USD,vbar~D1,1400,RSI2,contra,-0.04339041929803115,-3.8372881355932953,-0.8625239733243443,118
EUR_USD,vbar~H4,5600,TRIX14,trend,-0.007132822308455725,-1.7545238095238116,-3.0504707511361744,1680
EUR_USD,vbar~H4,5600,TRIX14,contra,0.007132822308455725,-1.6035714285714264,-2.793307974171693,1680
EUR_USD,vbar~H4,5600,Vortex14,trend,0.018011192932627335,-1.215068493150693,-2.111916753178937,1679
EUR_USD,vbar~H4,5600,Vortex14,contra,-0.018011192932627335,-2.1431209053007643,-3.732663728987648,1679
EUR_USD,vbar~H4,5600,Fisher10,trend,0.014823370036765012,-1.3498214285714307,-2.347377561425473,1680
EUR_USD,vbar~H4,5600,Fisher10,contra,-0.014823370036765012,-2.0082738095238075,-3.4981195879204536,1680
EUR_USD,vbar~H4,5600,RSI2,trend,0.05415270270251251,-0.72154963680387,-0.567620089012856,413
EUR_USD,vbar~H4,5600,RSI2,contra,-0.05415270270251251,-2.6276029055690597,-2.0598034202042173,413
EUR_GBP,vbar~D1,1401,TRIX14,trend,-0.04167780182649338,-2.48833333333327,-2.1723832036586552,420
EUR_GBP,vbar~D1,1401,TRIX14,contra,0.04167780182649338,-0.7440476190475607,-0.6499455561869961,420
EUR_GBP,vbar~D1,1401,Vortex14,trend,0.03830950694545701,-0.6885714285713637,-0.6001257531029162,420
EUR_GBP,vbar~D1,1401,Vortex14,contra,-0.03830950694545701,-2.5438095238094665,-2.226271047134129,420
EUR_GBP,vbar~D1,1401,Fisher10,trend,0.00182793490398505,-1.5849999999999207,-1.3791588622384214,420
EUR_GBP,vbar~D1,1401,Fisher10,contra,-0.00182793490398505,-1.6473809523809093,-1.4418512048185452,420
EUR_GBP,vbar~D1,1401,RSI2,trend,-0.04708809620122843,-2.7366666666665846,-0.962550541516647,90
EUR_GBP,vbar~D1,1401,RSI2,contra,0.04708809620122843,-0.3322222222221288,-0.1149540030490028,90
EUR_GBP,vbar~H4,5596,TRIX14,trend,0.0030573212609453686,-1.5564362336114075,-5.335082414716345,1678
EUR_GBP,vbar~H4,5596,TRIX14,contra,-0.0030573212609453686,-1.6301549463646834,-5.587480634236461,1678
EUR_GBP,vbar~H4,5596,Vortex14,trend,-0.009821982877548369,-1.7093023255813642,-5.853922596269028,1677
EUR_GBP,vbar~H4,5596,Vortex14,contra,0.009821982877548369,-1.4774001192605444,-5.063870594412288,1677
EUR_GBP,vbar~H4,5596,Fisher10,trend,-0.001583558049923858,-1.6149582836710075,-5.533173152445249,1678
EUR_GBP,vbar~H4,5596,Fisher10,contra,0.001583558049923858,-1.5716328963050834,-5.389302396281386,1678
EUR_GBP,vbar~H4,5596,RSI2,trend,0.1257861291582635,-0.018911917098393963,-0.029026694308036997,386
EUR_GBP,vbar~H4,5596,RSI2,contra,-0.1257861291582635,-3.200777202072511,-4.873331527642801,386
AUD_USD,vbar~D1,1400,TRIX14,trend,-0.021316744900171,-1.387619047618955,-0.8059811974515693,420
AUD_USD,vbar~D1,1400,TRIX14,contra,0.021316744900171,-1.4416666666665903,-0.8375452108634532,420
AUD_USD,vbar~D1,1400,Vortex14,trend,-0.024022881433123717,-1.736666666666582,-1.0091240705314426,420
AUD_USD,vbar~D1,1400,Vortex14,contra,0.024022881433123717,-1.0926190476189628,-0.6345630707358674,420
AUD_USD,vbar~D1,1400,Fisher10,trend,-0.08801438516240637,-4.203333333333246,-2.4498853155166738,420
AUD_USD,vbar~D1,1400,Fisher10,contra,0.08801438516240637,1.3740476190477016,0.800527481363513,420
