scale,ind,framing,meanIC,mean_avgPnl,pairs_pos,pairs_sig
vbar~D1,RSI2,trend,0.10456173983313986,4.639170611328218,9,0
vbar~D1,Fisher10,contra,0.038361709127428194,-0.998492063492037,4,0
vbar~D1,TRIX14,trend,0.002487861904169522,-1.032619047619029,3,0
vbar~H4,RSI2,trend,0.04349214178605119,-1.1936720031447006,3,0
vbar~H4,Vortex14,contra,0.02326809050653515,-1.6414879198809809,0,0
vbar~D1,Vortex14,contra,0.02219329175108235,-1.7479365079364897,3,0
vbar~H4,TRIX14,contra,0.021101464026897554,-1.896238110609742,0,0
vbar~H4,Fisher10,contra,0.01351854991780898,-1.9607809159619183,0,0
vbar~H4,Fisher10,trend,-0.01351854991780898,-2.839733626813842,0,0
vbar~H4,TRIX14,trend,-0.021101464026897554,-2.9042764321660184,0,0
vbar~D1,Vortex14,trend,-0.02219329175108235,-3.0728174603174394,1,0
vbar~H4,Vortex14,trend,-0.02326809050653515,-3.1590707176363204,0,0
vbar~H4,RSI2,contra,-0.04349214178605119,-3.5682858347989317,0,0
vbar~D1,TRIX14,contra,-0.002487861904169522,-3.7881349206348993,1,0
vbar~D1,Fisher10,trend,-0.038361709127428194,-3.8222619047618913,1,0
vbar~D1,RSI2,contra,-0.10456173983313986,-9.346331104819908,0,0
