tf,ind,framing,meanIC,mean_avgPnl,pairs_pos,pairs_sig,verdict
D1,RSI2,trend,0.13672003580532258,4.732631708974119,10,1,look
D1,Fisher10,contra,0.04363085249469037,-1.658236621534478,2,0,
H4,Fisher10,contra,0.02364067336977109,-1.8528165372219965,0,0,
H4,RSI2,trend,0.021453245674931537,-1.984002498199301,0,0,
H4,TRIX14,contra,0.018323195857635227,-2.0357166641312703,0,0,
H4,Vortex14,contra,0.01325044559231158,-2.1215976846733313,0,0,
H1,RSI2,trend,0.015888735029616855,-2.3849597796873003,0,0,
D1,Vortex14,contra,0.032561420475072045,-2.406318504190828,1,0,
M15,RSI2,trend,0.018780013735779696,-2.46252176014521,0,0,
H1,TRIX14,contra,0.011058619633544728,-2.5934120276548236,0,0,
M15,Fisher10,contra,0.006613126522469523,-2.6364468467483007,0,0,
M15,Vortex14,contra,0.006263383645490637,-2.6406813939612097,0,0,
M15,TRIX14,contra,0.002070026993727146,-2.6617379030661783,0,0,
M15,TRIX14,trend,-0.002070026993727146,-2.688024125734667,0,0,
M15,Vortex14,trend,-0.006263383645490637,-2.708870892541619,0,0,
M15,Fisher10,trend,-0.006613126522469523,-2.7133151820525447,0,0,
H1,Vortex14,trend,0.00044975622998179673,-2.714892071499811,0,0,
M15,RSI2,contra,-0.018780013735779696,-2.7170674056723847,0,0,
H1,Fisher10,trend,0.000542554571925804,-2.7205073388342136,0,0,
H1,Fisher10,contra,-0.000542554571925804,-2.74569022198869,0,0,
H1,Vortex14,contra,-0.00044975622998179673,-2.7516040539847193,0,0,
H1,RSI2,contra,-0.015888735029616855,-2.7604301833900973,0,0,
H4,RSI2,contra,-0.021453245674931537,-2.794218706551403,0,0,
H4,Vortex14,trend,-0.01325044559231158,-2.8224301468403374,0,0,
H1,TRIX14,trend,-0.011058619633544728,-2.8727855331680794,0,0,
H4,TRIX14,trend,-0.018323195857635227,-2.908181508196724,0,0,
H4,Fisher10,trend,-0.02364067336977109,-3.0910816351059975,0,0,
D1,TRIX14,trend,-0.012191008155337938,-3.4707607994841925,0,0,
D1,TRIX14,contra,0.012191008155337938,-3.9067214700193276,0,0,
D1,Vortex14,trend,-0.032561420475072045,-4.971163765312691,0,0,
D1,Fisher10,trend,-0.04363085249469037,-5.719245647969043,0,0,
D1,RSI2,contra,-0.13672003580532258,-12.026201658991086,0,0,
