label,kind,n,lo,hi,hold,ntr,avg,t,pairs_pos,wr,k,zt
"zscore({'k': 10, 'zt': 2.0})_h3",zscore,,,,3,906,4.350441501103812,1.2466677793042085,5,52.64900662251656,10.0,2.0
"zscore({'k': 20, 'zt': 2.0})_h3",zscore,,,,3,1537,-1.1605074821079797,-0.41653669883790656,6,50.61808718282368,20.0,2.0
"zscore({'k': 10, 'zt': 2.0})_h2",zscore,,,,2,906,-2.062582781456928,-0.7222148764782106,3,48.78587196467991,10.0,2.0
"zscore({'k': 20, 'zt': 2.0})_h2",zscore,,,,2,1537,-3.597137280416371,-1.5309394706180337,4,48.92648015614834,20.0,2.0
"zscore({'k': 10, 'zt': 2.0})_h1",zscore,,,,1,906,-3.2775938189845064,-1.534341586357882,4,44.5916114790287,10.0,2.0
"rsi({'n': 3, 'lo': 10, 'hi': 90})_h3",rsi,3.0,10.0,90.0,3,1838,-4.547714907508101,-1.696838635996683,5,48.5854189336235,,
"zscore({'k': 10, 'zt': 1.5})_h2",zscore,,,,2,3386,-2.6822504430005796,-1.798295644465606,4,48.99586532782044,10.0,1.5
"zscore({'k': 10, 'zt': 1.5})_h3",zscore,,,,3,3386,-3.4152982870643487,-1.8934801737235911,4,49.05493207324276,10.0,1.5
"rsi({'n': 3, 'lo': 10, 'hi': 90})_h2",rsi,3.0,10.0,90.0,2,1838,-4.800054406964057,-2.1133943487939097,5,48.5310119695321,,
"zscore({'k': 20, 'zt': 2.0})_h1",zscore,,,,1,1537,-4.042355237475574,-2.4987958399286088,2,45.41314248536109,20.0,2.0
"rsi({'n': 2, 'lo': 15, 'hi': 85})_h2",rsi,2.0,15.0,85.0,2,5722,-2.94136665501574,-2.4992510327205286,5,48.72422229989514,,
"rsi({'n': 2, 'lo': 15, 'hi': 85})_h3",rsi,2.0,15.0,85.0,3,5722,-3.7240824886403274,-2.6419365445755663,5,49.038797623208666,,
"rsi({'n': 3, 'lo': 15, 'hi': 85})_h2",rsi,3.0,15.0,85.0,2,3206,-4.425296319401111,-2.678365473222694,5,48.68995633187773,,
"rsi({'n': 3, 'lo': 15, 'hi': 85})_h3",rsi,3.0,15.0,85.0,3,3206,-5.318558951965036,-2.69410180270161,4,48.502807236431686,,
"rsi({'n': 2, 'lo': 10, 'hi': 90})_h3",rsi,2.0,10.0,90.0,3,4094,-4.735710796287229,-2.785097293349736,5,48.7542745481192,,
"zscore({'k': 10, 'zt': 1.5})_h1",zscore,,,,1,3386,-2.9725634967513166,-2.8438673002804937,3,45.5404607206143,10.0,1.5
"rsi({'n': 2, 'lo': 10, 'hi': 90})_h2",rsi,2.0,10.0,90.0,2,4094,-4.035930630190517,-2.8569970740875004,4,48.21690278456278,,
"rsi({'n': 2, 'lo': 20, 'hi': 80})_h3",rsi,2.0,20.0,80.0,3,7184,-3.6002227171492183,-2.8853228091398058,5,48.78897550111358,,
"rsi({'n': 2, 'lo': 20, 'hi': 80})_h2",rsi,2.0,20.0,80.0,2,7184,-3.0143930957683853,-2.9237800349016245,5,48.218262806236076,,
"zscore({'k': 20, 'zt': 1.5})_h3",zscore,,,,3,4112,-5.512013618677034,-3.1849469251157,3,48.492217898832685,20.0,1.5
"rsi({'n': 3, 'lo': 10, 'hi': 90})_h1",rsi,3.0,10.0,90.0,1,1838,-5.210337323177332,-3.3259309882352697,3,44.50489662676823,,
"rsi({'n': 3, 'lo': 20, 'hi': 80})_h3",rsi,3.0,20.0,80.0,3,4721,-5.27049353950433,-3.3394640030850926,5,48.37958059733107,,
"rsi({'n': 3, 'lo': 20, 'hi': 80})_h2",rsi,3.0,20.0,80.0,2,4721,-4.383795805973311,-3.3509213562198035,5,47.76530396102521,,
"zscore({'k': 20, 'zt': 1.5})_h2",zscore,,,,2,4112,-4.734289883268476,-3.3526871753146494,3,47.76264591439689,20.0,1.5
"rsi({'n': 3, 'lo': 15, 'hi': 85})_h1",rsi,3.0,15.0,85.0,1,3206,-4.0647535870243185,-3.5445708942141616,4,46.038677479725514,,
"rsi({'n': 2, 'lo': 10, 'hi': 90})_h1",rsi,2.0,10.0,90.0,1,4094,-3.901880801172442,-3.938437996136238,4,45.87200781631656,,
"rsi({'n': 2, 'lo': 15, 'hi': 85})_h1",rsi,2.0,15.0,85.0,1,5722,-3.3083886752883656,-4.075683698641142,5,46.22509612023768,,
"zscore({'k': 20, 'zt': 1.5})_h1",zscore,,,,1,4112,-4.230107003891032,-4.350850640669215,3,45.30642023346304,20.0,1.5
"rsi({'n': 3, 'lo': 20, 'hi': 80})_h1",rsi,3.0,20.0,80.0,1,4721,-4.082673162465577,-4.518472776472507,5,45.54119889853844,,
"rsi({'n': 2, 'lo': 20, 'hi': 80})_h1",rsi,2.0,20.0,80.0,1,7184,-3.495879732739425,-4.93912449552492,3,45.86581291759465,,
