signal,pair,n_consec,dist_mult,tp,n_is3,wf_pass,oos_pd,oos_wr,tpd,n_oos
exhaust_cont,GBP_JPY,2,0.5,5.0,3,1,1.977,95.8,0.333,143
exhaust_cont,GBP_JPY,2,0.5,8.0,3,1,5.782,99.7,0.808,347
exhaust_cont,GBP_JPY,2,0.5,10.0,3,1,2.851,99.1,0.254,109
exhaust_cont,GBP_JPY,2,0.5,15.0,3,1,3.634,97.3,0.263,113
exhaust_cont,GBP_JPY,2,0.5,20.0,3,1,4.642,96.8,0.221,95
exhaust_cont,GBP_JPY,2,1.0,5.0,3,1,1.97,95.8,0.333,143
exhaust_cont,GBP_JPY,2,1.0,8.0,3,1,4.061,98.7,0.545,234
exhaust_cont,GBP_JPY,2,1.0,10.0,3,1,2.792,99.1,0.252,108
exhaust_cont,GBP_JPY,2,1.0,15.0,3,1,3.659,97.3,0.263,113
exhaust_cont,GBP_JPY,2,1.0,20.0,3,1,4.594,96.8,0.219,94
exhaust_cont,GBP_JPY,2,1.5,5.0,2,0,2.951,96.3,0.631,271
exhaust_cont,GBP_JPY,2,1.5,8.0,2,0,4.491,99.5,0.482,207
exhaust_cont,GBP_JPY,2,1.5,10.0,2,0,1.888,98.4,0.147,63
exhaust_cont,GBP_JPY,2,1.5,15.0,2,0,3.472,97.8,0.214,92
exhaust_cont,GBP_JPY,2,1.5,20.0,2,0,4.327,96.6,0.207,89
exhaust_cont,GBP_JPY,2,2.0,5.0,3,1,2.817,97.0,0.624,268
exhaust_cont,GBP_JPY,2,2.0,8.0,3,1,6.684,99.2,0.92,395
exhaust_cont,GBP_JPY,2,2.0,10.0,3,1,1.888,98.4,0.147,63
exhaust_cont,GBP_JPY,2,2.0,15.0,3,1,3.453,97.8,0.214,92
exhaust_cont,GBP_JPY,2,2.0,20.0,3,1,2.653,95.9,0.114,49
exhaust_cont,GBP_JPY,2,2.5,5.0,3,1,2.255,96.8,0.368,158
exhaust_cont,GBP_JPY,2,2.5,8.0,3,1,4.853,99.2,0.606,260
exhaust_cont,GBP_JPY,2,2.5,10.0,3,1,2.223,98.6,0.161,69
exhaust_cont,GBP_JPY,2,2.5,15.0,3,1,3.963,98.2,0.261,112
exhaust_cont,GBP_JPY,2,2.5,20.0,3,1,3.594,98.6,0.168,72
exhaust_cont,GBP_JPY,3,0.5,5.0,3,1,2.084,93.9,0.568,244
exhaust_cont,GBP_JPY,3,0.5,8.0,3,1,1.926,98.4,0.287,123
exhaust_cont,GBP_JPY,3,0.5,10.0,3,1,2.578,99.1,0.27,116
exhaust_cont,GBP_JPY,3,0.5,15.0,3,1,2.468,98.6,0.161,69
exhaust_cont,GBP_JPY,3,0.5,20.0,3,1,2.785,100.0,0.135,58
exhaust_cont,GBP_JPY,3,1.0,5.0,3,1,2.572,94.7,0.659,283
exhaust_cont,GBP_JPY,3,1.0,8.0,3,1,2.013,99.2,0.282,121
exhaust_cont,GBP_JPY,3,1.0,10.0,3,1,2.57,99.1,0.268,115
exhaust_cont,GBP_JPY,3,1.0,15.0,3,1,3.557,97.3,0.256,110
exhaust_cont,GBP_JPY,3,1.0,20.0,3,1,2.945,98.4,0.144,62
exhaust_cont,GBP_JPY,3,1.5,5.0,2,0,1.867,94.4,0.496,213
exhaust_cont,GBP_JPY,3,1.5,8.0,2,0,2.119,99.2,0.291,125
exhaust_cont,GBP_JPY,3,1.5,10.0,2,0,2.803,99.2,0.296,127
exhaust_cont,GBP_JPY,3,1.5,15.0,2,0,4.12,99.1,0.263,113
exhaust_cont,GBP_JPY,3,1.5,20.0,2,0,2.687,100.0,0.128,55
exhaust_cont,GBP_JPY,3,2.0,5.0,3,1,1.737,93.0,0.436,187
exhaust_cont,GBP_JPY,3,2.0,8.0,3,1,2.11,99.2,0.289,124
exhaust_cont,GBP_JPY,3,2.0,10.0,3,1,3.396,98.2,0.389,167
exhaust_cont,GBP_JPY,3,2.0,15.0,3,1,4.17,99.1,0.259,111
exhaust_cont,GBP_JPY,3,2.0,20.0,3,1,2.907,100.0,0.14,60
exhaust_cont,GBP_JPY,3,2.5,5.0,3,1,1.27,96.6,0.34,146
exhaust_cont,GBP_JPY,3,2.5,8.0,3,1,2.014,99.2,0.287,123
exhaust_cont,GBP_JPY,3,2.5,10.0,3,1,3.18,98.7,0.356,153
exhaust_cont,GBP_JPY,3,2.5,15.0,3,1,2.241,98.4,0.147,63
exhaust_cont,GBP_JPY,3,2.5,20.0,3,1,2.911,100.0,0.137,59
exhaust_cont,GBP_JPY,4,0.5,5.0,3,1,0.864,97.2,0.247,106
exhaust_cont,GBP_JPY,4,0.5,8.0,3,1,2.632,99.3,0.345,148
exhaust_cont,GBP_JPY,4,0.5,10.0,3,1,1.543,98.6,0.17,73
exhaust_cont,GBP_JPY,4,0.5,15.0,3,1,0.796,92.0,0.058,25
exhaust_cont,GBP_JPY,4,0.5,20.0,3,1,1.077,95.8,0.056,24
exhaust_cont,GBP_JPY,4,1.0,5.0,3,1,0.841,97.1,0.245,105
exhaust_cont,GBP_JPY,4,1.0,8.0,3,1,2.021,99.2,0.31,133
exhaust_cont,GBP_JPY,4,1.0,10.0,3,1,1.433,98.5,0.158,68
exhaust_cont,GBP_JPY,4,1.0,15.0,3,1,4.611,97.9,0.328,141
exhaust_cont,GBP_JPY,4,1.0,20.0,3,1,6.467,98.6,0.335,144
exhaust_cont,GBP_JPY,4,1.5,5.0,3,1,0.898,96.5,0.266,114
exhaust_cont,GBP_JPY,4,1.5,8.0,3,1,3.589,98.5,0.466,200
exhaust_cont,GBP_JPY,4,1.5,10.0,3,1,3.476,98.6,0.328,141
exhaust_cont,GBP_JPY,4,1.5,15.0,3,1,3.783,99.0,0.238,102
exhaust_cont,GBP_JPY,4,1.5,20.0,3,1,3.781,98.7,0.184,79
exhaust_cont,GBP_JPY,4,2.0,5.0,3,1,0.81,98.2,0.254,109
exhaust_cont,GBP_JPY,4,2.0,8.0,3,1,4.114,99.1,0.52,223
exhaust_cont,GBP_JPY,4,2.0,10.0,3,1,3.728,98.7,0.361,155
exhaust_cont,GBP_JPY,4,2.0,15.0,3,1,3.067,98.8,0.191,82
exhaust_cont,GBP_JPY,4,2.0,20.0,3,1,4.172,98.8,0.186,80
exhaust_cont,GBP_JPY,4,2.5,5.0,3,1,0.829,97.8,0.212,91
exhaust_cont,GBP_JPY,4,2.5,8.0,3,1,3.484,99.5,0.454,195
exhaust_cont,GBP_JPY,4,2.5,10.0,3,1,3.743,99.4,0.361,155
exhaust_cont,GBP_JPY,4,2.5,15.0,3,1,2.853,98.7,0.177,76
exhaust_cont,GBP_JPY,4,2.5,20.0,3,1,4.071,98.7,0.179,77
exhaust_cont,USD_JPY,2,0.5,5.0,3,1,4.909,99.7,0.699,300
exhaust_cont,USD_JPY,2,0.5,8.0,3,1,4.811,100.0,0.45,193
exhaust_cont,USD_JPY,2,0.5,10.0,3,1,6.159,100.0,0.494,212
exhaust_cont,USD_JPY,2,0.5,15.0,3,1,1.845,100.0,0.114,49
exhaust_cont,USD_JPY,2,0.5,20.0,3,1,4.476,100.0,0.193,83
exhaust_cont,USD_JPY,2,1.0,5.0,3,1,4.85,99.7,0.69,296
exhaust_cont,USD_JPY,2,1.0,8.0,3,1,4.82,100.0,0.452,194
exhaust_cont,USD_JPY,2,1.0,10.0,3,1,6.011,100.0,0.48,206
exhaust_cont,USD_JPY,2,1.0,15.0,3,1,1.845,100.0,0.114,49
exhaust_cont,USD_JPY,2,1.0,20.0,3,1,4.481,100.0,0.193,83
exhaust_cont,USD_JPY,2,1.5,5.0,3,1,4.703,99.7,0.671,288
exhaust_cont,USD_JPY,2,1.5,8.0,3,1,4.847,100.0,0.457,196
exhaust_cont,USD_JPY,2,1.5,10.0,3,1,6.021,100.0,0.48,206
exhaust_cont,USD_JPY,2,1.5,15.0,3,1,1.845,100.0,0.114,49
exhaust_cont,USD_JPY,2,1.5,20.0,3,1,5.067,100.0,0.214,92
exhaust_cont,USD_JPY,2,2.0,5.0,3,1,4.613,100.0,0.657,282
exhaust_cont,USD_JPY,2,2.0,8.0,3,1,4.832,100.0,0.455,195
exhaust_cont,USD_JPY,2,2.0,10.0,3,1,5.789,100.0,0.476,204
exhaust_cont,USD_JPY,2,2.0,15.0,3,1,1.845,100.0,0.114,49
exhaust_cont,USD_JPY,2,2.0,20.0,3,1,4.422,100.0,0.187,80
exhaust_cont,USD_JPY,2,2.5,5.0,3,1,8.282,99.8,1.259,540
exhaust_cont,USD_JPY,2,2.5,8.0,3,1,4.988,100.0,0.487,209
exhaust_cont,USD_JPY,2,2.5,10.0,3,1,3.82,100.0,0.308,132
exhaust_cont,USD_JPY,2,2.5,15.0,3,1,1.848,100.0,0.114,49
exhaust_cont,USD_JPY,2,2.5,20.0,3,1,5.732,100.0,0.249,107
exhaust_cont,USD_JPY,3,0.5,5.0,3,1,4.278,99.1,0.532,228
exhaust_cont,USD_JPY,3,0.5,8.0,3,1,4.451,100.0,0.424,182
exhaust_cont,USD_JPY,3,0.5,10.0,3,1,2.235,100.0,0.175,75
exhaust_cont,USD_JPY,3,0.5,15.0,3,1,2.826,100.0,0.147,63
exhaust_cont,USD_JPY,3,0.5,20.0,3,1,0.736,100.0,0.035,15
exhaust_cont,USD_JPY,3,1.0,5.0,3,1,5.088,99.3,0.711,305
exhaust_cont,USD_JPY,3,1.0,8.0,3,1,3.296,100.0,0.317,136
exhaust_cont,USD_JPY,3,1.0,10.0,3,1,2.192,100.0,0.17,73
exhaust_cont,USD_JPY,3,1.0,15.0,3,1,2.798,100.0,0.145,62
exhaust_cont,USD_JPY,3,1.0,20.0,3,1,0.736,100.0,0.035,15
exhaust_cont,USD_JPY,3,1.5,5.0,3,1,5.091,99.3,0.706,303
exhaust_cont,USD_JPY,3,1.5,8.0,3,1,3.295,100.0,0.317,136
exhaust_cont,USD_JPY,3,1.5,10.0,3,1,2.192,100.0,0.17,73
exhaust_cont,USD_JPY,3,1.5,15.0,3,1,2.798,100.0,0.145,62
exhaust_cont,USD_JPY,3,1.5,20.0,3,1,0.736,100.0,0.035,15
exhaust_cont,USD_JPY,3,2.0,5.0,3,1,4.673,100.0,0.657,282
exhaust_cont,USD_JPY,3,2.0,8.0,3,1,3.295,100.0,0.317,136
exhaust_cont,USD_JPY,3,2.0,10.0,3,1,2.177,100.0,0.168,72
