signal,tfs,sma_n,lags,tp,n_is3,wf_pass,portfolio_pd,portfolio_tpd,mc_pairs_pass,mean_mc_p,port_mc_p,mc_pass,n_consec,dist_mult
pmom,H1+M30,0.0,"(8, 10, 20)",15.0,11,0.0,33.27,2.09,12,0.0,0.0095,1,,
sma16,M30+M15,16.0,"(1, 10, 20)",20.0,10,0.0,32.96,1.57,12,0.0,0.014,1,,
sma16,M30+M15,16.0,"(1, 8, 20)",20.0,10,0.0,32.94,1.57,12,0.0,0.0165,1,,
sma16,M30+M15,16.0,"(10, 15, 20)",20.0,10,0.0,32.8,1.61,12,0.0,0.0215,1,,
sma16,M30+M15,16.0,"(8, 10, 20)",20.0,10,0.0,32.67,1.59,12,0.0,0.01,1,,
sma16,M30+M15,16.0,"(8, 15, 20)",20.0,10,0.0,32.66,1.6,12,0.0,0.013,1,,
sma16,M30+M15,16.0,"(8, 10, 20)",15.0,12,1.0,32.35,2.05,12,0.0,0.0055,1,,
pmom,H1+M30,0.0,"(8, 15, 20)",15.0,11,0.0,32.25,2.05,12,0.0,0.0025,1,,
sma16,M30+M15,16.0,"(5, 15, 20)",20.0,10,0.0,32.2,1.57,12,0.0,0.015,1,,
sma16,M30+M15,16.0,"(5, 8, 20)",20.0,10,0.0,32.1,1.57,12,0.0,0.013,1,,
sma16,M30+M15,16.0,"(1, 3, 10)",20.0,10,0.0,31.89,1.53,12,0.0,0.018,1,,
sma8,M15+M5,8.0,"(1, 5, 15)",15.0,10,0.0,31.76,1.97,12,0.0,0.0095,1,,
sma16,M30+M15,16.0,"(8, 15, 20)",15.0,12,1.0,31.73,2.0,12,0.0,0.008,1,,
sma8,H1+M30,8.0,"(1, 10, 20)",15.0,12,1.0,31.7,1.94,12,0.0,0.0065,1,,
sma8,H1+M30,8.0,"(1, 8, 20)",15.0,12,1.0,31.67,1.94,12,0.0,0.0095,1,,
sma16,M30+M15,16.0,"(5, 10, 20)",20.0,10,0.0,31.36,1.51,12,0.0,0.023,1,,
sma16,M30+M15,16.0,"(1, 2, 10)",20.0,10,0.0,31.3,1.5,12,0.0,0.02,1,,
sma16,M30+M15,16.0,"(5, 10, 20)",15.0,12,1.0,31.27,1.97,12,0.0,0.0105,1,,
sma16,M30+M15,16.0,"(5, 10, 15)",15.0,12,1.0,31.27,1.97,12,0.0,0.008,1,,
sma16,M30+M15,16.0,"(2, 8, 10)",20.0,10,0.0,31.26,1.5,12,0.0,0.0175,1,,
sma16,M30+M15,16.0,"(5, 8, 20)",15.0,12,1.0,31.25,1.97,12,0.0,0.007,1,,
sma16,M30+M15,16.0,"(5, 8, 15)",15.0,12,1.0,31.24,1.96,12,0.0,0.012,1,,
sma16,M30+M15,16.0,"(1, 8, 10)",20.0,10,0.0,31.23,1.5,12,0.0,0.0175,1,,
sma16,M30+M15,16.0,"(5, 15, 20)",15.0,12,1.0,31.21,1.97,12,0.0,0.008,1,,
sma16,M30+M15,16.0,"(2, 3, 10)",20.0,10,0.0,31.21,1.5,12,0.0,0.0175,1,,
sma8,H1+M30,8.0,"(8, 10, 20)",15.0,12,1.0,30.67,1.94,12,0.0,0.01,1,,
sma8,H1+M30,8.0,"(8, 15, 20)",15.0,12,1.0,30.63,1.93,12,0.0,0.0065,1,,
sma16,M30+M15,16.0,"(8, 10, 15)",15.0,12,1.0,30.6,1.9,12,0.0,0.009,1,,
sma16,M30+M15,16.0,"(10, 15, 20)",15.0,12,1.0,30.53,1.91,12,0.0,0.0085,1,,
sma8,H1+M30,8.0,"(1, 8, 20)",20.0,10,0.0,30.5,1.46,12,0.0,0.0195,1,,
sma8,H1+M30,8.0,"(1, 10, 20)",20.0,10,0.0,30.48,1.46,12,0.0,0.0175,1,,
sma16,M30+M15,16.0,"(1, 10, 20)",15.0,12,1.0,30.45,1.86,12,0.0,0.013,1,,
sma16,M30+M15,16.0,"(1, 8, 20)",15.0,12,1.0,30.42,1.85,12,0.0,0.0105,1,,
sma8,H1+M30,8.0,"(1, 10, 15)",20.0,10,0.0,30.38,1.46,12,0.0,0.02,1,,
sma8,H1+M30,8.0,"(1, 8, 15)",20.0,10,0.0,30.38,1.46,12,0.0,0.016,1,,
sma16,M30+M15,16.0,"(1, 15, 20)",20.0,10,0.0,30.28,1.45,12,0.0,0.0195,1,,
sma16,M30+M15,16.0,"(2, 8, 20)",20.0,10,0.0,30.0,1.44,12,0.0,0.0175,1,,
sma8,M15+M5,8.0,"(3, 5, 10)",15.0,12,1.0,29.85,1.85,12,0.0,0.01,1,,
sma16,M30+M15,16.0,"(2, 10, 20)",20.0,10,0.0,29.83,1.43,12,0.0,0.019,1,,
sma8,M15+M5,8.0,"(3, 8, 10)",15.0,12,1.0,29.76,1.85,12,0.0,0.011,1,,
sma16,M30+M15,16.0,"(1, 3, 20)",20.0,10,0.0,29.76,1.42,12,0.0,0.024,1,,
sma16,H1+M30,16.0,"(8, 10, 15)",20.0,10,0.0,29.75,1.47,12,0.0,0.0185,1,,
sma16,M30+M15,16.0,"(1, 5, 10)",20.0,10,0.0,29.66,1.42,12,0.0,0.021,1,,
sma16,H1+M30,16.0,"(10, 15, 20)",20.0,10,0.0,29.65,1.47,12,0.0,0.0175,1,,
sma8,H1+M30,8.0,"(2, 10, 20)",15.0,12,1.0,29.41,1.82,12,0.0,0.0105,1,,
sma8,H1+M30,8.0,"(3, 8, 20)",20.0,10,0.0,29.39,1.39,12,0.0,0.0285,1,,
sma8,H1+M30,8.0,"(2, 8, 20)",15.0,12,1.0,29.37,1.82,12,0.0,0.007,1,,
sma8,H1+M30,8.0,"(1, 5, 20)",20.0,10,0.0,29.37,1.41,12,0.0,0.0155,1,,
sma8,H1+M30,8.0,"(3, 8, 15)",20.0,10,0.0,29.24,1.39,12,0.0,0.0215,1,,
pmom,M30+M15,0.0,"(3, 8, 15)",20.0,10,0.0,29.22,1.38,12,0.0,0.0225,1,,
pmom_m15m5,,,,3.0,10,,11.555,,12,0.0,0.002,1,,
pmom_m15m5,,,,5.0,11,,15.095,,12,0.0,0.0045,1,,
pmom_m15m5,,,,7.0,12,,22.595,,12,0.0,0.0005,1,,
pmom_m15m5,,,,8.0,12,,21.862,,12,0.0,0.0045,1,,
pmom_m15m5,,,,10.0,12,,23.846,,12,0.0,0.0065,1,,
pmom_m15m5,,,,12.0,12,,24.056,,12,0.0,0.012,1,,
pmom_m15m5,,,,15.0,12,,24.672,,12,0.0,0.0235,1,,
pmom_m15m5,,,,20.0,10,,20.071,,12,0.0,0.0435,1,,
sma16_h1m30,,,,3.0,10,,12.055,,12,0.0,0.001,1,,
sma16_h1m30,,,,5.0,12,,14.982000000000001,,12,0.0,0.004,1,,
sma16_h1m30,,,,7.0,12,,18.087,,12,0.0,0.0025,1,,
sma16_h1m30,,,,8.0,12,,19.566,,12,0.0,0.0045,1,,
sma16_h1m30,,,,10.0,12,,22.11,,12,0.0,0.004,1,,
sma16_h1m30,,,,12.0,12,,24.614,,12,0.0,0.0105,1,,
sma16_h1m30,,,,15.0,12,,26.665,,12,0.0,0.014,1,,
sma16_h1m30,,,,20.0,10,,29.749,,12,0.0,0.0205,1,,
sma16_h1m30,,,,25.0,10,,34.091,,12,0.0,0.0245,1,,
exhaust_cont,,,,5.0,12,,18.768,,12,0.0,0.0,1,2.0,0.5
exhaust_cont,,,,8.0,12,,25.16,,12,0.0,0.0005,1,2.0,0.5
exhaust_cont,,,,10.0,12,,28.634999999999998,,12,0.0,0.004,1,2.0,0.5
exhaust_cont,,,,15.0,12,,19.403,,12,0.0,0.024,1,2.0,0.5
exhaust_cont,,,,20.0,11,,26.357,,12,0.0,0.029,1,2.0,0.5
exhaust_cont,,,,5.0,12,,20.767,,12,0.0,0.0015,1,2.0,1.0
exhaust_cont,,,,8.0,12,,26.249000000000002,,12,0.0,0.001,1,2.0,1.0
exhaust_cont,,,,10.0,12,,32.018,,12,0.0,0.0005,1,2.0,1.0
exhaust_cont,,,,15.0,12,,22.464,,12,0.0,0.0215,1,2.0,1.0
exhaust_cont,,,,20.0,10,,27.603,,12,0.0,0.0195,1,2.0,1.0
exhaust_cont,,,,5.0,11,,21.724,,12,0.0,0.0,1,2.0,1.5
exhaust_cont,,,,8.0,10,,25.014,,12,0.0,0.004,1,2.0,1.5
exhaust_cont,,,,10.0,10,,25.94,,12,0.0,0.0035,1,2.0,1.5
exhaust_cont,,,,15.0,10,,22.634,,12,0.0,0.0135,1,2.0,1.5
exhaust_cont,,,,5.0,12,,18.563000000000002,,12,0.0,0.001,1,2.0,2.0
exhaust_cont,,,,8.0,12,,26.156,,12,0.0,0.0025,1,2.0,2.0
exhaust_cont,,,,10.0,11,,26.07,,12,0.0,0.0035,1,2.0,2.0
exhaust_cont,,,,15.0,11,,21.052,,12,0.0,0.024,1,2.0,2.0
exhaust_cont,,,,5.0,12,,22.56,,12,0.0,0.0005,1,2.0,2.5
exhaust_cont,,,,8.0,12,,29.759999999999998,,12,0.0,0.0015,1,2.0,2.5
exhaust_cont,,,,10.0,11,,30.026,,12,0.0,0.004,1,2.0,2.5
exhaust_cont,,,,15.0,11,,28.654,,12,0.0,0.0075,1,2.0,2.5
exhaust_cont,,,,20.0,10,,31.802,,12,0.0,0.014,1,2.0,2.5
exhaust_cont,,,,5.0,11,,23.585,,12,0.0,0.0005,1,3.0,0.5
exhaust_cont,,,,8.0,11,,21.274,,12,0.0,0.003,1,3.0,0.5
exhaust_cont,,,,10.0,11,,26.895,,12,0.0,0.001,1,3.0,0.5
exhaust_cont,,,,15.0,11,,27.468,,12,0.0,0.0105,1,3.0,0.5
exhaust_cont,,,,5.0,11,,23.958,,12,0.0,0.0,1,3.0,1.0
exhaust_cont,,,,8.0,11,,20.551,,12,0.0,0.0055,1,3.0,1.0
