signal,pair,tp,wf3,wf_pass,oos_pd,oos_wr,tpd,n_oos
pmom_m15m5,GBP_JPY,3,3,1,1.057,73.1,0.217,93
pmom_m15m5,GBP_JPY,5,3,1,2.416,93.6,0.403,173
pmom_m15m5,GBP_JPY,7,3,1,4.155,100.0,0.543,233
pmom_m15m5,GBP_JPY,8,3,1,4.54,99.1,0.494,212
pmom_m15m5,GBP_JPY,10,3,1,1.359,98.0,0.119,51
pmom_m15m5,GBP_JPY,12,3,1,1.494,97.9,0.112,48
pmom_m15m5,GBP_JPY,15,3,1,1.578,97.6,0.096,41
pmom_m15m5,GBP_JPY,20,3,1,1.319,96.6,0.068,29
pmom_m15m5,GBP_JPY,25,3,1,1.538,96.2,0.061,26
pmom_m15m5,GBP_JPY,30,3,1,3.244,95.6,0.105,45
pmom_m15m5,GBP_JPY,40,3,1,2.004,95.2,0.049,21
pmom_m15m5,GBP_JPY,50,3,1,1.612,100.0,0.03,13
pmom_m15m5,USD_JPY,3,3,1,2.352,98.3,0.401,172
pmom_m15m5,USD_JPY,5,3,1,3.337,100.0,0.354,152
pmom_m15m5,USD_JPY,7,3,1,3.768,100.0,0.331,142
pmom_m15m5,USD_JPY,8,3,1,2.639,100.0,0.207,89
pmom_m15m5,USD_JPY,10,3,1,3.075,100.0,0.231,99
pmom_m15m5,USD_JPY,12,3,1,1.618,100.0,0.105,45
pmom_m15m5,USD_JPY,15,3,1,4.042,100.0,0.205,88
pmom_m15m5,USD_JPY,20,3,1,2.213,100.0,0.091,39
pmom_m15m5,USD_JPY,25,3,1,1.756,100.0,0.065,28
pmom_m15m5,USD_JPY,30,3,1,4.837,100.0,0.142,61
pmom_m15m5,USD_JPY,40,3,1,5.059,100.0,0.114,49
pmom_m15m5,USD_JPY,50,3,1,3.363,100.0,0.061,26
pmom_m15m5,EUR_JPY,3,3,1,2.055,93.0,0.466,200
pmom_m15m5,EUR_JPY,5,3,1,2.412,98.8,0.375,161
pmom_m15m5,EUR_JPY,7,3,1,1.877,97.9,0.221,95
pmom_m15m5,EUR_JPY,8,3,1,1.821,97.6,0.193,83
pmom_m15m5,EUR_JPY,10,3,1,1.813,98.6,0.165,71
pmom_m15m5,EUR_JPY,12,3,1,2.282,97.4,0.182,78
pmom_m15m5,EUR_JPY,15,3,1,3.035,100.0,0.179,77
pmom_m15m5,EUR_JPY,20,3,1,1.239,100.0,0.056,24
pmom_m15m5,EUR_JPY,25,3,1,1.56,100.0,0.061,26
pmom_m15m5,EUR_JPY,30,3,1,1.036,100.0,0.033,14
pmom_m15m5,EUR_JPY,40,3,1,3.871,100.0,0.089,38
pmom_m15m5,EUR_JPY,50,2,0,1.91,100.0,0.037,16
pmom_m15m5,GBP_USD,3,3,1,0.712,96.6,0.203,87
pmom_m15m5,GBP_USD,5,3,1,1.042,98.8,0.189,81
pmom_m15m5,GBP_USD,7,3,1,1.081,98.2,0.131,56
pmom_m15m5,GBP_USD,8,3,1,1.21,98.1,0.126,54
pmom_m15m5,GBP_USD,10,3,1,2.518,100.0,0.226,97
pmom_m15m5,GBP_USD,12,3,1,2.051,100.0,0.159,68
pmom_m15m5,GBP_USD,15,3,1,2.669,100.0,0.17,73
pmom_m15m5,GBP_USD,20,3,1,1.554,97.0,0.077,33
pmom_m15m5,GBP_USD,25,3,1,1.319,100.0,0.054,23
pmom_m15m5,GBP_USD,30,3,1,1.079,100.0,0.037,16
pmom_m15m5,GBP_USD,40,2,0,1.314,100.0,0.033,14
pmom_m15m5,GBP_USD,50,2,0,1.957,100.0,0.04,17
pmom_m15m5,AUD_JPY,3,3,1,1.478,86.8,0.634,272
pmom_m15m5,AUD_JPY,5,3,1,0.771,100.0,0.14,60
pmom_m15m5,AUD_JPY,7,3,1,1.664,95.1,0.287,123
pmom_m15m5,AUD_JPY,8,3,1,2.611,98.1,0.37,159
pmom_m15m5,AUD_JPY,10,3,1,3.271,98.3,0.28,120
pmom_m15m5,AUD_JPY,12,3,1,3.859,98.4,0.296,127
pmom_m15m5,AUD_JPY,15,3,1,1.678,98.0,0.114,49
pmom_m15m5,AUD_JPY,20,3,1,2.291,98.0,0.114,49
pmom_m15m5,AUD_JPY,25,3,1,2.377,100.0,0.096,41
pmom_m15m5,AUD_JPY,30,3,1,3.182,100.0,0.102,44
pmom_m15m5,AUD_JPY,40,3,1,2.214,100.0,0.056,24
pmom_m15m5,AUD_JPY,50,3,1,5.27,100.0,0.102,44
pmom_m15m5,EUR_USD,3,3,1,1.032,100.0,0.27,116
pmom_m15m5,EUR_USD,5,3,1,1.209,100.0,0.21,90
pmom_m15m5,EUR_USD,7,3,1,1.375,100.0,0.177,76
pmom_m15m5,EUR_USD,8,3,1,0.832,100.0,0.096,41
pmom_m15m5,EUR_USD,10,3,1,1.571,100.0,0.145,62
pmom_m15m5,EUR_USD,12,3,1,1.626,100.0,0.124,53
pmom_m15m5,EUR_USD,15,3,1,1.906,100.0,0.117,50
