pair,arm,n,n_dec,wr,timeout,gross,net_ecn,net_ecn_15,net_oanda,fifo_frac
EUR_USD,against,35569,11052,0.7886355410785378,0.6892799910034019,-0.003574373675892811,-0.7035743736758928,-1.0535743736758927,-1.590957216342556,0.5983771082847386
EUR_USD,with,35569,10921,0.793608643897079,0.6929629733756923,-0.05078821760048539,-0.7507882176004854,-1.1007882176004853,-1.6381710602671489,0.5983771082847386
EUR_USD,coin,35569,11022,0.7888767918708038,0.6901234220810256,-0.01639678961727488,-0.7163967896172748,-1.0663967896172748,-1.6037796322839382,0.5983771082847386
AUD_JPY,against,24673,13505,0.763346908552388,0.4526405382401816,0.08632347036740565,-0.6136765296325943,-0.9636765296325943,-2.3707963391136535,0.6385812936705757
AUD_JPY,with,24673,12957,0.7441537392915026,0.47485105175698133,-0.11987992987336868,-0.8198799298733689,-1.1698799298733686,-2.576999739354428,0.6385812936705757
AUD_JPY,coin,24673,13255,0.748698604300264,0.46277307177886756,-0.0370971184934886,-0.7370971184934888,-1.0870971184934883,-2.4942169279745476,0.6385812936705757
AUD_USD,against,22709,5297,0.841797243722862,0.7667444625478885,0.019528571976355085,-0.6804714280236449,-1.0304714280236449,-1.3431994895543662,0.5753345054683077
AUD_USD,with,22709,5196,0.8568129330254042,0.7711920383988727,-0.049270255249942614,-0.7492702552499426,-1.0992702552499427,-1.411998316780664,0.5753345054683077
AUD_USD,coin,22709,5261,0.8494582778939365,0.7683297371086354,-0.016268799959985928,-0.7162687999599859,-1.0662687999599858,-1.378996861490707,0.5753345054683077
CAD_JPY,against,21425,11302,0.7618120686604141,0.47248541423570595,0.039159454879849745,-0.6608405451201503,-1.01084054512015,-2.502587701750748,0.6745605775266792
CAD_JPY,with,21425,11037,0.7557307239286037,0.48485414235705954,-0.08105933471822128,-0.7810593347182213,-1.1310593347182212,-2.6228064913488187,0.6745605775266792
CAD_JPY,coin,21425,11176,0.7636900501073729,0.47836639439906653,-0.0013840483016700823,-0.7013840483016701,-1.0513840483016699,-2.5431312049322674,0.6745605775266792
CHF_JPY,against,23251,17007,0.7257011818662904,0.26854758935099565,0.08751079422659234,-0.6124892057734077,-0.9624892057734075,-4.186515463632613,0.7533892927195108
CHF_JPY,with,23251,16692,0.6986580397795351,0.28209539374650555,-0.1483850130731945,-0.8483850130731946,-1.1983850130731943,-4.422411270932399,0.7533892927195108
CHF_JPY,coin,23251,16793,0.7100577621628059,0.2777514945593738,-0.05629376386869117,-0.7562937638686912,-1.1062937638686912,-4.330320021727895,0.7533892927195108
EUR_GBP,against,21598,2929,0.8753840901331512,0.8643855912584498,0.08812939235596473,-0.6118706076440352,-0.9618706076440352,-1.3842859027628347,0.5632151300236407
EUR_GBP,with,21598,2653,0.8631737655484357,0.8771645522733587,-0.08860076553170929,-0.7886007655317092,-1.1386007655317092,-1.561016060650509,0.5632151300236407
EUR_GBP,coin,21598,2767,0.865558366461872,0.8718862857672006,-0.013253802371826499,-0.7132538023718265,-1.0632538023718263,-1.4856690974906261,0.5632151300236407
EUR_JPY,against,20762,14003,0.7410554881096908,0.3255466718042578,0.13763454192153932,-0.5623654580784607,-0.9123654580784606,-2.683291716814937,0.693458155477946
EUR_JPY,with,20762,13625,0.7065688073394495,0.34375301030729216,-0.16833284784288907,-0.8683328478428892,-1.218332847842889,-2.9892591065793654,0.693458155477946
EUR_JPY,coin,20762,13778,0.7289156626506024,0.33638377805606395,0.016901015757641632,-0.6830989842423585,-1.0330989842423581,-2.804025242978834,0.693458155477946
GBP_JPY,against,21056,16763,0.7159816262005607,0.20388487841945288,0.13140559268939817,-0.568594407310602,-0.9185944073106016,-3.91102293994289,0.763090839597401
GBP_JPY,with,21056,16433,0.6807643157062009,0.2195573708206687,-0.1943708089347307,-0.8943708089347308,-1.2443708089347303,-4.2367993415670195,0.763090839597401
GBP_JPY,coin,21056,16581,0.694409263614981,0.2125284954407295,-0.067342105969832,-0.7673421059698321,-1.1173421059698316,-4.109770638602121,0.763090839597401
GBP_USD,against,20574,9506,0.7642541552703556,0.5379605327111889,0.04692848843759659,-0.6530715115624034,-1.0030715115624034,-2.002409393979519,0.6205653420729209
GBP_USD,with,20574,9144,0.7610454943132109,0.5555555555555556,-0.09025320850564031,-0.7902532085056403,-1.1402532085056405,-2.139591090922756,0.6205653420729209
GBP_USD,coin,20574,9314,0.7618638608546274,0.5472926995236707,-0.02557175831810036,-0.7255717583181004,-1.0755717583181001,-2.074909640735216,0.6205653420729209
NZD_JPY,against,22072,10401,0.7824247668493414,0.5287694816962668,0.07039042988217538,-0.6296095701178247,-0.9796095701178245,-2.9052779639791257,0.6394198575515919
NZD_JPY,with,22072,9936,0.7678140096618358,0.5498368974266038,-0.12206980921989684,-0.8220698092198969,-1.1720698092198967,-3.097738203081198,0.6394198575515919
