htf,pair,horizon,ic_is,ic_oos,p_oos,t_stat,n_oos,n_rev,pct_rev
H1,GBP_JPY,1,-0.0051,-0.0036,0.211,-1.25,122972,15302,44.8
H1,GBP_JPY,6,-0.0037,-0.006,0.036,-2.1,122967,15302,44.8
H1,GBP_JPY,12,-0.0017,-0.0045,0.112,-1.59,122961,15302,44.8
H1,GBP_JPY,24,0.0007,-0.0065,0.023,-2.27,122949,15302,44.8
H1,GBP_JPY,48,0.0032,-0.0114,0.0,-4.0,122925,15302,44.8
H1,GBP_JPY,72,-0.0026,-0.0121,0.0,-4.25,122901,15302,44.8
H1,GBP_JPY,144,0.0056,-0.0062,0.029,-2.19,122829,15302,44.8
H1,GBP_JPY,288,0.006,-0.022,0.0,-7.71,122685,15302,44.8
H1,USD_JPY,1,-0.0078,-0.003,0.292,-1.05,122887,15131,44.3
H1,USD_JPY,6,-0.0035,0.0011,0.7,0.38,122882,15131,44.3
H1,USD_JPY,12,-0.0047,0.0052,0.07,1.82,122876,15131,44.3
H1,USD_JPY,24,-0.0031,0.0112,0.0,3.94,122864,15131,44.3
H1,USD_JPY,48,-0.0009,0.0148,0.0,5.19,122840,15131,44.3
H1,USD_JPY,72,0.0004,0.0226,0.0,7.91,122816,15131,44.3
H1,USD_JPY,144,0.0017,0.0161,0.0,5.65,122744,15131,44.3
H1,USD_JPY,288,0.0185,-0.0046,0.104,-1.63,122600,15131,44.3
H1,EUR_JPY,1,-0.0074,-0.0068,0.016,-2.4,122901,15386,45.1
H1,EUR_JPY,6,-0.0091,-0.0127,0.0,-4.46,122896,15386,45.1
H1,EUR_JPY,12,-0.0095,-0.0125,0.0,-4.39,122890,15386,45.1
H1,EUR_JPY,24,-0.0091,-0.0165,0.0,-5.8,122878,15386,45.1
H1,EUR_JPY,48,-0.0068,-0.0274,0.0,-9.61,122854,15386,45.1
H1,EUR_JPY,72,-0.0043,-0.0275,0.0,-9.63,122830,15386,45.1
H1,EUR_JPY,144,-0.0,-0.0254,0.0,-8.9,122758,15386,45.1
H1,EUR_JPY,288,0.0032,-0.0208,0.0,-7.28,122614,15386,45.1
H1,GBP_USD,1,-0.0059,-0.0051,0.075,-1.78,122836,15011,44.0
H1,GBP_USD,6,-0.0097,-0.008,0.005,-2.79,122831,15011,44.0
H1,GBP_USD,12,-0.0114,-0.0157,0.0,-5.49,122825,15011,44.0
H1,GBP_USD,24,-0.0107,-0.0286,0.0,-10.03,122813,15011,44.0
H1,GBP_USD,48,-0.0082,-0.0228,0.0,-7.98,122789,15011,44.0
H1,GBP_USD,72,-0.0112,-0.0257,0.0,-8.99,122765,15011,44.0
H1,GBP_USD,144,-0.0054,-0.0206,0.0,-7.22,122693,15011,44.0
H1,GBP_USD,288,-0.0013,-0.0152,0.0,-5.32,122549,15011,44.0
H1,EUR_USD,1,-0.0075,-0.004,0.162,-1.4,122885,14915,43.7
H1,EUR_USD,6,-0.0105,-0.0056,0.05,-1.96,122880,14915,43.7
H1,EUR_USD,12,-0.0106,-0.0113,0.0,-3.96,122874,14915,43.7
H1,EUR_USD,24,-0.0155,-0.0224,0.0,-7.87,122862,14915,43.7
H1,EUR_USD,48,-0.0105,-0.0308,0.0,-10.79,122838,14915,43.7
H1,EUR_USD,72,-0.0077,-0.0287,0.0,-10.05,122814,14915,43.7
H1,EUR_USD,144,0.0022,-0.0057,0.046,-2.0,122742,14915,43.7
H1,EUR_USD,288,0.0116,0.0032,0.256,1.14,122598,14915,43.7
H1,AUD_JPY,1,-0.006,-0.0068,0.017,-2.4,122992,15092,44.2
H1,AUD_JPY,6,-0.0011,-0.0001,0.977,-0.03,122987,15092,44.2
H1,AUD_JPY,12,0.0045,0.0021,0.456,0.74,122981,15092,44.2
H1,AUD_JPY,24,0.0077,0.0039,0.169,1.38,122969,15092,44.2
H1,AUD_JPY,48,0.0132,0.0028,0.322,0.99,122945,15092,44.2
H1,AUD_JPY,72,0.015,0.0059,0.038,2.07,122921,15092,44.2
H1,AUD_JPY,144,0.0203,0.0116,0.0,4.06,122849,15092,44.2
H1,AUD_JPY,288,0.015,0.0029,0.314,1.01,122705,15092,44.2
H1,CHF_JPY,1,-0.0108,-0.0102,0.0,-3.58,122557,15274,44.9
H1,CHF_JPY,6,-0.016,-0.0118,0.0,-4.14,122552,15274,44.9
H1,CHF_JPY,12,-0.0195,-0.0141,0.0,-4.95,122546,15274,44.9
H1,CHF_JPY,24,-0.0201,-0.0088,0.002,-3.09,122534,15274,44.9
H1,CHF_JPY,48,-0.014,0.0006,0.847,0.19,122510,15274,44.9
H1,CHF_JPY,72,-0.0107,0.0056,0.052,1.95,122486,15274,44.9
H1,CHF_JPY,144,-0.0051,0.0076,0.008,2.66,122414,15274,44.9
H1,CHF_JPY,288,-0.0017,-0.0155,0.0,-5.42,122270,15274,44.9
H1,NZD_JPY,1,-0.005,-0.0047,0.098,-1.65,122902,15093,44.2
H1,NZD_JPY,6,-0.001,0.0016,0.585,0.55,122897,15093,44.2
H1,NZD_JPY,12,0.0016,0.0013,0.645,0.46,122891,15093,44.2
H1,NZD_JPY,24,0.0032,-0.0013,0.654,-0.45,122879,15093,44.2
H1,NZD_JPY,48,0.0037,-0.015,0.0,-5.25,122855,15093,44.2
H1,NZD_JPY,72,0.0027,-0.0138,0.0,-4.83,122831,15093,44.2
H1,NZD_JPY,144,0.0044,-0.0077,0.007,-2.7,122759,15093,44.2
H1,NZD_JPY,288,0.0137,-0.0302,0.0,-10.58,122615,15093,44.2
H1,CAD_JPY,1,-0.004,-0.0102,0.0,-3.59,122969,14880,43.6
H1,CAD_JPY,6,0.0003,-0.0134,0.0,-4.68,122964,14880,43.6
H1,CAD_JPY,12,0.0037,-0.0131,0.0,-4.6,122958,14880,43.6
H1,CAD_JPY,24,0.0045,-0.0069,0.015,-2.42,122946,14880,43.6
H1,CAD_JPY,48,0.0093,0.0001,0.958,0.05,122922,14880,43.6
H1,CAD_JPY,72,0.0102,0.0108,0.0,3.79,122898,14880,43.6
H1,CAD_JPY,144,0.007,0.0195,0.0,6.84,122826,14880,43.6
H1,CAD_JPY,288,0.01,0.0059,0.04,2.06,122682,14880,43.6
H1,AUD_USD,1,-0.0032,-0.01,0.0,-3.5,122773,14934,43.8
H1,AUD_USD,6,0.0002,-0.0104,0.0,-3.65,122768,14934,43.8
H1,AUD_USD,12,0.0027,-0.0149,0.0,-5.23,122762,14934,43.8
H1,AUD_USD,24,0.0051,-0.0233,0.0,-8.16,122750,14934,43.8
H1,AUD_USD,48,0.0022,-0.0232,0.0,-8.12,122726,14934,43.8
H1,AUD_USD,72,-0.0016,-0.0262,0.0,-9.18,122702,14934,43.8
H1,AUD_USD,144,-0.0133,-0.0301,0.0,-10.53,122630,14934,43.8
H1,AUD_USD,288,-0.0077,-0.0328,0.0,-11.47,122486,14934,43.8
H1,NZD_USD,1,-0.0062,-0.0047,0.1,-1.65,122756,14845,43.5
H1,NZD_USD,6,-0.0065,-0.0105,0.0,-3.67,122751,14845,43.5
H1,NZD_USD,12,-0.007,-0.0121,0.0,-4.23,122745,14845,43.5
H1,NZD_USD,24,-0.0052,-0.0104,0.0,-3.65,122733,14845,43.5
H1,NZD_USD,48,-0.0,-0.0051,0.072,-1.8,122709,14845,43.5
H1,NZD_USD,72,-0.0006,-0.0031,0.277,-1.09,122685,14845,43.5
H1,NZD_USD,144,-0.0087,-0.0124,0.0,-4.33,122613,14845,43.5
H1,NZD_USD,288,-0.0013,-0.0199,0.0,-6.96,122469,14845,43.5
H1,EUR_GBP,1,-0.0181,-0.0219,0.0,-7.67,122892,14900,43.6
H1,EUR_GBP,6,-0.0219,-0.0306,0.0,-10.75,122887,14900,43.6
H1,EUR_GBP,12,-0.0212,-0.0322,0.0,-11.31,122881,14900,43.6
H1,EUR_GBP,24,-0.0249,-0.0258,0.0,-9.03,122869,14900,43.6
H1,EUR_GBP,48,-0.0257,-0.0127,0.0,-4.44,122845,14900,43.6
H1,EUR_GBP,72,-0.031,-0.0147,0.0,-5.16,122821,14900,43.6
H1,EUR_GBP,144,-0.0151,-0.0047,0.103,-1.63,122749,14900,43.6
H1,EUR_GBP,288,-0.0128,0.0053,0.061,1.87,122605,14900,43.6
H4,GBP_JPY,1,-0.0039,-0.0021,0.455,-0.75,122972,3894,45.6
H4,GBP_JPY,6,-0.0045,-0.0084,0.003,-2.95,122967,3894,45.6
H4,GBP_JPY,12,-0.0056,-0.0099,0.001,-3.47,122961,3894,45.6
H4,GBP_JPY,24,-0.0062,-0.0135,0.0,-4.73,122949,3894,45.6
H4,GBP_JPY,48,-0.0009,-0.0142,0.0,-4.97,122925,3894,45.6
H4,GBP_JPY,72,0.0041,-0.0066,0.021,-2.31,122901,3894,45.6
H4,GBP_JPY,144,0.0138,-0.0049,0.083,-1.73,122829,3894,45.6
H4,GBP_JPY,288,0.013,-0.0113,0.0,-3.96,122685,3894,45.6
H4,USD_JPY,1,-0.0003,0.001,0.723,0.35,122887,3912,45.8
H4,USD_JPY,6,-0.0029,-0.0001,0.961,-0.05,122882,3912,45.8
H4,USD_JPY,12,-0.0024,0.0024,0.399,0.84,122876,3912,45.8
H4,USD_JPY,24,-0.0039,0.0021,0.47,0.72,122864,3912,45.8
H4,USD_JPY,48,-0.0022,-0.0035,0.222,-1.22,122840,3912,45.8
H4,USD_JPY,72,-0.0006,0.0041,0.15,1.44,122816,3912,45.8
H4,USD_JPY,144,0.0083,0.0115,0.0,4.04,122744,3912,45.8
H4,USD_JPY,288,0.0164,-0.0105,0.0,-3.69,122600,3912,45.8
H4,EUR_JPY,1,-0.0009,-0.0027,0.347,-0.94,122901,3926,46.0
H4,EUR_JPY,6,-0.0024,-0.0088,0.002,-3.09,122896,3926,46.0
H4,EUR_JPY,12,-0.0026,-0.0143,0.0,-5.03,122890,3926,46.0
H4,EUR_JPY,24,-0.0048,-0.0123,0.0,-4.32,122878,3926,46.0
H4,EUR_JPY,48,-0.0052,-0.0107,0.0,-3.74,122854,3926,46.0
H4,EUR_JPY,72,-0.003,-0.0059,0.038,-2.08,122830,3926,46.0
H4,EUR_JPY,144,0.0085,-0.0018,0.518,-0.65,122758,3926,46.0
H4,EUR_JPY,288,0.0094,-0.0064,0.025,-2.24,122614,3926,46.0
H4,GBP_USD,1,-0.0009,0.0011,0.699,0.39,122836,3809,44.7
H4,GBP_USD,6,0.001,-0.0019,0.504,-0.67,122831,3809,44.7
H4,GBP_USD,12,0.002,-0.0065,0.023,-2.27,122825,3809,44.7
H4,GBP_USD,24,0.003,-0.0113,0.0,-3.96,122813,3809,44.7
H4,GBP_USD,48,0.0019,-0.0056,0.051,-1.95,122789,3809,44.7
H4,GBP_USD,72,0.0004,-0.0037,0.189,-1.31,122765,3809,44.7
H4,GBP_USD,144,0.0019,-0.0125,0.0,-4.39,122693,3809,44.7
H4,GBP_USD,288,0.0033,-0.0104,0.0,-3.63,122549,3809,44.7
H4,EUR_USD,1,-0.0007,-0.0033,0.241,-1.17,122885,3797,44.5
H4,EUR_USD,6,-0.0034,-0.0021,0.452,-0.75,122880,3797,44.5
H4,EUR_USD,12,-0.0078,-0.0023,0.421,-0.8,122874,3797,44.5
H4,EUR_USD,24,-0.0115,-0.0057,0.047,-1.99,122862,3797,44.5
H4,EUR_USD,48,-0.005,-0.0095,0.001,-3.32,122838,3797,44.5
H4,EUR_USD,72,-0.0039,-0.0004,0.878,-0.15,122814,3797,44.5
H4,EUR_USD,144,-0.0002,0.0079,0.006,2.78,122742,3797,44.5
H4,EUR_USD,288,0.0086,0.0347,0.0,12.17,122598,3797,44.5
H4,AUD_JPY,1,-0.0018,0.0006,0.832,0.21,122992,3913,45.8
H4,AUD_JPY,6,-0.0012,0.0019,0.508,0.66,122987,3913,45.8
H4,AUD_JPY,12,-0.0025,-0.0014,0.627,-0.49,122981,3913,45.8
H4,AUD_JPY,24,-0.0053,-0.0073,0.011,-2.56,122969,3913,45.8
H4,AUD_JPY,48,-0.0058,-0.0062,0.031,-2.16,122945,3913,45.8
H4,AUD_JPY,72,-0.0078,-0.0027,0.34,-0.95,122921,3913,45.8
H4,AUD_JPY,144,-0.0008,0.0003,0.921,0.1,122849,3913,45.8
H4,AUD_JPY,288,0.0111,-0.005,0.081,-1.75,122705,3913,45.8
H4,CHF_JPY,1,0.0002,-0.0018,0.531,-0.63,122557,4009,47.1
H4,CHF_JPY,6,-0.0024,0.0003,0.921,0.1,122552,4009,47.1
H4,CHF_JPY,12,-0.0036,0.0023,0.417,0.81,122546,4009,47.1
H4,CHF_JPY,24,-0.0047,0.007,0.015,2.44,122534,4009,47.1
H4,CHF_JPY,48,-0.001,0.0141,0.0,4.93,122510,4009,47.1
H4,CHF_JPY,72,-0.0008,0.0184,0.0,6.42,122486,4009,47.1
H4,CHF_JPY,144,-0.0029,0.0198,0.0,6.94,122414,4009,47.1
H4,CHF_JPY,288,-0.0002,0.0157,0.0,5.49,122270,4009,47.1
H4,NZD_JPY,1,0.0024,-0.0015,0.598,-0.53,122902,3888,45.6
H4,NZD_JPY,6,0.0057,0.0018,0.528,0.63,122897,3888,45.6
H4,NZD_JPY,12,0.0098,0.0028,0.323,0.99,122891,3888,45.6
H4,NZD_JPY,24,0.011,-0.007,0.014,-2.45,122879,3888,45.6
H4,NZD_JPY,48,0.0059,-0.0238,0.0,-8.35,122855,3888,45.6
H4,NZD_JPY,72,0.0016,-0.0205,0.0,-7.17,122831,3888,45.6
H4,NZD_JPY,144,0.01,-0.0312,0.0,-10.93,122759,3888,45.6
H4,NZD_JPY,288,0.013,-0.0357,0.0,-12.5,122615,3888,45.6
H4,CAD_JPY,1,0.0029,0.003,0.301,1.03,122969,3839,45.0
H4,CAD_JPY,6,0.0036,0.0079,0.006,2.77,122964,3839,45.0
H4,CAD_JPY,12,0.0044,0.0117,0.0,4.11,122958,3839,45.0
H4,CAD_JPY,24,0.0011,0.0121,0.0,4.24,122946,3839,45.0
H4,CAD_JPY,48,0.003,0.0152,0.0,5.34,122922,3839,45.0
H4,CAD_JPY,72,0.005,0.0182,0.0,6.37,122898,3839,45.0
H4,CAD_JPY,144,0.0029,0.0265,0.0,9.28,122826,3839,45.0
H4,CAD_JPY,288,0.0002,0.0174,0.0,6.09,122682,3839,45.0
H4,AUD_USD,1,-0.0015,-0.002,0.489,-0.69,122773,3830,44.9
H4,AUD_USD,6,-0.0041,-0.0058,0.043,-2.02,122768,3830,44.9
H4,AUD_USD,12,-0.0068,-0.0092,0.001,-3.22,122762,3830,44.9
H4,AUD_USD,24,-0.0108,-0.0129,0.0,-4.54,122750,3830,44.9
H4,AUD_USD,48,-0.0094,-0.0048,0.093,-1.68,122726,3830,44.9
H4,AUD_USD,72,-0.0124,-0.0004,0.889,-0.14,122702,3830,44.9
H4,AUD_USD,144,-0.0248,-0.0001,0.978,-0.03,122630,3830,44.9
H4,AUD_USD,288,-0.0278,-0.0105,0.0,-3.67,122486,3830,44.9
H4,NZD_USD,1,-0.0014,-0.0034,0.228,-1.21,122756,3798,44.6
H4,NZD_USD,6,-0.0035,-0.007,0.014,-2.46,122751,3798,44.6
H4,NZD_USD,12,-0.0021,-0.0048,0.094,-1.68,122745,3798,44.6
H4,NZD_USD,24,-0.0021,0.0021,0.458,0.74,122733,3798,44.6
H4,NZD_USD,48,0.0009,0.0061,0.033,2.13,122709,3798,44.6
H4,NZD_USD,72,0.0017,0.0112,0.0,3.93,122685,3798,44.6
H4,NZD_USD,144,-0.0048,0.0023,0.415,0.82,122613,3798,44.6
H4,NZD_USD,288,-0.0121,-0.0125,0.0,-4.38,122469,3798,44.6
H4,EUR_GBP,1,-0.0067,-0.0071,0.013,-2.48,122892,3825,44.8
H4,EUR_GBP,6,-0.0082,-0.0071,0.012,-2.5,122887,3825,44.8
H4,EUR_GBP,12,-0.0103,-0.0086,0.003,-3.01,122881,3825,44.8
H4,EUR_GBP,24,-0.0101,-0.0071,0.013,-2.48,122869,3825,44.8
H4,EUR_GBP,48,-0.0098,-0.0092,0.001,-3.22,122845,3825,44.8
H4,EUR_GBP,72,-0.0123,-0.0114,0.0,-4.0,122821,3825,44.8
H4,EUR_GBP,144,-0.0163,-0.0127,0.0,-4.46,122749,3825,44.8
H4,EUR_GBP,288,-0.0109,-0.0065,0.023,-2.28,122605,3825,44.8
