pair,arm,direction,entry_ts,entry_px,held_bars,mfe_pips,mae_pips,mark_price,unrealized_pnl_pips
USD_JPY,A,-1,2021-12-05 22:00:00+00:00,112.87,209851,0.0,-4906.199999999998,142.952,-3008.1999999999994
NZD_USD,A,-1,2022-10-21 12:10:00+00:00,0.56087,143762,1.9999999999997797,-925.3,0.63522,-743.5000000000002
GBP_USD,A,1,2024-09-24 20:00:00+00:00,1.34136,47,14.399999999998858,-2.80000000000058,1.34269,13.299999999998313
CAD_JPY,A,-1,2021-02-09 14:40:00+00:00,82.0,271276,0.0,-3683.1999999999994,106.517,-2451.6999999999994
AUD_USD,A,1,2022-04-05 13:30:00+00:00,0.7648,184930,13.400000000000079,-1477.8000000000002,0.69056,-742.4000000000008
GBP_JPY,A,-1,2020-12-21 10:20:00+00:00,137.062,281099,0.0,-7100.299999999998,191.938,-5487.599999999998
NZD_USD,E,1,2024-09-24 22:55:00+00:00,0.63468,12,5.899999999999794,-1.2000000000000899,0.63522,5.399999999999849
GBP_USD,E,1,2024-09-24 23:55:00+00:00,1.34269,0,0.0,0.0,1.34269,0.0
CAD_JPY,E,1,2024-09-24 07:10:00+00:00,107.036,201,1.6000000000005343,-69.20000000000073,106.517,-51.900000000000546
AUD_USD,E,1,2024-09-24 19:55:00+00:00,0.68916,48,15.600000000000058,-2.60000000000038,0.69056,13.999999999999568
USD_JPY,coin_A,-1,2021-02-22 19:00:00+00:00,105.034,268381,8.400000000000318,-5689.799999999998,142.952,-3791.7999999999993
NZD_USD,coin_A,1,2022-04-05 14:40:00+00:00,0.69755,184887,13.900000000000023,-1463.6999999999998,0.63522,-623.3
GBP_USD,coin_A,1,2021-10-29 04:30:00+00:00,1.3793,217129,8.900000000000574,-3433.5000000000005,1.34269,-366.1000000000003
CAD_JPY,coin_A,-1,2021-01-05 11:50:00+00:00,80.746,278509,14.799999999999613,-3808.6,106.517,-2577.1
AUD_USD,coin_A,1,2021-06-16 11:00:00+00:00,0.77047,244681,10.999999999999899,-1534.4999999999998,0.69056,-799.1000000000004
GBP_JPY,coin_A,-1,2021-01-28 13:45:00+00:00,142.557,273572,0.0,-6550.800000000001,191.938,-4938.1
NZD_USD,coin_E,1,2024-09-24 19:05:00+00:00,0.63361,58,16.599999999999948,-0.7999999999996898,0.63522,16.1
GBP_USD,coin_E,1,2024-09-24 22:45:00+00:00,1.34196,14,8.399999999999519,-1.9999999999997797,1.34269,7.299999999998974
AUD_USD,coin_E,-1,2024-09-24 14:00:00+00:00,0.68716,119,3.2999999999994145,-32.29999999999955,0.69056,-33.99999999999959
USD_JPY,B,-1,2022-02-02 13:00:00+00:00,114.221,197614,0.0,-4771.0999999999985,142.952,-2873.0999999999995
NZD_USD,B,1,2022-04-05 13:05:00+00:00,0.70181,184906,16.1,-1506.3000000000004,0.63522,-665.9000000000003
GBP_USD,B,1,2022-02-23 14:55:00+00:00,1.35752,193255,3.4000000000000696,-3215.700000000001,1.34269,-148.3000000000012
CAD_JPY,B,-1,2021-02-09 14:40:00+00:00,82.0,271276,0.0,-3683.1999999999994,106.517,-2451.6999999999994
AUD_USD,B,1,2022-04-05 13:30:00+00:00,0.7648,184930,13.400000000000079,-1477.8000000000002,0.69056,-742.4000000000008
GBP_JPY,B,-1,2020-12-21 09:45:00+00:00,137.163,281106,4.600000000002069,-7090.199999999999,191.938,-5477.499999999997
USD_JPY,C,-1,2021-12-05 22:00:00+00:00,112.87,209851,0.0,-4906.199999999998,142.952,-3008.1999999999994
NZD_USD,C,1,2023-02-01 23:10:00+00:00,0.65192,122918,18.999999999999016,-745.6000000000007,0.63522,-167.00000000000048
GBP_USD,C,1,2022-02-23 13:35:00+00:00,1.36048,193271,2.20000000000109,-3245.2999999999997,1.34269,-177.89999999999972
CAD_JPY,C,-1,2021-03-04 05:00:00+00:00,84.596,266496,0.0,-3423.599999999999,106.517,-2192.099999999999
AUD_USD,C,1,2023-02-14 13:30:00+00:00,0.70112,120466,11.600000000000499,-740.6999999999997,0.69056,-105.60000000000014
GBP_JPY,C,-1,2020-12-21 10:20:00+00:00,137.062,281099,0.0,-7100.299999999998,191.938,-5487.599999999998
CAD_JPY,D,1,2024-09-24 07:10:00+00:00,107.036,201,1.6000000000005343,-69.20000000000073,106.517,-51.900000000000546
GBP_USD,coin_D,-1,2024-09-24 12:30:00+00:00,1.33834,137,12.199999999999989,-40.599999999999525,1.34269,-43.499999999998536
AUD_USD,coin_D,-1,2024-09-24 14:00:00+00:00,0.68716,119,3.2999999999994145,-32.29999999999955,0.69056,-33.99999999999959
USD_JPY,coin_overlay,-1,2021-02-26 11:30:00+00:00,106.404,267321,14.799999999999613,-5552.799999999999,142.952,-3654.8
NZD_USD,coin_overlay,1,2021-02-25 23:00:00+00:00,0.7371,267103,12.100000000000444,-1859.1999999999996,0.63522,-1018.7999999999996
GBP_USD,coin_overlay,1,2022-02-23 14:55:00+00:00,1.35752,193255,3.4000000000000696,-3215.700000000001,1.34269,-148.3000000000012
CAD_JPY,coin_overlay,-1,2021-01-05 14:00:00+00:00,80.609,278483,0.0,-3822.2999999999997,106.517,-2590.8
AUD_USD,coin_overlay,1,2021-05-11 22:00:00+00:00,0.78408,251956,1.7000000000000348,-1670.5999999999997,0.69056,-935.2000000000004
GBP_JPY,coin_overlay,-1,2020-12-23 13:35:00+00:00,139.038,280484,0.0,-6902.699999999999,191.938,-5289.999999999997
