arm,pair,n,wr,net,gross,realized_pnl,worst_open_excursion,n_open_at_end,open_book_unrealized
A,USD_JPY,124,0.7661290322580645,11.63481393988097,14.350806451613156,1442.7169285452403,-4906.199999999998,1,-3008.2
A,NZD_USD,201,0.6965174129353234,5.763947011654082,8.214925373134347,1158.5533493424705,-925.3,1,-743.5000000000002
A,GBP_USD,231,0.6147186147186147,-0.04617899995021243,4.734632034632004,-10.667348988499072,-2780.3,1,13.299999999998311
A,CAD_JPY,67,0.5671641791044776,5.00891126938385,7.204477611940444,335.59705504871795,-3683.2,1,-2451.7
A,AUD_USD,159,0.5471698113207547,1.1823780568622078,3.3314465408805,187.99811104109105,-1477.8000000000002,1,-742.4000000000008
A,GBP_JPY,67,0.582089552238806,0.5210635653192307,3.898507462685923,34.91125887638846,-7100.299999999998,1,-5487.599999999998
E,USD_JPY,3058,0.7668410725964683,-1.7648532593004445,0.2125730254523394,-5396.921266940759,-266.80000000000064,0,0.0
E,NZD_USD,2081,0.6102835175396444,-2.603339597784493,-0.7153633144118179,-5417.5497029895305,-107.29999999999906,1,5.399999999999849
E,GBP_USD,3292,0.6376063183475091,-2.626682132166533,-0.4640377253202245,-8647.037579092226,-220.3999999999984,1,0.0
E,CAD_JPY,3496,0.6026887871853547,-2.1471053433984304,0.3322388317722396,-7506.280280520912,-182.0999999999998,1,-51.90000000000055
E,AUD_USD,2571,0.5538700894593543,-2.5521750825884064,-1.0112505223405432,-6561.642137334793,-111.90000000000032,1,13.999999999999568
E,GBP_JPY,5792,0.6907803867403315,-2.867735045748265,0.7520991904091316,-16609.92138497395,-367.1999999999997,0,0.0
coin_A,USD_JPY,6,0.3333333333333333,-3.39614222945222,5.216666666666707,-20.37685337671332,-5689.799999999998,1,-3791.7999999999993
coin_A,NZD_USD,90,0.6111111111111112,3.9208886304414055,6.751111111111126,352.8799767397265,-1463.6999999999998,1,-623.3
coin_A,GBP_USD,247,0.631578947368421,3.2186462481947764,5.49959514170043,795.0056233041098,-3433.5000000000005,1,-366.1000000000003
coin_A,CAD_JPY,37,0.4594594594594595,2.420525035461675,4.832432432432424,89.55942631208198,-3808.6,1,-2577.1
coin_A,AUD_USD,169,0.5562130177514792,2.3626882148820547,4.061538461538457,399.2943083150672,-1534.4999999999998,1,-799.1000000000004
coin_A,GBP_JPY,155,0.6,1.129813649927144,4.610322580644658,175.12111573870732,-6550.800000000001,1,-4938.1
coin_E,USD_JPY,3077,0.7494312642183946,-2.668712174324894,-0.46834551046043177,-8211.627360397699,-254.59999999999923,0,0.0
coin_E,NZD_USD,2033,0.6197737333989178,-1.9221516888160888,0.07538956361463961,-3907.7343833631085,-85.7999999999992,1,16.1
coin_E,GBP_USD,3259,0.656643142068119,-1.8952753966707383,0.2833424764056921,-6176.702517749936,-322.2999999999998,1,7.299999999998974
coin_E,CAD_JPY,3395,0.587039764359352,-3.6082998983238723,-0.991623768412723,-12250.178154809546,-208.29999999999984,0,0.0
coin_E,AUD_USD,2573,0.571317528177225,-1.669576509753383,-0.11220137755335699,-4295.820359595455,-105.19999999999972,1,-33.99999999999959
coin_E,GBP_JPY,5630,0.6763765541740675,-3.772855722739545,-0.001612933759419006,-21241.17771902364,-334.6000000000004,0,0.0
B,USD_JPY,115,0.782608695652174,11.4013841736393,14.368695652174159,1311.1591799685195,-4771.099999999999,1,-2873.0999999999995
B,NZD_USD,38,0.5526315789473685,0.08374403244414975,3.6894736842105065,3.182273232877691,-1506.3000000000004,1,-665.9000000000003
B,GBP_USD,66,0.6363636363636364,0.4199099884930062,4.59242424242415,27.714059240538408,-3215.700000000001,1,-148.3000000000012
B,CAD_JPY,48,0.5,4.5274237263265364,6.89791666666677,217.31633886367376,-3683.2,1,-2451.7
B,AUD_USD,115,0.5826086956521739,1.7617319785587096,3.9443478260869806,202.5991775342516,-1477.8000000000002,1,-742.4000000000008
B,GBP_JPY,49,0.5918367346938775,0.39260079064776415,3.6673469387749242,19.237438741740444,-7090.199999999999,1,-5477.499999999997
C,USD_JPY,89,0.7303370786516854,10.163629372310501,13.366292134831639,904.5630141356346,-4906.199999999998,1,-3008.2
C,NZD_USD,118,0.635593220338983,3.362192896215479,6.327966101694936,396.7387617534265,-937.7000000000002,1,-167.00000000000048
C,GBP_USD,102,0.6372549019607843,1.7365116817727426,5.155882352941101,177.12419154081974,-3245.3,1,-177.89999999999972
C,CAD_JPY,58,0.4827586206896552,3.1872160509625367,5.315517241379405,184.85853095582712,-3423.599999999999,1,-2192.099999999999
C,AUD_USD,376,0.5664893617021277,0.9827984884873336,2.9098404255319172,369.53223167123747,-785.0000000000001,1,-105.60000000000014
C,GBP_JPY,58,0.6379310344827587,3.5274448197535486,6.87586206896488,204.5917995457058,-7100.299999999998,1,-5487.599999999998
