n_events,fill_rate,tp_rate,total_pnl,ppd,ev_per_day,pair,thr,peak_bars,sd,tp
18757,100.0,73.98837767233172,-76986.7318725586,-201.82953600120226,49.17362400889164,GBP_JPY,2.0,10,0,5
18757,100.0,60.34547102414777,-74478.7632446289,-195.25460896937892,49.17362400889164,GBP_JPY,2.0,10,0,8
18757,100.0,51.99658794049944,-74384.78118896484,-195.0082242453395,49.17362400889164,GBP_JPY,2.0,10,0,10
18757,100.0,35.67734712373857,-73757.56713867188,-193.36391076865343,49.17362400889164,GBP_JPY,2.0,10,0,15
18757,100.0,23.91640454230293,-73611.32629394531,-192.9805236431362,49.17362400889164,GBP_JPY,2.0,10,0,20
18757,99.98933731406942,92.05545187949389,-9599.054565428332,-25.165021061001628,49.17362400889164,GBP_JPY,2.0,10,1,5
18757,99.98933731406942,79.11490269261108,1269.0739746129375,3.3270227897364335,49.17362400889164,GBP_JPY,2.0,10,1,8
18757,99.98933731406942,70.43988269794346,7373.705688481605,19.331014078883612,49.17362400889164,GBP_JPY,2.0,10,1,10
18757,99.98933731406942,50.41322314049318,11649.81231690299,30.541317409262803,49.17362400889164,GBP_JPY,2.0,10,1,15
18757,99.98933731406942,35.473207144759506,14592.596252452411,38.25616257566008,49.17362400889164,GBP_JPY,2.0,10,1,20
18757,99.93602388441649,88.33822352626896,-22801.32708740458,-59.776290723452,49.17362400889164,GBP_JPY,2.0,10,2,5
18757,99.93602388441649,74.8252867431275,-13771.304016118109,-36.10305090370162,49.17362400889164,GBP_JPY,2.0,10,2,8
18757,99.93602388441649,65.64950653507252,-10867.696350104245,-28.490910815313224,49.17362400889164,GBP_JPY,2.0,10,2,10
18757,99.93602388441649,46.90317417977877,-6994.6706543070595,-18.337330320462943,49.17362400889164,GBP_JPY,2.0,10,2,15
18757,99.93602388441649,33.03814350493289,-3278.6817016729983,-8.595439635490806,49.17362400889164,GBP_JPY,2.0,10,2,20
18757,99.66412539318654,84.2516315395269,-36324.73529052768,-95.22945435831558,49.17362400889164,GBP_JPY,2.0,10,3,5
18757,99.66412539318654,70.66973360436126,-28584.69079589906,-74.938041137067,49.17362400889164,GBP_JPY,2.0,10,3,8
18757,99.66412539318654,61.848721514921266,-27114.59405517659,-71.0840141399468,49.17362400889164,GBP_JPY,2.0,10,3,10
18757,99.66412539318654,44.11040975713897,-22862.40301513791,-59.93640826390905,49.17362400889164,GBP_JPY,2.0,10,3,15
18757,99.66412539318654,30.544559751790384,-21041.576721192883,-55.162903568917514,49.17362400889164,GBP_JPY,2.0,10,3,20
18757,96.00682411899557,77.88760550865848,-53184.814147953744,-139.4300823102979,49.17362400889164,GBP_JPY,2.0,10,5,5
18757,96.00682411899557,64.20479786761084,-48991.70416260498,-128.43736418653245,49.17362400889164,GBP_JPY,2.0,10,5,8
18757,96.00682411899557,56.12505553087205,-47571.99035645429,-124.71542182347403,49.17362400889164,GBP_JPY,2.0,10,5,10
18757,96.00682411899557,39.610173256328316,-44299.01092530533,-116.13493134332502,49.17362400889164,GBP_JPY,2.0,10,5,15
18757,96.00682411899557,27.44891159484521,-41977.5839233547,-110.04904455130024,49.17362400889164,GBP_JPY,2.0,10,5,20
18446,100.0,74.02688929848888,-75179.18853759766,-197.09085410467577,48.358301885590194,GBP_JPY,2.0,22,0,5
18446,100.0,60.121435541577576,-74940.90545654297,-196.46616771370367,48.358301885590194,GBP_JPY,2.0,22,0,8
18446,100.0,51.79442697603535,-74618.10852050781,-195.61991857131338,48.358301885590194,GBP_JPY,2.0,22,0,10
18446,100.0,35.30304673099668,-74761.62292480469,-195.99615802094576,48.358301885590194,GBP_JPY,2.0,22,0,15
18446,100.0,24.059416675700746,-72961.72088623047,-191.2775086581646,48.358301885590194,GBP_JPY,2.0,22,0,20
18446,99.99457877046514,94.30197885605344,-1643.6861572256066,-4.309111536174864,48.358301885590194,GBP_JPY,2.0,22,1,5
18446,99.99457877046514,82.09270805095787,12407.113464358474,32.52666911190599,48.358301885590194,GBP_JPY,2.0,22,1,8
18446,99.99457877046514,73.55923014366638,18140.516784672403,47.557442645224114,48.358301885590194,GBP_JPY,2.0,22,1,10
18446,99.99457877046514,53.72729737055821,26425.1898193437,69.27666196833174,48.358301885590194,GBP_JPY,2.0,22,1,15
18446,99.99457877046514,37.80428300352194,29925.370300303402,78.45278602516245,48.358301885590194,GBP_JPY,2.0,22,1,20
18446,99.97289385232571,90.5211214142351,-13779.889160158038,-36.125557842182275,48.358301885590194,GBP_JPY,2.0,22,2,5
18446,99.97289385232571,77.92419066210738,-2949.784118656509,-7.733196948244121,48.358301885590194,GBP_JPY,2.0,22,2,8
18446,99.97289385232571,68.90624152702843,1837.2111816347583,4.816459554866936,48.358301885590194,GBP_JPY,2.0,22,2,10
18446,99.97289385232571,49.9051027601513,8480.990356435861,22.23388766915887,48.358301885590194,GBP_JPY,2.0,22,2,15
18446,99.97289385232571,35.399381812264224,12315.178283679219,32.285650505097266,48.358301885590194,GBP_JPY,2.0,22,2,20
18446,99.78857204814052,86.8528277285768,-26363.98773193387,-69.11621368583185,48.358301885590194,GBP_JPY,2.0,22,3,5
18446,99.78857204814052,73.71108817297366,-17486.58337402399,-45.84308130481375,48.358301885590194,GBP_JPY,2.0,22,3,8
18446,99.78857204814052,65.10566632259113,-13463.286499024169,-35.29554770096505,48.358301885590194,GBP_JPY,2.0,22,3,10
18446,99.78857204814052,46.694192426791616,-8019.532714844866,-21.024123604349708,48.358301885590194,GBP_JPY,2.0,22,3,15
18446,99.78857204814052,33.02547943716885,-4295.336059571714,-11.260715486763003,48.358301885590194,GBP_JPY,2.0,22,3,20
18446,97.21890924861759,80.13160095912116,-46842.209472660295,-122.80221764431091,48.358301885590194,GBP_JPY,2.0,22,5,5
18446,97.21890924861759,66.82652093904719,-39988.80810547552,-104.8352409416416,48.358301885590194,GBP_JPY,2.0,22,5,8
18446,97.21890924861759,58.813360843135065,-37543.219909676365,-98.42385135797625,48.358301885590194,GBP_JPY,2.0,22,5,10
18446,97.21890924861759,41.70523615680356,-33129.54956055876,-86.85290897664113,48.358301885590194,GBP_JPY,2.0,22,5,15
18446,97.21890924861759,29.671555233367,-29148.64715577606,-76.41651733251483,48.358301885590194,GBP_JPY,2.0,22,5,20
17864,100.0,73.91401701746115,-73668.63830566406,-193.1307736466256,46.8325222207624,GBP_JPY,2.0,44,0,5
