thr,peak_bars,sd,tp,ppd,wf_score,mc_p
2.0,44,1.0,20.0,344.0835907255803,12,0.0
2.5,44,1.0,20.0,336.7875447243609,12,0.0
2.0,44,1.0,15.0,332.25943595275714,12,0.0
2.5,44,1.0,15.0,319.4200218740212,12,0.0
3.0,44,1.0,20.0,296.47699143150516,12,0.0
2.0,44,1.0,10.0,285.84880362314874,12,0.0
3.0,44,1.0,15.0,277.9588410614927,12,0.0
2.5,44,1.0,10.0,271.1989129991234,12,0.0
2.0,44,1.0,8.0,239.38617554374062,12,0.0
3.0,44,1.0,10.0,229.86075292294385,12,0.0
2.5,44,1.0,8.0,222.72500837990435,12,0.0
2.0,22,1.0,20.0,211.35693575202558,12,0.0
2.5,22,1.0,20.0,203.82931483443693,12,0.0
2.0,22,1.0,15.0,200.0300692546659,12,0.0
3.0,22,1.0,20.0,194.04292939715634,12,0.0
2.5,22,1.0,15.0,188.6037211410976,12,0.0
2.5,44,2.0,20.0,188.0253481016082,12,0.0
3.0,44,1.0,8.0,187.64566541069968,12,0.0
3.0,22,1.0,15.0,177.43725119160547,12,0.0
3.0,44,2.0,20.0,172.9771606619691,12,0.0
