thr,peak_bars,sd,tp,ppd,ev_per_day,fill_rate,tp_rate,wf_score,wf_total,wf_pass
2.0,44,1.0,20.0,344.0835907255803,187.2509743344628,99.97255666947146,26.75846732312192,12,12,True
2.5,44,1.0,20.0,336.7875447243609,161.38940398597023,99.95989250819875,28.44145092035039,12,12,True
2.0,44,1.0,15.0,332.25943595275714,187.2509743344628,99.97255666947146,41.70622587944474,12,12,True
2.5,44,1.0,15.0,319.4200218740212,161.38940398597023,99.95989250819875,43.393004725505236,12,12,True
3.0,44,1.0,20.0,296.47699143150516,130.85066614444008,99.96986022813097,30.074346155435272,12,12,True
2.0,44,1.0,10.0,285.84880362314874,187.2509743344628,99.97255666947146,62.98424566561452,12,12,True
3.0,44,1.0,15.0,277.9588410614927,130.85066614444008,99.96986022813097,45.48505114140088,12,12,True
2.5,44,1.0,10.0,271.1989129991234,161.38940398597023,99.95989250819875,64.75209401576723,12,12,True
2.0,44,1.0,8.0,239.3861755437406,187.2509743344628,99.97255666947146,72.97885238767631,12,12,True
3.0,44,1.0,10.0,229.86075292294385,130.85066614444008,99.96986022813097,66.68077268524911,12,12,True
2.5,44,1.0,8.0,222.72500837990435,161.38940398597023,99.95989250819875,74.40706699671736,12,12,True
2.0,22,1.0,20.0,211.35693575202558,193.1019242458475,99.95646060169148,24.597261134626603,12,12,True
2.5,22,1.0,20.0,203.82931483443693,165.85295649573135,99.94634333656992,26.09538732871425,12,12,True
2.0,22,1.0,15.0,200.0300692546659,193.1019242458475,99.95646060169148,38.61604067896969,12,12,True
3.0,22,1.0,20.0,194.0429293971563,133.92453832083146,99.9504772746687,27.747118217143523,12,12,True
2.5,22,1.0,15.0,188.60372114109757,165.85295649573135,99.94634333656992,40.13363068467723,12,12,True
2.5,44,2.0,20.0,188.02534810160822,161.38940398597023,99.72963342110535,26.20570991043911,12,12,True
3.0,44,1.0,8.0,187.64566541069965,130.85066614444008,99.96986022813097,76.26489044886634,12,12,True
3.0,22,1.0,15.0,177.43725119160547,133.92453832083146,99.9504772746687,42.2459217193915,12,12,True
3.0,44,2.0,20.0,172.9771606619691,130.85066614444008,99.79005442133632,27.784365142295407,12,12,True
2.5,44,2.0,15.0,167.98591028209668,161.38940398597023,99.72963342110535,39.861773378685015,12,12,True
2.0,44,2.0,20.0,166.4975520550232,187.2509743344628,99.74386381356362,24.687097389359245,12,12,True
2.0,22,1.0,10.0,164.48494722589126,193.1019242458475,99.95646060169148,59.30589787158503,12,12,True
3.0,44,2.0,15.0,157.49432601778477,130.85066614444008,99.79005442133632,41.8400094794612,12,12,True
2.5,22,1.0,10.0,156.1192460245344,165.85295649573135,99.94634333656992,61.095686026160294,12,12,True
2.0,44,2.0,15.0,156.067774438976,187.2509743344628,99.74386381356362,38.19138782968233,12,12,True
3.0,22,1.0,10.0,143.32009131194667,133.92453832083146,99.9504772746687,63.21893755811157,12,12,True
2.5,44,2.0,10.0,127.2296771124183,161.38940398597023,99.72963342110535,59.80518388631306,12,12,True
2.0,22,1.0,8.0,126.35108922393998,193.1019242458475,99.95646060169148,69.22095512766877,12,12,True
2.5,22,1.0,8.0,120.37527049900429,165.85295649573135,99.94634333656992,70.81620192358068,12,12,True
3.0,44,2.0,10.0,114.06868808795599,130.85066614444008,99.79005442133632,61.846826292156706,12,12,True
2.0,44,1.0,5.0,112.9678166928818,187.2509743344628,99.97255666947146,88.39208416883235,12,12,True
3.0,22,1.0,8.0,112.02717709648114,133.92453832083146,99.9504772746687,72.997118279731,12,12,True
2.0,44,2.0,10.0,111.96744688872207,187.2509743344628,99.74386381356362,57.92637195069206,12,12,True
2.5,44,1.0,5.0,98.92635161195443,161.38940398597023,99.95989250819875,89.14987855875661,11,12,True
2.5,44,2.0,8.0,96.7073214785842,161.38940398597023,99.72963342110535,69.66779366357657,11,12,True
3.0,10,1.0,20.0,92.08733359771402,135.62762075527326,99.93932585981275,25.724559902149917,11,12,True
3.0,44,2.0,8.0,86.70378369345529,130.85066614444008,99.79005442133632,71.5717047698751,12,12,True
2.5,10,1.0,20.0,84.0098579069095,168.29917828143465,99.94241761691481,24.140198952870808,11,12,True
2.0,44,2.0,8.0,84.00974332896764,187.2509743344628,99.74386381356362,67.92597155049081,10,12,True
