pair,K,tp_keep,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,0,True,544,343,201,349.0,13.4,2.91,0.22,-510.4,80.6,False
USD_JPY,0,False,113,74,39,724.2,471.3,6.03,7.85,-359.5,38.5,False
USD_JPY,1,True,547,346,201,420.1,24.4,3.5,0.41,-504.7,81.1,False
USD_JPY,1,False,113,74,39,773.9,518.2,6.45,8.64,-345.4,38.5,False
USD_JPY,3,True,536,339,197,447.2,-83.4,3.73,-1.39,-554.1,80.2,False
USD_JPY,3,False,113,74,39,919.2,407.6,7.66,6.79,-405.2,41.0,False
USD_JPY,6,True,521,330,191,369.5,-299.8,3.08,-5.0,-684.8,80.1,False
USD_JPY,6,False,109,70,39,831.6,33.6,6.93,0.56,-439.0,33.3,False
USD_JPY,12,True,506,324,182,204.0,-460.9,1.7,-7.68,-884.6,79.7,False
USD_JPY,12,False,105,66,39,757.7,-195.5,6.31,-3.26,-629.0,33.3,False
USD_JPY,24,True,495,315,180,621.8,-475.2,5.18,-7.92,-909.2,78.9,False
USD_JPY,24,False,97,58,39,1056.9,-230.6,8.81,-3.84,-708.2,30.8,False
EUR_JPY,0,True,479,295,184,-592.3,-8.7,-4.94,-0.15,-631.3,79.3,False
EUR_JPY,0,False,116,75,41,14.1,89.8,0.12,1.5,-376.0,39.0,False
EUR_JPY,1,True,485,298,187,-545.9,3.4,-4.55,0.06,-597.5,79.7,False
EUR_JPY,1,False,116,75,41,3.4,17.0,0.03,0.28,-431.1,39.0,False
EUR_JPY,3,True,473,290,183,-714.8,-109.4,-5.96,-1.82,-624.9,79.8,False
EUR_JPY,3,False,116,75,41,-114.3,-69.1,-0.95,-1.15,-447.3,41.5,False
EUR_JPY,6,True,472,292,180,-512.8,45.4,-4.27,0.76,-478.4,80.6,False
EUR_JPY,6,False,114,75,39,18.9,-35.4,0.16,-0.59,-446.2,41.0,False
EUR_JPY,12,True,452,275,177,-842.1,-16.4,-7.02,-0.27,-507.8,79.7,False
EUR_JPY,12,False,110,71,39,-284.2,-19.1,-2.37,-0.32,-463.1,38.5,False
EUR_JPY,24,True,432,261,171,-1003.4,-109.5,-8.36,-1.83,-641.7,79.5,False
EUR_JPY,24,False,108,69,39,-638.3,-16.0,-5.32,-0.27,-426.3,38.5,False
GBP_JPY,0,True,613,381,232,-1195.0,-171.5,-9.96,-2.86,-559.8,84.9,False
GBP_JPY,0,False,120,83,37,-5.3,225.6,-0.04,3.76,-417.8,40.5,False
GBP_JPY,1,True,605,376,229,-1215.3,-267.4,-10.13,-4.46,-572.5,84.7,False
GBP_JPY,1,False,120,83,37,-5.8,173.7,-0.05,2.9,-390.5,37.8,False
GBP_JPY,3,True,604,374,230,-1437.9,-238.5,-11.98,-3.98,-579.2,84.8,False
GBP_JPY,3,False,120,83,37,-187.8,211.6,-1.57,3.53,-374.5,40.5,False
GBP_JPY,6,True,607,379,228,-1394.0,-282.0,-11.62,-4.7,-671.0,84.6,False
GBP_JPY,6,False,120,83,37,-179.5,182.5,-1.5,3.04,-412.3,37.8,False
GBP_JPY,12,True,592,373,219,-1389.7,-509.2,-11.58,-8.49,-880.1,84.9,False
GBP_JPY,12,False,118,81,37,-258.3,-249.3,-2.15,-4.16,-500.1,32.4,False
GBP_JPY,24,True,562,349,213,-1531.5,-382.6,-12.76,-6.38,-876.5,85.9,False
GBP_JPY,24,False,114,77,37,-375.3,-221.4,-3.13,-3.69,-612.5,27.0,False
AUD_JPY,0,True,445,257,188,-381.8,-360.5,-3.18,-6.01,-907.2,78.2,False
AUD_JPY,0,False,118,75,43,154.7,-137.1,1.29,-2.29,-808.3,39.5,False
AUD_JPY,1,True,447,258,189,-421.8,-374.0,-3.52,-6.23,-961.0,78.3,False
AUD_JPY,1,False,118,75,43,104.8,-179.7,0.87,-3.0,-889.2,34.9,False
AUD_JPY,3,True,443,256,187,-492.2,-337.6,-4.1,-5.63,-863.4,77.5,False
AUD_JPY,3,False,118,75,43,27.5,-16.8,0.23,-0.28,-741.5,37.2,False
AUD_JPY,6,True,430,244,186,-464.1,-278.1,-3.87,-4.63,-820.0,78.0,False
AUD_JPY,6,False,112,69,43,51.1,58.7,0.43,0.98,-682.6,37.2,False
