pair,N,with_TP,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,8,True,4846,3084,1762,-3540.7,-2203.5,-29.51,-36.73,-2277.0,43.5,False
USD_JPY,8,False,4481,2853,1628,-3171.7,-1704.4,-26.43,-28.41,-1839.8,40.7,False
USD_JPY,16,True,1897,1211,686,-1426.6,-845.6,-11.89,-14.09,-1015.8,48.3,False
USD_JPY,16,False,1513,971,542,-1040.1,-369.3,-8.67,-6.16,-644.5,39.1,False
USD_JPY,32,True,907,572,335,-319.9,-125.2,-2.67,-2.09,-511.2,61.8,False
USD_JPY,32,False,500,317,183,358.4,331.4,2.99,5.52,-315.8,39.9,False
USD_JPY,64,True,1090,684,406,-903.7,-88.3,-7.53,-1.47,-602.1,56.9,False
USD_JPY,64,False,689,444,245,-276.5,277.2,-2.3,4.62,-376.8,35.5,False
EUR_JPY,8,True,4944,3266,1678,-5376.6,-2414.0,-44.81,-40.23,-2615.9,40.1,False
EUR_JPY,8,False,4632,3088,1544,-4868.6,-2028.3,-40.57,-33.81,-2298.3,36.9,False
EUR_JPY,16,True,2196,1305,891,-2548.8,-1133.8,-21.24,-18.9,-1441.8,45.2,False
EUR_JPY,16,False,1856,1106,750,-1955.1,-864.1,-16.29,-14.4,-1205.3,37.7,False
EUR_JPY,32,True,1077,597,480,-984.1,-471.5,-8.2,-7.86,-876.4,53.3,False
EUR_JPY,32,False,721,387,334,-262.0,-264.8,-2.18,-4.41,-639.4,38.0,False
EUR_JPY,64,True,1066,664,402,-1340.0,-33.7,-11.17,-0.56,-560.6,56.5,False
EUR_JPY,64,False,738,469,269,-821.2,227.9,-6.84,3.8,-345.0,39.8,False
GBP_JPY,8,True,5201,3508,1693,-8678.9,-4254.1,-72.32,-70.9,-4274.9,39.4,False
GBP_JPY,8,False,4777,3260,1517,-7791.1,-3780.6,-64.93,-63.01,-3797.8,34.1,False
GBP_JPY,16,True,2388,1528,860,-3819.3,-2397.9,-31.83,-39.97,-2503.4,47.2,False
GBP_JPY,16,False,1948,1271,677,-2924.5,-1848.9,-24.37,-30.81,-2027.5,36.3,False
GBP_JPY,32,True,1194,785,409,-2220.0,-1096.2,-18.5,-18.27,-1294.9,61.6,False
GBP_JPY,32,False,729,511,218,-1251.6,-460.1,-10.43,-7.67,-727.7,35.8,False
GBP_JPY,64,True,1397,967,430,-2827.7,-1101.7,-23.56,-18.36,-1333.4,57.9,False
GBP_JPY,64,False,965,711,254,-1806.1,-619.6,-15.05,-10.33,-793.4,32.3,False
AUD_JPY,8,True,4764,3095,1669,-4452.9,-2239.0,-37.11,-37.32,-2296.3,41.5,False
AUD_JPY,8,False,4483,2946,1537,-3967.0,-2116.8,-33.06,-35.28,-2225.8,38.5,False
AUD_JPY,16,True,2052,1297,755,-1974.2,-869.6,-16.45,-14.49,-1290.9,48.1,False
AUD_JPY,16,False,1746,1134,612,-1446.7,-729.1,-12.06,-12.15,-1227.3,40.0,False
AUD_JPY,32,True,898,563,335,-747.1,-542.8,-6.23,-9.05,-1031.6,62.1,False
AUD_JPY,32,False,588,393,195,-249.6,-352.2,-2.08,-5.87,-908.9,44.1,False
AUD_JPY,64,True,986,627,359,-813.8,-372.8,-6.78,-6.21,-828.4,57.4,False
AUD_JPY,64,False,693,461,232,-291.2,-198.6,-2.43,-3.31,-729.1,40.1,False
EUR_USD,8,True,4709,3117,1592,-3600.6,-1464.9,-30.01,-24.42,-1564.9,36.1,False
EUR_USD,8,False,4534,3024,1510,-3484.2,-1295.1,-29.03,-21.58,-1401.3,34.2,False
EUR_USD,16,True,1848,1247,601,-1665.0,-410.2,-13.88,-6.84,-650.2,40.9,False
EUR_USD,16,False,1660,1146,514,-1543.5,-248.7,-12.86,-4.14,-525.9,35.8,False
EUR_USD,32,True,832,567,265,-888.6,-149.2,-7.41,-2.49,-444.6,50.2,False
EUR_USD,32,False,622,453,169,-767.7,44.6,-6.4,0.74,-325.9,30.8,False
EUR_USD,64,True,908,572,336,-651.3,-374.3,-5.43,-6.24,-716.6,45.8,False
EUR_USD,64,False,614,378,236,-445.0,-252.2,-3.71,-4.2,-582.7,29.7,False
GBP_USD,8,True,4947,3231,1716,-5076.6,-2192.1,-42.31,-36.54,-2289.9,36.7,False
GBP_USD,8,False,4694,3094,1600,-4970.2,-2004.1,-41.42,-33.4,-2110.6,34.4,False
GBP_USD,16,True,2115,1367,748,-2316.8,-798.6,-19.31,-13.31,-1059.7,42.5,False
GBP_USD,16,False,1844,1215,629,-2116.3,-563.9,-17.64,-9.4,-858.4,36.6,False
GBP_USD,32,True,1018,631,387,-1166.6,-349.0,-9.72,-5.82,-781.5,50.9,False
GBP_USD,32,False,725,468,257,-899.0,-51.5,-7.49,-0.86,-575.8,33.9,False
GBP_USD,64,True,1182,683,499,-1365.0,-714.3,-11.38,-11.9,-1224.4,47.1,False
GBP_USD,64,False,901,525,376,-1059.4,-457.6,-8.83,-7.63,-906.5,33.5,False
CAD_JPY,8,True,4778,3142,1636,-4597.5,-2474.5,-38.31,-41.24,-2486.3,34.4,False
CAD_JPY,8,False,4552,3003,1549,-4204.4,-2261.8,-35.04,-37.7,-2273.7,32.7,False
CAD_JPY,16,True,1891,1147,744,-1458.5,-1040.1,-12.15,-17.34,-1060.8,37.6,False
CAD_JPY,16,False,1638,987,651,-1076.9,-838.9,-8.97,-13.98,-861.2,32.4,False
CAD_JPY,32,True,734,425,309,151.5,-329.6,1.26,-5.49,-411.5,48.5,False
CAD_JPY,32,False,465,253,212,638.8,-130.9,5.32,-2.18,-315.2,34.9,False
CAD_JPY,64,True,838,443,395,141.2,-304.5,1.18,-5.07,-594.1,46.8,False
CAD_JPY,64,False,555,278,277,770.6,-87.7,6.42,-1.46,-435.2,32.9,False
AUD_USD,8,True,5043,3263,1780,-3427.5,-1675.9,-28.56,-27.93,-1739.8,39.7,False
AUD_USD,8,False,4919,3207,1712,-3347.1,-1489.3,-27.89,-24.82,-1579.2,39.0,False
AUD_USD,16,True,1923,1196,727,-1437.4,-695.9,-11.98,-11.6,-848.0,43.9,False
AUD_USD,16,False,1777,1129,648,-1345.8,-537.4,-11.22,-8.96,-778.6,41.0,False
AUD_USD,32,True,710,470,240,-714.4,24.7,-5.95,0.41,-575.8,52.5,False
AUD_USD,32,False,548,395,153,-643.3,135.9,-5.36,2.27,-531.5,35.9,False
AUD_USD,64,True,989,590,399,-775.5,-529.9,-6.46,-8.83,-892.3,48.4,False
AUD_USD,64,False,767,516,251,-742.2,-356.6,-6.18,-5.94,-738.3,34.3,False
EUR_GBP,8,True,4917,3285,1632,-4284.5,-2050.4,-35.7,-34.17,-2049.2,19.9,False
EUR_GBP,8,False,4879,3261,1618,-4272.6,-2032.2,-35.6,-33.87,-2031.0,19.7,False
EUR_GBP,16,True,1882,1217,665,-1803.9,-877.0,-15.03,-14.62,-878.2,23.3,False
EUR_GBP,16,False,1826,1178,648,-1785.9,-862.2,-14.88,-14.37,-863.4,22.5,False
EUR_GBP,32,True,845,524,321,-1025.7,-513.4,-8.55,-8.56,-514.6,26.8,False
EUR_GBP,32,False,777,477,300,-974.0,-498.6,-8.12,-8.31,-499.8,24.7,False
EUR_GBP,64,True,1027,695,332,-1240.7,-441.0,-10.34,-7.35,-439.8,22.9,False
EUR_GBP,64,False,959,649,310,-1189.3,-380.5,-9.91,-6.34,-379.3,20.3,False
