pair,type,param,with_TP,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,HMA,8.0,True,8805,5795,3010,-7171.6,-3822.2,-59.76,-63.7,-3845.6,40.3,False
USD_JPY,HMA,8.0,False,8527,5627,2900,-6629.6,-3345.3,-55.25,-55.76,-3371.1,39.2,False
USD_JPY,HMA,16.0,True,8795,5861,2934,-6986.5,-3700.2,-58.22,-61.67,-3710.0,40.7,False
USD_JPY,HMA,16.0,False,8534,5698,2836,-6748.9,-3231.9,-56.24,-53.86,-3242.4,39.7,False
USD_JPY,HMA,32.0,True,6284,4119,2165,-4819.9,-2653.9,-40.17,-44.23,-2710.3,42.5,False
USD_JPY,HMA,32.0,False,5963,3921,2042,-4500.7,-2191.6,-37.51,-36.53,-2315.1,40.5,False
USD_JPY,HMA,64.0,True,3179,2049,1130,-2327.5,-1421.2,-19.4,-23.69,-1660.0,44.2,False
USD_JPY,HMA,64.0,False,2824,1827,997,-1865.8,-889.4,-15.55,-14.82,-1271.3,38.9,False
USD_JPY,KAL,0.001,True,1227,809,418,-1055.2,-111.2,-8.79,-1.85,-679.3,56.0,False
USD_JPY,KAL,0.001,False,829,571,258,-519.1,286.8,-4.33,4.78,-420.0,35.7,False
USD_JPY,KAL,0.01,True,1410,860,550,-717.8,-516.8,-5.98,-8.61,-705.9,51.8,False
USD_JPY,KAL,0.01,False,1017,615,402,-357.4,-65.9,-2.98,-1.1,-407.7,39.1,False
USD_JPY,KAL,0.1,True,4545,2843,1702,-3249.5,-2101.4,-27.08,-35.02,-2174.9,43.1,False
USD_JPY,KAL,0.1,False,4167,2605,1562,-2896.3,-1623.0,-24.14,-27.05,-1781.5,40.1,False
USD_JPY,KAL,1.0,True,6881,4520,2361,-5473.7,-2988.4,-45.61,-49.81,-3057.9,41.0,False
USD_JPY,KAL,1.0,False,6525,4300,2225,-5161.8,-2501.2,-43.01,-41.69,-2578.0,39.4,False
EUR_JPY,HMA,8.0,True,8442,5465,2977,-8598.0,-4522.0,-71.65,-75.37,-4593.5,38.1,False
EUR_JPY,HMA,8.0,False,8210,5332,2878,-8163.6,-4122.6,-68.03,-68.71,-4194.7,37.0,False
EUR_JPY,HMA,16.0,True,8657,5752,2905,-9166.9,-4220.0,-76.39,-70.33,-4289.4,38.4,False
EUR_JPY,HMA,16.0,False,8418,5618,2800,-8670.2,-3922.2,-72.25,-65.37,-3985.1,36.9,False
EUR_JPY,HMA,32.0,True,6277,4183,2094,-6776.9,-3068.0,-56.47,-51.13,-3137.4,39.3,False
EUR_JPY,HMA,32.0,False,6005,4030,1975,-6270.4,-2787.4,-52.25,-46.46,-2942.4,36.9,False
EUR_JPY,HMA,64.0,True,3357,2183,1174,-3838.7,-1550.8,-31.99,-25.85,-1778.1,41.7,False
EUR_JPY,HMA,64.0,False,3040,2002,1038,-3296.3,-1344.6,-27.47,-22.41,-1651.4,35.9,False
EUR_JPY,KAL,0.001,True,1320,815,505,-1465.0,-394.7,-12.21,-6.58,-905.2,52.5,False
EUR_JPY,KAL,0.001,False,991,618,373,-880.1,-126.9,-7.33,-2.11,-663.7,38.9,False
EUR_JPY,KAL,0.01,True,1697,971,726,-1753.6,-906.6,-14.61,-15.11,-1248.5,47.1,False
EUR_JPY,KAL,0.01,False,1345,764,581,-1172.3,-667.4,-9.77,-11.12,-1027.7,36.8,False
EUR_JPY,KAL,0.1,True,4582,2931,1651,-4881.5,-2375.8,-40.68,-39.6,-2592.9,40.2,False
EUR_JPY,KAL,0.1,False,4261,2749,1512,-4410.3,-2007.0,-36.75,-33.45,-2285.9,36.8,False
EUR_JPY,KAL,1.0,True,6622,4297,2325,-6856.7,-3398.1,-57.14,-56.64,-3467.5,39.0,False
EUR_JPY,KAL,1.0,False,6316,4126,2190,-6319.2,-3072.7,-52.66,-51.21,-3138.4,37.1,False
GBP_JPY,HMA,8.0,True,8668,5679,2989,-14114.5,-7639.9,-117.62,-127.33,-7660.7,36.1,False
GBP_JPY,HMA,8.0,False,8334,5494,2840,-13175.6,-6994.7,-109.8,-116.58,-7014.7,34.0,False
GBP_JPY,HMA,16.0,True,8896,5855,3041,-14561.9,-7718.3,-121.35,-128.64,-7739.1,36.8,False
GBP_JPY,HMA,16.0,False,8581,5670,2911,-13685.1,-7182.7,-114.04,-119.71,-7198.1,35.1,False
GBP_JPY,HMA,32.0,True,6386,4216,2170,-10406.1,-5447.0,-86.72,-90.78,-5467.8,37.5,False
GBP_JPY,HMA,32.0,False,6004,3992,2012,-9512.7,-5039.6,-79.27,-83.99,-5052.2,33.7,False
GBP_JPY,HMA,64.0,True,2990,1878,1112,-4589.8,-3060.5,-38.25,-51.01,-3094.0,43.1,False
GBP_JPY,HMA,64.0,False,2553,1623,930,-3550.8,-2515.5,-29.59,-41.93,-2562.1,34.5,False
GBP_JPY,KAL,0.001,True,1427,1020,407,-3095.9,-787.2,-25.8,-13.12,-1018.9,62.7,False
GBP_JPY,KAL,0.001,False,981,763,218,-1986.3,-334.7,-16.55,-5.58,-672.9,39.4,False
GBP_JPY,KAL,0.01,True,2047,1337,710,-3627.1,-1907.3,-30.23,-31.79,-2092.9,51.1,False
GBP_JPY,KAL,0.01,False,1600,1076,524,-2623.8,-1299.8,-21.86,-21.66,-1532.6,37.8,False
