pair,af_start,af_max,activate,with_TP,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,0.005,0.1,0.0,True,992,731,261,-151.0,-24.6,-1.26,-0.41,-434.5,68.6,False
USD_JPY,0.005,0.1,0.0,False,583,472,111,262.5,344.0,2.19,5.73,-292.4,39.6,False
USD_JPY,0.005,0.1,10.0,True,25,25,0,-1009.9,0.0,-8.42,0.0,0.0,0.0,False
USD_JPY,0.005,0.1,10.0,False,65,51,14,873.7,-223.7,7.28,-3.73,-708.5,64.3,True
USD_JPY,0.005,0.1,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,0.005,0.1,20.0,False,20,20,0,-1100.3,0.0,-9.17,0.0,0.0,0.0,False
USD_JPY,0.005,0.15,0.0,True,1000,739,261,-160.1,-24.6,-1.33,-0.41,-434.5,68.6,False
USD_JPY,0.005,0.15,0.0,False,591,480,111,253.3,344.0,2.11,5.73,-292.4,39.6,False
USD_JPY,0.005,0.15,10.0,True,25,25,0,-1009.9,0.0,-8.42,0.0,0.0,0.0,False
USD_JPY,0.005,0.15,10.0,False,67,53,14,871.2,-223.7,7.26,-3.73,-708.5,64.3,True
USD_JPY,0.005,0.15,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,0.005,0.15,20.0,False,20,20,0,-1100.3,0.0,-9.17,0.0,0.0,0.0,False
USD_JPY,0.005,0.2,0.0,True,1000,739,261,-160.1,-24.6,-1.33,-0.41,-434.5,68.6,False
USD_JPY,0.005,0.2,0.0,False,591,480,111,253.3,344.0,2.11,5.73,-292.4,39.6,False
USD_JPY,0.005,0.2,10.0,True,25,25,0,-1009.9,0.0,-8.42,0.0,0.0,0.0,False
USD_JPY,0.005,0.2,10.0,False,67,53,14,871.2,-223.7,7.26,-3.73,-708.5,64.3,True
USD_JPY,0.005,0.2,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,0.005,0.2,20.0,False,20,20,0,-1100.3,0.0,-9.17,0.0,0.0,0.0,False
USD_JPY,0.01,0.1,0.0,True,1465,975,490,-1156.2,-734.2,-9.64,-12.24,-1010.4,53.5,False
USD_JPY,0.01,0.1,0.0,False,1073,730,343,-744.6,-186.7,-6.2,-3.11,-596.8,39.4,False
USD_JPY,0.01,0.1,10.0,True,25,25,0,-1154.5,0.0,-9.62,0.0,0.0,0.0,False
USD_JPY,0.01,0.1,10.0,False,25,25,0,-1460.1,0.0,-12.17,0.0,0.0,0.0,False
USD_JPY,0.01,0.1,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,0.01,0.1,20.0,False,20,20,0,-1420.5,0.0,-11.84,0.0,0.0,0.0,False
USD_JPY,0.01,0.15,0.0,True,1649,1091,558,-1229.5,-820.3,-10.25,-13.67,-1090.0,51.1,False
USD_JPY,0.01,0.15,0.0,False,1255,845,410,-828.6,-268.9,-6.9,-4.48,-677.1,38.3,False
USD_JPY,0.01,0.15,10.0,True,25,25,0,-1159.7,0.0,-9.66,0.0,0.0,0.0,False
USD_JPY,0.01,0.15,10.0,False,21,21,0,-1392.1,0.0,-11.6,0.0,0.0,0.0,False
USD_JPY,0.01,0.15,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,0.01,0.15,20.0,False,16,16,0,-1352.2,0.0,-11.27,0.0,0.0,0.0,False
USD_JPY,0.01,0.2,0.0,True,1668,1102,566,-1243.0,-830.6,-10.36,-13.84,-1100.3,50.7,False
USD_JPY,0.01,0.2,0.0,False,1274,856,418,-842.2,-279.2,-7.02,-4.65,-707.4,38.0,False
