pair,N,X,mode,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,8,1.0,replace,5407,3603,1804,-4495.1,-2211.2,-37.46,-36.85,-2284.1,44.3,False
USD_JPY,8,1.0,overlay,1475,963,512,-1220.1,-783.6,-10.17,-13.06,-1078.5,50.0,False
USD_JPY,8,1.5,replace,3007,2099,908,-2660.6,-829.4,-22.17,-13.82,-1142.6,47.8,False
USD_JPY,8,1.5,overlay,884,566,318,-668.2,-347.5,-5.57,-5.79,-810.2,63.8,False
USD_JPY,8,2.0,replace,1577,1146,431,-1150.8,-266.8,-9.59,-4.45,-875.4,49.7,False
USD_JPY,8,2.0,overlay,568,380,188,-350.3,-209.5,-2.92,-3.49,-800.3,77.1,False
USD_JPY,8,3.0,replace,368,265,103,-1857.9,364.9,-15.48,6.08,-281.6,60.2,False
USD_JPY,8,3.0,overlay,298,197,101,-1211.6,701.8,-10.1,11.7,-373.3,92.1,False
USD_JPY,16,1.0,replace,9032,6099,2933,-7721.3,-3288.0,-64.34,-54.8,-3260.7,42.4,False
USD_JPY,16,1.0,overlay,846,536,310,-696.0,-158.1,-5.8,-2.64,-493.2,62.9,False
USD_JPY,16,1.5,replace,6212,4242,1970,-4837.2,-2490.0,-40.31,-41.5,-2536.2,44.6,False
USD_JPY,16,1.5,overlay,665,430,235,83.6,-654.9,0.7,-10.92,-879.1,69.8,False
USD_JPY,16,2.0,replace,4153,2900,1253,-3159.3,-1066.1,-26.33,-17.77,-1411.8,47.9,False
USD_JPY,16,2.0,overlay,542,350,192,168.9,120.1,1.41,2.0,-654.1,80.7,False
USD_JPY,16,3.0,replace,1520,1097,423,-1894.2,-655.4,-15.79,-10.92,-1115.4,48.7,False
USD_JPY,16,3.0,overlay,345,218,127,-581.3,-664.1,-4.84,-11.07,-1061.7,84.3,False
USD_JPY,32,1.0,replace,12342,8236,4106,-9735.9,-4805.6,-81.13,-80.09,-4810.1,41.2,False
USD_JPY,32,1.0,overlay,647,409,238,336.5,142.2,2.8,2.37,-489.0,74.4,False
USD_JPY,32,1.5,replace,10346,6952,3394,-8221.7,-4047.7,-68.51,-67.46,-4019.6,42.4,False
USD_JPY,32,1.5,overlay,564,362,202,315.3,-66.0,2.63,-1.1,-577.5,79.7,False
USD_JPY,32,2.0,replace,8260,5611,2649,-6663.5,-2933.2,-55.53,-48.89,-3049.1,43.0,False
USD_JPY,32,2.0,overlay,494,314,180,103.0,-11.2,0.86,-0.19,-708.6,82.2,False
USD_JPY,32,3.0,replace,4438,3132,1306,-3800.7,-2039.4,-31.67,-33.99,-2305.4,44.3,False
USD_JPY,32,3.0,overlay,375,240,135,-148.7,-664.5,-1.24,-11.08,-1315.4,84.4,False
EUR_JPY,8,1.0,replace,4935,3181,1754,-5300.1,-2505.9,-44.17,-41.76,-2545.8,40.9,False
EUR_JPY,8,1.0,overlay,1493,897,596,-2137.2,-765.0,-17.81,-12.75,-1076.6,45.0,False
EUR_JPY,8,1.5,replace,2597,1711,886,-2827.3,-889.4,-23.56,-14.82,-1101.6,47.0,False
EUR_JPY,8,1.5,overlay,809,510,299,-1367.8,-551.0,-11.4,-9.18,-974.7,57.5,False
EUR_JPY,8,2.0,replace,1336,873,463,-1335.9,-689.5,-11.13,-11.49,-1184.3,52.1,False
EUR_JPY,8,2.0,overlay,520,322,198,-803.0,-437.1,-6.69,-7.29,-903.6,73.7,False
EUR_JPY,8,3.0,replace,298,197,101,-2086.3,-381.8,-17.39,-6.36,-583.9,55.4,False
EUR_JPY,8,3.0,overlay,222,132,90,-2262.2,173.5,-18.85,2.89,-330.4,91.1,False
EUR_JPY,16,1.0,replace,8257,5430,2827,-8618.0,-3947.9,-71.82,-65.8,-4030.5,40.3,False
